symbol,date,period,has_trade,has_twosided_quote,usable,win_flag,pnl_bt
TRVI,2024-12-13,2023-24,True,True,True,0,-703.6911999999976
BTDR,2024-12-16,2023-24,True,True,True,1,-496.2634169999961
TSLQ,2024-12-18,2023-24,True,True,True,0,-1340.6972799999944
UMAC,2024-12-18,2023-24,True,True,True,0,1114.4094358200011
POET,2024-12-19,2023-24,True,True,True,0,-1454.9005769257087
IVDA,2024-12-24,2023-24,True,True,True,0,-199.39919999998932
UMAC,2024-12-26,2023-24,True,True,True,1,4257.256123000007
NEHC,2024-12-27,2023-24,True,True,True,1,-518.629649999989
UVXY,2024-12-30,2023-24,True,True,True,0,-356.2269760000004
UVIX,2024-12-30,2023-24,True,True,True,0,-399.9210699999962
MYSZ,2024-12-31,2023-24,True,True,True,0,-1597.884397299995
ICG,2025-01-02,2025H1,True,True,True,1,4868.944591030007
TSLQ,2025-01-02,2025H1,True,True,True,1,-1300.9591241071291
ONDS,2025-01-06,2025H1,True,True,True,0,-2123.739311405144
DFNS,2025-01-06,2025H1,False,False,False,1,6344.392741523207
SMST,2025-01-07,2025H1,True,True,True,0,-2191.252139999997
MUU,2025-01-07,2025H1,True,True,True,0,639.2503042349987
KITT,2025-01-10,2025H1,True,True,True,1,-1218.1637741999912
AMPX,2025-01-10,2025H1,True,True,True,1,5043.700053599998
GRRR,2025-01-13,2025H1,True,True,True,0,-3929.008287531431
SERV,2025-01-14,2025H1,True,True,True,0,-2029.626403799992
ARBE,2025-01-14,2025H1,True,True,True,0,-2675.016031684288
BFLY,2025-01-15,2025H1,True,True,True,1,3534.147840000001
ATOM,2025-01-15,2025H1,True,True,True,1,1709.372098250005
ARQQ,2025-01-16,2025H1,True,True,True,1,9002.197091939994
RGTIW,2025-01-21,2025H1,True,True,True,1,1836.1074630000007
MOB,2025-01-22,2025H1,True,True,True,1,1063.5935299000005
PDYN,2025-01-23,2025H1,True,True,True,0,-2468.172395579996
NTRB,2025-01-23,2025H1,True,True,True,1,-918.38276702858
ETHT,2025-02-04,2025H1,True,True,True,0,-815.5381199999954
RGTIW,2025-02-04,2025H1,True,True,True,0,-2321.17956347678
NVNI,2025-02-05,2025H1,True,True,True,0,-2420.639342100001
TNXP,2025-02-07,2025H1,True,True,True,1,3979.471563799994
GRRR,2025-02-10,2025H1,True,True,True,1,-1210.3874824499965
DOMH,2025-02-13,2025H1,True,True,True,0,-1800.2953132600078
LTBR,2025-02-18,2025H1,True,True,True,0,-1700.729258502859
BKSY,2025-02-19,2025H1,True,True,True,0,-1049.842512782147
GRRR,2025-02-19,2025H1,True,True,True,0,-1366.6165209835706
TUYA,2025-02-20,2025H1,True,True,True,1,6573.402660959997
REBN,2025-02-20,2025H1,True,True,True,1,2040.5924239199965
CRML,2025-02-24,2025H1,True,True,True,1,596.7532506000036
ROBN,2025-02-26,2025H1,True,True,True,1,3419.938397699989
CADL,2025-02-26,2025H1,True,True,True,0,-1610.8891150458862
XNET,2025-03-05,2025H1,True,True,True,1,-1559.404982850001
TSLZ,2025-03-10,2025H1,True,True,True,1,-464.3677532000003
KAZR,2025-03-10,2025H1,False,False,False,1,3738.757499999991
SKBL,2025-03-10,2025H1,True,True,True,1,3738.757499999991
CONL,2025-03-11,2025H1,True,True,True,0,-1878.541559999985
NVDX,2025-03-12,2025H1,True,True,True,0,-1584.2619499999994
SMCL,2025-03-14,2025H1,True,True,True,1,1822.202475599995
PLTU,2025-03-14,2025H1,True,True,True,1,2578.393639800003
TSLG,2025-03-24,2025H1,True,True,True,1,4708.9183764000045
HMR,2025-03-27,2025H1,True,True,True,1,1222.6196480388032
QNTM,2025-03-27,2025H1,True,True,True,1,1365.3880631999994
BIYA,2025-03-28,2025H1,True,True,True,0,-873.479666920001
YINN,2025-04-09,2025H1,True,True,True,0,-1345.0197536999997
LABD,2025-04-10,2025H1,True,True,True,1,1803.348188790001
DRIP,2025-04-10,2025H1,True,True,True,1,3579.29355
MSTU,2025-04-11,2025H1,True,True,True,1,5632.920427710012
USAR,2025-04-16,2025H1,True,True,True,1,-1649.989929080357
MSTX,2025-04-22,2025H1,True,True,True,1,2687.652211199997
PONY,2025-04-28,2025H1,True,True,True,1,12441.996381299989
TMC,2025-04-28,2025H1,True,True,True,0,1008.748272859996
MSTU,2025-05-02,2025H1,True,True,True,0,-1086.4361659507128
