symbol,date,period,delay_s,status,fill_price,t_star,pnl_replay
YINN,2025-04-09,2025H1,60,filled,24.96,205.652487725,-89.66500878812468
YINN,2025-04-09,2025H1,90,filled,24.96,205.652487725,-89.66500878812468
LABD,2025-04-10,2025H1,0,filled,12.1,18.972040013,120.22497894745389
LABD,2025-04-10,2025H1,1,filled,12.1,18.972040013,120.22497894745389
LABD,2025-04-10,2025H1,2,filled,12.1,18.972040013,120.22497894745389
LABD,2025-04-10,2025H1,3,filled,12.1,18.972040013,120.22497894745389
LABD,2025-04-10,2025H1,5,filled,12.1,18.972040013,120.22497894745389
LABD,2025-04-10,2025H1,10,filled,12.1,18.972040013,120.22497894745389
LABD,2025-04-10,2025H1,15,filled,12.1,18.972040013,120.22497894745389
LABD,2025-04-10,2025H1,20,filled,12.09,18.972040013,120.2256456142039
LABD,2025-04-10,2025H1,30,filled,12.09,18.972040013,120.2256456142039
LABD,2025-04-10,2025H1,45,filled,12.1,18.972040013,120.22497894745389
LABD,2025-04-10,2025H1,60,filled,12.11,18.972040013,120.2243122807039
LABD,2025-04-10,2025H1,90,filled,12.08,18.972040013,120.22631228095389
DRIP,2025-04-10,2025H1,0,filled,14.11,124.840386723,238.62175316104876
DRIP,2025-04-10,2025H1,1,filled,14.11,124.840386723,238.62175316104876
DRIP,2025-04-10,2025H1,2,filled,14.11,124.840386723,238.62175316104876
DRIP,2025-04-10,2025H1,3,filled,14.11,124.840386723,238.62175316104876
DRIP,2025-04-10,2025H1,5,filled,14.11,124.840386723,238.62175316104876
DRIP,2025-04-10,2025H1,10,filled,14.11,124.840386723,238.62175316104876
DRIP,2025-04-10,2025H1,15,filled,14.11,124.840386723,238.62175316104876
DRIP,2025-04-10,2025H1,20,filled,14.11,124.840386723,238.62175316104876
DRIP,2025-04-10,2025H1,30,filled,14.11,124.840386723,238.62175316104876
DRIP,2025-04-10,2025H1,45,filled,14.11,124.840386723,238.62175316104876
DRIP,2025-04-10,2025H1,60,filled,14.11,124.840386723,238.62175316104876
DRIP,2025-04-10,2025H1,90,filled,14.11,124.840386723,238.62175316104876
MSTU,2025-04-11,2025H1,0,filled,4.71,0.96451547,375.5290174551221
MSTU,2025-04-11,2025H1,1,skipped_guard,,0.96451547,0.0
MSTU,2025-04-11,2025H1,2,skipped_guard,,0.96451547,0.0
MSTU,2025-04-11,2025H1,3,skipped_guard,,0.96451547,0.0
MSTU,2025-04-11,2025H1,5,skipped_guard,,0.96451547,0.0
MSTU,2025-04-11,2025H1,10,skipped_guard,,0.96451547,0.0
MSTU,2025-04-11,2025H1,15,skipped_guard,,0.96451547,0.0
MSTU,2025-04-11,2025H1,20,skipped_guard,,0.96451547,0.0
MSTU,2025-04-11,2025H1,30,skipped_guard,,0.96451547,0.0
MSTU,2025-04-11,2025H1,45,skipped_guard,,0.96451547,0.0
MSTU,2025-04-11,2025H1,60,skipped_guard,,0.96451547,0.0
MSTU,2025-04-11,2025H1,90,skipped_guard,,0.96451547,0.0
USAR,2025-04-16,2025H1,0,filled,15.0,7.572398529,-109.9963423548982
USAR,2025-04-16,2025H1,1,filled,15.0,7.572398529,-109.9963423548982
USAR,2025-04-16,2025H1,2,filled,15.0,7.572398529,-109.9963423548982
USAR,2025-04-16,2025H1,3,filled,15.0,7.572398529,-109.9963423548982
USAR,2025-04-16,2025H1,5,filled,15.0,7.572398529,-109.9963423548982
USAR,2025-04-16,2025H1,10,filled,15.0,7.572398529,-109.9963423548982
USAR,2025-04-16,2025H1,15,filled,15.0,7.572398529,-109.9963423548982
USAR,2025-04-16,2025H1,20,filled,15.0,7.572398529,-109.9963423548982
USAR,2025-04-16,2025H1,30,filled,15.0,7.572398529,-109.9963423548982
USAR,2025-04-16,2025H1,45,filled,15.0,7.572398529,-109.9963423548982
USAR,2025-04-16,2025H1,60,filled,15.0,7.572398529,-109.9963423548982
USAR,2025-04-16,2025H1,90,filled,15.0,7.572398529,-109.9963423548982
MSTX,2025-04-22,2025H1,0,filled,30.5,41.024799159,179.17983386414292
MSTX,2025-04-22,2025H1,1,filled,30.5,41.024799159,179.17983386414292
MSTX,2025-04-22,2025H1,2,filled,30.5,41.024799159,179.17983386414292
MSTX,2025-04-22,2025H1,3,filled,30.5,41.024799159,179.17983386414292
MSTX,2025-04-22,2025H1,5,filled,30.5,41.024799159,179.17983386414292
MSTX,2025-04-22,2025H1,10,filled,30.5,41.024799159,179.17983386414292
MSTX,2025-04-22,2025H1,15,filled,30.5,41.024799159,179.17983386414292
MSTX,2025-04-22,2025H1,20,filled,30.5,41.024799159,179.17983386414292
MSTX,2025-04-22,2025H1,30,filled,30.5,41.024799159,179.17983386414292
MSTX,2025-04-22,2025H1,45,filled,30.46,41.024799159,179.18250053114292
MSTX,2025-04-22,2025H1,60,filled,30.42,41.024799159,179.18516719814292
MSTX,2025-04-22,2025H1,90,filled,30.28,41.024799159,179.1945005326429
PONY,2025-04-28,2025H1,0,filled,7.4,35.925943146,829.4686777702376
PONY,2025-04-28,2025H1,1,filled,7.4,35.925943146,829.4686777702376
PONY,2025-04-28,2025H1,2,filled,7.4,35.925943146,829.4686777702376
PONY,2025-04-28,2025H1,3,filled,7.4,35.925943146,829.4686777702376
PONY,2025-04-28,2025H1,5,filled,7.4,35.925943146,829.4686777702376
PONY,2025-04-28,2025H1,10,filled,7.4,35.925943146,829.4686777702376
PONY,2025-04-28,2025H1,15,filled,7.4,35.925943146,829.4686777702376
PONY,2025-04-28,2025H1,20,filled,7.4,35.925943146,829.4686777702376
PONY,2025-04-28,2025H1,30,filled,7.4,35.925943146,829.4686777702376
PONY,2025-04-28,2025H1,45,skipped_guard,,35.925943146,0.0
PONY,2025-04-28,2025H1,60,skipped_guard,,35.925943146,0.0
PONY,2025-04-28,2025H1,90,skipped_guard,,35.925943146,0.0
TMC,2025-04-28,2025H1,0,filled,3.41,18.996315443,67.25057526365393
TMC,2025-04-28,2025H1,1,filled,3.41,18.996315443,67.25057526365393
TMC,2025-04-28,2025H1,2,filled,3.41,18.996315443,67.25057526365393
TMC,2025-04-28,2025H1,3,filled,3.41,18.996315443,67.25057526365393
TMC,2025-04-28,2025H1,5,filled,3.41,18.996315443,67.25057526365393
TMC,2025-04-28,2025H1,10,filled,3.41,18.996315443,67.25057526365393
TMC,2025-04-28,2025H1,15,filled,3.41,18.996315443,67.25057526365393
TMC,2025-04-28,2025H1,20,skipped_guard,,18.996315443,0.0
TMC,2025-04-28,2025H1,30,skipped_guard,,18.996315443,0.0
TMC,2025-04-28,2025H1,45,skipped_guard,,18.996315443,0.0
TMC,2025-04-28,2025H1,60,skipped_guard,,18.996315443,0.0
TMC,2025-04-28,2025H1,90,skipped_guard,,18.996315443,0.0
MSTU,2025-05-02,2025H1,0,unfilled_no_tstar,,,0.0
MSTU,2025-05-02,2025H1,1,unfilled_no_tstar,,,0.0
MSTU,2025-05-02,2025H1,2,unfilled_no_tstar,,,0.0
MSTU,2025-05-02,2025H1,3,unfilled_no_tstar,,,0.0
MSTU,2025-05-02,2025H1,5,unfilled_no_tstar,,,0.0
MSTU,2025-05-02,2025H1,10,unfilled_no_tstar,,,0.0
MSTU,2025-05-02,2025H1,15,unfilled_no_tstar,,,0.0
MSTU,2025-05-02,2025H1,20,unfilled_no_tstar,,,0.0
MSTU,2025-05-02,2025H1,30,unfilled_no_tstar,,,0.0
MSTU,2025-05-02,2025H1,45,unfilled_no_tstar,,,0.0
MSTU,2025-05-02,2025H1,60,unfilled_no_tstar,,,0.0
MSTU,2025-05-02,2025H1,90,unfilled_no_tstar,,,0.0
LLYX,2025-05-02,2025H1,0,unfilled_no_tstar,,,0.0
LLYX,2025-05-02,2025H1,1,unfilled_no_tstar,,,0.0
LLYX,2025-05-02,2025H1,2,unfilled_no_tstar,,,0.0
LLYX,2025-05-02,2025H1,3,unfilled_no_tstar,,,0.0
LLYX,2025-05-02,2025H1,5,unfilled_no_tstar,,,0.0
LLYX,2025-05-02,2025H1,10,unfilled_no_tstar,,,0.0
LLYX,2025-05-02,2025H1,15,unfilled_no_tstar,,,0.0
LLYX,2025-05-02,2025H1,20,unfilled_no_tstar,,,0.0
LLYX,2025-05-02,2025H1,30,unfilled_no_tstar,,,0.0
LLYX,2025-05-02,2025H1,45,unfilled_no_tstar,,,0.0
LLYX,2025-05-02,2025H1,60,unfilled_no_tstar,,,0.0
LLYX,2025-05-02,2025H1,90,unfilled_no_tstar,,,0.0
PONY,2025-05-02,2025H1,0,filled,9.3,13.718698679,464.0431461653867
PONY,2025-05-02,2025H1,1,filled,9.3,13.718698679,464.0431461653867
PONY,2025-05-02,2025H1,2,filled,9.3,13.718698679,464.0431461653867
PONY,2025-05-02,2025H1,3,filled,9.3,13.718698679,464.0431461653867
PONY,2025-05-02,2025H1,5,filled,9.3,13.718698679,464.0431461653867
PONY,2025-05-02,2025H1,10,filled,9.3,13.718698679,464.0431461653867
PONY,2025-05-02,2025H1,15,skipped_guard,,13.718698679,0.0
PONY,2025-05-02,2025H1,20,skipped_guard,,13.718698679,0.0
PONY,2025-05-02,2025H1,30,skipped_guard,,13.718698679,0.0
PONY,2025-05-02,2025H1,45,skipped_guard,,13.718698679,0.0
PONY,2025-05-02,2025H1,60,skipped_guard,,13.718698679,0.0
PONY,2025-05-02,2025H1,90,skipped_guard,,13.718698679,0.0
PONY,2025-05-06,2025H1,0,filled,10.78,32.709182036,-126.62005112512321
PONY,2025-05-06,2025H1,1,filled,10.78,32.709182036,-126.62005112512321
PONY,2025-05-06,2025H1,2,filled,10.78,32.709182036,-126.62005112512321
PONY,2025-05-06,2025H1,3,filled,10.78,32.709182036,-126.62005112512321
PONY,2025-05-06,2025H1,5,filled,10.78,32.709182036,-126.62005112512321
PONY,2025-05-06,2025H1,10,filled,10.78,32.709182036,-126.62005112512321
PONY,2025-05-06,2025H1,15,filled,10.78,32.709182036,-126.62005112512321
PONY,2025-05-06,2025H1,20,filled,10.78,32.709182036,-126.62005112512321
PONY,2025-05-06,2025H1,30,filled,10.78,32.709182036,-126.62005112512321
PONY,2025-05-06,2025H1,45,skipped_guard,,32.709182036,0.0
PONY,2025-05-06,2025H1,60,skipped_guard,,32.709182036,0.0
PONY,2025-05-06,2025H1,90,skipped_guard,,32.709182036,0.0
SMCX,2025-05-13,2025H1,0,filled,28.83,99.402385406,566.8385233390266
SMCX,2025-05-13,2025H1,1,filled,28.83,99.402385406,566.8385233390266
SMCX,2025-05-13,2025H1,2,filled,28.83,99.402385406,566.8385233390266
SMCX,2025-05-13,2025H1,3,filled,28.83,99.402385406,566.8385233390266
SMCX,2025-05-13,2025H1,5,filled,28.83,99.402385406,566.8385233390266
