symbol,date,entry_price,pnl,pnl_pct,exit_reason,win,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start,vol_open5,n_prior,rvol_open5,ratr,ratr_tier,_rp_position,_rp_pnl,_composite,_quintile,_q_rank,_sized_pnl,month,_anchor
ALAR,2025-06-10,12.36699,-894.4663126146453,-1.788941907333271,stop,0,1,4.09356725146199,115112.0,1.4813447025501116,46.4920003680348,3.0,0.836734693877551,2.339181286549702,1.0,2.2245726588022383,5.648720211827013,18.270079435127982,0.8454106280193235,206121.55,8.571894115367998,2.7467811158798305,9.983070976130646,7.534297117404755,0.1266202392456084,0.0258238645829816,0.0900480256136735,0.8211298870771674,1.0,10.0,115112.0,14.0,7.126322725001437,0.6035201596680775,wide,3333.3333333333335,-59.63108750764302,0.10891303139011929,Q2,3,-59.63108750764302,2025-06,ALAR
SBET,2025-06-16,10.95276,793.6811256000003,1.587382906226377,lock,1,1,3.40073529411764,1574131.0,2.174779232653495,27.929142356207016,3.0,0.8108108108108096,-0.2757352941176574,1.0,0.8231083456266282,18.132464712269268,28.013029315960907,0.062015503875969,9191941.8,34.52681328899192,-91.2342893973574,106.9324343354306,4.560091535827609,0.22151898734176,0.1882078614257154,0.5695142378559426,0.9101468021546336,0.0,16.0,1574131.0,14.0,3.3260693933960166,0.0150524460455803,narrow,3333.3333333333335,52.912075040000026,0.3875178029192193,Q4,0,52.912075040000026,2025-06,SBET
USAR,2025-06-16,14.9,0.0,0.0,no_fill,0,0,6.2455642299503245,241729.0,2.111133802300031,54.786778719877496,4.0,0.8295454545454543,4.6841731724627405,1.0,1.741002314859477,6.419939577039273,13.639728096676745,0.0406999280137332,2177397.15,10.438809641764788,-6.251039622076587,7.435672643430487,1.6340629452922726,0.22151898734176,0.1882078614257154,0.5695142378559426,0.9101468021546336,0.0,16.0,271071.0,14.0,2.011138385617715,0.6637172860293638,wide,3333.3333333333335,0.0,0.35677832331559733,Q4,0,0.0,2025-06,USAR
XTIA,2025-06-17,3.39014,-632.5505688000032,-1.2651571911484547,tag_bb,1,1,6.441717791411042,577171.0,3.0130278326131403,54.24927164952873,3.0,0.7380952380952394,1.9938650306748589,1.0,1.5218561637004655,17.68953068592057,40.7942238267148,0.2212389380530973,5787361.3,20.96589264099533,-56.12382234185733,20.43673751800552,1.2638258820993258,0.154943187497909,0.0349871713704846,-0.4098360655737562,0.8231625986803217,1.0,17.0,577171.0,14.0,2.8648129488904,0.2543681611295286,narrow,3333.3333333333335,-42.17003792000022,0.13988395120489808,Q2,3,-42.17003792000022,2025-06,XTIA
ETHD,2025-06-23,18.9799,0.0,0.0,no_fill,0,0,1.2801494130202893,121809.0,0.3702146976383585,120.01714625928908,3.0,0.541892455189668,0.693703308431177,0.0,0.2861288596588741,13.232628398791526,14.440483383685804,0.7699066906565125,1099919.5,6.40167033006659,9.59128415955647,7.598258247965937,1.343723790695592,0.2487227749395029,-0.171417047593436,0.1278858450562009,0.9135836778117084,0.0,23.0,121809.0,14.0,3.2758129858753966,0.1653722405952221,narrow,3333.3333333333335,0.0,0.19877786226469213,Q3,2,0.0,2025-06,
OKLL,2025-06-30,21.11,0.0,0.0,no_fill,0,0,5.726660250240605,28869.0,2.0023467365395184,43.44060601497565,2.0,0.7731092436974789,0.2887391722810333,0.0,1.611520872129904,5.375253549695752,28.75253549695741,0.1446208112874779,0.0,0.0,0.0,0.0,0.0,0.1669528314111741,-0.1133860308410077,0.4016847994015428,0.6845970298556153,0.0,30.0,28869.0,3.0,,,unknown,3333.3333333333335,0.0,0.3183940282233223,Q4,0,0.0,2025-06,OKLO
ALM,2025-07-15,5.15,0.0,0.0,no_fill,0,0,3.7328094302554105,307202.0,2.1839124916818364,48.320236491660246,3.0,0.5526315789473695,-0.491159135559911,1.0,0.6284809110899893,6.708595387840677,16.771488469601675,0.0874999999999992,0.0,0.0,0.0,0.0,0.0,0.1593600101990406,-0.0957594301286073,0.4337318544837689,0.5627537225842169,1.0,15.0,310646.0,0.0,,,unknown,3333.3333333333335,0.0,0.27513967919677196,Q3,2,0.0,2025-07,ALM
QVCGA,2025-09-03,11.3,0.0,0.0,no_fill,0,0,4.1474654377880285,35048.0,1.509523331718813,45.4569633813128,3.0,0.9555555555555528,3.963133640552993,1.0,1.83117511102467,5.03388189738625,35.39883833494675,0.7183252659501738,263702.7,15.744345562288526,-4.489436619718308,10.194037163407383,2.7052282741132343,0.1135921574729663,0.0342332529370617,0.3748418635887949,0.7455180966918891,2.0,3.0,35048.0,14.0,2.635626769225811,0.4920321113334782,normal,3333.3333333333335,0.0,0.23163518132184663,Q3,2,0.0,2025-09,
CRCA,2025-09-15,14.794249999999998,-604.4355199999923,-1.2091184074893808,tag_bb,0,1,4.391424619640386,183788.0,1.7883795930736732,19.758774593238275,2.0,0.7461417322834659,0.8907330567081605,0.0,0.985412131739264,7.190511489992592,17.93921423276501,0.0785123966942146,2175192.8,14.578198609460893,-31.56649313771888,11.214931513590434,1.646745980402289,0.0977806076041449,0.0272876114244229,0.3392099298763356,0.5526570452335635,0.0,15.0,183788.0,14.0,2.018374589348637,0.3274992989962763,normal,3333.3333333333335,-40.29570133333282,0.4095494519244531,Q5,1,-40.29570133333282,2025-09,CRCL
HERE,2025-09-16,10.53,0.0,0.0,no_fill,0,0,3.732809430255393,117187.0,1.2939880387605476,41.22300804513867,3.0,0.3947368421052651,1.1787819253438212,0.0,-0.441371088510658,6.041666666666668,43.02083333333334,0.0242130750605325,735589.3,9.547492614501156,-25.31181217901688,8.134553245615114,4.316233256791527,0.0861730112175998,-0.0045354216430451,0.084731657865679,0.4380529434836936,1.0,16.0,117187.0,14.0,2.0635769952555605,0.3931331511232764,normal,3333.3333333333335,0.0,0.3364535720377019,Q4,0,0.0,2025-09,HERE
