symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry
GLTO,2024-08-30,09:41:00,12.37,11.98,12.76,9902,09:46:00,12.51,pp+trail_stop,1962.35,1.60,False,,0,0.0,17.42,495106,1.62,2223.71,False,,2,5.23,2.28,1.9,1.0,0.3,0.3,0.3,0.0,0.0,1.9,1.009,0.0,0.0,2431.96,5.535,1.009,
SGMT,2024-09-09,09:46:00,3.12,2.99,3.39,4155,10:04:00,3.25,pp+trail_stop,663.30,5.12,False,,0,0.0,30.85,207786,4.08,17.06,False,,2,9.44,4.16,1.8,1.0,0.0,0.0,0.3,0.3,0.0,1.8,1.461,0.2,0.0,24.01,1.446,1.461,
LASE,2024-09-10,09:57:00,8.23,8.05,8.59,18000,10:00:00,8.32,pp+trail_stop,2885.98,1.95,False,,0,0.0,28.93,1054747,2.8,3.25,False,,2,5.38,3.27,2.1,1.8,0.3,0.0,0.3,0.3,0.0,2.1,1.469,0.2,0.0,26.28,1.634,1.469,
OMIC,2024-09-16,09:42:00,13.1,12.36,14.39,8190,09:52:00,13.39,pp+trail_stop,4436.86,4.13,False,,0,0.0,21.3,204760,5.13,-6.54,False,,2,5.76,5.53,1.8,2.0,0.3,-0.3,0.3,0.3,0.0,1.8,1.566,0.2,0.0,15.15,3.32,1.566,
SGD,2024-10-15,09:31:00,6.42,6.09,6.94,11070,09:32:00,6.07,stop,-3827.98,-5.39,False,,0,0.0,126.37,307547,4.97,-3.27,False,,2,7.53,6.52,2.0,1.8,0.3,0.0,0.0,-0.5,0.0,2.0,0.696,0.2,0.0,96.29,8.242,0.696,
WVE,2024-10-16,10:13:00,14.07,13.72,14.77,14214,10:16:00,14.68,pp+trail_stop,6271.87,3.14,False,,0,0.0,29.72,2587447,5.35,-0.5,False,,3,7.2,5.84,2.8,1.0,0.3,0.3,0.0,0.0,0.0,2.8,0.883,0.2,0.0,71.65,0.745,0.883,
BTOC,2024-10-24,09:59:00,6.83,6.49,7.46,18000,10:53:00,7.21,pp+trail_stop,6333.80,5.15,False,,0,0.0,60.08,563788,7.26,-0.28,False,,2,5.96,8.68,2.4,1.8,0.3,-0.3,0.0,0.0,0.2,2.4,0.904,0.2,0.0,35.97,0.534,0.904,
MNPR,2024-10-28,09:42:00,17.74,16.94,19.5,7081,09:44:00,18.74,pp+trail_stop,7221.92,5.75,False,,0,0.0,50.34,1273534,5.79,-13.35,False,,3,17.33,5.24,2.5,1.8,0.0,0.0,0.3,0.0,0.0,2.5,0.993,0.2,0.0,21.51,1.872,0.993,
BVS,2024-11-05,10:15:00,10.83,10.35,11.91,7254,15:45:00,11.29,force_close,3308.55,4.21,False,,0,0.0,61.64,362704,9.27,-30.85,False,,3,6.09,9.28,2.2,1.0,0.3,-0.3,0.0,0.0,0.0,2.2,0.98,0.2,0.0,61.64,1.428,0.98,
GDRX,2024-11-07,09:50:00,5.08,4.87,5.53,15937,10:26:00,5.29,pp+trail_stop,4361.18,5.39,False,,0,0.0,28.97,796891,0.84,-1.64,False,,3,6.74,1.34,2.3,1.0,0.3,-0.3,0.3,0.0,0.0,2.3,1.006,0.0,0.0,28.97,0.281,1.006,
ELWS,2024-11-08,10:32:00,4.72,4.51,5.19,18000,10:38:00,4.5,stop,-4050.48,-4.76,False,,0,0.0,62.71,826781,7.27,-13.78,False,,2,6.82,7.37,2.2,1.8,0.3,-0.3,0.0,0.0,0.0,2.2,0.941,0.2,0.0,62.71,2.022,0.941,
CNVS,2024-11-15,10:16:00,3.32,3.19,3.59,7589,10:27:00,3.18,stop,-1032.64,-4.10,False,,0,0.0,32.36,379462,6.26,10.77,False,,3,6.45,6.32,1.8,1.0,0.3,0.0,0.3,0.0,0.0,1.8,0.805,0.2,0.0,26.15,3.831,0.805,
ZNTL,2024-11-18,10:21:00,3.28,3.21,3.42,20000,10:44:00,3.2,stop,-1619.10,-2.47,False,,0,0.0,16.0,1572770,2.17,-0.29,False,,3,7.83,2.57,2.3,2.0,0.3,0.3,0.3,0.0,0.2,2.3,0.891,0.2,0.0,16.0,3.841,0.891,
REPL,2024-11-22,10:07:00,16.62,16.1,17.72,8179,10:10:00,16.05,stop,-4671.02,-3.44,False,,0,0.0,29.47,524106,8.83,17.56,False,,2,6.64,8.92,1.8,1.0,0.3,0.0,0.3,0.0,0.0,1.8,1.187,0.2,0.0,48.16,1.335,1.187,
ARQQ,2024-11-25,04:33:00,15.97,15.59,16.72,6150,04:38:00,15.54,stop,-2621.25,-2.67,False,,0,0.0,43.36,307509,5.3,17.8,False,,2,7.45,5.45,2.1,1.0,0.3,0.3,0.3,0.0,0.0,2.1,0.955,0.2,0.0,23.84,3.99,0.955,
QBTS.WS,2024-12-20,10:00:00,3.17,3.02,3.48,18000,10:17:00,3.92,pp+trail_stop,8107.54,14.23,False,,0,0.0,86.44,1026457,13.32,-11.89,False,,2,8.45,13.58,3.0,1.8,0.3,-0.3,0.3,0.3,0.2,3.0,1.7,0.2,0.0,33.47,1.516,1.7,
CMTL,2024-12-20,10:08:00,3.78,3.63,4.1,7269,10:16:00,3.62,stop,-1160.79,-4.23,False,,0,0.0,32.67,363482,8.08,-0.33,False,,3,5.8,8.39,2.7,1.0,0.3,-0.3,0.0,0.3,0.2,2.7,1.7,0.2,0.0,26.0,0.928,1.7,
