cell,n,H1,H2,VAL,all,null_p95,tr_wk_H1,tr_wk_H2,tr_wk_VAL,clust_t,mde,era_pos,above_null,FINDING
09:37-10:30|>=3%|$25-150M|stock,17138,-0.07064852366279709,-0.15844389025434133,-0.06618150019757231,-0.09897749023463723,-0.0575003018481291,8.076923076923077,7.814814814814815,7.478260869565218,-4.506925420907058,0.015314253156587089,False,False,False
09:37-10:30|>=3%|>=$150M|wrapper,2177,-0.18502908763604717,-0.17738629871254816,-0.17695659201531214,-0.18105534698549824,-0.03591074376163543,2.5,1.962962962962963,3.0434782608695654,-4.081301479073355,0.05241889839056502,False,False,False
09:37-10:30|>=3%|>=$150M|stock,9938,-0.09482031114976729,-0.1087719370782658,-0.03797161729347995,-0.07739148603893778,-0.05387865413309183,5.076923076923077,4.407407407407407,4.782608695652174,-2.446003134199716,0.021201663882357533,False,False,False
10:30-11:30|<1.5%|<$25M|wrapper,1737,-0.02968073432293676,-0.08081408928458428,-0.2164296103643853,-0.08305151183103468,-0.03196698128384659,1.8846153846153846,1.8888888888888888,0.8260869565217391,-1.0705952485539778,0.09635911702778,False,False,False
10:30-11:30|<1.5%|<$25M|stock,169,-0.1242002380937082,-0.06055031117608016,-0.16035640219378033,-0.10883207933332202,0.051794899737103266,0.15384615384615385,0.2962962962962963,0.2608695652173913,-0.6122395120271658,0.29874900182827624,False,False,False
10:30-11:30|<1.5%|$25-150M|wrapper,3315,-0.17825687554400246,-0.036071809621991587,-0.22165039888449709,-0.13360091304751845,-0.044715785525874886,2.576923076923077,2.2962962962962963,1.4782608695652173,-2.6876347653943227,0.06688694411501854,False,False,False
10:30-11:30|<1.5%|$25-150M|stock,3280,-0.04537977403906356,0.07942222464922724,-0.04608418292565683,-0.0030435403470156414,-0.0431015214242006,2.3846153846153846,2.074074074074074,1.5217391304347827,-0.048461260098905265,0.06807257307589658,False,True,False
10:30-11:30|<1.5%|>=$150M|wrapper,1413,-0.4132150964405622,-0.12775786720884424,-0.2566212265934836,-0.3067170794079363,-0.03000604271565342,2.1923076923076925,1.4444444444444444,0.9565217391304348,-4.723144478118374,0.09588201472876468,False,False,False
10:30-11:30|<1.5%|>=$150M|stock,4892,0.06781822157926623,0.17151552142210202,0.03029861745031495,0.09047313648967416,-0.048236405442188345,2.730769230769231,2.4074074074074074,2.4347826086956523,1.389376862521687,0.05567016434467447,True,True,False
10:30-11:30|1.5-3%|<$25M|wrapper,2826,-0.3010017434032064,-0.0584168122180254,-0.18265815909242722,-0.16494656928252832,-0.03978233380422723,2.8076923076923075,2.814814814814815,2.1739130434782608,-2.7578605659480067,0.061199397207708124,False,False,False
10:30-11:30|1.5-3%|<$25M|stock,1097,-0.10564537527971779,-0.046442275800713105,-0.21512550406472186,-0.10190129826858708,-0.023541669936064658,0.7307692307692307,0.8148148148148148,0.4782608695652174,-1.3040511818292813,0.08919292154604246,False,False,False
10:30-11:30|1.5-3%|$25-150M|wrapper,4930,-0.31732725707794074,-0.17833087442288645,-0.1371360717026497,-0.22470063691206693,-0.04748280867177279,4.538461538461538,3.2222222222222223,2.869565217391304,-4.664414802208057,0.04627901501974148,False,False,False
10:30-11:30|1.5-3%|$25-150M|stock,4482,-0.039978196269266505,0.08587752573556037,-0.14731421726436242,-0.011370406632302238,-0.04665573432559869,3.730769230769231,3.3333333333333335,2.3043478260869565,-0.25401106454575645,0.04677393578591768,False,True,False
10:30-11:30|1.5-3%|>=$150M|wrapper,2007,-0.22652416139644244,-0.10430197123668758,-0.06116061121533967,-0.1659764413641981,-0.03592772208624567,3.6923076923076925,1.9259259259259258,1.9130434782608696,-2.2946533409705476,0.07557280296147988,False,False,False
10:30-11:30|1.5-3%|>=$150M|stock,6509,0.0534553803389428,-0.05502504286644709,0.007353884653700439,0.0005982042924079282,-0.049519927592019126,3.6923076923076925,3.5925925925925926,3.6956521739130435,0.011215303187384696,0.03926126365204896,False,True,False
10:30-11:30|>=3%|<$25M|wrapper,6577,-0.015170770320589971,-0.06704537475076695,-0.05886083563690203,-0.05500337393605526,-0.049858958961953664,2.6153846153846154,5.703703703703703,6.086956521739131,-1.6479612913189268,0.02571668472321517,False,False,False
10:30-11:30|>=3%|<$25M|stock,6988,-0.01968862225090111,-0.1096920373745689,-0.0745934674993706,-0.07168701776678534,-0.051040795756859936,4.884615384615385,5.37037037037037,3.6956521739130435,-3.144607469794637,0.020231303054702717,False,False,False
10:30-11:30|>=3%|$25-150M|wrapper,5630,-0.12394557644708404,-0.13162617537548166,-0.061472270245031234,-0.10002723681455851,-0.04839724771038123,3.6153846153846154,5.62962962962963,6.130434782608695,-3.609808665934198,0.028204113428254213,False,False,False
10:30-11:30|>=3%|$25-150M|stock,11081,-0.02301940748794615,-0.08694378870773725,-0.040267315941350655,-0.05025969541535048,-0.05498762732331989,8.115384615384615,7.703703703703703,7.3478260869565215,-2.6971714948100525,0.01568755439343091,False,True,False
10:30-11:30|>=3%|>=$150M|wrapper,1490,-0.1357321628205409,0.04505408077423108,0.06729595966658304,-0.033742345333073,-0.027013944015136574,2.423076923076923,1.8888888888888888,2.9130434782608696,-0.7505010861670299,0.060025272130200986,False,False,False
