symbol,date,wave,entry_time,exit_time,entry_price,exit_price,shares,pnl_pct,pnl_dollar,exit_reason,cross_time_min,vol_at_cross,macd_hist_pct,w1_pnl
TRIP,2025-08-08,1,2025-08-08 13:34:00+00:00,2025-08-08 13:38:00+00:00,19.049,18.6494,2099,-2.1,-838.86,hard_stop,3,240270,0.5658,-2.1
GSAT,2025-08-08,1,2025-08-08 13:37:00+00:00,2025-08-08 13:40:00+00:00,29.7898,29.1648,1342,-2.1,-838.74,hard_stop,3,114228,0.5717,-2.1
DOMO,2025-08-26,1,2025-08-26 13:34:00+00:00,2025-08-26 13:44:00+00:00,16.1361,16.2593,2478,0.76,305.3,macd_flip,3,115028,0.61,0.76
SOGP,2025-09-02,1,2025-09-02 13:34:00+00:00,2025-09-02 13:47:00+00:00,13.6136,14.3067,2938,5.09,2036.27,macd_flip,1,88648,0.9557,5.09
SOGP,2025-09-03,1,2025-09-03 16:35:00+00:00,2025-09-03 16:42:00+00:00,21.5215,21.07,1858,-2.1,-838.93,hard_stop,2,175541,0.5233,-2.1
ASTX,2025-09-08,1,2025-09-08 13:33:00+00:00,2025-09-08 13:34:00+00:00,19.0122,18.6133,2103,-2.1,-838.84,hard_stop,2,160569,1.2991,-2.1
ALMU,2025-09-18,1,2025-09-18 13:34:00+00:00,2025-09-18 13:35:00+00:00,17.7076,17.3361,2258,-2.1,-838.86,hard_stop,3,66805,0.6817,-2.1
SLMT,2025-09-18,1,2025-09-18 15:08:00+00:00,2025-09-18 15:18:00+00:00,22.7527,22.2754,1758,-2.1,-839.19,hard_stop,1,21813,6.1898,-2.1
ENTA,2025-09-29,1,2025-09-29 13:33:00+00:00,2025-09-29 13:34:00+00:00,7.7477,7.5852,5162,-2.1,-839.07,hard_stop,2,99112,0.5763,-2.1
PLTS,2025-09-30,1,2025-09-30 13:35:00+00:00,2025-09-30 13:44:00+00:00,15.8358,15.5036,2525,-2.1,-838.89,hard_stop,2,2972,0.6105,-2.1
BTTC,2025-10-02,1,2025-10-02 14:35:00+00:00,2025-10-02 16:06:00+00:00,13.6536,23.5714,2929,72.64,29049.13,macd_flip,1,24581,4.5889,72.64
QNRX,2025-10-10,1,2025-10-10 14:01:00+00:00,2025-10-10 15:07:00+00:00,19.2692,24.975,2075,29.61,11839.43,macd_flip,1,242605,3.0019,29.61
BAIG,2025-10-13,1,2025-10-13 13:34:00+00:00,2025-10-13 14:00:00+00:00,26.7066,29.5904,1497,10.8,4317.05,macd_flip,3,71558,1.0946,10.8
ARCX,2025-10-15,1,2025-10-15 13:34:00+00:00,2025-10-15 13:37:00+00:00,29.7132,29.0898,1346,-2.1,-839.07,hard_stop,3,49315,1.268,-2.1
VHC,2025-10-17,1,2025-10-17 13:37:00+00:00,2025-10-17 13:38:00+00:00,28.0231,27.4352,1427,-2.1,-838.97,hard_stop,2,52624,1.7643,-2.1
QBTZ,2025-10-23,1,2025-10-23 13:33:00+00:00,2025-10-23 13:34:00+00:00,15.9243,15.5902,2511,-2.1,-838.9,hard_stop,2,260404,0.7779,-2.1
OPEX,2025-11-07,1,2025-11-07 14:34:00+00:00,2025-11-07 14:35:00+00:00,16.8769,16.5228,2370,-2.1,-839.16,hard_stop,1,34766,0.5871,-2.1
SKYT,2025-11-10,1,2025-11-10 14:34:00+00:00,2025-11-10 14:49:00+00:00,21.1038,22.2178,1895,5.28,2110.99,macd_flip,3,284889,0.7605,5.28
TBPH,2025-11-11,1,2025-11-11 14:34:00+00:00,2025-11-11 14:35:00+00:00,17.1471,16.7874,2332,-2.1,-838.93,hard_stop,3,54675,0.7674,-2.1
BAIG,2025-11-12,1,2025-11-12 14:34:00+00:00,2025-11-12 14:44:00+00:00,18.4785,18.4216,2164,-0.31,-123.13,macd_flip,3,58238,1.4277,-0.31
FLYE,2025-12-01,1,2025-12-01 14:35:00+00:00,2025-12-01 16:13:00+00:00,5.1552,9.1688,7759,77.86,31142.08,macd_flip,3,3467,1.2513,77.86
PLAY,2025-12-10,1,2025-12-10 14:33:00+00:00,2025-12-10 14:41:00+00:00,20.3243,19.8979,1968,-2.1,-839.16,hard_stop,1,217021,0.5624,-2.1
EWTX,2025-12-24,1,2025-12-24 14:34:00+00:00,2025-12-24 14:47:00+00:00,24.1391,24.5454,1657,1.68,673.26,macd_flip,3,152939,0.7911,1.68
ELVN,2026-01-08,1,2026-01-08 14:34:00+00:00,2026-01-08 14:35:00+00:00,20.2452,19.8205,1975,-2.1,-838.87,hard_stop,3,221257,1.4535,-2.1
HELE,2026-01-08,1,2026-01-08 15:30:00+00:00,2026-01-08 15:53:00+00:00,18.9289,20.7592,2113,9.67,3867.45,macd_flip,3,46338,0.5783,9.67
BNAI,2026-01-30,1,2026-01-30 15:14:00+00:00,2026-01-30 15:16:00+00:00,29.6896,29.0667,1347,-2.1,-839.03,hard_stop,3,206373,0.5837,-2.1
KELYB,2026-02-05,1,2026-02-05 18:05:00+00:00,2026-02-05 19:10:00+00:00,28.5285,40.2797,1402,41.19,16475.15,macd_flip,2,12054,3.7481,41.19
PSNY,2026-02-06,1,2026-02-06 14:33:00+00:00,2026-02-06 14:43:00+00:00,17.1171,17.0829,2336,-0.2,-79.89,macd_flip,2,8272,1.0262,-0.2
LABX,2026-02-09,1,2026-02-09 14:34:00+00:00,2026-02-09 14:51:00+00:00,15.9475,16.5137,2508,3.55,1419.87,macd_flip,3,43792,0.8061,3.55
TECX,2026-02-10,1,2026-02-10 15:45:00+00:00,2026-02-10 15:48:00+00:00,18.5485,18.1594,2156,-2.1,-839.0,hard_stop,2,69446,0.7607,-2.1
MLEC,2026-02-19,1,2026-02-19 14:34:00+00:00,2026-02-19 14:35:00+00:00,18.0252,17.647,2219,-2.1,-839.16,hard_stop,3,81338,1.0421,-2.1
PRCT,2026-02-26,1,2026-02-26 15:31:00+00:00,2026-02-26 15:44:00+00:00,21.6079,21.4785,1851,-0.6,-239.49,macd_flip,2,263156,0.5055,-0.6
ONDL,2026-03-02,1,2026-03-02 14:33:00+00:00,2026-03-02 14:53:00+00:00,25.8365,27.9664,1548,8.24,3297.08,macd_flip,2,130351,0.5105,8.24
GSIW,2026-03-09,1,2026-03-09 13:50:00+00:00,2026-03-09 14:13:00+00:00,9.8799,10.4795,4048,6.07,2427.34,macd_flip,3,1506,1.0036,6.07
SWMR,2026-03-17,1,2026-03-17 15:43:00+00:00,2026-03-17 16:21:00+00:00,20.7908,26.0739,1923,25.41,10159.46,macd_flip,3,197477,4.2235,25.41
ELA,2026-03-19,1,2026-03-19 13:34:00+00:00,2026-03-19 14:03:00+00:00,14.7647,15.8641,2709,7.45,2978.19,macd_flip,3,33048,0.7888,7.45
