symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl
DOMH,2025-03-31,10:22:00,4.36,4.32,4.46,10000,10:33:00,4.32,stop,-395.00,-0.91,False,,0,0.00
EHLD,2025-04-01,10:56:00,5.39,5.19,5.88,10000,11:07:00,5.19,stop,-1981.00,-3.68,False,,0,0.00
GRI,2025-04-01,10:26:00,7.12,6.92,7.62,10000,10:27:00,6.92,stop,-1989.00,-2.79,False,,0,0.00
CRVO,2025-04-03,10:01:00,12.65,12.45,13.16,9886,10:20:00,12.45,stop,-1999.94,-1.60,False,,0,0.00
DOMH,2025-04-04,14:32:00,3.53,3.51,3.59,10000,14:49:00,3.59,target,625.00,1.77,False,,0,0.00
TIL,2025-04-04,11:12:00,15.84,15.70,16.19,10000,11:17:00,16.19,target,3500.00,2.21,False,,0,0.00
AEYE,2025-04-07,10:17:00,10.87,10.81,11.02,10000,10:18:00,10.81,stop,-600.00,-0.55,False,,0,0.00
CRVO,2025-04-07,09:55:00,10.02,9.86,10.42,10000,10:02:00,9.86,stop,-1600.00,-1.60,False,,0,0.00
ECOR,2025-04-07,09:55:00,5.46,5.40,5.60,10000,10:10:00,5.60,target,1437.50,2.63,False,,0,0.00
ELA,2025-04-07,14:52:00,6.49,6.37,6.79,10000,14:54:00,6.37,stop,-1200.00,-1.85,False,,0,0.00
MAXN,2025-04-07,10:19:00,3.12,3.07,3.23,10000,10:21:00,3.07,stop,-439.00,-1.41,False,,0,0.00
NTHI,2025-04-07,10:34:00,11.00,10.62,11.94,5298,10:39:00,10.62,stop,-1999.99,-3.43,False,,0,0.00
NTRP,2025-04-07,11:07:00,5.46,5.35,5.73,10000,11:14:00,5.35,stop,-1099.00,-2.01,False,,0,0.00
SEAT,2025-04-07,10:17:00,2.66,2.62,2.76,10000,10:18:00,2.62,stop,-390.00,-1.47,False,,0,0.00
VVPR,2025-04-07,10:05:00,3.22,3.19,3.31,10000,10:08:00,3.31,target,875.00,2.72,False,,0,0.00
SXTP,2025-04-08,14:27:00,3.17,3.10,3.34,10000,14:28:00,3.10,stop,-700.00,-2.21,False,,0,0.00
AENT,2025-04-09,14:27:00,2.89,2.86,2.96,10000,14:32:00,2.86,stop,-300.00,-1.04,False,,0,0.00
SPPL,2025-04-09,10:50:00,3.75,3.70,3.87,10000,11:05:00,3.70,stop,-499.00,-1.33,False,,0,0.00
SXTP,2025-04-10,11:18:00,3.37,3.32,3.49,10000,11:19:00,3.32,stop,-496.00,-1.47,False,,0,0.00
BGLC,2025-04-11,10:32:00,2.73,2.70,2.81,10000,10:33:00,2.70,stop,-316.00,-1.16,False,,0,0.00
BLIV,2025-04-11,09:46:00,3.69,3.65,3.79,10000,09:54:00,3.65,stop,-420.00,-1.14,False,,0,0.00
SXTP,2025-04-11,09:43:00,3.60,3.53,3.77,10000,09:45:00,3.53,stop,-698.00,-1.94,False,,0,0.00
ALOT,2025-04-14,14:22:00,8.32,8.19,8.62,10000,15:35:00,8.19,stop,-1221.00,-1.47,False,,0,0.00
TPST,2025-04-14,09:56:00,6.43,6.33,6.69,10000,11:44:00,6.69,target,2570.00,4.00,False,,0,0.00
AENT,2025-04-15,14:01:00,2.85,2.83,2.90,10000,14:28:00,2.90,target,500.00,1.75,False,,0,0.00
PIII,2025-04-15,10:04:00,9.61,9.42,10.11,10000,11:29:00,10.11,target,4930.00,5.13,False,,0,0.00
SCLX,2025-04-15,09:36:00,7.17,7.04,7.50,10000,09:39:00,7.04,stop,-1299.00,-1.81,False,,0,0.00
BGLC,2025-04-16,11:20:00,2.71,2.65,2.87,10000,12:23:00,2.65,stop,-650.00,-2.40,False,,0,0.00
CPIX,2025-04-16,14:35:00,4.59,4.54,4.71,10000,14:45:00,4.54,stop,-464.00,-1.01,False,,0,0.00
HUHU,2025-04-16,10:38:00,3.60,3.58,3.65,10000,10:39:00,3.65,target,500.00,1.39,False,,0,0.00
BCTX,2025-04-17,09:42:00,4.27,4.20,4.44,10000,09:46:00,4.44,target,1750.00,4.10,False,,0,0.00
TVRD,2025-04-17,10:41:00,19.01,18.80,19.54,9523,10:43:00,19.54,target,4999.58,2.76,False,,0,0.00
WTF,2025-04-21,10:16:00,7.65,7.58,7.83,10000,10:17:00,7.58,stop,-700.00,-0.92,False,,0,0.00
UPC,2025-04-22,11:17:00,3.92,3.82,4.17,10000,11:42:00,3.82,stop,-1000.00,-2.55,False,,0,0.00
WTF,2025-04-22,09:56:00,7.58,7.44,7.93,10000,10:24:00,7.44,stop,-1388.00,-1.83,False,,0,0.00
MIND,2025-04-23,09:55:00,7.00,6.97,7.10,10000,09:59:00,6.97,stop,-400.00,-0.57,False,,0,0.00
MSGM,2025-04-23,10:03:00,2.35,2.33,2.41,10000,10:04:00,2.41,target,625.00,2.66,False,,0,0.00
SCLX,2025-04-23,10:24:00,4.58,4.55,4.65,10000,10:37:00,4.65,target,747.50,1.63,False,,0,0.00
SNOA,2025-04-23,15:00:00,3.99,3.91,4.19,10000,15:14:00,3.91,stop,-800.00,-2.01,False,,0,0.00
ECOR,2025-04-24,10:26:00,7.13,7.04,7.35,10000,10:39:00,7.04,stop,-900.00,-1.26,False,,0,0.00
ELAB,2025-04-25,11:13:00,2.68,2.55,3.01,10000,11:20:00,2.55,stop,-1339.95,-5.00,False,,0,0.00
ULY,2025-04-25,14:43:00,5.63,5.60,5.71,10000,14:51:00,5.60,stop,-300.00,-0.53,False,,0,0.00
WTO,2025-04-25,11:23:00,2.09,2.06,2.16,10000,11:24:00,2.06,stop,-299.00,-1.43,False,,0,0.00
UPC,2025-04-28,14:32:00,6.49,6.27,7.04,9090,14:34:00,6.27,stop,-1999.80,-3.39,False,,0,0.00
COEP,2025-04-29,11:04:00,11.15,11.04,11.42,10000,11:05:00,11.04,stop,-1100.00,-0.99,False,,0,0.00
AEYE,2025-04-30,09:43:00,11.22,10.74,12.42,4166,14:48:00,10.74,stop,-1999.68,-4.28,False,,0,0.00
DFSC,2025-04-30,10:34:00,4.39,4.32,4.58,10000,14:01:00,4.32,stop,-743.00,-1.69,False,,0,0.00
RAY,2025-04-30,11:17:00,2.29,2.23,2.44,10000,11:57:00,2.44,target,1477.50,6.45,False,,0,0.00
ABTS,2025-05-01,10:29:00,2.84,2.78,2.99,10000,11:11:00,2.78,stop,-600.00,-2.11,False,,0,0.00
CRVO,2025-05-01,14:17:00,11.02,10.88,11.37,10000,14:18:00,10.88,stop,-1400.00,-1.27,False,,0,0.00
KIDZ,2025-05-01,11:09:00,3.76,3.63,4.08,10000,11:11:00,4.08,target,3250.00,8.64,False,,0,0.00
RYM,2025-05-01,14:23:00,16.98,16.53,18.11,4444,14:25:00,16.53,stop,-1999.80,-2.65,False,,0,0.00
DFSC,2025-05-02,11:30:00,5.04,4.86,5.49,10000,11:43:00,5.49,target,4500.00,8.93,False,,0,0.00
DOMH,2025-05-02,11:13:00,5.55,5.48,5.74,10000,11:16:00,5.48,stop,-740.00,-1.33,False,,0,0.00
LGCY,2025-05-02,11:27:00,7.00,6.92,7.20,10000,15:59:00,7.11,force_close,1100.00,1.57,False,,0,0.00
VEL,2025-05-02,10:08:00,17.77,17.59,18.23,10000,10:50:00,17.59,stop,-1800.00,-1.01,False,,0,0.00
KIDZ,2025-05-05,11:04:00,6.18,6.12,6.33,10000,11:09:00,6.12,stop,-598.00,-0.97,False,,0,0.00
PHOE,2025-05-05,11:12:00,2.45,2.39,2.59,10000,15:46:00,2.52,force_close,700.00,2.86,False,,0,0.00
UUU,2025-05-05,09:50:00,2.22,2.16,2.37,10000,09:52:00,2.16,stop,-600.00,-2.70,False,,0,0.00
WYY,2025-05-05,09:47:00,5.28,5.22,5.42,10000,09:48:00,5.22,stop,-560.00,-1.06,False,,0,0.00
KIDZ,2025-05-06,10:00:00,6.55,6.49,6.70,10000,10:01:00,6.49,stop,-600.00,-0.92,False,,0,0.00
SCOR,2025-05-06,15:00:00,5.45,5.42,5.54,10000,15:32:00,5.54,target,875.00,1.61,False,,0,0.00
KIDZ,2025-05-07,10:09:00,5.95,5.89,6.08,10000,10:10:00,5.89,stop,-550.00,-0.93,False,,0,0.00
LCFY,2025-05-07,09:49:00,5.40,5.19,5.94,9302,09:50:00,5.19,stop,-1999.93,-3.98,False,,0,0.00
LFVN,2025-05-07,09:49:00,10.35,10.23,10.65,10000,10:01:00,10.23,stop,-1198.00,-1.16,False,,0,0.00
RAIN,2025-05-07,10:12:00,5.36,5.25,5.63,10000,10:16:00,5.25,stop,-1100.00,-2.05,False,,0,0.00
CLNN,2025-05-09,09:55:00,2.89,2.78,3.16,10000,09:56:00,2.78,stop,-1090.00,-3.77,False,,0,0.00
ELPW,2025-05-09,14:38:00,4.50,4.46,4.61,10000,14:42:00,4.61,target,1125.00,2.50,False,,0,0.00
NTHI,2025-05-09,14:12:00,7.87,7.72,8.24,10000,14:27:00,7.72,stop,-1500.00,-1.91,False,,0,0.00
BGLC,2025-05-12,10:25:00,2.83,2.80,2.90,10000,10:28:00,2.80,stop,-280.00,-0.99,False,,0,0.00
CPIX,2025-05-12,09:38:00,5.24,5.22,5.31,10000,09:41:00,5.31,target,682.50,1.30,False,,0,0.00
MCRB,2025-05-12,09:54:00,7.77,7.63,8.12,10000,15:47:00,7.83,force_close,650.00,0.84,False,,0,0.00
NTHI,2025-05-12,11:27:00,7.19,7.04,7.57,10000,11:40:00,7.04,stop,-1500.00,-2.09,False,,0,0.00
STI,2025-05-12,10:43:00,4.12,4.09,4.18,10000,10:44:00,4.09,stop,-250.00,-0.61,False,,0,0.00
VVPR,2025-05-12,10:43:00,4.67,4.54,4.99,10000,10:48:00,4.54,stop,-1292.00,-2.77,False,,0,0.00
CDIO,2025-05-13,09:38:00,4.86,4.79,5.02,10000,09:43:00,5.02,target,1625.00,3.35,False,,0,0.00
CDIO,2025-05-14,10:50:00,4.70,4.65,4.84,10000,10:53:00,4.65,stop,-527.00,-1.12,False,,0,0.00
KIDZ,2025-05-14,10:05:00,3.37,3.33,3.47,10000,10:06:00,3.33,stop,-399.00,-1.18,False,,0,0.00
MAXN,2025-05-14,10:25:00,4.15,4.06,4.38,10000,11:06:00,4.06,stop,-900.00,-2.17,False,,0,0.00
LICN,2025-05-16,10:08:00,6.20,6.11,6.42,10000,10:22:00,6.42,target,2250.00,3.63,False,,0,0.00
ALZN,2025-05-19,10:34:00,3.50,3.42,3.70,10000,15:50:00,3.59,force_close,900.00,2.57,False,,0,0.00
NRXS,2025-05-20,14:40:00,3.73,3.70,3.80,10000,14:41:00,3.80,target,747.50,2.00,False,,0,0.00
KOSS,2025-05-21,10:18:00,6.16,6.05,6.43,10000,10:25:00,6.05,stop,-1065.00,-1.73,False,,0,0.00
BGLC,2025-05-27,10:36:00,2.96,2.91,3.07,10000,11:57:00,3.07,target,1137.50,3.85,False,,0,0.00
CREX,2025-05-27,14:54:00,3.43,3.40,3.52,10000,15:46:00,3.46,force_close,281.00,0.82,False,,0,0.00
IMNN,2025-05-27,14:26:00,2.00,1.93,2.18,10000,14:31:00,1.93,stop,-700.00,-3.50,False,,0,0.00
PULM,2025-05-27,09:42:00,7.48,7.32,7.88,10000,10:21:00,7.88,target,4000.00,5.35,False,,0,0.00
QVCGA,2025-05-27,10:05:00,3.95,3.93,4.00,10000,10:13:00,4.00,target,525.00,1.33,False,,0,0.00
VATE,2025-05-27,10:53:00,7.90,7.80,8.15,10000,10:56:00,7.80,stop,-1000.00,-1.27,False,,0,0.00
MB,2025-05-28,11:07:00,4.65,4.61,4.75,10000,12:21:00,4.61,stop,-392.00,-0.84,False,,0,0.00
LPA,2025-05-29,11:13:00,9.27,9.10,9.71,10000,11:14:00,9.10,stop,-1750.00,-1.89,False,,0,0.00
PLAG,2025-05-29,09:52:00,2.10,2.06,2.20,10000,09:57:00,2.20,target,1000.00,4.76,False,,0,0.00
QVCGA,2025-05-29,14:44:00,4.95,4.89,5.10,10000,14:56:00,4.89,stop,-600.00,-1.21,False,,0,0.00
IMNN,2025-05-30,09:40:00,2.53,2.40,2.85,10000,09:44:00,2.40,stop,-1265.00,-5.00,False,,0,0.00
QNTM,2025-05-30,10:05:00,13.66,13.55,13.93,10000,10:06:00,13.55,stop,-1100.00,-0.81,False,,0,0.00
ROLR,2025-05-30,09:49:00,3.80,3.73,3.96,10000,09:50:00,3.73,stop,-650.00,-1.71,False,,0,0.00
