Universe: 610 stocks, Volume profiles: 896 stocks
2026-03-14 22:13:00,360 [WARNING] trading.trade_planner: WKEY: fixed_risk shares 18518 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:00,533 [WARNING] trading.trade_planner: XXII: fixed_risk shares 33277 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:00,533 [WARNING] trading.trade_planner: XXII: fixed_risk shares 22197 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:01,689 [WARNING] trading.trade_planner: DCOY: fixed_risk shares 15384 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:01,713 [WARNING] trading.trade_planner: DCOY: fixed_risk shares 24999 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:01,785 [WARNING] trading.trade_planner: ECOR: fixed_risk shares 16000 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:03,206 [WARNING] backtest: MTEX: Only 4 bars, need at least 6 for setup detection
2026-03-14 22:13:03,397 [WARNING] trading.trade_planner: OKUR: fixed_risk shares 33112 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:04,303 [WARNING] trading.trade_planner: ROLR: fixed_risk shares 12499 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:04,446 [WARNING] trading.trade_planner: SPCB: fixed_risk shares 11890 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:04,716 [WARNING] trading.trade_planner: TRAW: fixed_risk shares 29673 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:05,137 [WARNING] trading.trade_planner: XXII: fixed_risk shares 33333 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:05,175 [WARNING] trading.trade_planner: ZBAI: fixed_risk shares 80000 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:05,247 [WARNING] trading.trade_planner: AENT: fixed_risk shares 26666 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:05,251 [WARNING] trading.trade_planner: AENT: fixed_risk shares 28571 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:07,136 [WARNING] trading.trade_planner: NTRP: fixed_risk shares 11764 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:07,138 [WARNING] trading.trade_planner: NTRP: fixed_risk shares 13333 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:07,806 [WARNING] trading.trade_planner: SDST: fixed_risk shares 99502 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:07,920 [WARNING] trading.trade_planner: SPCB: fixed_risk shares 12330 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:08,125 [WARNING] trading.trade_planner: STFS: fixed_risk shares 26666 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:09,020 [WARNING] trading.trade_planner: AENT: fixed_risk shares 22222 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:09,031 [WARNING] trading.trade_planner: AENT: fixed_risk shares 16000 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:09,510 [WARNING] trading.trade_planner: COEP: fixed_risk shares 39920 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:09,510 [WARNING] trading.trade_planner: COEP: fixed_risk shares 39999 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:09,864 [WARNING] trading.trade_planner: DCOY: fixed_risk shares 56980 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:10,171 [WARNING] trading.trade_planner: INDO: fixed_risk shares 49999 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:10,178 [WARNING] trading.trade_planner: INDO: fixed_risk shares 62111 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:10,416 [WARNING] trading.trade_planner: JYD: fixed_risk shares 36363 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:10,560 [WARNING] trading.trade_planner: LSE: fixed_risk shares 20942 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:11,421 [WARNING] trading.trade_planner: SMX: fixed_risk shares 53050 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:12,894 [WARNING] backtest: APLM: Only 5 bars, need at least 6 for setup detection
2026-03-14 22:13:13,482 [WARNING] trading.trade_planner: COEP: fixed_risk shares 13793 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:14,851 [WARNING] trading.trade_planner: PCLA: fixed_risk shares 86956 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:14,917 [WARNING] trading.trade_planner: PODC: fixed_risk shares 28409 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:15,480 [WARNING] trading.trade_planner: SMX: fixed_risk shares 12714 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:15,805 [WARNING] trading.trade_planner: SPHL: fixed_risk shares 28735 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:15,805 [WARNING] trading.trade_planner: SPHL: fixed_risk shares 24844 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:16,224 [WARNING] trading.trade_planner: XXII: fixed_risk shares 20000 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:16,237 [WARNING] trading.trade_planner: XXII: fixed_risk shares 21052 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:16,965 [WARNING] trading.trade_planner: DCOY: fixed_risk shares 49999 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:17,572 [WARNING] trading.trade_planner: KLRS: fixed_risk shares 25510 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:17,572 [WARNING] trading.trade_planner: KLRS: fixed_risk shares 21413 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:18,157 [WARNING] backtest: NRXS: Only 4 bars, need at least 6 for setup detection
2026-03-14 22:13:19,505 [WARNING] trading.trade_planner: WKEY: fixed_risk shares 22222 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:20,852 [WARNING] trading.trade_planner: DWTX: fixed_risk shares 24999 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:21,244 [WARNING] trading.trade_planner: INDO: fixed_risk shares 25062 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:21,760 [WARNING] trading.trade_planner: MARPS: fixed_risk shares 33388 exceeds max_shares 10000, capping (risk budget distorted)
