symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry,ke,kx,sp_e,sp_x,ex_shares,R_dollar,pnl_meas,covd,R_booked,R_meas,pct_booked,pct_meas,half
WHLR,2025-03-31,10:44:00,3.51,3.42,3.68,26000.0,10:57:00,3.41,stop,-2577.08,-2.82,False,,0,0.0,21.98,2546969,5.06,-7.27,False,0.06,3,6.11,5.61,2.6,1.0,0.3,0.3,0.3,0.3,0.2,2.6,1.561,0.2,0.0,20.89,0.482,1.561,,"('2025-03-31', 'WHLR', 644)","('2025-03-31', 'WHLR', 657)",0.1699999999999999,,26000.0,2339.9999999999964,-4333.050149253744,False,-1.101316239316241,-1.8517308330144235,-2.8238877931185624,-4.748027776960053,H1-25
TNXP,2025-04-07,09:56:00,17.19,16.82,17.89,9999.0,09:58:00,17.47,trail_stop,2819.4,1.64,False,,0,0.0,28.43,1700591,8.17,-6.97,False,-0.19,3,7.95,7.94,3.0,1.8,0.3,0.3,0.3,0.3,0.0,3.4,2.831,0.2,0.0,21.74,2.259,2.831,,"('2025-04-07', 'TNXP', 596)","('2025-04-07', 'TNXP', 598)",0.2199999999999988,0.2100000000000008,9999.0,3699.63000000001,2048.8009482089515,True,0.76207620762076,0.5537853645388717,1.6403036464204883,1.1919754792285226,H1-25
FATN,2025-04-16,10:05:00,7.99,7.84,8.25,18000.0,10:21:00,8.38,exhaust+trail_stop,6421.82,4.47,False,,0,0.0,43.65,2650064,6.29,-13.14,False,,2,5.15,5.92,3.0,1.8,0.3,0.3,0.3,0.3,0.2,3.6,2.098,0.2,0.0,23.51,2.773,2.098,,"('2025-04-16', 'FATN', 605)","('2025-04-16', 'FATN', 621)",0.0899999999999998,0.2300000000000004,18000.0,2700.0000000000064,4709.862388059687,True,2.378451851851846,1.7443934770591392,4.465178695591711,3.2748313086216707,H1-25
CPS,2025-05-02,09:52:00,19.79,18.99,21.54,10106.0,13:01:00,21.57,exhaust+trail_stop,19869.24,9.94,False,,0,0.0,32.22,378777,6.28,11.3,False,0.01,2,17.19,5.63,2.3,1.8,0.0,0.3,0.3,0.3,0.2,2.3,1.714,0.2,0.0,29.27,0.556,1.714,,"('2025-05-02', 'CPS', 592)","('2025-05-02', 'CPS', 781)",0.2199999999999988,0.1199999999999974,10106.0,8084.8000000000075,19800.19289184079,True,2.457604393429644,2.4490640327331255,9.934732262474567,9.900208318274393,H1-25
TSSI,2025-05-16,09:57:00,13.92,13.49,14.84,14367.0,10:06:00,14.72,trail_stop,11441.55,5.72,False,,0,0.0,31.83,947907,3.84,46.56,False,-0.09,2,8.02,4.25,1.8,1.8,0.3,0.0,0.3,0.0,0.0,1.8,0.888,0.2,0.0,56.14,0.706,0.888,,"('2025-05-16', 'TSSI', 597)","('2025-05-16', 'TSSI', 606)",0.0499999999999989,0.0600000000000005,14367.0,6177.809999999996,12280.780078208956,True,1.852039800511833,1.9878856873566788,5.721099958477641,6.140738833070197,H1-25
RYET,2025-05-23,10:14:00,13.09,12.49,14.39,11529.0,10:16:00,12.45,stop,-7355.78,-4.87,False,,0,0.0,23.23,1187461,0.83,-4.14,False,0.06,2,7.32,1.46,2.2,1.8,0.3,-0.3,0.0,0.0,0.2,2.2,1.167,0.0,0.0,21.75,0.896,1.167,,"('2025-05-23', 'RYET', 614)","('2025-05-23', 'RYET', 616)",0.25,0.4750000000000005,11529.0,6917.399999999996,-10353.615394776129,True,-1.0633735218434677,-1.4967495583277148,-4.874133789962417,-6.860578571402814,H1-25
FMST,2025-05-28,09:42:00,3.72,3.55,4.09,20000.0,09:53:00,3.9,trail_stop,3635.28,4.89,False,,0,0.0,33.54,832094,7.47,9.26,False,0.03,3,13.3,7.65,1.8,2.0,0.0,0.0,0.3,0.3,0.0,1.8,1.401,0.2,0.0,15.05,2.791,1.401,,"('2025-05-28', 'FMST', 582)","('2025-05-28', 'FMST', 593)",0.02,0.0499999999999998,20000.0,3400.0000000000073,3539.429253731344,True,1.0691999999999977,1.0410086040386284,4.886129032258064,4.757297384047505,H1-25
NEGG,2025-06-09,10:25:00,13.57,13.1,14.57,14738.0,10:28:00,13.92,trail_stop,5167.55,2.58,False,,0,0.0,67.79,931289,9.85,0.0,False,-0.01,3,7.55,9.8,1.8,1.0,0.3,0.0,0.3,0.0,0.0,1.8,0.808,0.2,0.0,29.81,1.339,0.808,,"('2025-06-09', 'NEGG', 625)","('2025-06-09', 'NEGG', 628)",0.1600000000000001,0.1900000000000012,14738.0,6926.86000000001,4198.8571884576795,True,0.746016232463193,0.6061703554651998,2.583843988634497,2.099484650469007,H1-25
AGIG,2025-06-16,09:52:00,11.33,10.82,12.45,13043.0,09:54:00,10.79,stop,-7038.36,-4.76,False,,0,0.0,45.19,2104276,1.9,-11.31,False,0.09,3,17.98,2.32,2.3,1.8,0.0,0.0,0.3,0.0,0.0,2.3,0.914,0.0,0.0,43.39,0.706,0.914,,"('2025-06-16', 'AGIG', 592)","('2025-06-16', 'AGIG', 594)",0.1100000000000012,0.0099999999999997,13043.0,6651.929999999998,-6663.528189502498,True,-1.0580929143872533,-1.001743582614745,-4.762818943843769,-4.5091723489278,H1-25
EGG,2025-07-09,09:57:00,7.19,6.96,7.66,18000.0,09:59:00,7.49,trail_stop,5405.37,4.18,False,,0,0.0,141.39,1142215,7.42,-4.17,False,0.02,2,7.89,6.96,2.3,1.8,0.3,0.0,0.3,-0.5,0.0,2.3,0.678,0.2,0.0,24.52,1.473,0.678,,"('2025-07-09', 'EGG', 597)","('2025-07-09', 'EGG', 599)",0.1299999999999999,0.08,18000.0,4140.000000000007,4563.710597014924,True,1.3056449275362296,1.102345554834521,4.176611033843301,3.526279243559669,H2-25
SDM,2025-08-07,10:18:00,10.74,10.37,11.54,12000.0,10:22:00,11.33,trail_stop,6989.64,5.42,False,,0,0.0,37.09,752520,7.92,-1.87,False,-0.07,2,6.53,7.71,2.5,1.8,0.3,0.0,0.0,0.0,0.0,2.5,0.878,0.2,0.0,25.47,1.548,0.878,,"('2025-08-07', 'SDM', 618)","('2025-08-07', 'SDM', 622)",0.200000000000001,0.5400000000000009,12000.0,4440.000000000012,3598.714029850729,True,1.5742432432432392,0.8105211778943061,5.423370577281192,2.7922982851107454,H2-25
FABC,2025-09-11,09:53:00,4.84,4.69,5.17,6829.0,10:10:00,5.05,trail_stop,1438.8,4.35,False,,0,0.0,37.87,341498,3.71,-4.21,False,0.01,3,14.75,3.82,2.5,1.0,0.0,0.3,0.3,-0.5,0.2,2.5,0.523,0.2,0.0,23.33,1.965,0.523,,"('2025-09-11', 'FABC', 593)","('2025-09-11', 'FABC', 610)",0.1200000000000001,0.0899999999999998,6829.0,1024.3499999999963,989.6539519900441,True,1.4045980377800606,0.9661287177137187,4.353093092293561,2.994200571426803,H2-25
SBLX,2025-09-11,09:53:00,4.84,4.69,5.17,6829.0,10:10:00,5.05,trail_stop,1438.8,4.35,False,,0,0.0,37.87,341498,3.71,-4.21,False,0.01,3,14.75,3.82,2.5,1.0,0.0,0.3,0.3,-0.5,0.2,2.5,0.523,0.2,0.0,23.33,1.965,0.523,,"('2025-09-11', 'SBLX', 593)","('2025-09-11', 'SBLX', 610)",0.1200000000000001,0.0899999999999998,6829.0,1024.3499999999963,989.6539519900441,True,1.4045980377800606,0.9661287177137187,4.353093092293561,2.994200571426803,H2-25
AQMS,2025-10-13,09:39:00,6.83,6.61,7.32,18000.0,09:45:00,7.16,trail_stop,5940.78,4.83,False,,0,0.0,108.19,2592400,2.2,12.19,False,0.01,2,6.61,2.17,1.8,1.8,0.3,0.0,0.0,0.3,0.0,1.8,1.502,0.2,0.0,20.14,2.138,1.502,,"('2025-10-13', 'AQMS', 579)","('2025-10-13', 'AQMS', 585)",0.0900000000000007,0.1200000000000001,18000.0,3959.9999999999955,5049.061791044764,True,1.5001969696969712,1.2750156037991842,4.832259638848218,4.106931666703078,H2-25
IPDN,2025-10-13,09:57:00,3.62,3.46,3.98,18000.0,10:48:00,4.02,exhaust+trail_stop,7649.24,11.75,False,,0,0.0,43.15,2643889,8.58,-1.35,False,0.01,2,6.71,5.56,2.5,1.8,0.3,-0.3,0.0,0.3,0.0,2.5,1.502,0.2,0.0,23.29,5.937,1.502,,"('2025-10-13', 'IPDN', 597)","('2025-10-13', 'IPDN', 648)",0.05,0.0599999999999996,18000.0,2880.0000000000027,7200.49910447761,True,2.6559861111111087,2.500173300165834,11.73916513198281,11.050489724489886,H2-25
DFNS,2025-10-16,09:38:00,15.28,14.86,16.13,10000.0,09:52:00,14.82,stop,-4605.8,-3.02,False,,0,0.0,24.72,2763531,2.3,8.7,False,0.04,3,8.23,2.62,2.4,2.0,0.3,0.3,0.3,0.3,0.0,2.4,1.489,0.2,0.0,15.93,1.689,1.489,,"('2025-10-16', 'DFNS', 578)","('2025-10-16', 'DFNS', 592)",0.1799999999999997,0.0899999999999998,10000.0,4199.999999999999,-4751.000995024898,True,-1.0966190476190478,-1.1311907131011665,-3.0142670157068063,-3.109293844911582,H2-25
DTCK,2025-11-05,09:45:00,4.49,4.39,4.69,26000.0,09:47:00,4.56,trail_stop,1662.44,1.42,False,,0,0.0,62.38,2274726,1.74,-3.14,False,0.03,3,5.84,2.22,2.6,1.0,0.3,0.3,0.0,0.0,0.0,2.6,0.84,0.0,0.0,22.09,1.019,0.84,,"('2025-11-05', 'DTCK', 585)","('2025-11-05', 'DTCK', 587)",0.0099999999999997,0.04,26000.0,2600.0000000000136,1948.916019900498,True,0.6393999999999966,0.7495830845771106,1.424053452115813,1.669450077009164,H2-25
AREN,2025-11-14,09:46:00,3.86,3.65,4.24,8235.0,12:19:00,4.43,exhaust+trail_stop,4393.89,13.81,False,,0,0.0,46.67,228795,12.24,-11.25,False,-0.07,3,13.65,14.03,2.7,1.8,0.0,0.0,0.3,0.0,0.2,2.7,0.948,0.2,0.0,22.06,0.211,0.948,,"('2025-11-14', 'AREN', 586)","('2025-11-14', 'AREN', 739)",0.1600000000000001,0.0599999999999996,8235.0,1729.3499999999997,3755.6279261194013,True,2.5407754358574035,2.1716991506169383,13.822871542229398,11.814943565532564,H2-25
PAAI,2025-11-14,09:46:00,3.86,3.65,4.24,4575.0,12:19:00,4.43,exhaust+trail_stop,2441.07,13.81,False,,0,0.0,46.67,228795,12.35,-13.75,False,-0.07,3,13.65,14.14,2.7,1.0,0.0,0.0,0.3,0.0,0.2,2.7,0.948,0.2,0.0,22.06,0.211,0.948,,"('2025-11-14', 'PAAI', 586)","('2025-11-14', 'PAAI', 739)",0.1600000000000001,0.0599999999999996,4575.0,960.7499999999999,2086.4799589552226,True,2.540796252927401,2.171719967686935,13.822984795719018,11.815056819022184,H2-25
VELO,2025-11-20,09:46:00,4.92,4.74,5.32,20000.0,10:36:00,5.16,trail_stop,4799.2,4.87,False,,0,0.0,25.35,578889,3.54,4.58,False,,3,12.34,4.05,1.8,2.0,0.0,0.3,0.0,0.3,0.0,1.8,1.486,0.2,0.0,17.83,0.029,1.486,,"('2025-11-20', 'VELO', 586)","('2025-11-20', 'VELO', 636)",0.1000000000000005,0.0899999999999998,20000.0,3599.9999999999945,3698.352238805958,True,1.3331111111111131,1.02732006633499,4.877235772357723,3.758488047567031,H2-25
PHGE,2025-12-08,08:58:00,3.2,3.09,3.34,20000.0,09:01:00,3.08,stop,-2303.4,-3.6,False,,0,0.0,35.9,681064,6.77,-44.68,False,-0.03,2,8.19,8.29,1.8,2.0,0.3,0.3,0.3,-0.5,0.2,1.8,0.639,0.2,0.0,18.91,2.235,0.639,,"('2025-12-08', 'PHGE', 538)","('2025-12-08', 'PHGE', 541)",0.175,0.165,20000.0,2200.0000000000064,-5200.192039801002,True,-1.046999999999997,-2.363723654454994,-3.5990624999999996,-8.125300062189066,H2-25
KZIA,2025-12-23,10:36:00,8.12,7.76,8.93,10251.0,10:51:00,9.29,exhaust+trail_stop,10966.85,13.17,False,,0,0.0,49.02,284764,5.48,-0.9,False,0.19,3,15.4,5.64,2.3,1.8,0.0,0.3,0.3,-0.5,0.0,2.3,0.75,0.2,0.0,49.02,9.967,0.75,,"('2025-12-23', 'KZIA', 636)","('2025-12-23', 'KZIA', 651)",0.1450000000000004,0.3399999999999998,10251.0,3690.359999999994,9180.79787,True,2.971756143032121,2.4877783928939223,13.175273540536475,11.0295593773622,H2-25
KXIN,2025-12-29,10:15:00,5.2,4.96,5.65,18000.0,10:17:00,5.18,post_fill_exit,-280.58,-0.3,False,,0,0.0,20.84,1456492,5.67,-13.95,False,0.01,3,5.4,,2.2,1.8,0.3,-0.3,0.3,-0.5,0.2,2.2,0.473,0.2,0.0,20.84,0.331,0.473,,"('2025-12-29', 'KXIN', 615)","('2025-12-29', 'KXIN', 617)",0.1999999999999993,0.2099999999999999,18000.0,4320.000000000004,-3504.9083582089524,True,-0.06494907407407402,-0.8113213792150346,-0.2997649572649573,-3.7445602117617014,H2-25
KXIN,2025-12-29,10:19:00,5.2,4.96,5.71,18000.0,10:32:00,4.95,stop,-4455.71,-4.76,False,,0,0.0,20.84,1456492,6.28,-13.95,False,0.01,3,5.4,6.75,2.2,1.8,0.3,-0.3,0.3,-0.5,0.2,2.2,0.473,0.2,0.0,20.84,3.48,0.473,,"('2025-12-29', 'KXIN', 619)","('2025-12-29', 'KXIN', 632)",0.2000000000000001,0.1699999999999999,18000.0,4320.000000000004,-7052.738358208952,True,-1.031414351851851,-1.6325783236594784,-4.760373931623932,-7.534976878428368,H2-25
VELO,2026-01-06,09:49:00,17.1,16.64,17.85,10000.0,10:08:00,17.25,trail_stop,1530.5,0.9,False,,0,0.0,32.0,1889690,4.9,2.81,False,0.06,2,7.64,5.78,1.8,2.0,0.3,0.3,0.3,-0.5,0.2,1.8,0.77,0.2,0.0,16.2,0.621,0.77,,"('2026-01-06', 'VELO', 589)","('2026-01-06', 'VELO', 608)",0.3399999999999998,0.3199999999999985,10000.0,4600.000000000008,-401.2537313432815,True,0.33271739130434724,-0.087229072031148,0.895029239766082,-0.234651304879112,VAL
BNRG,2026-01-27,10:00:00,3.19,3.03,3.5,18000.0,14:18:00,3.31,trail_stop,2300.03,4.01,False,,0,0.0,29.24,926502,0.09,-1.95,False,0.0,2,5.17,0.85,1.8,1.8,0.3,-0.3,0.3,-0.5,0.0,1.8,0.592,0.0,0.0,29.24,4.235,0.592,,"('2026-01-27', 'BNRG', 600)","('2026-01-27', 'BNRG', 858)",0.1,0.07,18000.0,2880.0000000000027,1234.4416417910395,True,0.7986215277777771,0.42862557006633273,4.005625217694184,2.1498461194549625,VAL
BRNX,2026-01-27,10:00:00,3.19,3.03,3.5,18000.0,14:18:00,3.31,trail_stop,2300.03,4.01,False,,0,0.0,29.24,926502,0.09,-1.95,False,0.0,2,5.17,0.85,1.8,1.8,0.3,-0.3,0.3,-0.5,0.0,1.8,0.592,0.0,0.0,29.24,4.235,0.592,,"('2026-01-27', 'BRNX', 600)","('2026-01-27', 'BRNX', 858)",0.1,0.07,18000.0,2880.0000000000027,1234.4416417910395,True,0.7986215277777771,0.42862557006633273,4.005625217694184,2.1498461194549625,VAL
KPTI,2026-02-12,09:46:00,7.81,7.51,8.46,14947.0,10:07:00,8.5,trail_stop,10396.54,8.91,False,,0,0.0,47.92,415232,6.7,-11.8,False,0.0,2,6.48,5.67,2.5,1.8,0.3,-0.3,0.3,0.0,0.0,2.5,0.985,0.2,0.0,22.36,2.246,0.985,,"('2026-02-12', 'KPTI', 586)","('2026-02-12', 'KPTI', 607)",0.0600000000000005,0.0700000000000002,14947.0,4484.099999999998,10386.909967661677,True,2.3185343770210314,2.316386781664477,8.906021934779886,8.897772528800804,VAL
DBGI,2026-02-17,10:23:00,5.66,5.48,6.03,18000.0,10:26:00,5.46,stop,-3482.72,-3.42,False,,0,0.0,23.75,767334,6.37,6.47,False,0.07,3,6.06,6.89,1.8,1.8,0.3,0.0,0.0,0.3,0.0,1.8,1.55,0.2,0.0,25.56,0.051,1.55,,"('2026-02-17', 'DBGI', 623)","('2026-02-17', 'DBGI', 626)",0.0999999999999996,0.0999999999999996,18000.0,3239.999999999995,-4481.014328358209,True,-1.0749135802469152,-1.3830291136908075,-3.418453082057322,-4.398325803256978,VAL
ADVB,2026-02-24,10:42:00,4.88,4.72,5.23,15292.0,10:48:00,4.71,stop,-2729.01,-3.65,False,,0,0.0,57.61,424841,7.11,-0.49,False,-0.02,3,9.75,6.32,2.7,1.8,0.0,0.0,0.3,0.0,0.2,2.7,1.106,0.2,0.0,20.3,1.66,1.106,,"('2026-02-24', 'ADVB', 642)","('2026-02-24', 'ADVB', 648)",0.1100000000000003,0.1299999999999999,15292.0,2446.720000000002,-3976.7055822885554,True,-1.1153748692126593,-1.6253210756803198,-3.6569667843038047,-5.328921559607611,VAL
LAW,2026-02-25,10:02:00,3.1,2.96,3.4,17816.0,11:07:00,2.95,stop,-2627.33,-4.76,False,,0,0.0,30.2,494942,13.01,-12.27,False,0.11,3,10.81,12.1,2.4,1.8,0.0,-0.3,0.0,0.3,0.2,2.4,1.288,0.2,0.0,25.71,1.998,1.288,,"('2026-02-25', 'LAW', 602)","('2026-02-25', 'LAW', 667)",0.0300000000000002,0.04,17816.0,2494.240000000002,-2818.4442706467776,True,-1.0533589389954445,-1.1299811849087398,-4.757104885785883,-5.103140835071732,VAL
ANPA,2026-02-27,10:14:00,11.04,10.55,12.14,12000.0,10:16:00,10.52,stop,-6314.41,-4.76,False,,0,0.0,36.84,539950,3.6,-1.48,False,0.05,2,15.2,4.1,2.5,1.8,0.0,0.0,0.3,0.0,0.0,2.5,1.018,0.2,0.0,36.84,0.441,1.018,,"('2026-02-27', 'ANPA', 614)","('2026-02-27', 'ANPA', 616)",0.5500000000000007,0.5300000000000002,12000.0,5879.999999999981,-11756.585522388072,True,-1.0738792517006837,-1.9994193065285901,-4.7663118961352655,-8.874234240933026,VAL
QCLS,2026-03-06,10:20:00,3.97,3.79,4.36,6560.0,10:39:00,4.11,trail_stop,917.64,3.52,False,,0,0.0,45.76,328015,4.82,-2.59,False,-0.08,2,7.5,5.24,2.5,1.0,0.3,-0.3,0.0,0.3,0.0,2.5,1.5,0.2,0.0,20.87,0.859,1.5,,"('2026-03-06', 'QCLS', 620)","('2026-03-06', 'QCLS', 639)",0.0300000000000002,0.0299999999999993,6560.0,1180.800000000001,931.29295920398,True,0.7771341463414627,0.7886966117919877,3.5235301345456778,3.575954411147555,VAL
EDHL,2026-03-13,10:13:00,3.64,3.51,3.84,8420.0,10:21:00,3.67,trail_stop,301.81,0.99,False,,0,0.0,34.46,210545,3.31,8.67,False,0.12,2,8.78,4.68,2.0,2.0,0.3,0.3,0.0,0.0,0.2,2.0,1.048,0.2,0.0,18.15,0.216,1.048,,"('2026-03-13', 'EDHL', 613)","('2026-03-13', 'EDHL', 621)",0.1,0.1400000000000001,8420.0,1094.6000000000029,-463.40420796020015,True,0.2757262927096649,-0.42335484008788504,0.9847367596773772,-1.5119815717424505,VAL
MKDW,2026-03-26,09:51:00,6.13,5.86,6.73,13352.0,10:11:00,6.69,trail_stop,7506.13,9.17,False,,0,0.0,56.0,370929,5.43,0.38,False,,2,17.99,5.67,2.0,1.8,0.0,0.3,0.3,0.0,0.2,2.0,1.148,0.2,0.0,34.17,0.588,1.148,,"('2026-03-26', 'MKDW', 591)","('2026-03-26', 'MKDW', 611)",0.1000000000000005,0.1399999999999996,13352.0,3605.0399999999945,6579.067426069644,True,2.0821211415129963,1.8249637801715526,9.170843527055597,8.0381765195158,VAL
GLND,2026-04-01,09:47:00,8.22,8.02,8.62,20000.0,10:32:00,7.99,stop,-4498.4,-2.74,False,,0,0.0,22.31,1453348,3.59,-0.57,False,,3,6.79,4.01,2.6,2.0,0.3,0.3,0.3,0.3,0.2,2.6,1.799,0.2,0.0,18.37,1.683,1.799,,"('2026-04-01', 'GLND', 587)","('2026-04-01', 'GLND', 632)",0.0899999999999998,0.0999999999999996,20000.0,4000.0000000000214,-5101.0895522388155,True,-1.1245999999999938,-1.275272388059697,-2.7362530413625303,-3.10285252569271,VAL
TMCR,2026-04-09,09:57:00,11.56,11.21,12.29,11538.0,10:09:00,12.31,exhaust+trail_stop,9761.27,7.32,False,,0,0.0,35.68,588449,0.43,-14.07,False,,2,7.47,0.93,2.6,1.8,0.3,0.0,0.3,0.0,0.0,2.6,0.93,0.0,0.0,21.21,0.547,0.93,,"('2026-04-09', 'TMCR', 597)","('2026-04-09', 'TMCR', 609)",0.8999999999999986,0.5,11538.0,4038.299999999996,2774.34684746268,True,2.4171730678750984,0.6870086044777959,7.318430568825983,2.0800433526576843,VAL
