pop,leg,day,symbol,clock_m,px,sp_mean,sp_med,n_q,err
raw,entry,2025-03-17,HODO,614,5.12,0.031061946902654645,0.020000000000000462,113,
raw,entry,2025-03-17,TBH,614,5.12,0.031061946902654645,0.020000000000000462,113,
raw,entry,2025-03-18,ARQQ,601,21.71,0.19111111111111098,0.17999999999999972,36,
raw,entry,2025-03-18,DOYU,639,8.24,0.05608695652173917,0.055000000000000604,46,
raw,entry,2025-03-19,BGSF,629,4.17,0.21407407407407406,0.21999999999999975,27,
raw,entry,2025-03-19,KBSX,607,3.87,0.06483870967741939,0.050000000000000266,31,
raw,entry,2025-03-20,LSE,624,9.45,0.029374999999999374,0.019999999999999574,16,
raw,entry,2025-03-20,OM,626,10.02,0.22939393939393968,0.2400000000000002,33,
raw,entry,2025-03-20,TITN,584,15.34,0.16116279069767445,0.13000000000000078,43,
raw,entry,2025-03-20,YRD,584,7.49,0.09857142857142824,0.09999999999999964,14,
raw,entry,2025-03-21,CHCI,623,8.14,0.1384615384615381,0.09999999999999964,13,
raw,entry,2025-03-25,CAPS,585,3.04,0.062068965517241295,0.06000000000000005,29,
raw,entry,2025-03-25,ZYBT,612,6.69,0.12250000000000016,0.14000000000000012,8,
raw,entry,2025-03-26,GDHG,618,3.72,0.08225000000000002,0.08000000000000007,40,
raw,entry,2025-03-28,QNTM,616,10.42,0.09187500000000048,0.09499999999999975,64,
raw,entry,2025-03-31,HERE,591,3.96,0.016191780821917866,0.020000000000000018,365,
raw,entry,2025-03-31,WHLR,644,3.51,0.16666666666666666,0.16999999999999993,3,
raw,entry,2025-03-31,ZYBT,603,6.22,0.10127659574468084,0.09999999999999964,47,
raw,entry,2025-04-01,HERE,581,4.86,0.02724637681159425,0.020000000000000462,276,
raw,entry,2025-04-02,VMAR,631,5.98,0.06779999999999996,0.0600000000000005,50,
raw,entry,2025-04-04,NTCL,607,7.14,,,0,
raw,entry,2025-04-07,AMBR,615,10.23,0.23999999999999977,0.2400000000000002,4,
raw,entry,2025-04-07,ARTV,617,3.17,0.06500000000000006,0.08000000000000007,12,
raw,entry,2025-04-07,DXYZ,598,28.29,0.13052631578947277,0.14000000000000057,38,
raw,entry,2025-04-07,ICHR,617,18.98,0.295375000000001,0.28500000000000014,80,
raw,entry,2025-04-07,INSG,619,7.51,0.34250000000000025,0.3450000000000002,12,
raw,entry,2025-04-07,IONX,605,22.52,0.19795154185022013,0.1999999999999993,454,
raw,entry,2025-04-07,OILD,628,21.01,0.13783863804589208,0.14000000000000057,1351,
raw,entry,2025-04-07,RIOX,599,6.91,0.04343478260869557,0.04499999999999993,230,
raw,entry,2025-04-07,SCC,628,13.88,0.033136094674556534,0.030000000000001137,845,
raw,entry,2025-04-07,SMCY,616,20.03,0.2765291262135926,0.26000000000000156,412,
raw,entry,2025-04-07,SOFX,596,6.03,0.03418338108882518,0.040000000000000036,698,
raw,entry,2025-04-07,SOLT,616,9.36,0.07303571428571438,0.05000000000000071,1120,
raw,entry,2025-04-07,TBI,618,5.29,0.051666666666666666,0.04999999999999982,54,
raw,entry,2025-04-07,TNXP,596,17.19,0.20547368421052664,0.21999999999999886,95,
raw,entry,2025-04-07,TTGT,619,9.96,0.10791666666666622,0.129999999999999,48,
raw,entry,2025-04-07,UBRL,618,18.38,0.06048435923309785,0.05999999999999872,991,
raw,entry,2025-04-07,UTSL,620,29.79,0.12551936078672385,0.120000000000001,1627,
raw,entry,2025-04-11,RITR,624,3.29,0.26458333333333334,0.2650000000000001,48,
raw,entry,2025-04-15,PIII,615,9.7,,,0,
raw,entry,2025-04-15,SCLX,576,7.21,0.14999999999999947,0.14999999999999947,7,
raw,entry,2025-04-16,BCTX,624,4.14,0.010000000000000129,0.009999999999999787,13,
raw,entry,2025-04-16,FATN,605,7.99,0.11377049180327874,0.08999999999999986,61,
raw,entry,2025-04-17,UFI,583,5.48,0.060952380952380966,0.04999999999999982,21,
raw,entry,2025-04-21,ELPW,601,4.23,0.08999999999999986,0.08999999999999986,1,
raw,entry,2025-04-21,HTZWW,593,3.67,0.047600000000000156,0.050000000000000266,25,
raw,entry,2025-04-21,KAZR,590,11.57,0.07199999999999954,0.09999999999999964,5,
raw,entry,2025-04-21,SKBL,590,11.57,0.07199999999999954,0.09999999999999964,5,
raw,entry,2025-04-22,HTZWW,584,4.7,0.08577205882352923,0.08999999999999986,272,
raw,entry,2025-04-22,RIOX,582,6.18,0.0389583333333337,0.040000000000000036,192,
raw,entry,2025-04-23,SCLX,630,4.63,0.03500000000000014,0.03500000000000014,4,
raw,entry,2025-04-23,SMCL,578,11.04,0.05496923076923073,0.05999999999999872,2600,
raw,entry,2025-04-24,ALBT,609,3.87,0.23333333333333325,0.23999999999999977,30,
raw,entry,2025-04-24,CHGA,609,3.87,0.23333333333333325,0.23999999999999977,30,
raw,entry,2025-04-28,ZYBT,631,12.19,,,0,
raw,entry,2025-04-30,APPX,612,24.4,0.26219387755102047,0.28000000000000114,196,
raw,entry,2025-04-30,RYET,636,5.82,0.12444444444444411,0.10999999999999943,18,
raw,entry,2025-05-02,AIRS,648,3.11,0.02979079497907948,0.029999999999999805,239,
raw,entry,2025-05-02,CPS,592,19.79,0.2119186046511623,0.21999999999999886,172,
raw,entry,2025-05-02,RYM,581,18.49,0.8480952380952376,0.8899999999999988,42,
raw,entry,2025-05-05,GDEV,605,14.43,1.1440909090909086,1.209999999999999,22,
raw,entry,2025-05-05,GPUS,593,4.28,0.010849187132480106,0.009999999999999787,5782,
raw,entry,2025-05-05,RGTIW,578,3.27,0.03689814814814813,0.03000000000000025,216,
raw,entry,2025-05-07,EPSM,624,16.28,,,0,
raw,entry,2025-05-07,LCFY,589,5.43,0.24833333333333316,0.27999999999999936,30,
raw,entry,2025-05-07,MTEN,616,13.57,,,0,
raw,entry,2025-05-08,LENZ,634,23.94,0.8049999999999997,0.8049999999999997,6,
raw,entry,2025-05-09,BULLW,588,5.83,0.06246575342465742,0.05999999999999961,146,
raw,entry,2025-05-09,MRAL,583,20.37,0.2519607843137269,0.21999999999999886,51,
raw,entry,2025-05-12,CPIX,588,5.49,0.22117647058823528,0.22999999999999954,17,
raw,entry,2025-05-12,JAKK,591,22.71,0.37220338983050966,0.4299999999999997,59,
raw,entry,2025-05-12,RENT,599,4.97,,,0,
raw,entry,2025-05-12,SMCL,577,10.69,0.028702325581395453,0.02999999999999936,2150,
raw,entry,2025-05-12,SOS,598,7.01,0.17653846153846164,0.1800000000000006,78,
raw,entry,2025-05-13,CDIO,578,4.99,,,0,
raw,entry,2025-05-13,RYET,642,12.89,0.15749999999999975,0.17999999999999972,20,
raw,entry,2025-05-13,ZYBT,640,6.91,0.12636363636363634,0.13999999999999968,22,
raw,entry,2025-05-14,GENK,589,4.42,0.09250000000000025,0.0950000000000002,4,
