feat,cov,q1,q2,n0,n1,n2,mu0,mu1,mu2,best,worst,spread,t,half_consistent,val_best,val_worst,val_spread,nv_best,mu_best,mu_worst,wspread,selectable,note
breadth_by_1000,1.0,93.0,139.0,1069.0,1055.0,1042.0,0.03914996541790931,-0.08574510633982642,0.06817649454378624,2.0,1.0,0.15392160088361267,2.726258814444568,True,0.044192334263995055,0.00127887268621951,0.04291346157777554,905.0,0.06817649454378624,-0.08574510633982642,0.15347677556930478,False,
sym_prior_n,1.0,1.0,18.0,1097.0,1020.0,1049.0,0.03764739417503773,-0.011795414651403513,-0.0065183368043196886,0.0,1.0,0.04944280882644124,0.874325384817099,False,0.010723997044607273,-0.1242638905977964,0.13498788764240366,374.0,0.03764739417503773,-0.011795414651403513,0.0508371045846901,False,
sym_prior_meanR,1.0,-0.09045173082924603,0.0,1055.0,1156.0,955.0,0.06108244020908266,-0.0007311144081179847,-0.0431064638816171,0.0,2.0,0.10418890409069977,1.7383407481332085,True,-0.04660706717811894,0.02328973355455781,-0.06989680073267675,595.0,0.06108244020908266,-0.0431064638816171,0.10384324289177677,False,
news_recency_min,0.2161131415858891,,,,,,,,,,,,,,,,,,,,,,insufficient
news_n,1.0,,,,,,,,,,,,,,,,,,,,,,degenerate
entry_m,1.0,608.0,660.0,1082.0,1035.0,1049.0,-0.0349229802938618,-0.23208178115536937,0.28638840927704406,2.0,1.0,0.5184701904324134,9.214774189320734,True,-0.09267160428633867,-0.0867805346197006,-0.005891069666638063,427.0,0.28638840927704406,-0.23208178115536937,0.5182198600706572,True,
rv_profile,1.0,1.8124809821794758,3.0908141098928468,1055.0,1055.0,1056.0,0.14508209763549532,-0.017472791847177493,-0.10624780724320249,0.0,2.0,0.2513299048786978,4.3988513109443135,True,-0.03991480903603227,0.07544337401844213,-0.1153581830544744,567.0,0.14508209763549532,-0.10624780724320249,0.2512300588389318,True,
dist_open_pct,1.0,5.177820497416796,5.56834655069498,1056.0,1055.0,1055.0,-0.03520915088072833,-0.019174708612149916,0.07567802281869265,2.0,0.0,0.11088717369942099,1.9253695751316513,True,0.021229524117953577,-0.021659508300983427,0.042889032418937004,577.0,0.07567802281869265,-0.03520915088072833,0.11143116768747041,False,
gap_pct,1.0,-1.4947245017584934,1.0080645161290256,1055.0,1055.0,1056.0,-0.056950706687176146,0.10561892817388462,-0.02738147775627268,1.0,0.0,0.16256963486106077,2.8755494542150397,False,-0.07781654988281111,0.034835699073542836,-0.11265224895635395,577.0,0.10561892817388462,-0.056950706687176146,0.16224998545967986,False,
prev_range_pct,1.0,6.211989574283219,9.952854897852287,1055.0,1055.0,1056.0,-0.021079487218978326,0.00987077355953568,0.0324387557467476,2.0,0.0,0.05351824296572592,0.9192800035249308,False,0.0325260505976312,-0.10532313656884489,0.1378491871664761,604.0,0.0324387557467476,-0.021079487218978326,0.05403277717934371,False,
dist_20d_high_pct,1.0,-18.134328358208972,-5.410694444444464,1055.0,1055.0,1056.0,-0.04678785115196086,0.0382429136822288,0.02977750207236818,1.0,0.0,0.08503076483418966,1.4949478012371764,True,-0.026496177006253906,-0.028292584586384496,0.0017964075801305893,525.0,0.0382429136822288,-0.04678785115196086,0.0867767342021381,False,
is_wrapper,1.0,,,,,,,,,,,,,,,,,,,,,,insufficient
has_news,1.0,,,,,,,,,,,,,,,,,,,,,,insufficient
above_vwap,1.0,,,,,,,,,,,,,,,,,,,,,,insufficient
n_prior,1.0,,,,,,,,,,,,,,,,,,,,,,degenerate
spy_5m_ret,1.0,0.007524567713579288,0.1089836021595624,1055.0,1056.0,1055.0,-0.05729082934920181,0.017392140295062888,0.0611429933361848,2.0,0.0,0.1184338226853866,2.0960755667092377,True,0.05951601805922562,-0.11500587107660828,0.1745218891358339,423.0,0.0611429933361848,-0.05729082934920181,0.1174277941750338,False,
spy_range3,1.0,0.03706429689378339,0.10090995999009475,1055.0,1055.0,1056.0,-0.01528472967934641,-0.031464789652889444,0.06794590535356276,2.0,1.0,0.09941069500645221,1.7487559508506727,False,-0.015232284565933873,0.02307779420696416,-0.038310078772898035,317.0,0.06794590535356276,-0.031464789652889444,0.09969569130759331,False,
bar_vol,1.0,15735.99999999999,60623.99999999996,1055.0,1055.0,1056.0,0.06083534027100346,0.005492952135388629,-0.04502482512394904,0.0,2.0,0.1058601653949525,1.8398018686443025,True,-0.07519752765980875,0.04960077614273343,-0.12479830380254217,538.0,0.06083534027100346,-0.04502482512394904,0.10919967224123378,False,
bar_vol_x,0.9996821865564913,0.8035434990470037,1.4387588814288508,1055.0,1056.0,1055.0,-0.11430299341814658,-0.0523981657826631,0.1880116154317444,2.0,0.0,0.302314608849891,5.290001916993394,True,0.0006000800976926991,-0.02188691709007961,0.02248699718777231,465.0,0.1880116154317444,-0.11430299341814658,0.30069802493028086,True,
drive_min,0.9996821865564913,27.0,70.0,1070.0,1041.0,1055.0,-0.07030298051728337,-0.1857259070211325,0.2758246365121759,2.0,1.0,0.46155054353330843,8.127621620794937,True,-0.04613964603771138,-0.1272540711343625,0.08111442509665111,425.0,0.2758246365121759,-0.1857259070211325,0.4611260245351281,True,
rv_clock,0.9450182742730018,1.1241345732612176,1.6692456302721144,943.0,941.0,943.0,0.03689366549471337,-0.0039009695599056407,-0.03507884546499077,0.0,2.0,0.07197251095970414,1.1526338362500594,True,-0.03172047080096854,0.00966123872222682,-0.041381709523195365,602.0,0.03689366549471337,-0.03507884546499077,0.07167787193794445,False,
coh_by_t,0.9996821865564913,,,,,,,,,,,,,,,,,,,,,,degenerate
