cell,symbol,si,S,signal_date,value,n_owners,a,b,entry_date,exit_date,gross,cost_bps,net,hold,split
I1,OLN,3204,30,2016-02-17,258000.0,2.0,30,50,2016-02-17,2016-03-16,0.10879848996518682,0.5220003,0.10874628993514612,20,TRAIN
I1,FISI,1662,30,2016-02-17,117810.0,2.0,30,50,2016-02-17,2016-03-16,0.04069769787824784,4.8792596,0.040209771927810056,20,TRAIN
I1,CAC,798,30,2016-02-17,9562.5,4.0,30,50,2016-02-17,2016-03-16,0.033314799936607686,5.228746,0.032791925349857864,20,TRAIN
I1,MOS,2843,31,2016-02-18,233500.0,3.0,31,51,2016-02-18,2016-03-17,0.17344958158874157,0.43716502,0.17340586508517242,20,TRAIN
I1,RF,3670,31,2016-02-18,99060.0,2.0,31,51,2016-02-18,2016-03-17,0.07360890804011411,0.4369546,0.07356521258225235,20,TRAIN
I1,RYN,3787,31,2016-02-18,193200.0,2.0,31,51,2016-02-18,2016-03-17,0.10996019353505893,0.8345924,0.1098767342921716,20,TRAIN
I1,KN,2441,31,2016-02-18,27375.0,2.0,31,51,2016-02-18,2016-03-17,0.18394962302411466,0.76506484,0.1838731165408043,20,TRAIN
I1,BGC,587,32,2016-02-19,767000.0,2.0,32,52,2016-02-19,2016-03-18,0.09817862724478488,0.98245144,0.09808038209914827,20,TRAIN
I1,FLO,1682,32,2016-02-19,406750.0,2.0,32,52,2016-02-19,2016-03-18,0.15317922470153023,0.5442622,0.1531247984831181,20,TRAIN
I1,LPG,2612,32,2016-02-19,97600.0,2.0,32,52,2016-02-19,2016-03-18,0.122193983367759,1.9658421,0.12199739915842489,20,TRAIN
I1,ESNT,1536,33,2016-02-22,695573.7599999999,2.0,33,53,2016-02-22,2016-03-21,0.041225191262329375,0.93934774,0.041131256488570855,20,TRAIN
I1,PNR,3455,33,2016-02-22,5281714.13,2.0,33,53,2016-02-22,2016-03-21,0.10053039366806549,0.4782709,0.10048256657950039,20,TRAIN
I1,JLL,2357,33,2016-02-22,515650.0,2.0,33,53,2016-02-22,2016-03-21,0.11190411182652205,0.49934,0.11185417782799667,20,TRAIN
I1,SSNC,4114,34,2016-02-23,144825.0,2.0,34,54,2016-02-23,2016-03-22,0.055703999699137086,0.53049654,0.05565095004461185,20,TRAIN
I1,BAC,494,34,2016-02-23,372900.0,2.0,34,54,2016-02-23,2016-03-22,0.13596156837223594,0.4033713,0.13592123124175037,20,TRAIN
I1,OI,3192,34,2016-02-23,141700.0,2.0,34,54,2016-02-23,2016-03-22,0.10595576074639323,0.5491029,0.10590085045488307,20,TRAIN
I1,CF,903,36,2016-02-25,819000.0,2.0,36,56,2016-02-25,2016-03-24,-0.03702228905535121,0.44260252,-0.03706654930578479,20,TRAIN
I1,AFL,121,36,2016-02-25,246643.6,2.0,36,56,2016-02-25,2016-03-24,0.03932341450912791,0.43995374,0.03927941913629329,20,TRAIN
I1,APPF,313,37,2016-02-26,295090.0,2.0,37,57,2016-02-26,2016-03-28,0.029736576996272746,8.126028,0.028923974184779766,20,TRAIN
I1,GLPI,1888,38,2016-02-29,126100.0,2.0,38,58,2016-02-29,2016-03-29,0.1555376463678937,0.6549121,0.1554721551532663,20,TRAIN
I1,EVER,1555,39,2016-03-01,131600.0,2.0,39,59,2016-03-01,2016-03-30,0.11680475405768287,1.2615024,0.11667860382471029,20,TRAIN
I1,JAKK,2329,40,2016-03-02,34700.0,3.0,40,60,2016-03-02,2016-03-31,-0.0026199975429045397,3.2789578,-0.00294789331671208,20,TRAIN
I1,MMLP,2818,40,2016-03-02,78650.0,5.0,40,60,2016-03-02,2016-03-31,0.2601063794729266,1.9153067,0.25991484880905724,20,TRAIN
I1,CAR,817,40,2016-03-02,501200.0,2.0,40,60,2016-03-02,2016-03-31,-0.015157226585643668,0.47637635,-0.01520486422282441,20,TRAIN
I1,PNFP,3452,40,2016-03-02,20206.88,2.0,40,60,2016-03-02,2016-03-31,0.019901667709254944,0.9615377,0.019805513935771124,20,TRAIN
I1,SM,3991,40,2016-03-02,22500.0,2.0,40,60,2016-03-02,2016-03-31,0.8778694119265174,0.49783581,0.8778196283438637,20,TRAIN
I1,ECPG,1416,41,2016-03-03,113950.0,6.0,41,61,2016-03-03,2016-04-01,-0.05073015518419832,1.1588166,-0.05084603684363809,20,TRAIN
I1,OMF,3214,41,2016-03-03,59125.0,3.0,41,61,2016-03-03,2016-04-01,0.040976462619876974,0.6026223,0.04091620039224231,20,TRAIN
I1,CIM,954,41,2016-03-03,26060.0,3.0,41,61,2016-03-03,2016-04-01,0.07314947350402923,0.6734797,0.07308212553777826,20,TRAIN
I1,SLRC,3986,41,2016-03-03,349315.8,3.0,41,61,2016-03-03,2016-04-01,0.009658942920708125,3.206419,0.00933830101470745,20,TRAIN
I1,FSS,1750,42,2016-03-04,50235.0,2.0,42,62,2016-03-04,2016-04-04,0.054545449659854084,1.7392641,0.05437152324819183,20,TRAIN
I1,CWT,1211,42,2016-03-04,68512.74,3.0,42,62,2016-03-04,2016-04-04,0.02916282562775363,0.8155193,0.029081273697119325,20,TRAIN
I1,KEY,2404,43,2016-03-07,4012.08,3.0,43,63,2016-03-07,2016-04-05,-0.05589225805141573,0.43951187,-0.05593620923735976,20,TRAIN
I1,TWI,4423,43,2016-03-07,147312.0,2.0,43,63,2016-03-07,2016-04-05,-0.18125815898325126,2.7828126,-0.18153644023491833,20,TRAIN
I1,NEO,2980,44,2016-03-08,49295.88,2.0,44,64,2016-03-08,2016-04-06,0.004273490311047512,3.4902363,0.0039244666697275665,20,TRAIN
I1,SCL,3850,44,2016-03-08,27025.0,2.0,44,64,2016-03-08,2016-04-06,0.07362480732587207,1.6501194,0.07345979538837488,20,TRAIN
I1,HASI,1996,45,2016-03-09,13717.5,2.0,45,65,2016-03-09,2016-04-07,0.03527163725128557,2.7188106,0.03499975619387041,20,TRAIN
I1,LPLA,2614,45,2016-03-09,1639.9999999999998,2.0,45,65,2016-03-09,2016-04-07,0.07775964795731038,0.56219614,0.07770342834267563,20,TRAIN
I1,LKQ,2579,46,2016-03-10,75850.0,3.0,46,66,2016-03-10,2016-04-08,0.03737264097471038,0.5024373,0.03732239724594533,20,TRAIN
I1,LDOS,2528,46,2016-03-10,232500.0,2.0,46,66,2016-03-10,2016-04-08,0.10302829493702448,0.6111002,0.10296718491844659,20,TRAIN
I1,ZBRA,4845,47,2016-03-11,99434.40000000001,2.0,47,67,2016-03-11,2016-04-11,-0.015818586291578063,0.56400716,-0.015874987008435815,20,TRAIN
I1,ITRI,2314,48,2016-03-14,17308.829999999998,4.0,48,68,2016-03-14,2016-04-12,-0.07348838335029562,0.8271835,-0.07357110169697101,20,TRAIN
I1,NEWT,2990,49,2016-03-15,25000.84,5.0,49,69,2016-03-15,2016-04-13,0.037285253801217166,5.069038,0.03677834999963814,20,TRAIN
I1,CROX,1130,50,2016-03-16,92500.0,2.0,50,70,2016-03-16,2016-04-14,0.020964268433914857,1.1687452,0.020847393919126933,20,TRAIN
I1,OPK,3237,51,2016-03-17,18407.5,3.0,51,71,2016-03-17,2016-04-15,-0.017288648950480545,0.54859054,-0.017343508004697195,20,TRAIN
I1,RHP,3687,51,2016-03-17,99880.0,2.0,51,71,2016-03-17,2016-04-15,0.017494583496993732,0.82181466,0.017412402028678775,20,TRAIN
