date,symbol,pnl_R
2025-11-10,SEDG,1.8645835804701616
2025-11-10,SKYT,1.847144773175544
2025-11-10,W,-1.0829717163889978
2025-11-11,SDRL,1.8817029310627131
2025-11-11,SKYT,-1.2539842512703945
2025-11-11,TDW,1.6189093240093235
2025-11-12,COGT,0.7924314674812908
2025-11-12,TSLQ,-0.0360792040748578
2025-11-12,GDXU,1.801870871101832
2025-11-13,AMDL,-1.0277229676788795
2025-11-13,CRCD,1.988789658266039
2025-11-13,HUT,-1.086161915553038
2025-11-13,QBTZ,-1.2084326351911026
2025-11-13,RGTZ,-1.040705457097737
2025-11-13,TSLQ,-1.056950222663655
2025-11-14,BRCB,-1.3490537337662365
2025-11-14,CRDO,-0.2976604473676421
2025-11-14,LGN,1.7576959799444891
2025-11-14,MUU,-1.1608484155109078
2025-11-14,RMBS,1.6942424052832818
2025-11-14,SANM,0.9272718750000064
2025-11-14,NUGT,-1.1663596445514377
2025-11-17,IONL,-1.355492123053097
2025-11-17,IONX,-1.157471376506023
2025-11-17,JKS,1.8573400601346448
2025-11-17,SNDK,-1.0674349923121362
2025-11-17,SOXL,-1.021386632621336
2025-11-18,ASTX,1.8131708544255207
2025-11-18,CONL,-1.053281314717256
2025-11-18,HTFL,-1.345996712689021
2025-11-18,IIIV,-0.0157741616389731
2025-11-18,LQDA,0.7695971728140797
2025-11-18,NBIS,1.9181807716735495
2025-11-18,OKLL,-1.1019386188044262
2025-11-18,SEDG,-1.169156367162249
2025-11-18,TERN,-1.140499878983461
2025-11-19,CONI,1.8455207518350392
2025-11-19,MOD,1.4001222222222227
2025-11-19,SMST,1.8914429587009611
2025-11-19,MUU,-1.0747879273588798
2025-11-19,PPTA,-1.0664405803505654
2025-11-19,SUPX,-1.8682457478005925
2025-11-19,TMDX,1.5403274624176018
2025-11-19,ETHU,-1.0894789679624544
2025-11-20,CONI,1.8708025789813028
2025-11-20,QID,1.972748048646044
2025-11-20,RGTZ,1.9501399513736932
2025-11-20,RUN,-1.0454261285973687
2025-11-20,SOUX,-1.2583010700909578
2025-11-20,TNDM,-1.3491106003150375
2025-11-20,TSLR,-1.0829861954396776
2025-11-20,TSLQ,1.9649386185601632
2025-11-20,TSLT,-1.042822690763054
2025-11-20,VIXY,1.966502001604373
2025-11-20,VXX,1.9700131002412964
2025-11-20,SPXS,1.98147880588398
2025-11-21,BMNZ,1.8441248993038284
2025-11-21,CAVA,1.901385792876093
2025-11-21,CONI,-1.1252169781336936
2025-11-21,DIN,1.7104135802469145
2025-11-21,GCT,1.8691348219032464
2025-11-21,NEBX,-1.1857305646037413
2025-11-21,PRKS,1.653830793956927
2025-11-21,QDEL,1.7782268556005392
2025-11-21,SEDG,-1.1508658056183376
2025-11-21,TSLQ,1.960676533270861
2025-11-21,NAIL,1.838224147727273
2025-11-21,DPST,1.9072980729194489
