day,symbol,entry_m,price,r_pct,pb,hb,lb,n_q,spread
2025-07-21,FSM,575,6.5747,2.352959070375836,$5-10,09:30-09:35,>$50M/d,391,0.010000000000000675
2025-02-04,QBTS,575,6.1299,3.587334214261244,$5-10,09:30-09:35,>$50M/d,600,0.009999999999999787
2025-05-02,SNAP,572,7.94,1.259445843828722,$5-10,09:30-09:35,>$50M/d,600,0.009999999999999787
2025-06-23,WRD,575,7.6,1.8421052631578907,$5-10,09:30-09:35,>$50M/d,600,0.019999999999999574
2025-03-06,FAZ,575,5.95,1.1764705882352988,$5-10,09:30-09:35,>$50M/d,600,0.009999999999999787
2025-01-30,BNGO,572,5.135,1.8500486854917184,$5-10,09:30-09:35,>$50M/d,13,0.14999999999999947
2025-04-17,PTON,575,5.57,1.2567324955116748,$5-10,09:30-09:35,>$50M/d,600,0.009999999999999787
2025-04-10,QBTS,575,6.9976,2.68091917228765,$5-10,09:30-09:35,>$50M/d,600,0.010000000000000675
2025-01-24,NVAX,575,9.6859,1.4030704426021274,$5-10,09:30-09:35,>$50M/d,315,0.02999999999999936
2025-06-20,PL,573,5.198,1.1158137745286785,$5-10,09:30-09:35,>$50M/d,438,0.009999999999999787
2025-01-14,QS,575,5.59,1.8783542039355912,$5-10,09:30-09:35,>$50M/d,248,0.019999999999999574
2025-05-09,RIOT,575,8.6688,2.870062753783676,$5-10,09:30-09:35,>$50M/d,600,0.009999999999999787
2025-07-25,CYN,575,9.2,1.4130434782608587,$5-10,09:30-09:35,>$50M/d,0,
2025-01-31,QBTS,575,5.7399,1.3920103137685225,$5-10,09:30-09:35,>$50M/d,600,0.009999999999999787
2025-04-16,ZI,575,8.07,1.3630731102850102,$5-10,09:30-09:35,>$50M/d,249,0.019999999999999574
2025-07-14,WULF,575,5.0659,2.386545332517416,$5-10,09:30-09:35,>$50M/d,600,0.009999999999999787
2025-02-10,MSTU,575,9.365,3.683929524826488,$5-10,09:30-09:35,>$50M/d,600,0.009999999999999787
2025-03-12,WOLF,575,5.575,2.6008968609865555,$5-10,09:30-09:35,>$50M/d,600,0.020000000000000462
2025-07-31,NVD,573,9.36,1.014957264957253,$5-10,09:30-09:35,>$50M/d,600,0.009999999999999787
2025-05-12,OGN,572,8.85,1.3559322033898218,$5-10,09:30-09:35,>$50M/d,245,0.07000000000000028
2025-04-15,QUBT,574,6.99,1.8597997138769653,$5-10,09:30-09:35,>$50M/d,304,0.010000000000000675
2025-05-15,UAA,575,6.39,2.1909233176838763,$5-10,09:30-09:35,>$50M/d,153,0.009999999999999787
2025-04-24,TIGR,575,7.285,1.7158544955387784,$5-10,09:30-09:35,>$50M/d,176,0.009999999999999787
2025-05-27,IAG,575,6.7901,2.136934654865174,$5-10,09:30-09:35,>$50M/d,600,0.009999999999999787
2025-02-19,QNTM,575,8.42,2.0190023752969117,$5-10,09:30-09:35,>$50M/d,14,0.379999999999999
2025-06-09,AMDL,575,6.3365,2.785449380572869,$5-10,09:30-09:35,>$50M/d,600,0.009999999999999787
2025-03-26,TIGR,575,9.315,1.2345679012345705,$5-10,09:30-09:35,>$50M/d,600,0.009999999999999787
2025-07-24,NXE,575,7.13,1.3323983169705436,$5-10,09:30-09:35,>$50M/d,337,0.009999999999999787
2025-01-15,AUR,575,6.82,1.6129032258064562,$5-10,09:30-09:35,>$50M/d,600,0.009999999999999787
2025-05-12,HOLO,575,7.8938,1.8216828396969733,$5-10,09:30-09:35,>$50M/d,33,0.0600000000000005
2025-04-14,QUBT,575,7.445,2.1490933512424464,$5-10,09:30-09:35,>$50M/d,600,0.010000000000000675
2025-03-10,FPH,584,5.785,2.679343128781335,$5-10,09:35-10:00,<$5M/d,3,0.1899999999999995
2025-07-03,VTSI,592,6.71,2.533532041728762,$5-10,09:35-10:00,<$5M/d,72,0.02999999999999936
2025-01-13,CDXC,589,5.39,1.2987012987012876,$5-10,09:35-10:00,<$5M/d,9,0.05999999999999961
2025-03-03,MTLS,588,5.355,1.960784313725498,$5-10,09:35-10:00,<$5M/d,19,0.040000000000000036
2025-02-04,TBI,600,7.91,1.5170670037926688,$5-10,09:35-10:00,<$5M/d,21,0.05000000000000071
2025-07-14,CVRX,591,6.92,1.661849710982662,$5-10,09:35-10:00,<$5M/d,16,0.0600000000000005
2025-04-17,TYRA,600,8.62,1.8909512761020708,$5-10,09:35-10:00,<$5M/d,45,0.22000000000000064
2025-07-08,TPST,587,7.28,1.87912087912088,$5-10,09:35-10:00,<$5M/d,10,0.09499999999999975
2025-02-07,USAU,585,9.07,1.1025358324145496,$5-10,09:35-10:00,<$5M/d,6,0.120000000000001
2025-04-24,EHTH,598,6.03,1.4925373134328337,$5-10,09:35-10:00,<$5M/d,3,0.04999999999999982
2025-07-02,SNBR,588,7.035,1.492537313432842,$5-10,09:35-10:00,<$5M/d,1,0.07000000000000028
2025-07-02,MATV,583,7.15,1.1146853146853253,$5-10,09:35-10:00,<$5M/d,12,0.07000000000000028
2025-02-27,MYNZ,582,6.09,3.940886699507393,$5-10,09:35-10:00,<$5M/d,6,0.08999999999999986
2025-06-26,ATOM,586,5.025,2.885572139303492,$5-10,09:35-10:00,<$5M/d,2,0.03000000000000025
2025-01-15,CGNT,597,9.3,1.8279569892473109,$5-10,09:35-10:00,<$5M/d,96,0.030000000000001137
2025-03-18,CSAI,585,5.99,1.4824707846410683,$5-10,09:35-10:00,<$5M/d,4,0.09999999999999964
2025-07-16,GRAN,576,6.39,2.1909233176838763,$5-10,09:35-10:00,<$5M/d,23,0.13000000000000078
2025-04-09,DAPP,583,8.26,2.542372881355921,$5-10,09:35-10:00,<$5M/d,199,0.049999999999998934
2025-05-09,UPB,578,8.93,3.919372900335943,$5-10,09:35-10:00,<$5M/d,21,0.4299999999999997
2025-02-05,RZLT,579,5.5,1.2018181818181746,$5-10,09:35-10:00,<$5M/d,13,0.03000000000000025
2025-05-19,WTF,579,6.88,1.235465116279069,$5-10,09:35-10:00,<$5M/d,8,0.04500000000000037
2025-03-20,EYPT,600,6.27,2.5996810207336423,$5-10,09:35-10:00,<$5M/d,27,0.040000000000000036
2025-05-14,ZVRA,577,8.47,1.5348288075560894,$5-10,09:35-10:00,<$5M/d,71,0.030000000000001137
2025-05-27,IE,580,7.16,1.1871508379888265,$5-10,09:35-10:00,<$5M/d,2,0.0600000000000005
2025-07-18,TRUG,583,5.92,2.027027027027029,$5-10,09:35-10:00,<$5M/d,0,
2025-05-01,SVCO,600,5.58,2.060931899641581,$5-10,09:35-10:00,<$5M/d,3,0.05999999999999961
2025-03-13,LOGC,588,7.2,1.5972222222222252,$5-10,09:35-10:00,<$5M/d,56,0.009999999999999787
2025-07-15,CTOS,589,5.72,5.157342657342657,$5-10,09:35-10:00,<$5M/d,102,0.020000000000000462
2025-01-22,LXEO,595,5.225,2.8708133971291767,$5-10,09:35-10:00,<$5M/d,3,0.08999999999999986
2025-04-29,TH,589,6.32,1.0901898734177244,$5-10,09:35-10:00,<$5M/d,32,0.03000000000000025
2025-06-03,YSG,582,5.74,6.271777003484326,$5-10,09:35-10:00,<$5M/d,54,0.1900000000000004
2025-07-17,SRI,594,7.31,1.600547195622435,$5-10,09:35-10:00,<$5M/d,10,0.0600000000000005
2025-04-08,FTK,583,6.82,2.052785923753674,$5-10,09:35-10:00,<$5M/d,2,0.13999999999999968
2025-02-06,MIND,576,8.95,1.8994413407821225,$5-10,09:35-10:00,<$5M/d,7,0.09999999999999964
2025-01-17,AIRS,595,5.0261,3.509679473150141,$5-10,09:35-10:00,<$5M/d,32,0.13999999999999968
2025-03-04,ISSC,584,6.605,2.649507948523856,$5-10,09:35-10:00,<$5M/d,0,
2025-05-05,NVCT,593,9.245,1.4602487831260118,$5-10,09:35-10:00,<$5M/d,0,
2025-07-16,ILPT,578,5.9301,1.5193672956611273,$5-10,09:35-10:00,<$5M/d,59,0.03000000000000025
2025-07-17,ESOA,592,9.78,5.4192229038854745,$5-10,09:35-10:00,<$5M/d,14,0.10999999999999943
2025-06-03,RLGT,582,5.93,1.5177065767284967,$5-10,09:35-10:00,<$5M/d,29,0.040000000000000036
2025-03-12,STOK,593,8.22,1.094890510948903,$5-10,09:35-10:00,$5-50M/d,2,0.08000000000000007
2025-07-31,LHAI,590,6.05,3.304132231404951,$5-10,09:35-10:00,$5-50M/d,23,0.15000000000000036
2025-02-26,BIGC,589,7.04,2.982954545454545,$5-10,09:35-10:00,$5-50M/d,29,0.019999999999999574
2025-07-08,SLDB,577,5.0418,2.0191201555000178,$5-10,09:35-10:00,$5-50M/d,0,
2025-02-07,DENN,585,7.63,1.572739187418088,$5-10,09:35-10:00,$5-50M/d,59,0.040000000000000036
2025-07-25,SGML,584,7.31,1.7099863201094392,$5-10,09:35-10:00,$5-50M/d,177,0.020000000000000462
2025-01-27,AVDL,588,7.99,2.3779724655819825,$5-10,09:35-10:00,$5-50M/d,19,0.019999999999999574
2025-04-15,PCT,578,6.49,1.463790446841304,$5-10,09:35-10:00,$5-50M/d,53,0.03000000000000025
2025-06-17,EMBC,579,10.0,1.3760000000000083,$5-10,09:35-10:00,$5-50M/d,43,0.049999999999998934
2025-02-03,UUUU,576,5.42,4.797047970479701,$5-10,09:35-10:00,$5-50M/d,441,0.009999999999999787
2025-02-18,NUS,585,7.745,1.054874112330543,$5-10,09:35-10:00,$5-50M/d,41,0.040000000000000036
2025-05-01,JELD,581,5.5401,1.8068265915777588,$5-10,09:35-10:00,$5-50M/d,56,0.029999999999999805
2025-03-20,ARVN,581,8.76,1.7111872146118787,$5-10,09:35-10:00,$5-50M/d,16,0.05000000000000071
2025-02-24,PUMP,577,9.3996,2.099025490446405,$5-10,09:35-10:00,$5-50M/d,37,0.040000000000000924
2025-04-09,MCW,581,7.0,3.0,$5-10,09:35-10:00,$5-50M/d,47,0.019999999999999574
2025-03-06,CSIQ,580,9.97,1.10330992978938,$5-10,09:35-10:00,$5-50M/d,77,0.0600000000000005
2025-04-04,IEP,586,8.86,1.5801354401805734,$5-10,09:35-10:00,$5-50M/d,14,0.019999999999999574
2025-08-04,APPS,589,5.33,1.1257035647279643,$5-10,09:35-10:00,$5-50M/d,169,0.019999999999999574
2025-06-23,OLO,581,8.34,1.3189448441246934,$5-10,09:35-10:00,$5-50M/d,7,0.03999999999999915
2025-04-29,YALA,580,8.2,1.2804878048780324,$5-10,09:35-10:00,$5-50M/d,49,0.02000000000000135
2025-02-28,EVH,591,8.71,2.411021814006898,$5-10,09:35-10:00,$5-50M/d,41,0.040000000000000924
2025-04-02,NEO,578,9.46,3.4883720930232567,$5-10,09:35-10:00,$5-50M/d,66,0.11999999999999922
2025-06-30,MASS,592,7.18,2.228412256267412,$5-10,09:35-10:00,$5-50M/d,23,0.04999999999999982
2025-03-05,UWMC,582,6.52,1.6871165644171693,$5-10,09:35-10:00,$5-50M/d,29,0.020000000000000462
2025-05-09,PRTA,583,7.8,2.435897435897429,$5-10,09:35-10:00,$5-50M/d,20,0.08499999999999996
2025-06-23,TNGX,576,5.1219,1.9894960854370556,$5-10,09:35-10:00,$5-50M/d,37,0.05999999999999961
2025-07-21,AISP,577,6.135,3.294213528932351,$5-10,09:35-10:00,$5-50M/d,192,0.020000000000000018
2025-06-02,RCUS,580,9.375,2.1866666666666674,$5-10,09:35-10:00,$5-50M/d,107,0.030000000000001137
2025-07-02,GPRE,581,6.32,1.107594936708865,$5-10,09:35-10:00,$5-50M/d,24,0.040000000000000036
2025-04-24,CFFN,585,5.74,1.7421602787456538,$5-10,09:35-10:00,$5-50M/d,102,0.019999999999999574
2025-05-19,TSLG,600,7.13,1.2594670406732165,$5-10,09:35-10:00,$5-50M/d,600,0.009999999999999787
2025-03-06,MODG,576,6.2156,1.2162944848445936,$5-10,09:35-10:00,$5-50M/d,146,0.020000000000000462
2025-01-23,FSLY,576,9.715,2.4189397838394178,$5-10,09:35-10:00,$5-50M/d,259,0.019999999999999574
2025-08-05,FLWS,582,5.76,1.9097222222222123,$5-10,09:35-10:00,$5-50M/d,1,0.02999999999999936
2025-02-04,CADL,576,7.42,2.242587601078172,$5-10,09:35-10:00,$5-50M/d,27,0.02999999999999936
2025-04-10,MUX,577,7.28,1.991758241758248,$5-10,09:35-10:00,$5-50M/d,118,0.040000000000000036
2025-03-24,RCAT,580,5.86,2.047781569965872,$5-10,09:35-10:00,$5-50M/d,171,0.019999999999999574
2025-04-02,TDOC,576,7.66,1.3707571801566634,$5-10,09:35-10:00,$5-50M/d,300,0.010000000000000675
2025-05-22,ASPN,593,6.12,1.7973856209150378,$5-10,09:35-10:00,$5-50M/d,152,0.009999999999999787
2025-07-10,KZIA,594,9.18,5.228758169934646,$5-10,09:35-10:00,$5-50M/d,14,0.20999999999999908
2025-02-26,IAG,577,5.6,1.2499999999999891,$5-10,09:35-10:00,>$50M/d,600,0.009999999999999787
2025-01-13,LABD,577,7.85,3.439490445859867,$5-10,09:35-10:00,>$50M/d,600,0.009999999999999787
2025-01-29,AG,577,5.43,1.289134438305698,$5-10,09:35-10:00,>$50M/d,241,0.010000000000000675
2025-07-24,ADT,577,8.4252,1.6047096804823753,$5-10,09:35-10:00,>$50M/d,79,0.009999999999999787
2025-03-24,CLF,580,9.805,1.172870984191741,$5-10,09:35-10:00,>$50M/d,273,0.009999999999999787
2025-03-10,TSLZ,576,5.5,3.81636363636364,$5-10,09:35-10:00,>$50M/d,600,0.009999999999999787
2025-06-18,IAG,594,7.535,1.3934970139349756,$5-10,09:35-10:00,>$50M/d,290,0.009999999999999787
2025-06-12,CLSK,584,9.69,1.6511867905056776,$5-10,09:35-10:00,>$50M/d,600,0.009999999999999787
2025-04-09,TAL,577,9.765,4.147465437788029,$5-10,09:35-10:00,>$50M/d,569,0.009999999999999787
2025-02-19,BB,576,6.18,2.2653721682847845,$5-10,09:35-10:00,>$50M/d,600,0.009999999999999787
2025-08-01,UMAC,577,8.7872,3.0407865986890106,$5-10,09:35-10:00,>$50M/d,33,0.06999999999999851
2025-07-02,CLF,576,8.43,1.304863582443647,$5-10,09:35-10:00,>$50M/d,331,0.009999999999999787
2025-03-06,SERV,591,8.02,2.743142144638401,$5-10,09:35-10:00,>$50M/d,84,0.024999999999999467
2025-03-31,IREN,598,5.94,2.5252525252525317,$5-10,09:35-10:00,>$50M/d,503,0.009999999999999787
2025-03-10,SMST,600,6.55,1.1877862595419828,$5-10,09:35-10:00,>$50M/d,600,0.009999999999999787
2025-03-07,FLNC,587,5.74,7.229965156794425,$5-10,09:35-10:00,>$50M/d,122,0.009999999999999787
2025-04-07,ASX,593,7.325,1.6382252559726975,$5-10,09:35-10:00,>$50M/d,487,0.009999999999999787
2025-08-01,MSTU,582,7.72,2.3316062176165766,$5-10,09:35-10:00,>$50M/d,600,0.009999999999999787
2025-03-07,RGTI,583,8.7002,4.484954368865084,$5-10,09:35-10:00,>$50M/d,600,0.009999999999999787
2025-04-02,COMP,582,9.01,2.219755826859038,$5-10,09:35-10:00,>$50M/d,341,0.02000000000000135
2025-02-25,RXRX,580,8.69,2.3014959723820403,$5-10,09:35-10:00,>$50M/d,600,0.009999999999999787
2025-03-07,PTON,583,6.28,1.5923566878980977,$5-10,09:35-10:00,>$50M/d,600,0.009999999999999787
2025-04-11,NVDX,594,7.6313,1.8686200254216283,$5-10,09:35-10:00,>$50M/d,600,0.009999999999999787
2025-04-09,SOXL,580,8.685,5.123776626367303,$5-10,09:35-10:00,>$50M/d,600,0.009999999999999787
2025-06-09,PTON,596,7.537,1.6850205652116197,$5-10,09:35-10:00,>$50M/d,340,0.009999999999999787
2025-04-17,PTEN,577,6.1,2.9508196721311437,$5-10,09:35-10:00,>$50M/d,476,0.009999999999999787
2025-01-24,ETHU,578,7.68,1.1718749999999982,$5-10,09:35-10:00,>$50M/d,600,0.009999999999999787
2025-03-07,CONY,579,9.425,1.4323607427055869,$5-10,09:35-10:00,>$50M/d,600,0.009999999999999787
2025-06-27,NTLA,599,9.9,2.3232323232323275,$5-10,09:35-10:00,>$50M/d,77,0.009999999999999787
2025-07-15,SQNS,589,5.24,3.05343511450382,$5-10,09:35-10:00,>$50M/d,46,0.009999999999999787
2025-05-07,NVDX,587,7.82,1.161125319693103,$5-10,09:35-10:00,>$50M/d,600,0.010000000000000675
2025-05-21,WRD,593,9.6736,2.311445583857107,$5-10,09:35-10:00,>$50M/d,600,0.009999999999999787
2025-04-23,RUN,586,6.955,2.9475197699496776,$5-10,09:35-10:00,>$50M/d,559,0.009999999999999787
2025-05-12,IREN,599,7.71,2.140077821011673,$5-10,09:35-10:00,>$50M/d,600,0.009999999999999787
2025-01-17,QBTS,584,5.825,1.115879828326187,$5-10,09:35-10:00,>$50M/d,600,0.009999999999999787
2025-05-09,CLSK,584,9.0712,2.052650145515472,$5-10,09:35-10:00,>$50M/d,600,0.009999999999999787
2025-04-04,SNAP,592,8.045,4.0397762585456825,$5-10,09:35-10:00,>$50M/d,600,0.009999999999999787
2025-03-21,SOUN,587,9.5715,2.9410228281878616,$5-10,09:35-10:00,>$50M/d,600,0.009999999999999787
2025-02-26,LABD,576,7.42,2.695417789757415,$5-10,09:35-10:00,>$50M/d,600,0.009999999999999787
2025-05-06,KSS,576,6.95,1.0071942446043207,$5-10,09:35-10:00,>$50M/d,374,0.010000000000000675
2025-02-26,FTK,612,7.955,1.697045883092392,$5-10,10:00-11:00,<$5M/d,7,0.08999999999999986
2025-07-17,OSS,609,6.15,1.3008130081300824,$5-10,10:00-11:00,<$5M/d,134,0.04999999999999982
2025-06-26,PLL,608,5.89,1.3548387096774137,$5-10,10:00-11:00,<$5M/d,5,0.0699999999999994
