day,symbol,trig_m,day_open,level,entry,stop,r_pct,rr,reason,pos,pnl,bar_dollar,c50_off,c50_entry,c50_rr,c50_pnl,c100_off,c100_entry,c100_rr,c100_pnl,c200_off,c200_entry,c200_rr,c200_pnl,c500_off,c500_entry,c500_rr,c500_pnl
2026-06-12,AXTX,601,26.29,28.919,29.122104999999998,24.98,14.223,0.5886,eod,3110.24,256.63,20735.0,1,29.0636,0.6113,263.42,1,29.122104999999998,0.5886,256.63,1,29.122104999999998,0.5886,256.63,1,29.122104999999998,0.5886,256.63
2026-06-16,LOFF,581,37.59,41.349000000000004,42.196209999999994,37.46,11.224,-1.0079,stop,6392.73,-730.88,42618.0,4,41.5557,-1.0091,-643.5,2,41.7625,-1.0087,-672.0,1,42.176,-1.0079,-728.16,1,42.196209999999994,-1.0079,-730.88
2026-06-16,SPAL,581,37.38,41.11800000000001,41.79501,37.34,10.659,-1.0084,stop,2112.74,-229.62,14085.0,4,41.3236,-1.0094,-208.11,4,41.5292,-1.0089,-217.55,1,41.79501,-1.0084,-229.62,1,41.79501,-1.0084,-229.62
2026-06-16,SPCF,581,37.63,41.39300000000001,42.6275,37.55,11.911,-1.0074,stop,9642.34,-1168.6,64282.0,-1,,,,1,41.8069,-1.0088,-1002.05,1,42.2209,-1.008,-1086.87,1,42.6275,-1.0074,-1168.6
2026-06-16,SPCH,581,22.5,24.750000000000004,25.05494,22.5,10.197,-1.0088,stop,25000.0,-2583.98,410250.0,4,24.8738,-1.0095,-2420.6,1,24.9975,-1.009,-2532.44,1,25.05494,-1.0088,-2583.98,1,25.05494,-1.0088,-2583.98
2026-06-16,SPCU,587,30.97,34.067,35.105,30.87,12.064,-1.0568,stop,8156.65,-1049.71,54378.0,25,34.2373,-1.0715,-869.35,25,34.4077,-1.068,-905.47,2,34.7483,-1.0621,-976.66,1,35.105,-1.0568,-1049.71
2026-06-17,SNK,597,12.47,13.717000000000002,13.791249999999998,11.945,13.387,0.6276,eod,7054.22,584.24,47028.0,1,13.7856,0.6326,587.38,1,13.791249999999998,0.6276,584.24,1,13.791249999999998,0.6276,584.24,1,13.791249999999998,0.6276,584.24
2026-06-17,SSPC,597,7.6,8.36,8.354989999999999,7.25,13.226,0.6018,eod,6572.04,515.21,43814.0,1,8.354989999999999,0.6018,515.21,1,8.354989999999999,0.6018,515.21,1,8.354989999999999,0.6018,515.21,1,8.354989999999999,0.6018,515.21
2026-06-22,QNT,592,69.26,76.186,76.34836,67.15,12.048,-0.7391,eod,2519.5,-227.37,16797.0,1,76.34836,-0.7391,-227.37,1,76.34836,-0.7391,-227.37,1,76.34836,-0.7391,-227.37,1,76.34836,-0.7391,-227.37
2026-06-23,QNT,582,66.39,73.02900000000001,73.09863999999999,66.39,9.178,0.6769,eod,24232.2,1476.38,161548.0,1,73.09863999999999,0.6769,1476.38,1,73.09863999999999,0.6769,1476.38,1,73.09863999999999,0.6769,1476.38,1,73.09863999999999,0.6769,1476.38
2026-06-23,SPCF,603,20.335,22.368500000000004,22.497289999999996,19.32,14.123,-0.0243,eod,2072.0,-9.6,13813.0,1,22.4803,-0.0191,-8.05,1,22.497289999999996,-0.0243,-9.6,1,22.497289999999996,-0.0243,-9.6,1,22.497289999999996,-0.0243,-9.6
2026-06-23,SPCH,603,12.14,13.354000000000001,13.400079999999997,11.535,13.918,-0.0403,eod,10846.02,-73.78,72307.0,1,13.400079999999997,-0.0403,-73.78,1,13.400079999999997,-0.0403,-73.78,1,13.400079999999997,-0.0403,-73.78,1,13.400079999999997,-0.0403,-73.78
2026-06-25,MUZ,586,8.79,9.669,9.598709999999999,8.14,15.197,-0.0677,eod,13161.27,-151.14,87742.0,1,9.598709999999999,-0.0677,-151.14,1,9.598709999999999,-0.0677,-151.14,1,9.598709999999999,-0.0677,-151.14,1,9.598709999999999,-0.0677,-151.14
2026-06-25,SNDQ,592,2.35,2.5850000000000004,2.5877399999999997,2.145,17.109,-1.0161,stop,7847.06,-1373.63,52314.0,1,2.5877399999999997,-1.0161,-1373.63,1,2.5877399999999997,-1.0161,-1373.63,1,2.5877399999999997,-1.0161,-1373.63,1,2.5877399999999997,-1.0161,-1373.63
2026-06-26,QNT,619,67.85,74.635,75.54595999999998,69.195,8.407,0.04,eod,13156.33,28.45,87709.0,1,75.0082,0.1362,123.1,1,75.3814,0.0677,57.28,1,75.54595999999998,0.04,28.45,1,75.54595999999998,0.04,28.45
2026-06-29,MUZ,605,10.73,11.803,11.905609999999998,10.68,10.294,-1.0087,stop,6607.61,-694.07,44051.0,1,11.862,-1.009,-672.31,1,11.905609999999998,-1.0087,-694.07,1,11.905609999999998,-1.0087,-694.07,1,11.905609999999998,-1.0087,-694.07
2026-06-29,SNDQ,578,2.4,2.64,2.6780099999999996,2.39,10.755,-0.5139,eod,4820.42,-272.2,32136.0,1,2.6532,-0.4681,-229.62,1,2.6664,-0.4935,-252.37,1,2.6780099999999996,-0.5139,-272.2,1,2.6780099999999996,-0.5139,-272.2
2026-07-01,SSPC,598,10.205,11.2255,11.233599999999997,10.205,9.156,0.7159,eod,4271.58,274.89,28477.0,1,11.233599999999997,0.7159,274.89,1,11.233599999999997,0.7159,274.89,1,11.233599999999997,0.7159,274.89,1,11.233599999999997,0.7159,274.89
2026-07-02,SNDQ,628,2.39,2.6290000000000004,2.64792,2.4,9.363,1.7025,eod,11385.79,1801.24,75905.0,1,2.6421,1.7669,1830.09,1,2.64792,1.7025,1801.24,1,2.64792,1.7025,1801.24,1,2.64792,1.7025,1801.24
2026-07-14,SNDQ,605,2.51,2.761,2.7732949999999996,2.54,8.412,-0.5499,eod,16194.24,-768.59,107962.0,1,2.7732949999999996,-0.5499,-768.59,1,2.7732949999999996,-0.5499,-768.59,1,2.7732949999999996,-0.5499,-768.59,1,2.7732949999999996,-0.5499,-768.59
2026-07-15,SNDQ,610,2.805,3.0855000000000006,3.0892399999999998,2.9,6.126,0.4832,lock,10158.35,288.48,67722.0,1,3.0892399999999998,0.4832,288.48,1,3.0892399999999998,0.4832,288.48,1,3.0892399999999998,0.4832,288.48,1,3.0892399999999998,0.4832,288.48
2026-07-17,RAM,603,10.86,11.946,11.935699999999999,10.35,13.285,0.318,eod,5063.12,207.85,33754.0,1,11.935699999999999,0.318,207.85,1,11.935699999999999,0.318,207.85,1,11.935699999999999,0.318,207.85,1,11.935699999999999,0.318,207.85
2026-07-17,SK,593,21.12,23.232000000000003,23.23951,21.005,9.615,0.3743,lock,3709.03,129.04,24727.0,1,23.23951,0.3743,129.04,1,23.23951,0.3743,129.04,1,23.23951,0.3743,129.04,1,23.23951,0.3743,129.04
2026-07-17,SKUU,600,22.38,24.618000000000002,24.794159999999994,20.9,15.706,-0.4222,eod,12764.03,-861.73,85094.0,1,24.7411,-0.4142,-836.17,1,24.794159999999994,-0.4222,-861.73,1,24.794159999999994,-0.4222,-861.73,1,24.794159999999994,-0.4222,-861.73
2026-07-22,CBRS,578,204.865,225.35150000000002,225.67499999999998,203.84,9.675,-1.0162,stop,25000.0,-2468.48,478657.0,1,225.67499999999998,-1.0162,-2468.48,1,225.67499999999998,-1.0162,-2468.48,1,225.67499999999998,-1.0162,-2468.48,1,225.67499999999998,-1.0162,-2468.48
2026-07-27,MUZ,606,12.82,14.102000000000002,13.941699999999999,12.94,7.185,0.148,eod,4663.5,44.01,31090.0,1,13.941699999999999,0.148,44.01,1,13.941699999999999,0.148,44.01,1,13.941699999999999,0.148,44.01,1,13.941699999999999,0.148,44.01
2026-07-27,SNDQ,585,33.16,36.476,36.42896,33.16,8.974,1.7623,eod,23840.93,3741.7,158940.0,1,36.42896,1.7623,3741.7,1,36.42896,1.7623,3741.7,1,36.42896,1.7623,3741.7,1,36.42896,1.7623,3741.7
2026-07-29,SK,605,15.62,17.182000000000002,17.1513,15.35,10.502,-1.0418,stop,17622.96,-1949.34,117486.0,1,17.1513,-1.0418,-1949.34,1,17.1513,-1.0418,-1949.34,1,17.1513,-1.0418,-1949.34,1,17.1513,-1.0418,-1949.34
2026-07-29,SKUU,601,15.5,17.05,16.97076,15.37,9.432,-1.0096,stop,4854.49,-468.12,32363.0,1,16.97076,-1.0096,-468.12,1,16.97076,-1.0096,-468.12,1,16.97076,-1.0096,-468.12,1,16.97076,-1.0096,-468.12
2026-07-29,SNDQ,577,50.75,55.825,55.766799999999996,50.75,8.996,-1.0121,stop,20126.24,-1856.64,134175.0,1,55.766799999999996,-1.0121,-1856.64,1,55.766799999999996,-1.0121,-1856.64,1,55.766799999999996,-1.0121,-1856.64,1,55.766799999999996,-1.0121,-1856.64
2026-07-31,MUZ,587,11.0,12.100000000000001,12.136299999999999,10.66,12.164,0.7341,eod,2129.92,187.63,14199.0,1,12.136299999999999,0.7341,187.63,1,12.136299999999999,0.7341,187.63,1,12.136299999999999,0.7341,187.63,1,12.136299999999999,0.7341,187.63
2026-07-31,SKDD,583,11.8,12.980000000000002,12.958759999999998,11.32,12.646,0.8978,eod,10014.53,1124.96,66764.0,1,12.958759999999998,0.8978,1124.96,1,12.958759999999998,0.8978,1124.96,1,12.958759999999998,0.8978,1124.96,1,12.958759999999998,0.8978,1124.96
2026-07-31,SNDQ,578,24.425,26.867500000000003,26.739979999999996,23.55,11.93,1.4107,eod,10974.09,1833.64,73161.0,1,26.739979999999996,1.4107,1833.64,1,26.739979999999996,1.4107,1833.64,1,26.739979999999996,1.4107,1833.64,1,26.739979999999996,1.4107,1833.64
2026-08-03,AXTX,584,6.39,7.029,7.2216,5.71,20.932,1.3551,eod,4915.74,1388.45,32772.0,-1,,,,2,7.0993,1.5625,1497.16,1,7.1696,1.4391,1434.23,1,7.2216,1.3551,1388.45
2026-08-06,AXTX,605,9.34,10.274000000000001,10.41114,9.0,13.554,0.5378,eod,3927.6,281.57,26184.0,1,10.3254,0.6373,316.57,1,10.3767,0.5762,295.54,1,10.41114,0.5378,281.57,1,10.41114,0.5378,281.57
2026-08-06,IOND,623,53.555,58.910500000000006,58.93627999999999,54.605,7.349,-0.1931,eod,3385.89,-52.11,22573.0,1,58.93627999999999,-0.1931,-52.11,1,58.93627999999999,-0.1931,-52.11,1,58.93627999999999,-0.1931,-52.11,1,58.93627999999999,-0.1931,-52.11
2026-08-06,SPCH,620,5.505,6.0555,6.2185999999999995,5.7,8.339,-1.011,stop,11477.05,-981.42,76514.0,19,6.0858,-1.0148,-752.05,17,6.1161,-1.0137,-805.21,9,6.1766,-1.012,-909.98,1,6.2185999999999995,-1.011,-981.42
2026-08-07,SNDQ,579,25.58,28.138,28.34478,25.58,9.754,0.5661,eod,12857.19,694.56,85715.0,1,28.2787,0.6045,726.26,1,28.34478,0.5661,694.56,1,28.34478,0.5661,694.56,1,28.34478,0.5661,694.56
