symbol,bar_date,open,high,close,volume,prev_close,nbars,covered
AXL,2025-05-02,3.86,4.24,3.99,3936876,3.8,0,False
AXL,2025-08-08,4.47,5.325,5.28,7660738,4.58,0,False
AXL,2025-11-07,6.0,6.625,6.55,5989670,6.17,0,False
AXL,2026-01-06,6.37,7.075,7.05,6303769,6.42,0,False
AXL,2026-01-08,6.91,7.645,7.49,4155386,6.9,0,False
AXL,2026-01-21,7.75,8.63,8.43,10429625,7.74,0,False
AXTL,2026-08-03,2.48,3.83,3.6,1000990,2.83,0,False
AXTL,2026-08-04,3.23,3.58,3.25,1351851,3.6,0,False
AXTL,2026-08-05,3.09,4.38,3.57,929335,3.25,0,False
AXTL,2026-08-06,3.66,4.47,4.23,817790,3.57,0,False
AXTL,2026-08-13,3.99,4.55,4.21,638340,4.31,0,False
AXTL,2026-08-14,4.26,5.04,4.65,1111737,4.21,0,False
AXTU,2026-05-11,30.26,38.0,34.6539,240467,29.8866,0,False
AXTU,2026-05-12,33.0,36.15,33.0,144571,34.6539,0,False
AXTU,2026-05-15,25.5,35.422,33.116,144722,28.73,0,False
AXTU,2026-05-19,22.89,27.4,26.52,107695,23.52,0,False
AXTU,2026-05-21,22.65,29.8799,29.5801,170565,22.655,0,False
AXTU,2026-05-22,29.52,39.5,39.09,218109,29.5801,0,False
AXTU,2026-06-01,17.6,25.336,23.02,333798,20.31,0,False
AXTU,2026-06-04,20.94,24.0,21.25,219006,21.78,0,False
AXTU,2026-06-12,14.08,18.24,16.44,362188,13.7,0,False
AXTU,2026-06-26,6.69,7.61,7.52,345878,7.33,0,False
AXTU,2026-06-29,6.92,7.8994,7.793,637891,7.52,0,False
AXTU,2026-07-02,6.01,6.67,4.71,496298,6.34,0,False
AXTU,2026-07-07,5.09,6.31,4.84,469488,5.84,0,False
AXTU,2026-07-08,4.94,5.8698,5.19,396227,4.84,0,False
AXTU,2026-08-03,3.51,5.35,5.02,1635424,3.93,0,False
