day,symbol,trig_m,level,o_t,preopen,rekeyed,k100_cls,k100_off,k100_fill,k100_pos,k100_small,k100_rr0,k100_pnl0,k100_pnl10,k100_pnl25,k100_fx0,k200_cls,k200_off,k200_fill,k200_pos,k200_small,k200_rr0,k200_pnl0,k200_pnl10,k200_pnl25,k200_fx0,k300_cls,k300_off,k300_fill,k300_pos,k300_small,k300_rr0,k300_pnl0,k300_pnl10,k300_pnl25,k300_fx0,k500_cls,k500_off,k500_fill,k500_pos,k500_small,k500_rr0,k500_pnl0,k500_pnl10,k500_pnl25,k500_fx0,rank5,nuniv5,rank10,nuniv10
2026-08-18,DLLL,575,28.886000000000003,28.655,0,1,clean,4.0,28.9727,25000.0,0.0,-1.0093,-2449.46,-2471.99,-2505.71,-2449.43,clean,4.0,28.9727,25000.0,0.0,-1.0093,-2449.46,-2471.99,-2505.71,-2449.43,clean,4.0,28.9727,25000.0,0.0,-1.0093,-2449.46,-2471.99,-2505.71,-2449.43,clean,4.0,28.9727,25000.0,0.0,-1.0093,-2449.46,-2471.99,-2505.71,-2449.43,20,64,,
2026-08-18,EYPT,575,5.203000000000001,5.34,1,0,adverse,2.0,5.255,25000.0,0.0,0.4349,1137.88,1137.88,1137.88,1137.81,adverse,1.0,5.3071,25000.0,0.0,0.3112,881.59,881.59,881.59,881.52,gap_into,0.0,5.34,25000.0,0.0,0.2434,721.91,721.91,721.91,721.85,gap_into,0.0,5.34,25000.0,0.0,0.2434,721.91,721.91,721.91,721.85,5,64,,
2026-08-18,FCEL,575,23.276000000000003,23.55,1,0,adverse,0.0,23.5088,25000.0,0.0,-0.4748,-1413.91,-1413.91,-1413.91,-1413.75,gap_into,0.0,23.55,24876.76,0.0,-0.4824,-1448.04,-1448.04,-1448.04,-1447.88,gap_into,0.0,23.55,24876.76,0.0,-0.4824,-1448.04,-1448.04,-1448.04,-1447.88,gap_into,0.0,23.55,24876.76,0.0,-0.4824,-1448.04,-1448.04,-1448.04,-1447.88,15,64,,
2026-08-18,FCUV,579,7.194000000000001,6.83,0,0,clean,0.0,7.2156,25000.0,0.0,1.6367,3813.8,3785.0,3741.91,3813.76,clean,0.0,7.2156,25000.0,0.0,1.6367,3813.8,3785.0,3741.91,3813.76,clean,0.0,7.2156,25000.0,0.0,1.6367,3813.8,3785.0,3741.91,3813.76,clean,0.0,7.2156,25000.0,0.0,1.6367,3813.8,3785.0,3741.91,3813.76,33,71,,
2026-08-18,FGI,586,9.768000000000002,9.75,0,0,clean,0.0,9.7973,15862.35,0.0,-0.444,-678.48,-693.67,-716.39,-678.4,clean,0.0,9.7973,15862.35,0.0,-0.444,-678.48,-693.67,-716.39,-678.4,clean,0.0,9.7973,15862.35,0.0,-0.444,-678.48,-693.67,-716.39,-678.4,clean,0.0,9.7973,15862.35,0.0,-0.444,-678.48,-693.67,-716.39,-678.4,50,73,42.0,73.0
2026-08-18,GNPX,615,4.664000000000001,4.55,0,0,clean,0.0,4.678,5833.2,0.0,-1.0062,-820.04,-825.05,-832.55,-820.07,clean,0.0,4.678,5833.2,0.0,-1.0062,-820.04,-825.05,-832.55,-820.07,clean,0.0,4.678,5833.2,0.0,-1.0062,-820.04,-825.05,-832.55,-820.07,clean,0.0,4.678,5833.2,0.0,-1.0062,-820.04,-825.05,-832.55,-820.07,17,74,23.0,74.0
2026-08-18,HAO,617,4.565,4.5299,0,0,clean,0.0,4.5787,8441.25,0.0,-0.3927,-385.66,-393.72,-405.77,-385.66,clean,0.0,4.5787,8441.25,0.0,-0.3927,-385.66,-393.72,-405.77,-385.66,clean,0.0,4.5787,8441.25,0.0,-0.3927,-385.66,-393.72,-405.77,-385.66,clean,0.0,4.5787,8441.25,0.0,-0.3927,-385.66,-393.72,-405.77,-385.66,28,74,21.0,74.0
2026-08-18,HSAI,580,17.281000000000002,17.24,0,1,clean,15.0,17.3328,25000.0,0.0,-0.0507,-126.23,-151.09,-188.28,-126.3,clean,15.0,17.3328,25000.0,0.0,-0.0507,-126.23,-151.09,-188.28,-126.3,clean,15.0,17.3328,25000.0,0.0,-0.0507,-126.23,-151.09,-188.28,-126.3,clean,15.0,17.3328,25000.0,0.0,-0.0507,-126.23,-151.09,-188.28,-126.3,8,71,16.0,64.0
2026-08-18,IPST,599,8.239,8.08,0,0,clean,0.0,8.2637,14056.2,0.0,4.3248,12971.81,12897.33,12786.9,12971.86,clean,0.0,8.2637,14056.2,0.0,4.3248,12971.81,12897.33,12786.9,12971.86,clean,0.0,8.2637,14056.2,0.0,4.3248,12971.81,12897.33,12786.9,12971.86,clean,0.0,8.2637,14056.2,0.0,4.3248,12971.81,12897.33,12786.9,12971.86,73,74,70.0,74.0
2026-08-18,NMAX,608,11.341,11.3158,0,0,clean,0.0,11.375,25000.0,0.0,-0.1469,-252.98,-277.72,-314.74,-253.01,clean,0.0,11.375,25000.0,0.0,-0.1469,-252.98,-277.72,-314.74,-253.01,clean,0.0,11.375,25000.0,0.0,-0.1469,-252.98,-277.72,-314.74,-253.01,clean,0.0,11.375,25000.0,0.0,-0.1469,-252.98,-277.72,-314.74,-253.01,14,74,11.0,74.0
2026-08-18,NUAI,578,5.753000000000001,5.72,0,1,clean,1.0,5.7703,25000.0,0.0,-1.0088,-2590.39,-2612.78,-2646.3,-2590.33,clean,1.0,5.7703,25000.0,0.0,-1.0088,-2590.39,-2612.78,-2646.3,-2590.33,clean,1.0,5.7703,25000.0,0.0,-1.0088,-2590.39,-2612.78,-2646.3,-2590.33,clean,1.0,5.7703,25000.0,0.0,-1.0088,-2590.39,-2612.78,-2646.3,-2590.33,17,69,,
2026-08-18,ONDG,577,3.4320000000000004,3.38,0,0,clean,0.0,3.4423,25000.0,0.0,-0.1273,-322.73,-347.4,-384.31,-322.63,clean,0.0,3.4423,25000.0,0.0,-0.1273,-322.73,-347.4,-384.31,-322.63,clean,0.0,3.4423,25000.0,0.0,-0.1273,-322.73,-347.4,-384.31,-322.63,clean,0.0,3.4423,25000.0,0.0,-0.1273,-322.73,-347.4,-384.31,-322.63,12,68,,
2026-08-18,ONDL,577,8.701,8.63,0,0,clean,0.0,8.7271,25000.0,0.0,-0.1066,-271.6,-296.33,-333.33,-271.66,clean,0.0,8.7271,25000.0,0.0,-0.1066,-271.6,-296.33,-333.33,-271.66,clean,0.0,8.7271,25000.0,0.0,-0.1066,-271.6,-296.33,-333.33,-271.66,clean,0.0,8.7271,25000.0,0.0,-0.1066,-271.6,-296.33,-333.33,-271.66,11,68,,
2026-08-18,QMCO,581,26.224,25.78,0,1,miss_noelect,,,,,,,,,,miss_noelect,,,,,,,,,,miss_noelect,,,,,,,,,,miss_noelect,,,,,,,,,,31,73,21.0,66.0
2026-08-18,QPUX,581,20.35,20.3,0,1,gap_into,1.0,20.4993,4385.55,0.0,-0.8468,-407.31,-407.31,-407.31,-407.3,gap_into,1.0,20.4993,4385.55,0.0,-0.8468,-407.31,-407.31,-407.31,-407.3,gap_into,1.0,20.4993,4385.55,0.0,-0.8468,-407.31,-407.31,-407.31,-407.3,gap_into,1.0,20.4993,4385.55,0.0,-0.8468,-407.31,-407.31,-407.31,-407.3,16,73,10.0,66.0
