day,symbol,entry_m,ctrl_entry_m,rr,why
2025-04-11,UVXY,666,651,-1.0182375000000008,stop
2025-04-11,SPYU,754,739,2.0,target
2025-04-11,TQQQ,759,744,2.0,target
2025-04-11,MRNA,824,809,1.3064239193553169,eod
2025-04-11,BULZ,825,810,1.9980330102036674,eod
2025-04-14,TECS,585,570,2.0,target
2025-04-14,ATAT,589,574,0.392406394615063,eod
2025-04-14,SMMT,606,591,2.0,target
2025-04-14,SDGR,624,609,2.0,target
2025-04-14,ROOT,633,618,0.5250701630576095,eod
2025-04-14,VIXY,709,694,2.0,target
2025-04-15,PLTU,590,575,2.0,target
2025-04-15,PTIR,590,575,2.0,target
2025-04-15,DJT,614,599,2.0,target
2025-04-16,SMCI,623,608,-1.066505050505055,stop
2025-04-16,MSTX,626,611,-1.042870905587666,stop
2025-04-17,ASTS,592,577,-1.048687499999998,stop
2025-04-17,HIMS,596,581,2.0,target
2025-04-17,VKTX,604,589,2.0,target
2025-04-17,SOXS,626,611,2.0,target
2025-04-17,TTD,638,623,2.0,target
2025-04-17,DJT,676,661,2.0,target
2025-04-21,TGTX,596,581,-1.0333103448275869,stop
2025-04-21,NVD,617,602,2.0,target
2025-04-21,LABU,628,613,2.0,target
2025-04-21,UVIX,709,694,-1.0547894736842107,stop
2025-04-22,MEDP,586,571,1.9999999999999978,target
2025-04-22,MSTR,640,625,0.8357216988350494,eod
2025-04-22,UPST,677,662,2.0,target
2025-04-22,SPYU,722,707,0.8784455839936727,eod
2025-04-22,PLTU,734,719,2.0,target
2025-04-23,BNTX,626,611,2.0,target
2025-04-23,ASTS,627,612,-1.054488372093023,stop
2025-04-23,NUGT,649,634,2.0,target
2025-04-23,AGQ,650,635,1.8303848391291149,eod
2025-04-23,DJT,782,767,2.0,target
2025-04-24,ASTS,586,571,2.0,target
2025-04-24,PINS,598,583,-0.1682206682206609,eod
2025-04-24,HOOD,603,588,2.0,target
2025-04-25,FIX,587,572,2.0,target
2025-04-25,MSTX,605,590,-1.0664905660377344,stop
2025-04-25,CRWV,609,594,-1.0404507042253521,stop
2025-04-25,BOIL,640,625,-1.078725806451615,stop
