day,symbol,entry_m,rr_booked,rr_walk
2025-10-22,UUUU,584,2.0,2.0
2025-10-22,VXX,754,-1.0400994152046747,-1.0400994152046747
2025-10-23,HAS,577,0.5417106652587113,0.5417106652587113
2025-10-23,SNDK,578,2.0,2.0
2025-10-23,WST,578,-0.6814906832298124,-0.6814906832298124
2025-10-23,MULL,580,0.9147962605025438,0.9147962605025438
2025-10-23,LRCX,627,1.099354838709675,1.099354838709675
2025-10-24,AMUU,578,0.4873096446700515,0.4873096446700515
2025-10-24,IONX,578,-1.0234155701754384,-1.0234155701754384
2025-10-24,AMDL,579,0.7464712269272552,0.7464712269272552
2025-10-24,ENVA,583,-0.0780952380952374,-0.07809523809523744
2025-10-24,SNDK,636,1.3643892339544346,1.3643892339544346
2025-10-27,BBIO,577,0.9380097879282224,0.9380097879282225
2025-10-27,CRI,577,0.628846153846154,0.628846153846154
2025-10-27,DYN,578,-0.0810810810810813,-0.08108108108108131
2025-10-27,EDN,579,-1.0816883720930242,-1.0816883720930242
2025-10-27,SEPN,611,-0.2400000000000005,-0.24000000000000057
2025-10-28,AGYS,577,0.4155172413793119,0.41551724137931195
2025-10-28,RMBS,578,0.2144816350100035,0.21448163501000353
2025-10-28,WGS,579,-1.0098367264664383,-1.0098367264664383
2025-10-28,ARQT,580,0.7204968944099382,0.7204968944099382
2025-10-28,APLD,610,-1.0602542372881365,-1.0602542372881363
2025-10-29,ITT,579,1.0858765081618111,1.0858765081618111
2025-10-29,REYN,580,-1.0212136752136738,-1.0212136752136738
2025-10-29,HURN,583,0.4591679506933722,0.4591679506933722
2025-10-29,MENS,585,1.234800838574423,1.2348008385744227
2025-10-29,EAT,608,2.0,2.0
2025-10-29,RUN,615,-1.063551083591335,-1.063551083591335
2025-10-30,CAH,577,-1.0206033613445382,-1.0206033613445382
2025-10-30,CALX,577,-0.1409638554216884,-0.14096385542168846
2025-10-30,VNT,578,-1.01900479616307,-1.01900479616307
2025-10-30,IDCC,580,0.426826029216469,0.42682602921646906
2025-10-31,APPX,579,-0.1626604012289915,-0.16266040122899156
2025-10-31,ROKU,580,-1.023436681222706,-1.023436681222706
2025-10-31,CONL,585,-0.1241610738255047,-0.12416107382550472
2025-10-31,APLD,589,-1.028620967741938,-1.028620967741938
2025-11-03,BRKR,579,-1.0221403508771942,-1.0221403508771942
2025-11-03,BE,587,0.8251454981170749,0.8251454981170749
2025-11-03,TSLL,589,0.1407147415443532,0.1407147415443532
2025-11-03,TSLR,589,0.1836734693877554,0.1836734693877554
2025-11-03,LABX,599,-1.0310000000000017,-1.0310000000000015
2025-11-03,SOFX,609,-1.341851604938265,-1.341851604938265
