cell,split,n_days,day_mean,day_t,green_days,total,green,per_wk,n,gross,net,mdd,worst,h1,h2,val,mde_day
F14-d5a spy_rng5_atr T1 (quiet),VAL,39,68.90060130998405,1.2229577038559063,58.97435897435898,2687.1234510893782,43.47826086956522,12.130434782608695,279,0.16485163106348052,0.0963126684978272,-957.3728770391668,-957.3728770391668,,,68.90060130998405,157.75008658082433
F14-d5b spy_rng5_atr T2,TRAIN,80,-103.42443719290932,-2.6636340843523967,36.25,-8273.954975432745,28.30188679245283,10.0,530,-0.08788551197941792,-0.15611235802703294,-8814.638991002352,-1530.0082738820959,-102.17038965821507,-104.17686571372586,,108.71929663362641
F14-d5b spy_rng5_atr T2,VAL,28,-76.04576611114317,-1.0072768946207766,39.285714285714285,-2129.281451112008,21.73913043478261,8.304347826086957,191,-0.04158644919051332,-0.11148070424670202,-3135.0739470225885,-811.9147178532821,,,-76.04576611114317,211.38988320720375
F14-d5c spy_rng5_atr T3 (wild),TRAIN,81,-42.73759811335219,-0.9342758714336911,39.50617283950617,-3461.745447181529,24.528301886792452,11.377358490566039,603,0.010010399985838659,-0.05740871388360744,-7189.996357760081,-1966.1877200168158,-57.72797984144312,-30.13204984200306,,128.08344770132408
F14-d5c spy_rng5_atr T3 (wild),VAL,35,9.58008639615613,0.21972844170135644,54.285714285714285,335.3030238654646,39.130434782608695,10.26086956521739,236,0.08622864371491644,0.014207755248536645,-1517.9037117767666,-472.679999868757,,,9.58008639615613,122.07906132468406
F14-d6a breadth T1 (narrow),TRAIN,242,-71.6757881307032,-2.969112983774578,38.84297520661157,-17345.540727630174,32.075471698113205,30.60377358490566,1622,-0.03895918684147366,-0.10693921533680749,-18928.988592607817,-2231.432721493132,-96.6034697961167,-48.34347809187614,,67.59332092200569
F14-d6a breadth T1 (narrow),VAL,102,8.75632376316504,0.26075018297350905,51.9607843137255,893.1450238428342,43.47826086956522,30.695652173913043,706,0.08272033029467893,0.012650779374544391,-2940.0336675961444,-957.3728770391668,,,8.75632376316504,94.02757174422767
F14-d6b breadth T2,TRAIN,0,,,,0.0,0.0,0.0,0,,,0.0,0.0,,,,
F14-d6b breadth T2,VAL,0,,,,0.0,0.0,0.0,0,,,0.0,0.0,,,,
F14-d6c breadth T3 (broad),TRAIN,0,,,,0.0,0.0,0.0,0,,,0.0,0.0,,,,
F14-d6c breadth T3 (broad),VAL,0,,,,0.0,0.0,0.0,0,,,0.0,0.0,,,,
F14-d8 spy_r5>0 x rank composite,TRAIN,124,-16.835631518018474,-0.5385876289254867,48.38709677419355,-2087.6183082342905,43.39622641509434,15.584905660377359,826,0.042687274871608435,-0.02527382939750957,-6294.969748004412,-1178.4051986801821,-62.27452577111166,25.763331844256367,,87.52478838865696
F14-d8 spy_r5>0 x rank composite,VAL,52,87.18583084644108,1.846987570312268,67.3076923076923,4533.663204014936,60.86956521739131,15.608695652173912,359,0.19406885265405166,0.12628588312019318,-1201.0812815982288,-893.1689831882843,,,87.18583084644108,132.1721544280679
F14-d9 ORACLE day set (y>0) [bound],TRAIN,94,290.0995244006599,11.427818008432443,100.0,27269.35529366203,83.01886792452831,11.433962264150944,606,0.5123779225021268,0.4499893612815516,0.0,0.0,284.8107566145253,294.9565560409876,,71.07906931336126
F14-d9 ORACLE day set (y>0) [bound],VAL,53,263.53895533808765,9.470123291172877,100.0,13967.564632918646,95.65217391304348,15.652173913043478,360,0.4542559548511005,0.38798790646996234,0.0,0.0,,,263.53895533808765,77.91969040513465
