cell,split,conv,n_trades,raw_bps,mean_bps,t,nw_t,pct_pos,ex_jan_bps,jan_bps,mde_bps,mdd_pct,worst_bps,n_months,ex_top_1_bps,ex_top_1_t,ex_top_5_bps,ex_top_5_t,sym_top_1_bps,sym_top_5_bps,ex_taint_bps,ex_taint_t,taint_share,lls,honest_cost_bps,gross_excess_bps,rt_per_month,breakeven_bps_per_rt,breakeven_x_honest,ends_mid_hold,haircut_bps,mean_hold_sessions,book_n,book_usd_mo,book_raw_usd_mo,book_t,book_mde_usd,book_pct_pos,book_worst,book_mdd_usd,tr_wk,book_empty_months,book_usd_mo_held,boot_p
A2-LS,VAL,sealed,12290,9.859838128915833,9.859838128915833,0.0769706572576963,0.07479092562795961,54.166666666666664,34.99595937273937,-266.6374955531431,256.1973219458236,-17.93089653341613,-1382.392807557802,24,-127.51920217953474,-1.1223442273094388,-429.24298384675797,-4.366736941056455,-127.51920217953474,-429.24298384675797,18.24000762602515,0.13991579573090387,0.0004706620646375902,1.7937234569541485,1.0114660995782612,13.935434115774868,2.0112089431138624,6.928884322779152,6.850337668922572,0,9.859838128915833,10.44148101663006,940,-69.10685230696144,125.03093726392513,-0.12428669662599555,1112.055500435711,45.83333333333333,-5533.473495360126,-12709.168831152752,9.026063100137174,0,-69.10685230696144,
A2-LS,VAL,complete,12573,17.588104792597104,17.588104792597104,0.14111924461727546,0.13746967662693257,54.166666666666664,43.42679573311894,-266.6374955531431,249.26585796709983,-16.164507597994927,-1196.9144076294513,24,-116.15253744472231,-1.0495577165379244,-421.02843349321176,-4.40697568434724,-116.15253744472231,-421.02843349321176,25.953842797457835,0.20446423728688135,0.0006135910415707931,1.2751418055984705,1.009753389972171,21.700221622615867,2.01740373421359,10.756509098598894,10.65261003867028,0,17.588104792597104,10.409418622488111,960,-42.6916885916443,118.96466989648934,-0.07776834462600078,1097.9194374511842,45.83333333333333,-5533.473495360126,-12709.168831152752,9.218106995884774,0,-42.6916885916443,
A3-LO,TRAIN,sealed,6344,144.69177774749494,8.884383877493184,0.298351091239092,0.29806892619906195,59.32203389830508,8.330041104807608,16.506597001919864,59.55657035203156,-19.232520611712587,-997.0646340060985,59,-32.83670535653919,-1.2859165066962521,-108.0980375070852,-3.607885337083877,6.900557654573897,10.319466983352617,9.883518163581217,0.32845100031381685,0.0033102143757881464,,0.4138703170004462,9.291697683368508,1.0003529137914204,9.28841967196577,22.442826388913886,0,8.884383877493184,20.992591424968474,1160,191.647109497463,1075.3116112088674,0.38274906293376126,1001.4243171674573,42.3728813559322,-8619.994169506776,-19888.868794808186,3.7060702875399363,0,191.647109497463,0.7870425914817036
A3-LO,VAL,sealed,2977,39.57035682104694,60.70999824283265,1.4553819727689226,1.5752897106173736,58.333333333333336,37.24410461373153,318.834828162945,83.42826746346107,-6.0757777991465645,-399.13406173605057,24,32.273130114383044,0.7739053897448374,-38.042822182866914,-0.8677679239358927,70.03274471901244,78.79494641400927,57.335319321345544,1.385053244177775,0.0026872690628149142,,0.4129977850039323,61.1078974928685,1.0047895337437116,60.81661426666004,147.25651438077563,0,60.70999824283265,20.899899227410145,460,896.2009763077457,732.872446151798,3.1099552657209104,576.3433231249387,70.83333333333334,-1939.5511997318472,-3243.7900220217434,4.4170096021947876,0,896.2009763077457,
A3-LO,VAL,complete,3102,64.96676252773429,56.26257825907042,1.3311326666440737,1.432484745509416,58.333333333333336,32.392373722354556,318.834828162945,84.53338974982012,-6.0757777991465645,-399.13406173605057,24,26.17675675449229,0.6163491668855611,-46.98310241502075,-1.0497662081371884,65.6072349456222,74.7375171632915,52.74056600377562,1.256871741836439,0.0025789813023855577,,0.413055727586241,56.668926007357086,1.0065359477124183,56.30094596834827,136.303511144494,0,56.26257825907042,20.863636363636363,480,915.5805430953507,951.2660773060707,3.194567677012916,573.2109228322659,70.83333333333334,-1939.5511997318472,-3243.7900220217434,4.609053497942387,0,915.5805430953507,
A3-LS,TRAIN,sealed,12146,-12.717501566742431,-12.717501566742431,-0.2552537670467229,-0.23728154429465567,50.847457627118644,-0.4753622125200817,-181.04691768729975,99.64594618041077,-36.233539060580334,-1404.8584927452723,59,-97.50030903384443,-1.7623912527752905,-280.6427517084626,-4.645760383376794,-97.50030903384443,-280.6427517084626,-14.632622072634739,-0.290842859103836,0.0033102143757881464,,1.6105650244638254,-9.446131321571016,1.0003529137914204,-9.442798827635135,-5.8630348257927345,0,-12.717501566742431,20.992591424968474,1160,191.647109497463,1075.3116112088674,0.38274906293376126,1001.4243171674573,42.3728813559322,-8619.994169506776,-19888.868794808186,3.7060702875399363,0,191.647109497463,0.8262347530493901
A3-LS,VAL,sealed,5757,136.27943701614691,136.27943701614691,1.6295948146183301,1.7461977089979386,66.66666666666666,87.07612277281356,677.5158936928138,167.25560954618666,-8.878755730279742,-424.35352867143837,24,40.891974477725164,0.5399166044405157,-149.28354848928063,-2.3957879774554978,40.891974477725164,-149.28354848928063,133.8461061458758,1.606873911559564,0.0026872690628149142,0.47901977237681126,1.6171695994851456,139.49995075478037,1.0047895337437116,138.83499585731371,85.85060954739335,0,136.27943701614691,20.899899227410145,460,896.2009763077457,732.872446151798,3.1099552657209104,576.3433231249387,70.83333333333334,-1939.5511997318472,-3243.7900220217434,4.4170096021947876,0,896.2009763077457,
A3-LS,VAL,complete,6003,124.0294881381651,124.0294881381651,1.4470787802383078,1.5244553712390958,66.66666666666666,73.71254217865159,677.5158936928138,171.42050568627602,-8.878755730279742,-424.35352867143837,24,25.752532424645434,0.3340244041552301,-171.01593547539807,-2.677874312977118,25.752532424645434,-171.01593547539807,121.62688207435777,1.424976806849081,0.0025789813023855577,0.4786390166491653,1.6159531904159328,127.31308829546332,1.0065359477124183,126.48637992990837,78.27354200609724,0,124.0294881381651,20.863636363636363,480,915.5805430953507,951.2660773060707,3.194567677012916,573.2109228322659,70.83333333333334,-1939.5511997318472,-3243.7900220217434,4.609053497942387,0,915.5805430953507,
A4-LO,TRAIN,sealed,15112,113.63582779999957,4.382315965832326,0.4983184886983214,0.5362820076486119,50.0,2.6258495997079816,28.09461190851098,17.588414097496393,-3.644539858174467,-147.48604919716303,58,-24.576129545650073,-1.8005110173190997,-84.178869028937,-3.7539865039949336,4.431806528661451,6.941449869107294,4.382315965832326,0.4983184886983214,0.0,,0.40610663925438806,4.781767144421421,0.998778875810411,4.787613414972845,11.78905477576753,0,4.382315965832326,21.025674960296453,1140,317.4432914708892,1043.002569328468,1.337954456774908,474.52032446018393,56.896551724137936,-2970.5129936600893,-5572.018933932473,3.642172523961661,0,317.4432914708892,0.5880823835232953
A4-LO,VAL,sealed,6836,22.2317411686343,-9.101041553251552,-0.7655872448682447,-0.7011916348964523,50.0,-4.595765409252358,-58.659079137242664,23.77532179188229,-3.456953430666909,-122.89844969675889,24,-31.404261204747797,-2.2397053993941087,-87.25194678903934,-3.963566683274706,-7.243162700462704,-5.005987955380477,-9.101041553251552,-0.7655872448682447,0.0,,0.40538659371557156,-8.712764363249711,0.9930204406322415,-8.77400303834876,-21.643545135349985,0,-9.101041553251552,21.147600936220012,460,-152.48446657442676,53.75248766420452,-0.4684632928521989,650.998568728995,45.83333333333333,-3334.5536453036925,-8380.236358765904,4.4170096021947876,0,-152.48446657442676,
