symbol,date,entry_time_et,entry_price,stop_loss,pnl,avg_volume_20d,err,ask_pre,bid_pre,t_fill,first_trade_px,bar_trade_hi,bar_n_trades,ask_fill,bid_fill,r_ps,R,mid,sp_bps,excess,excess_bps,dR,dR_pos
EGG,2025-07-09,09:57:00,7.19,6.96,5405.37,1142215,,7.15,7.11,2025-07-09T13:57:00.540099+00:00,7.138,7.2586,47,7.15,7.11,0.23000000000000043,2.702685,7.130000000000001,56.10098176718097,-0.040000000000000036,-55.63282336578586,-0.1739130434782607,0.0
SDM,2025-08-07,10:18:00,10.74,10.37,6989.64,752520,,10.64,10.31,2025-08-07T14:18:04.967884+00:00,10.63,11.0,70,10.64,10.31,0.370000000000001,3.4948200000000003,10.475000000000001,315.0357995226731,-0.09999999999999964,-93.10986964618216,-0.27027027027026856,0.0
FABC,2025-09-11,09:53:00,4.84,4.69,1438.8,341498,,4.81,4.71,2025-09-11T13:53:15.089559+00:00,4.8055,5.04,29,4.81,4.75,0.14999999999999947,0.7193999999999999,4.779999999999999,125.52301255230046,-0.03000000000000025,-61.98347107438068,-0.20000000000000237,0.0
SBLX,2025-09-11,09:53:00,4.84,4.69,1438.8,341498,,4.81,4.71,2025-09-11T13:53:15.089559+00:00,4.8055,5.04,29,4.81,4.75,0.14999999999999947,0.7193999999999999,4.779999999999999,125.52301255230046,-0.03000000000000025,-61.98347107438068,-0.20000000000000237,0.0
AQMS,2025-10-13,09:39:00,6.83,6.61,5940.78,2592400,,6.75,6.7,2025-10-13T13:39:00.745691+00:00,6.7216,6.8968,73,6.75,6.7,0.21999999999999975,2.97039,6.725,74.3494423791819,-0.08000000000000007,-117.1303074670572,-0.36363636363636437,0.0
IPDN,2025-10-13,09:57:00,3.62,3.46,7649.24,2643889,,3.57,3.5,2025-10-13T13:57:00.520858+00:00,3.5001,3.65,130,3.57,3.5,0.16000000000000014,3.82462,3.535,198.01980198019757,-0.050000000000000266,-138.12154696132671,-0.3125000000000014,0.0
DFNS,2025-10-16,09:38:00,15.28,14.86,-4605.8,2763531,,15.24,14.91,2025-10-16T13:38:00.407401+00:00,15.24,15.25,225,15.24,14.91,0.41999999999999993,-2.3029,15.075,218.905472636816,-0.03999999999999915,-26.17801047120363,-0.09523809523809322,0.0
DTCK,2025-11-05,09:45:00,4.49,4.39,1662.44,2274726,,4.47,4.46,2025-11-05T14:45:00.940979+00:00,4.4697,4.47,71,4.47,4.46,0.10000000000000053,0.8312200000000001,4.465,22.39641657334779,-0.020000000000000462,-44.543429844099016,-0.20000000000000356,0.0
AREN,2025-11-14,09:46:00,3.86,3.65,4393.89,228795,,3.94,3.75,2025-11-14T14:46:06.066578+00:00,3.845,3.9399,4,3.94,3.75,0.20999999999999996,2.1969450000000004,3.8449999999999998,494.1482444733419,0.08000000000000007,207.2538860103629,0.3809523809523814,0.3809523809523814
PAAI,2025-11-14,09:46:00,3.86,3.65,2441.07,228795,,3.94,3.75,2025-11-14T14:46:06.066578+00:00,3.845,3.9399,4,3.94,3.75,0.20999999999999996,1.2205350000000001,3.8449999999999998,494.1482444733419,0.08000000000000007,207.2538860103629,0.3809523809523814,0.3809523809523814
VELO,2025-11-20,09:46:00,4.92,4.74,4799.2,578889,,4.9,4.8,2025-11-20T14:46:03.997522+00:00,4.9,4.9,4,4.9,4.8,0.17999999999999972,2.3996,4.85,206.1855670103104,-0.019999999999999574,-40.65040650406417,-0.11111111111110891,0.0
PHGE,2025-12-08,08:58:00,3.2,3.09,-2303.4,681064,,3.37,3.1,2025-12-08T13:58:08.124449+00:00,3.15,3.34,14,3.37,3.1,0.11000000000000032,-1.1517,3.2350000000000003,834.6213292117465,0.16999999999999993,531.2499999999998,1.5454545454545403,1.5454545454545403
KZIA,2025-12-23,10:36:00,8.12,7.76,10966.85,284764,,8.07,8.01,2025-12-23T15:36:19.776260+00:00,8.04,8.25,55,8.07,8.01,0.35999999999999943,5.483425,8.04,74.62686567164242,-0.049999999999998934,-61.576354679801646,-0.13888888888888615,0.0
KXIN,2025-12-29,10:15:00,5.2,4.96,-280.58,1456492,,5.18,4.97,2025-12-29T15:15:20.880139+00:00,4.97,5.18,7,5.18,4.97,0.2400000000000002,-0.14029,5.074999999999999,413.7931034482758,-0.020000000000000462,-38.46153846153935,-0.08333333333333519,0.0
KXIN,2025-12-29,10:19:00,5.2,4.96,-4455.71,1456492,,5.16,4.98,2025-12-29T15:19:18.765461+00:00,5.16,5.2,7,5.16,4.98,0.2400000000000002,-2.227855,5.07,355.029585798816,-0.040000000000000036,-76.92307692307699,-0.16666666666666666,0.0
VELO,2026-01-06,09:49:00,17.1,16.64,1530.5,1889690,,17.15,16.67,2026-01-06T14:49:05.667411+00:00,17.01,17.15,52,17.15,16.99,0.46000000000000085,0.76525,17.07,93.73169302870541,0.04999999999999716,29.239766081869682,0.10869565217390666,0.10869565217390666
BNRG,2026-01-27,10:00:00,3.19,3.03,2300.03,926502,,3.15,3.12,2026-01-27T15:00:08.356943+00:00,3.135,3.25,25,3.15,3.12,0.16000000000000014,1.150015,3.135,95.69377990430561,-0.040000000000000036,-125.39184952978067,-0.25,0.0
BRNX,2026-01-27,10:00:00,3.19,3.03,2300.03,926502,,3.15,3.12,2026-01-27T15:00:08.356943+00:00,3.135,3.25,25,3.15,3.12,0.16000000000000014,1.150015,3.135,95.69377990430561,-0.040000000000000036,-125.39184952978067,-0.25,0.0
KPTI,2026-02-12,09:46:00,7.81,7.51,10396.54,415232,,7.77,7.67,2026-02-12T14:46:02.708356+00:00,7.706,7.9792,99,7.77,7.67,0.2999999999999998,5.198270000000001,7.72,129.53367875647623,-0.040000000000000036,-51.21638924455831,-0.13333333333333353,0.0
DBGI,2026-02-17,10:23:00,5.66,5.48,-3482.72,767334,,5.65,5.54,2026-02-17T15:23:11.634812+00:00,5.65,5.65,9,5.65,5.54,0.17999999999999972,-1.7413599999999998,5.595000000000001,196.60411081322664,-0.009999999999999787,-17.667844522967822,-0.055555555555554456,0.0
ADVB,2026-02-24,10:42:00,4.88,4.72,-2729.01,424841,,4.85,4.75,2026-02-24T15:42:03.471403+00:00,4.84,4.95,27,4.85,4.8,0.16000000000000014,-1.364505,4.824999999999999,103.62694300518099,-0.03000000000000025,-61.475409836066085,-0.1875000000000014,0.0
LAW,2026-02-25,10:02:00,3.1,2.96,-2627.33,494942,,3.04,3.02,2026-02-25T15:02:06.237833+00:00,3.03,3.1657,155,3.04,3.02,0.14000000000000012,-1.3136649999999999,3.0300000000000002,66.00660066006606,-0.06000000000000005,-193.54838709677438,-0.42857142857142855,0.0
ANPA,2026-02-27,10:14:00,11.04,10.55,-6314.41,539950,,11.0,10.5,2026-02-27T15:14:05.395127+00:00,10.66,11.0,15,11.0,10.5,0.48999999999999844,-3.157205,10.75,465.1162790697674,-0.03999999999999915,-36.23188405797025,-0.08163265306122301,0.0
QCLS,2026-03-06,10:20:00,3.97,3.79,917.64,328015,,3.93,3.89,2026-03-06T15:20:05.886944+00:00,3.93,3.99,184,3.93,3.89,0.18000000000000016,0.45882,3.91,102.30179028133,-0.040000000000000036,-100.75566750629731,-0.2222222222222222,0.0
EDHL,2026-03-13,10:13:00,3.64,3.51,301.81,210545,,3.64,3.52,2026-03-13T14:13:00.184789+00:00,3.64,3.64,15,3.64,3.52,0.13000000000000034,0.150905,3.58,335.1955307262573,0.0,0.0,0.0,0.0
MKDW,2026-03-26,09:51:00,6.13,5.86,7506.13,370929,,6.1,6.05,2026-03-26T13:51:00.596026+00:00,6.0604,6.1708,73,6.1,6.05,0.2699999999999996,3.753065,6.074999999999999,82.30452674897091,-0.03000000000000025,-48.93964110929894,-0.1111111111111122,0.0
GLND,2026-04-01,09:47:00,8.22,8.02,-4498.4,1453348,,8.12,8.08,2026-04-01T13:47:02.078049+00:00,8.11,8.3,78,8.12,8.08,0.20000000000000107,-2.2491999999999996,8.1,49.38271604938166,-0.10000000000000142,-121.65450121654673,-0.5000000000000044,0.0
TMCR,2026-04-09,09:57:00,11.56,11.21,9761.27,588449,,11.95,11.02,2026-04-09T13:57:05.349469+00:00,11.55,11.55,10,11.95,11.02,0.34999999999999964,4.880635,11.485,809.7518502394424,0.3899999999999988,337.3702422145318,1.1142857142857119,1.1142857142857119
TRT,2026-05-15,10:45:00,18.47,17.82,4202.5,2740118,,18.2,17.96,2026-05-15T14:45:00.109340+00:00,17.9743,18.46,132,18.2,17.96,0.6499999999999986,2.10125,18.08,132.74336283185755,-0.2699999999999996,-146.18299945858126,-0.41538461538461563,0.0
MLGO,2026-05-20,10:15:00,4.6,4.4,7216.38,607952,,4.57,4.5,2026-05-20T14:15:01.283722+00:00,4.535,4.63,91,4.57,4.5,0.1999999999999993,3.60819,4.535,154.35501653803811,-0.02999999999999936,-65.21739130434645,-0.14999999999999733,0.0
LESL,2026-06-09,10:05:00,6.77,6.58,-4461.13,2755669,,6.85,6.67,2026-06-09T14:05:04.293070+00:00,6.75,6.7894,25,6.85,6.67,0.1899999999999995,-2.230565,6.76,266.272189349112,0.08000000000000007,118.16838995568696,0.42105263157894884,0.42105263157894884
INDP,2026-06-11,10:25:00,3.24,3.12,-219.46,2664475,,3.22,3.19,2026-06-11T14:25:00.804164+00:00,3.22,3.3,160,3.22,3.19,0.1200000000000001,-0.10973000000000001,3.205,93.60374414976677,-0.020000000000000018,-61.72839506172844,-0.16666666666666666,0.0
CRE,2026-06-12,10:23:00,3.17,3.04,4349.4,504064,,3.19,3.1,2026-06-12T14:23:00.010041+00:00,3.145,3.18,10,3.19,3.1,0.1299999999999999,2.1746999999999996,3.145,286.1685214626387,0.020000000000000018,63.09148264984233,0.1538461538461541,0.1538461538461541
ASBP,2026-06-16,09:57:00,6.14,5.87,6511.86,1056507,,6.09,5.84,2026-06-16T13:57:02.499903+00:00,5.84,6.5,361,6.09,5.84,0.2699999999999996,3.2559299999999998,5.965,419.11148365465215,-0.04999999999999982,-81.43322475570004,-0.18518518518518481,0.0
RBNE,2026-07-16,10:39:00,4.8,4.69,-1856.05,387808,,4.73,4.7,2026-07-16T14:39:01.266630+00:00,4.7299,4.79,50,4.73,4.7,0.10999999999999943,-0.928025,4.715,63.62672322375451,-0.0699999999999994,-145.8333333333321,-0.6363636363636341,0.0
TJGC,2026-08-18,10:22:00,4.97,4.75,-5210.23,1223937,,4.89,4.7,2026-08-18T14:22:00.235972+00:00,4.7194,4.99,64,4.89,4.7,0.21999999999999975,-2.6051149999999996,4.795,396.24608967674556,-0.08000000000000007,-160.96579476861183,-0.36363636363636437,0.0
RDAC,2026-08-24,10:18:00,5.98,5.88,937.8,901995,,6.2,5.62,2026-08-24T14:18:05.706283+00:00,5.95,5.95,1,6.2,5.62,0.10000000000000053,0.4689,5.91,981.3874788494079,0.21999999999999975,367.89297658862836,2.199999999999986,2.199999999999986
