symbol,date,entry_time_et,entry_price,stop_loss,pnl,avg_volume_20d,err,ask_pre,bid_pre,t_fill,first_trade_px,bar_trade_hi,bar_n_trades,ask_fill,bid_fill,r_ps,R,mid,sp_bps,excess,excess_bps,dR,dR_pos
DDC,2025-05-30,10:34:00,8.04,7.75,-995.54,157660,,8.0,7.87,2025-05-30T14:34:05.839016+00:00,8.0,8.1,28.0,8.0,7.87,0.28999999999999915,-0.49777,7.9350000000000005,163.83112791430355,-0.03999999999999915,-49.75124378109347,-0.1379310344827561,0.0
TWAV,2025-06-09,09:58:00,3.94,3.81,1081.47,177228,,3.93,3.83,2025-06-09T13:58:03.400038+00:00,3.88,3.97,40.0,3.93,3.83,0.1299999999999999,0.540735,3.88,257.73195876288685,-0.009999999999999787,-25.380710659897936,-0.07692307692307535,0.0
LGL,2025-06-23,09:53:00,8.34,7.85,504.25,18602,,8.5,8.3,2025-06-23T13:53:00.375632+00:00,8.3002,8.75,55.0,8.5,8.3,0.4900000000000002,0.252125,8.4,238.09523809523725,0.16000000000000014,191.84652278177475,0.3265306122448981,0.3265306122448981
SPAI,2025-07-11,09:59:00,3.39,3.28,164.92,30833,,3.38,3.29,2025-07-11T13:59:05.300338+00:00,3.3687,3.3687,8.0,3.38,3.29,0.11000000000000032,0.08245999999999999,3.335,269.86506746626645,-0.010000000000000231,-29.49852507374699,-0.09090909090909274,0.0
DOGZ,2025-08-13,10:28:00,10.45,9.99,-722.06,73416,,10.39,10.01,2025-08-13T14:28:10.913256+00:00,10.37,10.9999,65.0,10.39,10.01,0.4599999999999991,-0.36102999999999996,10.2,372.54901960784395,-0.05999999999999872,-57.416267942582515,-0.13043478260869312,0.0
NPCE,2025-08-13,09:48:00,8.56,8.35,1230.54,190941,,8.62,8.46,2025-08-13T13:48:01.749752+00:00,8.53,8.58,27.0,8.62,8.46,0.21000000000000085,0.61527,8.54,187.3536299765789,0.05999999999999872,70.09345794392374,0.2857142857142785,0.2857142857142785
APLM,2025-09-16,09:58:00,11.87,11.24,-1160.64,48320,,11.79,11.3,2025-09-16T13:58:02.840197+00:00,11.6,11.87,26.0,11.79,11.3,0.629999999999999,-0.5803200000000001,11.545,424.4261585101762,-0.08000000000000007,-67.39679865206409,-0.1269841269841273,0.0
RMCO,2025-10-20,10:31:00,3.92,3.77,652.0,114411,,3.86,3.74,2025-10-20T14:31:00.773827+00:00,3.86,3.95,10.0,3.86,3.74,0.1499999999999999,0.326,3.8,315.78947368420967,-0.06000000000000005,-153.06122448979607,-0.4000000000000006,0.0
DZZ,2025-10-24,10:27:00,3.67,3.59,-169.49,95215,,3.68,3.6,2025-10-24T14:27:28.616369+00:00,3.6,3.67,8.0,3.67,3.6,0.08000000000000007,-0.084745,3.635,192.57221458046726,0.0,0.0,0.0,0.0
EVCM,2025-11-07,09:37:00,8.96,8.66,930.16,168489,,9.04,8.87,2025-11-07T14:37:12.975781+00:00,8.92,9.03,3.0,9.04,8.87,0.3000000000000007,0.46508,8.954999999999998,189.83807928531542,0.0799999999999983,89.28571428571237,0.26666666666666033,0.26666666666666033
NEPH,2025-11-10,09:55:00,4.39,4.22,152.5,65385,,4.46,4.3,2025-11-10T14:55:45.459140+00:00,4.36,4.45,9.0,4.46,4.35,0.16999999999999993,0.07625,4.404999999999999,249.71623155505185,0.07000000000000028,159.45330296127628,0.4117647058823548,0.4117647058823548
LGHL,2025-11-26,10:34:00,6.03,5.89,656.28,138817,,6.15,6.0,2025-11-26T15:34:11.922596+00:00,6.0173,6.09,6.0,6.15,6.0,0.14000000000000057,0.32814,6.075,246.91358024691417,0.1200000000000001,199.0049751243783,0.8571428571428544,0.8571428571428544
