symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry,R
ZYBT,2025-03-25,10:12:00,6.69,6.59,6.87,1666,10:15:00,6.57,stop,-205.03,-1.84,False,,0,0.0,77.09,83342,6.71,-1.38,False,0.04,2,6.88,7.22,3.0,1.0,0.3,0.3,0.3,0.0,0.0,3.1,1.171,0.2,0.0,29.77,0.524,1.171,,-0.102515
NTCL,2025-04-04,10:07:00,7.14,6.72,7.84,3812,15:18:00,8.1,trail_stop,3660.05,13.46,False,,0,0.0,96.34,105915,4.13,5.71,False,,3,16.47,6.05,1.8,1.8,0.0,0.0,0.3,0.3,0.0,1.8,2.015,0.2,0.0,23.13,0.065,2.015,,1.830025
ARTV,2025-04-07,10:17:00,3.17,3.07,3.32,4723,10:18:00,3.06,stop,-498.55,-3.33,False,,0,0.0,126.03,131242,19.07,-6.15,False,-0.19,2,9.64,20.1,3.0,1.8,0.0,0.3,0.3,0.3,0.2,3.3,2.831,0.2,0.0,42.92,0.74,2.831,,-0.249275
INSG,2025-04-07,10:19:00,7.51,7.26,7.89,3997,10:21:00,7.24,stop,-1104.63,-3.68,False,,0,0.0,21.79,111077,10.89,-4.93,False,-0.19,3,6.03,12.33,2.3,1.8,0.3,0.0,0.3,0.3,0.2,2.3,2.831,0.2,0.0,21.79,0.89,2.831,,-0.552315
UFI,2025-04-17,09:43:00,5.48,5.3,5.85,2394,14:17:00,5.28,stop,-462.16,-3.52,False,,0,0.0,12.03,59873,2.82,16.23,False,,2,7.3,3.09,2.1,2.0,0.3,0.0,0.3,0.3,0.0,2.1,2.177,0.2,0.0,16.88,0.39,2.177,,-0.23108
RYM,2025-05-02,09:41:00,18.49,17.82,19.44,740,09:49:00,17.77,stop,-536.84,-3.92,False,,0,0.0,47.63,18512,2.5,-3.37,False,0.01,3,5.88,3.47,2.3,2.0,0.3,0.0,0.3,0.3,0.2,2.3,1.714,0.2,0.0,15.96,3.134,1.714,,-0.26842
GDEV,2025-05-05,10:05:00,14.43,13.88,15.14,554,10:09:00,14.88,trail_stop,248.87,3.11,False,,0,0.0,39.58,27720,1.73,5.37,False,0.02,2,5.81,3.5,2.1,1.0,0.3,0.0,0.3,0.3,0.0,2.1,1.65,0.2,0.0,21.07,1.968,1.65,,0.124435
LCFY,2025-05-07,09:49:00,5.43,5.19,5.96,587,09:50:00,5.17,stop,-151.18,-4.75,False,,0,0.0,36.82,29392,7.4,8.46,False,-0.08,2,18.0,7.27,2.0,1.0,0.0,0.3,0.3,0.0,0.2,2.0,1.032,0.2,0.0,25.14,0.84,1.032,,-0.07559
SOS,2025-05-12,09:58:00,7.01,6.79,7.29,376,10:00:00,7.09,trail_stop,27.93,1.06,False,,0,0.0,29.48,10471,5.51,7.65,False,-0.18,3,15.0,4.39,2.3,1.8,0.0,0.3,0.3,0.3,0.2,2.3,1.258,0.2,0.0,24.38,4.848,1.258,,0.013965
GENK,2025-05-14,09:49:00,4.42,4.27,4.75,731,10:00:00,4.26,stop,-120.4,-3.72,False,,0,0.0,24.58,36558,4.3,-4.76,False,0.08,3,14.2,4.8,3.0,1.0,0.0,0.3,0.3,0.0,0.2,3.0,0.982,0.2,0.0,24.58,0.178,0.982,,-0.060200000000000004
