symbol,date,entry_price,stop_loss,pnl,avg_volume_20d,n_q_pre,n_q_bar,err,q_ts,bid,ask,spread,spread_bps,bar_med_spread_bps,r_ps,R,excess_$,excess_bps,dR
ZYBT,2025-03-25,6.69,6.59,-205.03,83342.0,11.0,8.0,,2025-03-25T14:11:41.255362+00:00,6.6,6.7,0.1000000000000005,150.37593984962484,209.7379453985584,0.10000000000000053,-0.102515,0.009999999999999787,14.947683109117767,0.09999999999999734
ARTV,2025-04-07,3.17,3.07,-498.55,131242.0,39.0,12.0,,2025-04-07T14:16:47.369320+00:00,3.07,3.19,0.1200000000000001,383.38658146964895,253.9682539682542,0.10000000000000009,-0.249275,0.020000000000000018,63.09148264984233,0.2
INSG,2025-04-07,7.51,7.26,-1104.63,111077.0,34.0,12.0,,2025-04-07T14:18:55.812352+00:00,7.22,7.57,0.3500000000000005,473.29276538201566,466.6869780901959,0.25,-0.552315,0.0600000000000005,79.8934753661791,0.240000000000002
UFI,2025-04-17,5.48,5.3,-462.16,59873.0,63.0,21.0,,2025-04-17T13:42:59.991743+00:00,5.34,5.4,0.0600000000000005,111.73184357541992,92.1658986175112,0.1800000000000006,-0.23108,0.0,-145.98540145985413,0.0
RYM,2025-05-02,18.49,17.82,-536.84,18512.0,37.0,42.0,,2025-05-02T13:40:55.552421+00:00,18.1,19.0,0.8999999999999986,485.1752021563335,479.6565665954079,0.6699999999999982,-0.26842,0.5100000000000016,275.82477014602574,0.7611940298507507
GDEV,2025-05-05,14.43,13.88,248.87,27720.0,54.0,22.0,,2025-05-05T14:04:52.411343+00:00,14.3,15.51,1.209999999999999,811.8081180811802,811.8081180811802,0.5499999999999989,0.124435,1.08,748.4407484407485,1.9636363636363676
LCFY,2025-05-07,5.43,5.19,-151.18,29392.0,54.0,30.0,,2025-05-07T13:48:58.479657+00:00,5.15,5.5,0.3499999999999996,657.2769953051636,528.8012269501012,0.23999999999999932,-0.07559,0.07000000000000028,128.91344383057142,0.2916666666666687
SOS,2025-05-12,7.01,6.79,27.93,10471.0,51.0,78.0,,2025-05-12T13:57:59.993612+00:00,6.68,7.0,0.3200000000000003,467.8362573099419,244.14640797880668,0.21999999999999975,0.013965,0.0,-14.265335235377728,0.0
FKWL,2025-05-19,4.11,3.95,112.63,25502.0,52.0,1.0,,2025-05-19T13:45:40.290874+00:00,4.0,4.16,0.1600000000000001,392.1568627450984,392.1568627450984,0.16000000000000014,0.056315,0.04999999999999982,121.65450121654457,0.3124999999999986
SAIH,2025-05-27,6.27,6.0,308.21,51643.0,13.0,0.0,,2025-05-27T14:40:54.286817+00:00,6.02,6.29,0.2700000000000004,438.6677497969139,,0.2699999999999996,0.154105,0.020000000000000462,31.897926634769476,0.0740740740740759
YSXT,2025-05-28,7.87,7.58,1600.9,59505.0,8.0,5.0,,2025-05-28T14:21:23.559946+00:00,7.61,7.88,0.2699999999999996,348.612007746933,179.2573623559535,0.29000000000000004,0.80045,0.009999999999999787,12.706480304955257,0.03448275862068892
DDC,2025-05-30,8.04,7.75,-995.54,157660.0,40.0,16.0,,2025-05-30T14:33:59.999564+00:00,7.87,8.0,0.1299999999999999,163.83112791430355,231.0511540860881,0.28999999999999915,-0.49777,0.0,-49.75124378109347,0.0
TWAV,2025-06-09,3.94,3.81,1081.47,177228.0,14.0,50.0,,2025-06-09T13:57:54.761874+00:00,3.83,3.93,0.1,257.73195876288685,204.60893397960467,0.1299999999999999,0.540735,0.0,-25.380710659897936,0.0
LGL,2025-06-23,8.34,7.85,504.25,18602.0,44.0,50.0,,2025-06-23T13:52:59.734719+00:00,8.3,8.5,0.1999999999999993,238.09523809523725,384.3913803145021,0.4900000000000002,0.252125,0.16000000000000014,191.84652278177475,0.3265306122448981
SPAI,2025-07-11,3.39,3.28,164.92,30833.0,24.0,2.0,,2025-07-11T13:58:51.172128+00:00,3.29,3.38,0.0899999999999998,269.86506746626645,240.19569162786985,0.11000000000000032,0.08245999999999999,0.0,-29.49852507374699,0.0
DOGZ,2025-08-13,10.45,9.99,-722.06,73416.0,52.0,68.0,,2025-08-13T14:27:55.123373+00:00,10.01,10.39,0.3800000000000008,372.549019607844,639.6989651928518,0.4599999999999991,-0.36102999999999996,0.0,-57.416267942582515,0.0
NPCE,2025-08-13,8.56,8.35,1230.54,190941.0,43.0,23.0,,2025-08-13T13:47:59.799034+00:00,8.46,8.62,0.1599999999999983,187.3536299765789,105.82010582010564,0.21000000000000085,0.61527,0.05999999999999872,70.09345794392374,0.2857142857142785
APLM,2025-09-16,11.87,11.24,-1160.64,48320.0,25.0,12.0,,2025-09-16T13:57:53.124044+00:00,11.3,11.79,0.4899999999999984,424.4261585101762,474.935247034451,0.629999999999999,-0.5803200000000001,0.0,-67.39679865206409,0.0
RMCO,2025-10-20,3.92,3.77,652.0,114411.0,34.0,24.0,,2025-10-20T14:30:53.954016+00:00,3.74,3.86,0.1199999999999996,315.78947368420967,416.666666666667,0.1499999999999999,0.326,0.0,-153.06122448979607,0.0
DZZ,2025-10-24,3.67,3.59,-169.49,95215.0,31.0,9.0,,2025-10-24T14:26:59.731034+00:00,3.6,3.68,0.08,219.78021978022,192.5722145804673,0.08000000000000007,-0.084745,0.010000000000000231,27.247956403270383,0.12500000000000278
EVCM,2025-11-07,8.96,8.66,930.16,168489.0,59.0,2.0,,2025-11-07T14:36:54.803515+00:00,8.87,9.04,0.1699999999999999,189.83807928531544,189.83807928531544,0.3000000000000007,0.46508,0.0799999999999983,89.28571428571237,0.26666666666666033
NEPH,2025-11-10,4.39,4.22,152.5,65385.0,18.0,17.0,,2025-11-10T14:54:53.357632+00:00,4.3,4.46,0.1600000000000001,365.2968036529684,297.8235967926687,0.16999999999999993,0.07625,0.07000000000000028,159.45330296127628,0.4117647058823548
LGHL,2025-11-26,6.03,5.89,656.28,138817.0,13.0,17.0,,2025-11-26T15:32:59.185099+00:00,6.0,6.15,0.1500000000000003,246.91358024691417,598.2215036378336,0.14000000000000057,0.32814,0.1200000000000001,199.0049751243783,0.8571428571428544
ARMU,2026-01-21,15.37,15.04,168.83,20451.0,327.0,142.0,,2026-01-21T14:45:59.996930+00:00,15.25,15.37,0.1199999999999992,78.38014369692961,52.28758169934645,0.33000000000000007,0.084415,0.0,0.0,0.0
EEIQ,2026-02-17,3.67,3.5,-628.97,179967.0,18.0,15.0,,2026-02-17T15:30:53.727925+00:00,3.5,3.6,0.1,281.6901408450707,287.35632183907944,0.16999999999999993,-0.314485,0.0,-190.73569482288787,0.0
PLYX,2026-02-17,3.87,3.78,944.17,169686.0,313.0,602.0,,2026-02-17T13:46:56.992177+00:00,3.8,3.81,0.0100000000000002,26.281208935611645,25.47770700637001,0.0900000000000003,0.472085,0.0,-155.0387596899226,0.0
MG,2026-03-05,14.94,14.28,-119.52,134778.0,19.0,35.0,,2026-03-05T14:55:59.994013+00:00,14.72,15.23,0.5099999999999998,340.56761268781287,320.2134756504339,0.6600000000000001,-0.05976,0.2900000000000009,194.10977242302604,0.4393939393939407
VRCA,2026-03-11,6.12,5.85,145.47,136751.0,45.0,6.0,,2026-03-11T13:46:42.809673+00:00,5.94,6.2,0.2599999999999998,428.3360790774296,347.394540942928,0.27000000000000046,0.072735,0.08000000000000007,130.71895424836612,0.29629629629629606
VATE,2026-03-30,5.31,5.16,70.16,16195.0,17.0,9.0,,2026-03-30T13:45:59.993216+00:00,5.2,5.28,0.08,152.67175572519096,340.2646502835533,0.14999999999999947,0.03508,0.0,-56.49717514124174,0.0
KMRK,2026-04-20,3.51,3.39,1769.32,80258.0,36.0,9.0,,2026-04-20T14:30:39.596062+00:00,3.4,3.5,0.1,289.85507246376835,287.35632183907944,0.11999999999999966,0.88466,0.0,-28.490028490027886,0.0
MED,2026-05-05,12.18,11.89,5182.65,190724.0,62.0,35.0,,2026-05-05T13:44:59.993774+00:00,12.0,12.17,0.1699999999999999,140.67025237898216,124.01818933443604,0.28999999999999915,2.591325,0.0,-8.210180623973553,0.0
BVC,2026-06-09,10.04,9.64,119.19,11085.0,19.0,9.0,,2026-06-09T14:38:51.253673+00:00,9.7,10.22,0.5200000000000014,522.0883534136559,331.15905669844466,0.3999999999999986,0.059595,0.1800000000000015,179.28286852589792,0.45000000000000534
WXM,2026-07-06,5.18,5.04,1187.4,152858.0,4.0,10.0,,2026-07-06T13:49:56.314814+00:00,5.0,5.14,0.1399999999999996,276.1341222879678,235.29502227997824,0.13999999999999968,0.5937,0.0,-77.22007722007729,0.0
XPON,2026-07-21,3.31,3.2,253.29,112052.0,45.0,24.0,,2026-07-21T14:42:33.161411+00:00,3.21,3.3,0.0899999999999998,276.4976958525341,1097.5170506698273,0.10999999999999988,0.126645,0.0,-30.21148036253846,0.0
OPAD,2026-08-04,4.01,3.84,255.54,50731.0,51.0,31.0,,2026-08-04T13:41:59.991388+00:00,4.0,4.16,0.1600000000000001,392.1568627450984,506.3291139240499,0.16999999999999993,0.12777,0.15000000000000036,374.0648379052378,0.882352941176473
OESX,2026-08-06,19.81,19.05,-2047.56,69285.0,31.0,20.0,,2026-08-06T13:57:59.289562+00:00,19.5,19.93,0.4299999999999997,218.1080395637838,344.46042534091424,0.759999999999998,-1.02378,0.120000000000001,60.57546693589147,0.15789473684210698
