cell,split,weeks,picks,picks_per_wk,fills,green_wk_pct,flat_wk_pct,red_wk_pct,red_streak,worst_wk,green_mo_pct,worst_mo,mdd,pnl,totR,R_pick,R_pick_ex1,R_pick_ex5,wr_fills,t,top1_share,top5_share,top10_share,mde80_green_pp,null_mean,null_p5,null_p95,label,dump
G5,TRAIN,53,378,7.132075471698113,273,41.509433962264154,1.8867924528301887,56.60377358490566,8,-871.1305768904741,50.0,-1034.8845299970624,-2541.744986281219,8602.779014907635,58.6306167016437,0.15510745159165001,0.09218556540129509,-0.05229333975517334,38.095238095238095,2.488177683177332,10.090382490508112,45.531736080811015,78.81097874577317,26.801025508915895,55.81037735849056,49.056603773584904,62.264150943396224,G5 G4 + catalyst OFF,asis
G5,VAL,22,218,9.909090909090908,164,63.63636363636363,4.545454545454546,31.818181818181817,2,-443.24350004735186,100.0,141.8182579756529,-536.3443735018791,12537.033014593522,92.43167879437843,0.42399852657971754,0.18154027815642107,0.003706076910072547,36.58536585365854,2.3231556278444345,32.92843617301304,76.77447876989103,98.6920413541494,40.6114054292528,64.19772727272728,54.54545454545455,77.27272727272727,G5 G4 + catalyst OFF,asis
G6,TRAIN,53,268,5.056603773584905,197,45.283018867924525,7.547169811320755,47.16981132075472,4,-895.3730616863788,58.333333333333336,-731.5229404863753,-2023.3791446653759,8257.408486109987,61.79177201564322,0.23056631349120604,0.1631433780244217,0.0004606041162777438,40.10152284263959,2.891561409558928,10.512418137936647,47.312145616125704,81.09180763042322,27.07471193439481,53.44433962264151,47.16981132075472,60.37735849056604,G6 catalyst PARTIAL (min_cohort 2->1),asis
G6,VAL,22,172,7.818181818181818,136,63.63636363636363,4.545454545454546,31.818181818181817,1,-376.90288064238047,100.0,278.1027241465166,-620.1001263430862,7416.210438018263,52.205863764498844,0.3035224637470863,0.1824184973144465,-0.023297874849258788,36.029411764705884,2.3030516064074993,25.3909777292743,83.18087091643747,113.33824918982116,40.6114054292528,59.39318181818182,50.0,72.72727272727273,G6 catalyst PARTIAL (min_cohort 2->1),asis
G7,TRAIN,53,117,2.207547169811321,93,37.735849056603776,28.30188679245283,33.9622641509434,3,-496.4063701737846,83.33333333333334,-130.26940096292998,-659.8356878033301,5793.794330985274,42.42562890670577,0.3626122128778271,0.2710820069245616,0.1284884378333152,40.86021505376344,2.671996835888371,14.982466719175513,54.461095604550195,96.90143250962005,26.36520743137772,39.11698113207547,32.075471698113205,45.283018867924525,G7 PDR veto OFF,asis
G7,VAL,22,61,2.772727272727273,46,31.818181818181817,22.727272727272727,45.45454545454545,3,-337.6383531424998,100.0,33.35683762895404,-588.5152380703557,6089.299494410486,42.34530210072005,0.6941852803396729,0.5024083269919536,0.09852780986170306,34.78260869565217,2.1008067452652623,30.923891038728318,101.30670099248502,128.0190883679748,39.32182422339339,41.41363636363636,31.818181818181817,50.0,G7 PDR veto OFF,asis
G8,TRAIN,53,343,6.471698113207547,245,43.39622641509434,1.8867924528301887,54.716981132075475,7,-871.1305768904741,58.333333333333336,-816.7968643703964,-2278.0638927945547,8602.811778667534,62.67385568749931,0.18272261133381723,0.11363020780513254,-0.03684233794910947,37.95918367346939,2.726186008858349,10.09034406134359,45.53156267345223,78.81067859460731,26.957757988353677,55.47735849056604,47.16981132075472,62.264150943396224,G8 G4 + catalyst PARTIAL,asis
G8,VAL,22,208,9.454545454545455,158,63.63636363636363,4.545454545454546,31.818181818181817,2,-438.24904861087754,100.0,200.06120697651914,-536.3443735018791,12777.297489773358,95.25545236223726,0.45795890558767915,0.20417040669019212,0.018228078620527177,37.34177215189873,2.3988944432504034,32.309249412907164,75.33081043050885,96.83623487086447,40.6114054292528,64.80227272727272,54.54545454545455,77.27272727272727,G8 G4 + catalyst PARTIAL,asis
G9,TRAIN,53,148,2.792452830188679,109,39.62264150943396,20.754716981132077,39.62264150943396,3,-496.4063701737846,58.333333333333336,-162.31517927959675,-691.8814661199967,5260.03108724861,37.362714143549134,0.2524507712401968,0.1788460002271778,0.01953656778832707,36.69724770642202,2.253438788523372,16.50281705599963,60.95954733882115,110.88815327208734,26.603811457067643,39.933018867924524,33.9622641509434,45.283018867924525,G9 G4 + PDR OFF (defect cleanup),asis
G9,VAL,22,70,3.1818181818181817,52,40.90909090909091,22.727272727272727,36.36363636363637,2,-367.85392063363344,100.0,39.737070732692395,-410.48272076047414,10330.619292225867,73.58272596272154,1.0511817994674506,0.5996655970002404,0.174249467541738,34.61538461538461,1.9573158343496324,39.96129174275781,93.17197234638824,114.36333358665883,41.508012496715594,45.195454545454545,36.36363636363637,54.54545454545455,G9 G4 + PDR OFF (defect cleanup),asis
