symbol,date,entry_price,pnl,pnl_pct,exit_reason,win,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start,_rp_position,_rp_pnl,ofi_range,tai_range,ofi_break60,tai_break60,spread_at_break_bps,n_trades_range,n_trades_break60,_composite,_quintile,_q_rank,_sized_pnl,month,_anchor
REBN,2025-02-20,6.449289999999999,2040.5924239199965,4.0816014911896525,scale_lock,1,1,2.8799999999999955,112151.0,1.6201190540634482,54.0576485114433,3.0,0.388888888888891,1.1200000000000043,0.0,-0.6833037573324313,11.806797853309485,21.28801431127012,0.4033613445378149,7575453.55,25.850874303170794,-7.4074074074074066,21.618277614096662,0.2216466629908911,0.0873191071866555,-0.0474204889215867,-0.2267795669978605,0.4740886838609913,3.0,20.0,3333.333333333333,136.03949492799975,0.0046468401486988,-0.0828904491374514,7.1118327582707535,0.5707138633808779,92.87925696594505,20,24,0.2674391063910584,Q4,0,136.03949492799975,2025-02,REBN
CYD,2025-02-21,23.0,0.0,0.0,no_fill,0,0,4.444444444444445,249949.0,1.8171288886436272,161.9142435893605,3.0,0.4200000000000017,-0.3555555555555479,0.0,-0.3599820412542559,18.54583772391992,29.08324552160168,0.2318840579710147,131074.6,6.732199786247728,-3.100775193798445,7.229567276409632,11.711849587944574,0.12558795089893,-0.0877624268646371,-0.0360431206789258,0.6238237461169069,4.0,21.0,3333.333333333333,0.0,1.9471128608923884,-0.3921971852612703,,,,74,0,0.18328046930532005,Q3,2,0.0,2025-02,CYD
BTDR,2025-02-26,10.3007097,-1386.9562338000037,-2.7739321689650254,eod,0,1,3.48853439680957,712712.0,2.3029528137125896,46.7374065004903,3.0,0.2286367533581026,-0.2991026919242209,0.0,-0.7816496680207159,8.315334773218138,23.86609071274297,0.0950226244343887,6153004.9,9.54511156449287,-47.40429994756162,7.95780617959359,2.7560056063014025,0.1711667869309093,-0.1115940326559318,0.2843968766828118,1.4340210730100995,2.0,26.0,3333.333333333333,-92.46374892000023,-10.081921214163728,0.2307771181828808,4.147999195656546,0.8954997643800543,19.47419668938615,196,36,0.3132230925325797,Q4,0,-92.46374892000023,2025-02,BTDR
CADL,2025-02-26,9.127199699999998,-1610.8891150458862,-3.221855557421722,stop,0,1,3.1473565804274446,114559.0,1.3868792581338214,70.54072367876813,4.0,0.2855611150822028,0.1124859392575904,1.0,-0.4751873013767708,6.0226595110316135,43.17233154442458,0.0980662983425415,1365644.45,9.610980450608285,-35.01461988304093,8.1497782191911,2.5867721279869005,0.1711667869309093,-0.1115940326559318,0.2843968766828118,1.4340210730100995,2.0,26.0,3333.333333333333,-107.39260766972573,-0.659313449634215,-0.342335849530893,0.2767295597484276,0.1875719317983758,98.6301369863012,29,11,0.29824851238256694,Q4,0,-107.39260766972573,2025-02,CADL
TSLG,2025-03-12,4.49344,-1533.300599999994,-3.066692778806426,stop,0,1,2.702702702702705,139302.0,1.6841655835576916,94.23663632587316,3.0,0.4999999999999963,-0.4504504504504608,0.0,0.2457947998978824,13.846153846153856,15.128205128205124,0.6779661016949152,656198.85,12.852897324002088,-57.83475783475783,9.72899477032878,3.106558324507884,0.0,0.0,1.1242624838106203,2.2296760998370626,2.0,12.0,3333.333333333333,-102.22003999999959,6.626837730574346,-1.0,0.0,1.0,22.246941045605755,9,2,0.3196782883622895,Q4,0,-102.22003999999959,2025-03,TSLA
MSTX,2025-03-14,25.78713,4137.474959999995,8.279013600970707,eod,1,1,4.9737161342499006,465084.0,1.7064245351463458,27.611889103883456,5.0,0.9430894308943087,3.679741205014153,1.0,1.0798477998626388,7.897033158813257,12.55279232111692,0.563032219943694,13322398.9,20.474845399238244,-45.00704923792623,14.46521975919263,0.7040822805568447,0.0,0.0,0.8505313554096795,1.85111715752684,4.0,14.0,3333.333333333333,275.83166399999965,13.539000801496126,0.4145056952783802,5.996153610082452,0.4275396634859026,23.355391202802156,106,31,0.31477117526459375,Q4,0,275.83166399999965,2025-03,MSTR
PLTU,2025-03-14,28.5855,2578.393639800003,5.157195781077825,eod,1,1,4.174163368118029,167892.0,1.3657927733699549,16.50939373598632,4.0,1.0,2.5548758546239685,1.0,1.7090853018004584,8.343079922027293,14.191033138401565,0.2417582417582414,3899107.15,16.897190479244298,-59.95677233429395,11.524326479559337,1.2098682643281553,0.0,0.0,0.8505313554096795,1.85111715752684,4.0,14.0,3333.333333333333,171.8929093200002,13.475429738688044,-0.748657663545874,3.687006797406047,-0.6683601450541183,13.956734124214636,73,26,0.31430658318860544,Q4,0,171.8929093200002,2025-03,PLTR
BTDR,2025-03-19,10.15,0.0,0.0,no_fill,0,0,2.967967967967968,163098.0,1.0229792471575931,94.47453201901482,1.0,0.0,-1.3663663663663648,0.0,-1.8289158874589,5.324196099103857,11.017395888244597,0.0574162679425825,7121421.15,10.964605936536902,-35.21400778210116,9.449043788578884,0.7141858194975591,0.0,0.0,0.322626644326416,1.5174449148083622,2.0,19.0,3333.333333333333,0.0,-4.05516002822141,-0.1453790129667918,,,,56,0,0.2307634442701024,Q3,2,0.0,2025-03,BTDR
TRVI,2025-03-19,6.98,0.0,0.0,no_fill,0,0,4.011461318051579,58389.0,1.6400482116279214,139.4529427582546,0.0,0.1607142857142853,-3.3667621776504344,0.0,-1.120183271310566,6.402439024390256,11.28048780487804,0.2162162162162154,4370762.9,9.451464212581376,-5.548037889039232,9.82441111180378,0.5697284563296718,0.0,0.0,0.322626644326416,1.5174449148083622,2.0,19.0,3333.333333333333,0.0,-1.7715478675812704,-0.93144346494464,,,,9,0,0.1330831324471173,Q2,3,0.0,2025-03,TRVI
TSLG,2025-03-24,4.939373799999999,4708.9183764000045,9.418525886823964,eod,1,1,4.508403361344536,70003.0,1.0150755793755153,66.25167294175166,2.0,0.9319664492078298,3.151260504201688,1.0,2.2653707810962773,7.207207207207193,11.26126126126126,0.9800000000000004,929835.85,12.963450702649244,-47.64167546638508,11.07831380842848,0.7740441498356941,0.1401541695865372,0.0140154169586616,1.2092627398134572,1.4229674455438284,0.0,24.0,3333.333333333333,313.9278917600003,-7.00064597614709,-0.4661300914746079,0.0032546786004882,1.0,20.30456852791835,10,2,0.360182191776015,Q4,0,313.9278917600003,2025-03,TSLA
