symbol,date,entry_price,pnl,pnl_pct,exit_reason,win,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start
NBIS,2024-12-04,31.403929999999995,2329.3666400000084,4.659193928912736,eod,1,1,4.04918032786885,2313451.0,2.647295143223853,68.97670638834428,3.0,0.538461538461538,0.7868852459016341,1.0,-0.055415145998831565,3.9890896692806064,15.58131605864303,0.8533916849015314,5233627.15,9.438113063220674,1.6666666666666667,6.666220631113427,4.26512136998525,0.0891677675032965,0.02972258916775924,0.28481065059363603,0.4221554865914706,2.0,4.0
APG,2024-12-05,40.89,0.0,0.0,no_fill,0,0,2.825979176995539,142790.0,1.155217083958368,87.77595644461955,2.0,0.6008771929824578,0.23549826474962532,0.0,0.5220761844491856,4.779220779220788,3.155844155844146,0.9094650205761319,1236424.25,2.3320847157031594,4.130098089829637,1.3945861097014023,0.7192822366594638,0.04443420446316599,0.018925679678758658,0.0,0.36493248705082343,3.0,5.0
BTC,2024-12-05,45.99757999999999,-568.6096999999917,-1.13723374142725,stop,0,1,0.7452871547566776,120790.0,0.24348386217045498,70.31160830641512,4.0,0.9997058823529523,0.5258658483121564,1.0,0.458177830643754,3.8233955393718704,4.779244424214825,0.9476190476190477,11414921.3,3.73143839732513,3.0029351998193685,91.09239576775138,0.08803433449865308,0.04443420446316599,0.018925679678758658,0.0,0.36493248705082343,3.0,5.0
LUV,2024-12-05,36.12,0.0,0.0,no_fill,0,0,2.1150592216582065,1444141.0,1.0907159288065844,71.2675935858783,3.0,0.47333333333333866,0.7473209249859012,1.0,0.1902917720035786,3.8360175695461267,3.1332357247437783,1.0,6359198.15,2.461529211960688,3.8360175695461267,1.418160243610424,1.2958397907446868,0.04443420446316599,0.018925679678758658,0.0,0.36493248705082343,3.0,5.0
WGMI,2024-12-05,31.669724999999996,-1507.7316599999917,-3.016982307235048,stop,0,1,2.678283317199091,65564.0,0.6515236895796538,115.79215341481508,3.0,1.0,1.887705711519848,0.0,1.9687448166208803,4.979674796747964,7.790989159891602,0.9391712683160134,893345.65,7.980642582847816,0.551916132109442,6.00197760901369,0.8405044564777362,0.04443420446316599,0.018925679678758658,0.0,0.36493248705082343,3.0,5.0
GPCR,2024-12-06,32.77804,1354.596499999993,2.709924083319184,target,1,1,1.56682027649769,41733.0,0.8022006805575814,123.85957019920824,2.0,0.6470588235294109,-0.15360983102917716,0.0,0.13663998529313662,4.193341869398203,11.326504481434057,0.22326475243047686,844383.95,7.246596942656909,-18.746879680479292,4.700062436859046,1.2646794150930984,0.1580403002765578,0.12185565652574062,0.12857284145981052,0.382279583294881,4.0,6.0
HIMS,2024-12-06,32.96,0.0,0.0,no_fill,0,0,2.7573529411764666,374816.0,1.3776002881619256,69.10694929119813,2.0,0.0666666666666614,-1.5931372549019704,0.0,-1.2818409094192602,3.2911392405063267,10.569620253164567,0.017964071856288087,23575908.2,11.69510719206854,-6.796116504854376,10.51732409695694,0.6033445193004272,0.1580403002765578,0.12185565652574062,0.12857284145981052,0.382279583294881,4.0,6.0
JD,2024-12-06,37.955,0.0,0.0,no_fill,0,0,1.435406698564591,654399.0,0.5406663772458206,33.73670158172026,4.0,0.8703703703703697,0.7044125465178113,1.0,0.6319067521367188,3.323262839879157,1.1809942323537483,0.23255813953487064,12874941.1,2.6732168345105216,-9.349397590361452,3.4595374498836775,0.6942758751727416,0.1580403002765578,0.12185565652574062,0.12857284145981052,0.382279583294881,4.0,6.0
TSLR,2024-12-06,39.31,0.0,0.0,no_fill,0,0,1.6401833460657032,97709.0,0.6845164595490255,139.8807875841732,1.0,0.3091134916938377,-1.0313216195569166,1.0,-0.40950557150391964,4.219745222929945,8.227176220806797,0.6064516129032264,1546534.95,9.553456126443677,0.9511568123393435,8.13363268086166,0.7367767537358273,0.1580403002765578,0.12185565652574062,0.12857284145981052,0.382279583294881,4.0,6.0
TSLT,2024-12-06,34.58,0.0,0.0,no_fill,0,0,1.736111111111115,166866.0,0.7710400185529143,74.99450658743531,2.0,0.316666666666674,-1.1284722222222237,1.0,-0.2618719845083734,4.347826086956537,8.272946859903378,0.6131386861313858,6201551.55,9.619099982414095,1.1117612638970233,8.151078870424456,0.5476950360914117,0.1580403002765578,0.12185565652574062,0.12857284145981052,0.382279583294881,4.0,6.0
