split,n,n_weeks,trades_per_week,gross_bps,net_bps,net_daily_bps,net_auction_bps,med_net_bps,t_trade,wr,sd_trade_bps,mde_trade_bps,wk_mean_bps,wk_green,t_week,mde_week_bps,stop_rate,trunc_rate,span_days,entry_days,net_R,t_R,net_bps_no_top1,net_bps_no_top5,net_bps_wincap,pos_usd_med,pos_usd_p25,book_usd,usd_per_month,usd_worst_month,pct_book_per_month,n_months,cell,fam,hold,slots,universe
TRAIN,10366,262,39.5649,60.394,7.59771,50.3186,50.394,-72.1531,0.109491,40.4785,7064.97,138.783,30.0603,24.4275,0.109528,548.904,0,0,1258,1233,,,-81.5875,-120.576,-72.8508,286720,162421,2.8672e+06,37018.8,-733904,1.29111,61,K3_h1_n10,K3,1,10,primary
VAL,3237,76,42.5921,-17.7382,-67.8806,-27.3527,-27.7382,-79.4608,-8.47883,38.616,455.493,16.0118,-289.118,22.3684,-7.1695,80.6522,0,0,374,350,,,-89.2377,-128.842,-79.3624,346882,178935,3.46882e+06,-401159,-860491,-11.5647,19,K3_h1_n10,K3,1,10,primary
TRAIN,16186,262,61.7786,36.6605,-15.8879,26.6281,26.6605,-69.3704,-0.357204,40.5041,5658.74,88.957,-49.0766,24.4275,-0.356755,275.128,0,0,1258,1233,,,-79.0004,-116.081,-70.4873,292858,164500,5.85717e+06,-123462,-1.24208e+06,-2.10788,61,K3_h1_n20,K3,1,20,primary
VAL,5369,76,70.6447,-22.4314,-72.4816,-32.0299,-32.4314,-76.5557,-12.6531,38.4988,419.738,11.4568,-256.022,11.8421,-8.00686,63.9508,0,0,374,350,,,-90.9128,-127.014,-82.2021,354254,181345,7.08507e+06,-725574,-1.2593e+06,-10.2409,19,K3_h1_n20,K3,1,20,primary
TRAIN,12471,262,47.5992,-28.8206,-85.3456,-39.5437,-38.8206,-90.8847,-17.7581,38.4171,536.704,9.61202,-406.238,20.229,-11.5993,70.0456,0,0,1258,1250,,,-108.817,-152.788,-98.1808,235414,151561,2.35414e+06,-410757,-1.38023e+06,-17.4483,61,K4_h1_n10,K4,1,10,primary
VAL,3520,76,46.3158,-31.8475,-82.4169,-41.5361,-41.8475,-80.3818,-6.90812,37.358,707.829,23.8609,-381.721,23.6842,-4.80729,158.809,0,0,374,352,,,-115.821,-176.017,-100.198,342908,174639,3.42908e+06,-523580,-1.07324e+06,-15.2688,19,K4_h1_n10,K4,1,10,primary
TRAIN,24929,262,95.1489,-23.5285,-79.4871,-34.1532,-33.5285,-83.7255,-25.1611,38.726,498.791,6.31824,-378.155,18.7023,-12.5431,60.2968,0,0,1258,1250,,,-100.99,-142.035,-91.3008,245640,156205,4.9128e+06,-797940,-2.54443e+06,-16.2421,61,K4_h1_n20,K4,1,20,primary
VAL,7040,76,92.6316,-18.9216,-69.3194,-28.5804,-28.9216,-76.8713,-9.74626,38.2528,596.765,14.2248,-321.058,26.3158,-5.48171,117.138,0,0,374,352,,,-96.6941,-148.814,-83.3812,341885,172772,6.83771e+06,-878121,-1.93394e+06,-12.8423,19,K4_h1_n20,K4,1,20,primary
TRAIN,6236,262,23.8015,-19.2856,-75.8943,-30.0233,-29.2856,-85.9491,-7.91036,41.5972,757.645,19.1886,-180.64,33.9695,-5.13526,70.3528,0,0,1257,951,,,-111.554,-174.476,-96.9111,233848,149665,2.33848e+06,-181434,-1.20975e+06,-7.75864,61,K4_h2_n10,K4,2,10,primary
VAL,1760,76,23.1579,-54.3862,-104.681,-64.0271,-64.3862,-79.0734,-4.5127,40.1136,973.167,46.3939,-242.419,30.2632,-2.75428,176.031,0,0,373,176,,,-152.362,-233.873,-132.213,345417,176525,3.45417e+06,-334942,-942411,-9.69676,19,K4_h2_n10,K4,2,10,primary
TRAIN,12470,262,47.5954,-18.9083,-74.9369,-29.5452,-28.9083,-88.7351,-11.9552,41.7482,699.96,12.5363,-178.333,32.4427,-5.80397,61.4519,0,0,1257,954,,,-106.291,-165.066,-92.9339,244731,155359,4.89463e+06,-374906,-2.33716e+06,-7.65953,61,K4_h2_n20,K4,2,20,primary
VAL,3520,76,46.3158,-29.0581,-79.451,-38.7161,-39.0581,-71.92,-5.58417,41.5341,844.135,28.4558,-183.992,28.9474,-2.9742,123.725,0,0,373,176,,,-119.057,-190.577,-103.975,340609,172642,6.81218e+06,-501354,-1.29393e+06,-7.35967,19,K4_h2_n20,K4,2,20,primary
TRAIN,2279,256,8.90234,23.3744,-29.8313,13.2278,13.3744,-180.288,-1.3117,42.9136,1085.7,45.4848,-26.5569,44.5312,-0.823102,64.5288,38.7889,0,1252,901,-0.0596627,-1.31171,-89.6853,-194.302,-69.8406,286395,159515,2.86395e+06,-31919.3,-573212,-1.11452,61,K5_h5_n10,K5,5,10,primary
VAL,789,77,10.2468,-26.216,-76.2576,-35.8129,-36.216,-338.801,-1.72591,37.5158,1241.09,88.3679,-78.1393,40.2597,-1.14089,136.98,45.3739,0,374,290,-0.152515,-1.72591,-145.796,-263.727,-114.865,369617,177150,3.69617e+06,-117047,-1.02269e+06,-3.1667,19,K5_h5_n10,K5,5,10,primary
TRAIN,3438,257,13.3774,12.1906,-40.5431,2.12603,2.1906,-185.065,-2.31804,42.5247,1025.53,34.9805,-27.1182,44.7471,-1.20281,45.0913,39.0634,0,1252,948,-0.0810863,-2.31804,-93.9046,-191.911,-71.2591,291178,160993,5.82355e+06,-66535.2,-982119,-1.14252,61,K5_h5_n20,K5,5,20,primary
VAL,1219,77,15.8312,-41.2573,-91.5602,-50.8997,-51.2573,-325.382,-2.78244,37.8999,1148.9,65.813,-72.4753,38.961,-1.56978,92.3381,43.8884,0,374,307,-0.18312,-2.78244,-157.677,-260.586,-130.045,356434,176377,7.12867e+06,-209380,-1.66024e+06,-2.93716,19,K5_h5_n20,K5,5,20,primary
TRAIN,3482,256,13.6016,-4.51386,-57.319,-14.5908,-14.5139,-79.9452,-4.66965,44.4285,724.317,24.5496,-77.9627,43.3594,-3.05858,50.9797,22.4871,0,1252,977,-0.114638,-4.66965,-90.7296,-153.586,-77.9238,290747,163099,2.90747e+06,-95128.8,-671065,-3.27188,61,K5_h2_n10,K5,2,10,primary
VAL,1251,76,16.4605,-53.5683,-103.639,-63.1702,-63.5683,-127.797,-4.83057,40.2878,758.842,42.9094,-170.594,44.7368,-2.88779,118.149,23.9009,0,374,311,-0.207277,-4.83057,-138.34,-201.966,-122.126,358179,173846,3.58179e+06,-244414,-965470,-6.82378,19,K5_h2_n10,K5,2,10,primary
TRAIN,4612,256,18.0156,-5.568,-57.8052,-15.5463,-15.568,-76.165,-5.65933,44.2758,693.659,20.4283,-52.0698,44.9219,-2.90984,35.7888,21.7259,0,1252,983,-0.11561,-5.65934,-89.8805,-148.954,-76.9318,300594,165591,6.01188e+06,-131373,-1.00149e+06,-2.18523,61,K5_h2_n20,K5,2,20,primary
VAL,1623,76,21.3553,-46.5687,-96.5896,-56.162,-56.5687,-124.415,-5.33103,39.8644,729.925,36.2367,-103.135,43.4211,-2.7701,74.4629,23.167,0,374,314,-0.193179,-5.33103,-129.925,-192.521,-113.49,363959,180496,7.27919e+06,-300295,-1.38232e+06,-4.12539,19,K5_h2_n20,K5,2,20,primary
TRAIN,48,40,1.2,-369.17,-428.009,-380.295,-379.17,-114.825,-1.74596,45.8333,1698.4,490.285,-51.3611,45,-1.61575,63.5755,25,0,1230,43,-0.25477,-1.46139,-493.35,-608.957,-431.712,169532,124605,1.69532e+06,-11609.8,-167395,-0.684814,30,K1_h5_n10_sec,K1,5,10,secondary
VAL,150,48,3.125,-88.5695,-135.865,-97.6895,-98.5694,-73.3576,-1.46207,46,1138.11,185.853,-42.4579,39.5833,-1.39353,60.9359,17.3333,0,371,96,-0.0221607,-0.215936,-197.979,-281.022,-169.522,432849,195780,4.32849e+06,-55133.6,-252795,-1.27374,16,K1_h5_n10_sec,K1,5,10,secondary
TRAIN,809,221,3.66063,-51.3125,-101.782,-60.9837,-61.3125,-111.573,-2.4915,43.6341,1161.94,81.7031,-37.2585,42.9864,-1.90456,39.1255,33.0037,0,1247,526,-0.145402,-2.4915,-154.403,-263.92,-125.306,341128,178824,3.41128e+06,-44585.7,-448891,-1.30701,63,K2_h10_n10_sec,K2,10,10,secondary
VAL,323,76,4.25,-95.3467,-144.251,-104.746,-105.347,-117.819,-2.7258,41.1765,951.099,105.841,-61.3067,38.1579,-2.31014,53.0762,30.9598,0,371,198,-0.206073,-2.7258,-192.851,-289.691,-161.244,371712,190141,3.71712e+06,-91153.7,-371263,-2.45227,19,K2_h10_n10_sec,K2,10,10,secondary
TRAIN,4013,261,15.3755,12.3499,-40.7409,2.22332,2.34991,-72.6237,-3.0052,44.7296,858.8,27.1136,-62.641,40.2299,-1.64243,76.2784,0,0,1258,1107,,,-81.105,-156.134,-65.1775,283033,160683,2.83033e+06,-75858.8,-968073,-2.68021,61,K3_h3_n10_sec,K3,3,10,secondary
VAL,1168,76,15.3684,-17.8402,-67.9053,-27.4412,-27.8402,-104.061,-2.56278,40.411,905.554,52.9935,-104.36,39.4737,-1.6391,127.338,0,0,374,277,,,-114.851,-192.376,-96.0979,347221,178628,3.47221e+06,-144943,-582523,-4.17439,19,K3_h3_n10_sec,K3,3,10,secondary
TRAIN,12471,262,47.5992,-28.8206,-85.3456,-39.5437,-38.8206,-90.8847,-17.7581,38.4171,536.704,9.61202,-406.238,20.229,-11.5993,70.0456,0,0,1258,1250,,,-108.817,-152.788,-98.1808,235414,151561,2.35414e+06,-410757,-1.38023e+06,-17.4483,61,K4_h1_n10_sec,K4,1,10,secondary
VAL,3520,76,46.3158,-30.2893,-80.6822,-39.9473,-40.2893,-79.4719,-6.66432,37.5852,718.279,24.2132,-373.686,23.6842,-4.56475,163.727,0,0,374,352,,,-114.981,-175.942,-99.4873,344907,175367,3.44907e+06,-515547,-1.07333e+06,-14.9474,19,K4_h1_n10_sec,K4,1,10,secondary
TRAIN,2279,256,8.90234,23.3744,-29.8313,13.2278,13.3744,-180.288,-1.3117,42.9136,1085.7,45.4848,-26.5569,44.5312,-0.823102,64.5288,38.7889,0,1252,901,-0.0596627,-1.31171,-89.6853,-194.302,-69.8406,286395,159515,2.86395e+06,-31919.3,-573212,-1.11452,61,K5_h5_n10_sec,K5,5,10,secondary
VAL,790,77,10.2597,-27.3615,-77.1584,-36.916,-37.3615,-347.597,-1.7117,37.2152,1266.98,90.1541,-79.1625,40.2597,-1.08226,146.291,45.5696,0,374,290,-0.154317,-1.7117,-150.126,-270.936,-119.311,377712,180996,3.77712e+06,-121176,-1.20715e+06,-3.20816,19,K5_h5_n10_sec,K5,5,10,secondary
