symbol,bar_date,ratio
TLSA,2020-03-11,2.053658536585366
TNXP,2020-02-05,0.38271604938271603
TNXP,2020-02-26,2.7160493827160495
TRMD,2020-04-21,2.1907894736842106
TRMD,2020-04-22,0.5225225225225225
TTOO,2020-03-24,1.9636363636363638
TXMD,2020-04-29,1.9824011328006472
UONE,2020-06-15,2.1834061135371177
UONE,2020-06-16,4.45
UONE,2020-06-18,2.2375510204081634
UONEK,2020-06-16,2.954545454545454
USAU,2020-03-20,8.331197128941296
USAU,2020-03-24,2.2740963855421685
USEG,2020-01-06,12.368421052631579
VIR,2020-02-27,1.8260869565217392
VISL,2020-06-04,2.4536082474226806
VSTM,2020-04-27,0.511737089201878
VXRT,2020-01-31,1.9154929577464792
VXRT,2020-06-25,2.317784256559767
WATT,2020-04-21,2.6504854368932036
WISA,2020-04-09,18.933969769291963
WORX,2020-04-13,4.9825327510917035
XELA,2020-06-09,1.8526785714285714
AAPL,2020-08-31,0.25768533460841153
ABUS,2020-07-23,2.559027777777778
ACHV,2020-07-31,20.75
ACIU,2020-09-23,0.5424311926605505
ACST,2020-08-31,0.32
ADIL,2020-09-29,1.9500000000000002
ADTX,2020-08-06,1.9083969465648853
AIHS,2020-10-19,1.87012987012987
AIRT,2020-12-24,2.16
AKBA,2020-09-03,0.275
APRE,2020-12-28,0.22837783977680354
APVO,2020-11-06,2.657845868152275
ARVN,2020-12-14,1.9916666666666667
ASMB,2020-11-06,0.4807881773399014
ASTC,2020-10-20,3.1079545454545454
ASTC,2020-10-21,0.46617915904936014
ATTO,2020-07-30,4.563291139240506
ATXI,2020-10-12,0.43289224952741023
AVGR,2020-12-23,1.8823529411764706
AYTU,2020-12-09,9.10761154855643
BCLI,2020-11-17,0.3425460636515913
BKYI,2020-11-20,7.7631578947368425
BNGO,2020-12-29,1.8617021276595747
BNGO,2020-12-31,1.9398148148148149
CAAS,2020-08-13,1.8695652173913047
CAAS,2020-11-30,3.135770234986945
CBAT,2020-09-24,2.586387434554974
CBAT,2020-11-16,1.8380165289256198
CNFR,2020-12-29,1.991869918699187
COGT,2020-11-09,4.1020408163265305
CRBP,2020-09-08,0.2443243243243243
CRIS,2020-12-08,5.178571428571429
CVV,2020-10-07,1.8590604026845639
CYCN,2020-10-14,0.4578651685393258
CZR,2020-07-21,3.1008878127522195
DLPN,2020-11-27,4.794126115750072
ECOR,2020-07-30,2.2955974842767293
EDRY,2020-11-11,2.340909090909091
ELSE,2020-10-06,2.0140845070422535
ENG,2020-11-23,2.909090909090909
EYPT,2020-12-09,10.515222482435599
FORD,2020-08-17,1.8450704225352115
FTEK,2020-11-23,3.5259259259259257
FULC,2020-08-11,0.5210280373831775
GEVO,2020-08-20,3.777372262773722
GLBS,2020-10-21,101.57687253613666
GLSI,2020-12-09,14.23076923076923
HIHO,2020-07-31,1.8030303030303028
HOFV,2020-11-16,0.48760330578512395
HTZ,2020-10-16,2.3267326732673266
IDEX,2020-11-23,1.9865771812080537
IPDN,2020-12-30,2.125
JAN,2020-12-29,1.9497607655502394
KELYB,2020-08-11,2.3422857142857145
KLXE,2020-07-28,5.223880597014926
KOSS,2020-12-28,2.2370062370062374
MCRB,2020-08-10,4.782327586206897
MDRR,2020-10-13,2.137931034482759
MIST,2020-07-23,2.284431137724551
MRNS,2020-09-23,3.846153846153846
NCSM,2020-12-01,19.778846153846153
OBLG,2020-11-30,2.1372549019607843
OCGN,2020-07-27,2.0202020202020203
OCGN,2020-12-22,4.217687074829932
OCGN,2020-12-23,1.9838709677419355
ONCT,2020-11-05,2.1390728476821192
