n,per_wk,net,netb,gross,t,green,flat,redstreak,worst,best,total,mdd,wk_mean,green_mo,ex5,imp,cell,split,tc,cost,corr_after,h1,h2,vgross,half_ok,note
924,40.17391304347826,-0.005247440509783035,-0.08511605889244321,0.08022006629193171,-0.1195672254870096,52.17391304347826,4.3478260869565215,3,-3112.838206633469,2810.7050428199695,-484.863503103953,-5561.648398790106,-21.081021874084914,60.0,-0.11085295317361595,96.96969696969697,F5-f 3rd+ break [ctrl],VAL,-0.09530364755216861,0.08546750680171475,0.3191089795129459,0.011961456353150768,0.018047609516252745,0.08022006629193171,True,
1270,23.962264150943398,-0.13047790592519026,-0.16678649907179985,-0.06091771006811384,-3.7065381970107483,32.075471698113205,1.8867924528301887,7,-2474.0636027519677,2256.9601249034204,-16570.694052499166,-16670.667930154585,-312.65460476413523,16.666666666666664,-0.24258287698995445,52.125984251968504,F6 shelf>=2% of ADV,TRAIN,-3.1703604774745298,0.06956019585707643,0.358028428791555,-0.12802007508494653,-0.0019549810444472815,0.050983162345453324,False,
608,26.434782608695652,-0.018483115561493863,-0.06028203265737016,0.050983162345453324,-0.3676554957760108,39.130434782608695,4.3478260869565215,5,-1230.891932831709,1128.005806881347,-1123.7734261388268,-5232.6688434830185,-48.859714179948995,40.0,-0.12589548716322785,60.69078947368421,F6 shelf>=2% of ADV,VAL,-0.3573116095468572,0.06946627790694718,0.2944127262055457,-0.12802007508494653,-0.0019549810444472815,0.050983162345453324,False,
605,11.415094339622641,-0.1502187968177507,-0.19580861685225343,-0.07754134325314131,-3.0759739915398114,26.41509433962264,1.8867924528301887,7,-924.3405187186291,750.6720391443012,-9088.237207473916,-9457.111815425395,-171.47617372592293,8.333333333333332,-0.2650908487946044,63.96694214876033,F6 shelf>=5% of ADV,TRAIN,-3.0034706237406366,0.07267745356460936,0.37460328678451854,-0.18581973365895343,0.004059762559934443,-0.029945537144017275,False,
323,14.043478260869565,-0.10097187109768098,-0.1512156058419155,-0.029945537144017275,-1.4892888869921812,30.434782608695656,8.695652173913043,4,-1033.1431426612799,869.8386337469092,-3261.391436455096,-4174.503266443101,-141.7996276719607,40.0,-0.21638961379180927,67.18266253869969,F6 shelf>=5% of ADV,VAL,-1.4286641650291554,0.07102633395366373,0.28952868589148445,-0.18581973365895343,0.004059762559934443,-0.029945537144017275,False,
228,4.30188679245283,-0.04204928135708292,-0.0909059671367271,0.02870072094581596,-0.5155555646491817,37.735849056603776,11.320754716981133,8,-564.000550650549,778.1982925041469,-958.7236149414907,-2287.0636582769775,-18.089124810216806,25.0,-0.1541192047851803,73.68421052631578,F6 shelf>=10% of ADV,TRAIN,-0.4385107681363295,0.07075000230289889,0.39230649563739717,-0.03979867201638162,0.07503854559671432,-0.12580652402404197,False,
119,5.173913043478261,-0.19887644178629194,-0.25385322676279887,-0.12580652402404197,-1.8316633194637348,34.78260869565217,8.695652173913043,4,-952.2759129771493,576.9130122922576,-2366.6296572568745,-3218.979355523048,-102.89694161986411,20.0,-0.3144540804521174,79.83193277310924,F6 shelf>=10% of ADV,VAL,-1.559233374306084,0.07306991776224996,0.3324462940722946,-0.03979867201638162,0.07503854559671432,-0.12580652402404197,False,
72,1.3584905660377358,0.14278738463423066,0.08623992135028481,0.21143132334525422,0.96776991804111,39.62264150943396,33.9622641509434,4,-326.0525478016615,590.4954564598677,1028.069169366461,-528.596598462582,19.397531497480397,66.66666666666666,0.03476808298014936,86.11111111111111,F6 shelf>=20% of ADV,TRAIN,0.9416954078354172,0.06864393871102352,0.35679027629012194,0.25908836481696723,0.18760280260939774,-0.18034038954312523,False,
39,1.6956521739130435,-0.2514917453879523,-0.30856843956248264,-0.18034038954312523,-1.3211883616276772,26.08695652173913,17.391304347826086,3,-436.91385499823474,392.62688163674704,-980.8178070130145,-1238.040328790433,-42.64425247882672,0.0,-0.37168979966752275,94.87179487179486,F6 shelf>=20% of ADV,VAL,-1.1806653817340538,0.07115135584482724,0.08202364816290826,0.25908836481696723,0.18760280260939774,-0.18034038954312523,False,
122,2.30188679245283,-0.2710314625752378,-0.3031997603463632,-0.19611575624576355,-2.2990706678599757,30.18867924528302,13.20754716981132,6,-466.2078565354843,393.0961890606004,-3306.583843417901,-3590.4481190759952,-62.38837440411134,16.666666666666664,-0.40802261647123833,37.704918032786885,F6-e shelf>=5% AND age>=20,TRAIN,-2.2086091862300004,0.0749157063294743,0.31193667829796295,-0.36972846831295486,-0.07140803349327397,-0.13697934224828517,False,
68,2.9565217391304346,-0.21464172616623553,-0.2495505405125534,-0.13697934224828517,-1.3660434028969652,21.73913043478261,13.043478260869565,6,-604.2549888321341,470.9874105312915,-1459.5637379304017,-1821.7944754360867,-63.459292953495726,60.0,-0.3509764469049314,42.64705882352941,F6-e shelf>=5% AND age>=20,VAL,-1.0853556627199843,0.07766238391795041,0.45607349805477315,-0.36972846831295486,-0.07140803349327397,-0.13697934224828517,False,
240,4.528301886792453,-0.1552781655154522,-0.1803805340627303,-0.08582153684126405,-1.7999619942466083,37.735849056603776,3.7735849056603774,5,-909.0490901449468,846.7216336561894,-3726.6759723708524,-4008.3690741089204,-70.31464098812928,25.0,-0.26766262452798567,32.083333333333336,F6-f age>=20 alone [arm],TRAIN,-1.6027018048542316,0.06945662867418816,0.33057853411587496,-0.10317451657995656,-0.07299542138223049,-0.1111089317892939,False,
175,7.608695652173913,-0.18402550007229532,-0.20841693698669733,-0.1111089317892939,-1.8450692786535772,43.47826086956522,4.3478260869565215,4,-1064.4182000614496,577.6591596285007,-3220.4462512651676,-4064.516922409445,-140.01940222892034,40.0,-0.30117179764731233,32.0,F6-f age>=20 alone [arm],VAL,-1.5470774564828125,0.07291656828300142,0.4561171066794051,-0.10317451657995656,-0.07299542138223049,-0.1111089317892939,False,
446,8.415094339622641,-0.12264511929294591,-0.12764278854486863,-0.05671782054797256,-1.8641120159718712,33.9622641509434,5.660377358490567,5,-959.0043188450412,879.4461529948228,-5469.972320465387,-5986.9688804673915,-103.20702491444128,25.0,-0.2372166643006282,5.829596412556054,F6 shelf_bars>=5,TRAIN,-1.7802946599658958,0.06592729874497336,0.37649605929710606,-0.09559226220384438,-0.019880467537823295,-0.12936516583883254,False,
270,11.73913043478261,-0.19791343663888644,-0.2027191567424903,-0.12936516583883254,-2.403998429403953,17.391304347826086,4.3478260869565215,11,-1315.6495696045827,971.3223993979683,-5343.662789249934,-5513.9772498662605,-232.3331647499971,20.0,-0.31731112004353423,5.555555555555555,F6 shelf_bars>=5,VAL,-2.186982637297129,0.0685482708000539,0.4491895509987538,-0.09559226220384438,-0.019880467537823295,-0.12936516583883254,False,
112,2.1132075471698113,-0.20657199469899165,-0.2075306397687494,-0.139139001929421,-1.5886125499432169,24.528301886792452,20.754716981132077,7,-465.0537886338538,566.7549060178363,-2313.606340628706,-2793.57810657816,-43.652949823183135,33.33333333333333,-0.3306773013521432,0.8928571428571428,F6 shelf_bars>=10,TRAIN,-1.6247242503265267,0.06743299276957068,0.5778687278967879,-0.2132662309293381,-0.06761272833300974,-0.21927382883714525,False,
76,3.3043478260869565,-0.2884193052538052,-0.29024526109231674,-0.21927382883714525,-1.9105636497435836,39.130434782608695,13.043478260869565,3,-471.9257072997265,275.2959197281235,-2191.98671992892,-2397.580279657643,-95.30377043169219,0.0,-0.4148522656914362,1.3157894736842104,F6 shelf_bars>=10,VAL,-1.9208023285243427,0.06914547641666004,0.5847342767184708,-0.2132662309293381,-0.06761272833300974,-0.21927382883714525,False,
17,0.32075471698113206,0.01543801251440905,0.01543801251440905,0.07804023454919226,0.04215960732140526,13.20754716981132,71.69811320754717,1,-239.45839115272213,199.3000934902343,26.244621274495415,-460.6395421498262,0.49518153348104554,37.5,,0.0,F6 shelf_bars>=20,TRAIN,0.043457128530179384,0.0626022220347832,0.6260306886802924,0.07559836573476703,0.08021078460645913,-0.07072192430671469,False,
9,0.391304347826087,-0.13419164178713344,-0.13419164178713344,-0.07072192430671469,-0.2563720851777049,8.695652173913043,69.56521739130434,2,-123.44620253164493,196.7391304347826,-120.77247760842016,-390.9176127252071,-5.250977287322615,50.0,,0.0,F6 shelf_bars>=20,VAL,-0.25810967261196077,0.0634697174804188,0.5683074305144185,0.07559836573476703,0.08021078460645913,-0.07072192430671469,False,
1264,23.849056603773583,-0.03624512487974101,-0.04264211484665462,0.023293696942056387,-0.9279393643413983,39.62264150943396,1.8867924528301887,6,-2214.645923782258,2115.539819113606,-4581.383784799263,-8238.132143723495,-86.44120348677855,41.66666666666667,-0.14411703154933947,8.227848101265822,F9-b exp5_n>=3,TRAIN,-0.7503254598424097,0.05953882182179741,0.4628183474785667,-0.016616487350366152,0.06099347102751401,0.0011682768049401928,False,
634,27.565217391304348,-0.0625503713223892,-0.07309723752242242,0.0011682768049401928,-1.1690348749486477,39.130434782608695,4.3478260869565215,4,-1552.7464405139792,1397.3865256641466,-3965.693541839476,-5190.442160586947,-172.42145834084678,40.0,-0.17146203742205451,12.145110410094636,F9-b exp5_n>=3,VAL,-1.0817340910180995,0.06371864812732941,0.32410604596255393,-0.016616487350366152,0.06099347102751401,0.0011682768049401928,False,
599,11.30188679245283,-0.04570858463819827,-0.048352214341050706,0.010469274916390736,-0.8067611934711675,39.62264150943396,1.8867924528301887,5,-1262.1632966395625,2222.7862487812677,-2737.9442198280763,-7070.549308533616,-51.659324902416536,41.66666666666667,-0.1528837391289795,4.006677796327212,F9-b exp5_n>=6,TRAIN,-0.6711607036940638,0.056177859554588996,0.5006358089173547,-0.13237223719946742,0.13925336837957716,-0.09719211830045288,False,
342,14.869565217391305,-0.15709590988042038,-0.16138659767460067,-0.09719211830045288,-2.2039626685043943,30.434782608695656,4.3478260869565215,6,-1298.4412791625507,799.7276272236666,-5372.680117910377,-6358.623488041208,-233.59478773523378,20.0,-0.27621510659587284,4.678362573099415,F9-b exp5_n>=6,VAL,-2.058989565684066,0.05990379157996749,0.24921980962907916,-0.13237223719946742,0.13925336837957716,-0.09719211830045288,False,
193,3.641509433962264,0.20029455768090618,0.18866583735359224,0.2504047978982073,2.1786156511316563,47.16981132075472,13.20754716981132,5,-580.6224989989341,1273.7016621134483,3865.6849632414896,-801.2964032274022,72.93745213663188,66.66666666666666,0.10254583830074664,25.906735751295333,F9-c add30_ratio>=1.0,TRAIN,1.785225490906685,0.050110240217301136,0.5979726358701138,0.1533179580120722,0.3206193874587157,-0.09765739812754444,False,
109,4.739130434782608,-0.1537131578738907,-0.17245884169909556,-0.09765739812754444,-1.3314146481982805,43.47826086956522,8.695652173913043,4,-888.8735936704724,343.9765682696318,-1675.4734208254085,-2232.617165863448,-72.84667047066993,40.0,-0.27849882336899806,30.275229357798167,F9-c add30_ratio>=1.0,VAL,-1.3541268004298126,0.056055759746346245,0.30268304715931976,0.1533179580120722,0.3206193874587157,-0.09765739812754444,False,
81,1.528301886792453,0.06684746579095861,0.05112668549979121,0.11120342707282561,0.5174816679043084,28.30188679245283,32.075471698113205,4,-490.40468756715165,846.0589272542427,541.4644729067646,-1168.7810226820875,10.216310809561596,50.0,-0.03315166875758872,40.74074074074074,F9-c add30_ratio>=2.0,TRAIN,0.37846453486744314,0.04435596128186701,0.6379063586857748,-0.01583886584299308,0.23514712747850242,0.15996310914952955,False,
26,1.1304347826086956,0.11283712642680646,0.07709762381281776,0.15996310914952955,0.4885162321772825,26.08695652173913,47.82608695652174,2,-268.05196974457454,296.71779353185786,293.37652870969674,-355.15127049120144,12.755501248247684,40.0,-0.043790999406522146,61.53846153846154,F9-c add30_ratio>=2.0,VAL,0.45209575003941993,0.047125982722723066,0.3903269536217977,-0.01583886584299308,0.23514712747850242,0.15996310914952955,False,
1440,27.169811320754718,-0.0995691386058791,-0.1297144888313743,-0.033216362447855134,-2.975731303996807,33.9622641509434,7.547169811320755,6,-2494.3102903481868,1813.6333355461409,-14337.95595924659,-16326.154138867636,-270.52747092918094,25.0,-0.2091720235063827,44.79166666666667,F9-d rng_own>=0.5,TRAIN,-2.5468589285962606,0.06635277615802397,0.4302644935193813,-0.07816768650846084,0.002242135413616459,0.06055654945748814,False,
681,29.608695652173914,-0.00955050999763856,-0.048999528780978636,0.06055654945748814,-0.20286961036624043,52.17391304347826,4.3478260869565215,3,-1641.3859991452473,1320.347588087403,-650.3897308391869,-4713.362768592688,-28.277814384312475,40.0,-0.11412765473312719,58.0029368575624,F9-d rng_own>=0.5,VAL,-0.1869543359433627,0.07010705945512671,0.3664485231473242,-0.07816768650846084,0.002242135413616459,0.06055654945748814,False,
783,14.773584905660377,-0.07891009787773706,-0.11646921825759787,-0.012812563884427933,-1.8058525808532224,35.84905660377358,7.547169811320755,7,-2124.200880451951,1380.619813291755,-6178.660663826812,-7753.852558509321,-116.57850309107192,41.66666666666667,-0.18989179426559188,57.59897828863346,F9-d rng_own>=1.0,TRAIN,-1.651205025407889,0.06609753399330913,0.476960238300024,-0.11209117281108762,0.049857058000526006,-0.007926961896387821,False,
492,21.391304347826086,-0.07743402201474052,-0.12107631846574975,-0.007926961896387821,-1.442819992331245,34.78260869565217,4.3478260869565215,5,-1636.1584587819148,1975.4140331047593,-3809.7538831252346,-5979.951930587924,-165.64147317935803,20.0,-0.18746822353485498,61.99186991869918,F9-d rng_own>=1.0,VAL,-1.315652917449606,0.06950706011835271,0.34472082749090205,-0.11209117281108762,0.049857058000526006,-0.007926961896387821,False,
196,3.69811320754717,-0.11425455964821002,-0.16784765136013247,-0.050282190349709016,-1.4258146220130081,28.30188679245283,18.867924528301888,9,-588.1408836338678,570.7940902004027,-2239.389369104916,-3176.811008431904,-42.252629605753135,33.33333333333333,-0.22618376244736962,87.75510204081633,F9-d rng_own>=1.5,TRAIN,-1.4557321562845074,0.06397236929850099,0.44039548451423866,-0.06304203618068688,-0.044095598431659125,-0.04949190189757922,False,
132,5.739130434782608,-0.1173974305774492,-0.1662403277276554,-0.04949190189757922,-1.1315251322337387,34.78260869565217,4.3478260869565215,5,-679.8482468216209,1043.774842421835,-1549.6460836223293,-2561.089191806011,-67.37591667923171,20.0,-0.23450042221474918,84.84848484848484,F9-d rng_own>=1.5,VAL,-1.0099505904525095,0.06790552867986999,0.2733037187400203,-0.06304203618068688,-0.044095598431659125,-0.04949190189757922,False,
