cell,split,obs,mu,p5,p95,outside
A1 spy_gap>0 [B0],VAL,56.52173913043478,54.8,43.47826086956522,65.21739130434783,inside
A2 |spy_gap|<=med [B0],TRAIN,45.28301886792453,42.4811320754717,35.84905660377358,49.056603773584904,inside
A2 |spy_gap|<=med [B0],VAL,34.78260869565217,33.482608695652175,26.08695652173913,43.47826086956522,inside
A3 spy_r5>0 (0935) [B0],TRAIN,52.83018867924528,44.386792452830186,37.735849056603776,50.943396226415096,ABOVE
A3 spy_r5>0 (0935) [B0],VAL,52.17391304347826,48.80434782608696,39.130434782608695,60.86956521739131,inside
A4 spy_r5 TOP terc [B0],TRAIN,33.9622641509434,31.11603773584906,24.528301886792452,37.735849056603776,inside
A4 spy_r5 TOP terc [B0],VAL,43.47826086956522,38.765217391304354,30.434782608695656,47.82608695652174,inside
A5 qqq_gap>0 [B0],TRAIN,43.39622641509434,40.78301886792453,33.9622641509434,47.16981132075472,inside
A5 qqq_gap>0 [B0],VAL,52.17391304347826,59.55,47.82608695652174,69.56521739130434,inside
A6 qqq_r5>0 (0935) [B0],TRAIN,39.62264150943396,33.33679245283019,26.41509433962264,39.62264150943396,inside
A6 qqq_r5>0 (0935) [B0],VAL,34.78260869565217,36.547826086956526,26.08695652173913,47.82608695652174,inside
A7 qqq_imb not sell-side [B0],TRAIN,37.735849056603776,33.75660377358491,26.41509433962264,41.509433962264154,inside
A7 qqq_imb not sell-side [B0],VAL,30.434782608695656,33.22826086956522,26.08695652173913,43.47826086956522,inside
A8 qqq_imb BUY [B0],TRAIN,18.867924528301888,21.433962264150946,16.9811320754717,26.41509433962264,inside
A8 qqq_imb BUY [B0],VAL,13.043478260869565,9.902173913043478,4.3478260869565215,17.391304347826086,inside
A9 spy_pm_ret>0 [B0],TRAIN,43.39622641509434,38.926415094339625,32.075471698113205,45.28301886792453,inside
A9 spy_pm_ret>0 [B0],VAL,56.52173913043478,54.8,43.47826086956522,65.21739130434783,inside
A10 spy_vol20 BOT terc [B0],TRAIN,9.433962264150944,10.025471698113208,5.660377358490567,15.09433962264151,inside
A10 spy_vol20 BOT terc [B0],VAL,26.08695652173913,20.393478260869564,13.043478260869565,26.08695652173913,inside
A11 qqq_vol20 BOT terc [B0],TRAIN,11.320754716981133,10.007547169811321,5.660377358490567,15.09433962264151,inside
A11 qqq_vol20 BOT terc [B0],VAL,13.043478260869565,8.832608695652175,4.3478260869565215,13.043478260869565,inside
A12 skip weekday 0 [B0],TRAIN,47.16981132075472,37.280188679245285,30.18867924528302,43.39622641509434,ABOVE
A12 skip weekday 0 [B0],VAL,34.78260869565217,35.82826086956521,26.08695652173913,47.82608695652174,inside
A13 spy_r5>0 AND qqq_r5>0 [B0],TRAIN,37.735849056603776,33.48207547169811,26.41509433962264,39.62264150943396,inside
A13 spy_r5>0 AND qqq_r5>0 [B0],VAL,39.130434782608695,42.70217391304349,34.78260869565217,52.17391304347826,inside
A14 gap>0 AND r5>0 [B0],TRAIN,37.735849056603776,37.60094339622641,32.075471698113205,43.39622641509434,inside
A14 gap>0 AND r5>0 [B0],VAL,52.17391304347826,47.85,39.130434782608695,56.52173913043478,inside
F5M-1 b1 ret>0 [B2],TRAIN,35.84905660377358,33.447169811320755,26.41509433962264,39.62264150943396,inside
F5M-1 b1 ret>0 [B2],VAL,47.82608695652174,53.0,43.47826086956522,60.86956521739131,inside
F5M-2 b1rng/ATR TOP [B2],TRAIN,26.41509433962264,28.717924528301886,22.641509433962266,33.9622641509434,inside
F5M-2 b1rng/ATR TOP [B2],VAL,39.130434782608695,37.64782608695653,26.08695652173913,47.82608695652174,inside
F5M-3 b1rng/ATR BOT [B2],TRAIN,30.18867924528302,29.405660377358494,22.641509433962266,35.84905660377358,inside
F5M-3 b1rng/ATR BOT [B2],VAL,26.08695652173913,24.76086956521739,17.391304347826086,30.434782608695656,inside
F5M-4 b1vol/20d TOP [B2],TRAIN,28.30188679245283,33.93396226415094,28.30188679245283,39.62264150943396,inside
F5M-4 b1vol/20d TOP [B2],VAL,34.78260869565217,31.326086956521735,21.73913043478261,39.130434782608695,inside
F5M-5 b1vol/20d BOT [B2],TRAIN,15.09433962264151,19.193396226415096,13.20754716981132,24.528301886792452,inside
F5M-5 b1vol/20d BOT [B2],VAL,43.47826086956522,46.16086956521739,34.78260869565217,56.52173913043478,inside
F5M-6 b1 closepos>=.5 [B2],TRAIN,37.735849056603776,31.94622641509434,24.528301886792452,39.62264150943396,inside
F5M-6 b1 closepos>=.5 [B2],VAL,34.78260869565217,39.29347826086957,30.434782608695656,47.82608695652174,inside
F5M-7 gap-and-GO [B2],TRAIN,37.735849056603776,39.678301886792454,32.075471698113205,47.16981132075472,inside
F5M-7 gap-and-GO [B2],VAL,60.86956521739131,52.97826086956522,43.47826086956522,65.21739130434783,inside
F5M-8 gap-FADE [B2],TRAIN,32.075471698113205,29.223584905660378,22.641509433962266,35.84905660377358,inside
F5M-8 gap-FADE [B2],VAL,39.130434782608695,36.71956521739131,26.08695652173913,47.82608695652174,inside
F5M-1 b1 ret>0 [B0],TRAIN,43.39622641509434,35.24716981132075,28.30188679245283,41.509433962264154,ABOVE
F5M-1 b1 ret>0 [B0],VAL,39.130434782608695,42.319565217391315,30.434782608695656,52.17391304347826,inside
F5M-7 gap-and-GO [B0],TRAIN,35.84905660377358,39.739622641509435,32.075471698113205,47.16981132075472,inside
F5M-7 gap-and-GO [B0],VAL,34.78260869565217,36.28478260869565,26.08695652173913,47.82608695652174,inside
T SPY 0935 sgn [B2],TRAIN,43.39622641509434,42.86037735849057,35.84905660377358,50.943396226415096,inside
T SPY 0935 sgn [B2],VAL,65.21739130434783,56.123913043478254,43.47826086956522,65.21739130434783,inside
T SPY 0935 p20 [B2],TRAIN,13.20754716981132,13.148113207547173,9.433962264150944,16.9811320754717,inside
T SPY 0935 p20 [B2],VAL,13.043478260869565,9.239130434782608,4.3478260869565215,13.043478260869565,inside
T SPY 0935 p40 [B2],TRAIN,1.8867924528301887,2.399056603773585,1.8867924528301887,3.7735849056603774,inside
T SPY 0940 sgn [B2],TRAIN,39.62264150943396,36.54716981132076,30.18867924528302,43.39622641509434,inside
