cell,TRAIN_g,TRAIN_d,TRAIN_t,TRAIN_tc,TRAIN_nk,TRAIN_dk,VAL_g,VAL_d,VAL_t,VAL_tc,VAL_nk,VAL_dk
T SPY 0935 p40 [B2],-0.15467490787741098,-0.16134061825815893,-0.8066027054070102,-1.0178415238451919,42.0,2.0,,,,,,
T SPY 0935 p60 [B2],,,,,,,,,,,,
T SPY 0940 sgn [B2],0.3699113466010414,0.3715033665985472,9.21386882497429,1.6338257670752807,2111.0,128.0,0.012377619863096165,0.012556623804690414,0.2113442221756352,0.1353483844005015,1009.0,55.0
T SPY 0940 p20 [B2],0.581789403908694,0.5840402713013189,13.611004145616548,2.303855535612974,937.0,28.0,-0.08531324429883279,-0.08761481553402972,-1.1173708787395518,-0.7662727568655882,320.0,15.0
T SPY 0940 p40 [B2],0.8264596858516907,0.8321144396767413,19.852542404314132,5.74539116663622,664.0,6.0,0.18594132129097554,0.1756308074733497,0.637879259438461,3.750484915814169,30.0,1.0
T SPY 0940 p60 [B2],0.928435960199187,0.934935625382125,23.26832484374519,10.252789942120886,600.0,2.0,,,,,,
T SPY 0945 sgn [B2],0.3812783201563511,0.38180145160639384,9.185475146515893,1.6016915272394219,1989.0,122.0,0.09418450173568242,0.09473913729226274,1.4982951112830833,0.9790773299062788,890.0,50.0
T SPY 0945 p20 [B2],0.5673847391344901,0.5706010173213854,13.226011010907927,2.277139759685411,1039.0,38.0,0.18617733766627356,0.18898767962354146,2.2980808692876615,1.6235974964081707,328.0,15.0
T SPY 0945 p40 [B2],0.7927171875416861,0.7974946786203978,18.565606089559935,4.55967957491201,689.0,9.0,0.25662695820252307,0.25185072574502204,1.6277362080262685,1.4923176504421702,74.0,3.0
T SPY 0945 p60 [B2],0.9393516436854246,0.9449531270618591,23.468011046855807,9.75850424893192,591.0,2.0,0.1988331447949244,0.1865271984424104,0.6769073983747198,3.8106987180008605,30.0,1.0
T SPY 0950 sgn [B2],0.5217964186028291,0.5232362589174265,12.166435568690185,2.264600125549918,1836.0,125.0,0.1929477514431708,0.1959174263293117,2.9049679089264573,2.2026919549513626,856.0,52.0
T SPY 0950 p20 [B2],0.6250265240982765,0.6291967793093716,14.256566147971123,2.577878535442876,991.0,39.0,0.17035105674529888,0.17346321186375627,2.212050405774161,1.549649766890833,370.0,22.0
T SPY 0950 p40 [B2],0.7745019012691292,0.7784443171556307,17.599003669461503,3.9206407081762475,687.0,12.0,0.13055234698429244,0.13024080281324998,1.0770841007249936,0.9747290930263769,106.0,5.0
T SPY 0950 p60 [B2],0.8859072457116872,0.891548945769349,21.094039709449447,6.63135568995262,619.0,5.0,0.3901810938911022,0.39435215146059677,2.0557109881095523,8.280988180240087,25.0,1.0
T SPY 1000 sgn [B2],0.11883186544271854,0.11827741967333961,2.1974408759491464,0.38796083857164515,2129.0,126.0,0.06768727719766471,0.06827475379579234,0.8898293368332886,0.6954626299205253,776.0,60.0
T SPY 1000 p20 [B2],-0.01463742682485665,-0.017456544277349308,-0.37507157689162274,-0.040187643109120985,1473.0,53.0,0.16281266781827813,0.165819387715645,2.108123983216197,1.5746774202890306,399.0,26.0
T SPY 1000 p40 [B2],0.019184531129416264,0.017678987131824427,0.38820404640561956,0.03345878281301608,1202.0,18.0,0.14228839154093514,0.14863312888482952,1.4332620018588547,1.3012796321309303,151.0,10.0
T SPY 1000 p60 [B2],0.028444505015198136,0.027109498725229185,0.5970483154197879,0.047301228283431446,1106.0,6.0,0.44127521319489604,0.4452300687472621,2.3131234853431915,8.974843639621708,25.0,1.0
T SPY 1015 sgn [B2],0.2447008327599706,0.24398261171100577,3.9797279440511106,0.8124771096201311,1530.0,122.0,-0.015983701893026836,-0.01462918929667345,-0.16688084014523563,-0.12548810891324322,543.0,56.0
T SPY 1015 p20 [B2],0.23377081199470592,0.2329204207323014,4.258032673923326,0.6216595019915891,1174.0,61.0,0.15602056354457453,0.1618803104159638,1.8358309487888471,1.5214358471190468,332.0,29.0
T SPY 1015 p40 [B2],0.25854667675599036,0.25646839913572944,4.869420570438442,0.5577145206914973,919.0,27.0,-0.004490941012867636,-0.002123518919042555,-0.01629608832181198,-0.015508107853967036,92.0,8.0
T SPY 1015 p60 [B2],0.3405829748152436,0.33991897977468516,6.528418974127842,0.7061993039388934,837.0,11.0,,,,,,
T SPY 1030 sgn [B2],0.5165723581522443,0.5168862294172247,7.4360591596777565,2.5272702159176714,1141.0,120.0,0.03667213379619533,0.036524846696586635,0.3584200935577284,0.2838191778280642,409.0,55.0
T SPY 1030 p20 [B2],0.5281790136435096,0.5294732870287187,8.550943884244118,2.6025724455705586,900.0,66.0,0.16325790376728846,0.16742326851992131,1.6818140053643729,1.4003662199021412,303.0,35.0
T SPY 1030 p40 [B2],0.6055519289764533,0.6061448453579782,10.679820831736174,3.5421866277938503,672.0,26.0,0.02619985540159739,0.029199284189715805,0.24884943895876288,0.22163068596245322,134.0,15.0
T SPY 1030 p60 [B2],0.7307435193845201,0.7321414090504483,13.434146302920857,6.996182435391529,620.0,12.0,0.02865397018717909,0.028647960651848624,0.18916097863727224,0.15445631317744118,73.0,7.0
T QQQ 0935 sgn [B2],0.29958992517029165,0.3011355665453499,8.227430404236557,1.4271326284672414,2245.0,114.0,0.11050915281261878,0.11008422767110308,2.129814692387499,1.3233703953193903,1355.0,52.0
T QQQ 0935 p20 [B2],0.5131671944648483,0.5150914619277382,12.762920091846278,2.112982508380107,1081.0,34.0,0.06633939477485597,0.06606792161843349,1.1563809840926311,0.7117322495730172,707.0,24.0
T QQQ 0935 p40 [B2],0.7978438093759967,0.8035247520025406,19.44442886276105,5.805129415513445,703.0,7.0,0.12842815861233217,0.1274742321917118,1.415520872731133,0.7353482075904737,221.0,6.0
T QQQ 0935 p60 [B2],0.2727066687915961,0.26847822242890584,1.340770320577617,1.334826686839892,50.0,2.0,0.3165945012398881,0.31587743414396807,2.017114918902044,7.258870270064219,51.0,1.0
T QQQ 0940 sgn [B2],0.3490838545515035,0.35079802411748684,8.708233030739711,1.5100662070139899,2054.0,118.0,-0.07122838833322215,-0.07470526371109118,-1.2583246082570005,-0.8125926525673757,993.0,52.0
T QQQ 0940 p20 [B2],0.4519259301220473,0.4534845313579833,10.979278004915669,1.7683884948715818,1289.0,55.0,-0.013881442535025485,-0.014044228869537559,-0.22030311137203282,-0.14220463645722073,609.0,28.0
T QQQ 0940 p40 [B2],0.6365404358727459,0.6390620589209244,14.723475135706435,2.6206453953463282,824.0,16.0,-0.12215366214874424,-0.1239288059485108,-1.3711547520590848,-0.8829612117987891,217.0,11.0
T QQQ 0940 p60 [B2],0.7588530786542288,0.7633069554376859,17.838507844426445,4.0057727592708705,693.0,8.0,0.2628561711240345,0.260081776721161,1.723955208565465,1.7100305609047748,80.0,4.0
T QQQ 0945 sgn [B2],0.40686199974794723,0.40809375302474615,9.85128978649282,1.7449072096444933,1957.0,124.0,-0.011922547601387315,-0.012816047406587802,-0.20024083096748843,-0.12953101592327274,985.0,59.0
T QQQ 0945 p20 [B2],0.49270858501206616,0.4953522360403455,11.778255450319875,1.9721260163694048,1271.0,55.0,0.13120296607818793,0.13266359408401238,1.928391543973775,1.341847956360189,546.0,28.0
T QQQ 0945 p40 [B2],0.5820017384751909,0.5841360984277046,13.384775822373348,2.2097957611416597,904.0,24.0,-0.021631207342214964,-0.022141767756156824,-0.24802057831600322,-0.19710742552896895,249.0,12.0
T QQQ 0945 p60 [B2],0.8311589897654004,0.8357135045771069,19.52788937818381,5.456980750576904,669.0,8.0,0.05539602383741823,0.05027718009045844,0.3787459623961273,0.22810611688526944,100.0,4.0
T QQQ 0950 sgn [B2],0.467491248438366,0.4686837792194397,10.870365306360563,1.9163845467034226,1765.0,122.0,0.06810690611640784,0.06982987251159184,1.0239753681203576,0.7570065456618984,879.0,55.0
T QQQ 0950 p20 [B2],0.570967021126904,0.5734430233649062,13.184010537621086,2.3362142621848343,1202.0,60.0,0.14486444886595,0.14551909936439433,2.1213223885387245,1.5392318031208365,626.0,38.0
T QQQ 0950 p40 [B2],0.6270695033493578,0.6296273548772529,14.063210911149476,2.426569272981374,853.0,30.0,-0.04157103280798198,-0.04119173171158849,-0.4975849288060975,-0.40288168797708324,294.0,17.0
T QQQ 0950 p60 [B2],0.7294730317079049,0.732775321855835,16.40871755386297,3.3204234197364246,744.0,14.0,0.02881004430566662,0.028646750581594757,0.28991620637383086,0.2286491118666288,194.0,9.0
T QQQ 1000 sgn [B2],0.09496697533003012,0.0943589252311637,1.6979318887436843,0.3157604993017912,2182.0,129.0,-0.010454125539999276,-0.011099770891693977,-0.1434712337769257,-0.10793455708509404,783.0,59.0
T QQQ 1000 p20 [B2],-0.018010350514467387,-0.018941047503026477,-0.39515352198433656,-0.049197480839245515,1670.0,71.0,-0.02366963202596141,-0.025059216458471867,-0.33828916222613026,-0.2552086399345577,560.0,41.0
T QQQ 1000 p40 [B2],0.021046903222189887,0.019585796952768214,0.4233241514364386,0.04349258724151548,1416.0,42.0,0.01144183643438837,0.013876955499028065,0.16078067589352063,0.10870623208100544,249.0,16.0
T QQQ 1000 p60 [B2],0.03003943283988837,0.02804665500051621,0.6147952939290101,0.05354857058769076,1212.0,18.0,-0.12237935808212308,-0.12352733893591716,-1.189655653600742,-0.8351604706987998,142.0,8.0
T QQQ 1015 sgn [B2],0.17119131160213094,0.169672485396127,2.8228855698166635,0.5338718158015537,1459.0,122.0,-0.006636335866808701,-0.004241823941128403,-0.04690931205853554,-0.03617395959111873,595.0,61.0
T QQQ 1015 p20 [B2],0.14894746816763602,0.14775815473338205,2.6207583949637545,0.41177942133817846,1277.0,84.0,-0.004141367435102766,0.00014952368356729862,0.0017505512319876924,0.0013396648529821159,441.0,42.0
T QQQ 1015 p40 [B2],0.2048225269124301,0.2037401562226349,3.7660559032799203,0.5106229738303111,1106.0,53.0,-0.1221631577209742,-0.12205599218931748,-1.299299505685965,-1.0958850566676508,211.0,20.0
T QQQ 1015 p60 [B2],0.34530485123903876,0.3449238951188653,6.556915890828629,0.7820765849450729,923.0,24.0,-0.04840020702612112,-0.042279935652738215,-0.4060880805246342,-0.42332087289155496,144.0,11.0
T QQQ 1030 sgn [B2],0.4904264440106617,0.4903042481137144,7.2177963104787235,2.355820464872198,1092.0,119.0,0.023238855312887594,0.025322335171771723,0.24960715541225872,0.19115236118159493,405.0,58.0
T QQQ 1030 p20 [B2],0.5001707272968849,0.5012321969094343,8.014549742388791,2.3796890199541636,917.0,78.0,-0.007432267947790741,-0.0050452384852289756,-0.05085840758529671,-0.04137500189049157,310.0,41.0
T QQQ 1030 p40 [B2],0.5934834695409078,0.595961115956698,9.965831302475731,3.261574794706715,815.0,53.0,0.016708768037574033,0.01884284808721072,0.18575879627730046,0.16084374815808333,254.0,32.0
T QQQ 1030 p60 [B2],0.7218989999501302,0.7243519357712881,12.843977725714797,5.913428102076319,691.0,28.0,-0.0941960823164739,-0.09199625474623947,-0.808807963788008,-0.9069112140710116,126.0,14.0
T SPY 0935 sgn [B0],0.2346986763473654,0.23563480365576792,4.9607578981215585,1.7697469124989507,1679.0,124.0,0.1653870532205204,0.16654863626448183,2.6044401241833133,1.8257316029705373,995.0,52.0
T SPY 0940 sgn [B0],0.13819690276537275,0.13916364896623093,2.8583649611044386,0.9834147729843561,1732.0,128.0,0.03418745072073315,0.03435312595404246,0.525001814847712,0.3493151640571289,926.0,55.0
T SPY 0945 sgn [B0],0.1307207434905746,0.13047441228767667,2.651993149204865,0.904606830592116,1704.0,122.0,0.08207168601448146,0.0822992966182282,1.2461993270002656,0.8474481134843241,893.0,50.0
T SPY 0950 sgn [B0],0.24311983530052939,0.24315388303142457,4.693098207622349,1.6862537724046283,1561.0,126.0,0.21404645741595776,0.2177256196553767,3.1264858715948813,2.46670263806377,861.0,52.0
T SPY 1000 sgn [B0],0.069930595160106,0.06827506681347528,1.167618174427987,0.39213775843915083,1617.0,126.0,0.14648259542054493,0.14735768238011676,1.9430058573450328,1.5420807182242753,819.0,60.0
T SPY 1015 sgn [B0],0.11533385442591572,0.11509301818184316,1.7459758214358196,0.5559279811713088,1201.0,123.0,0.04116541198771276,0.043045362677085,0.49529356048571893,0.3704223815685267,565.0,55.0
T SPY 1030 sgn [B0],0.3128791350613334,0.3141229209743096,4.277775311352476,1.8230752163455533,934.0,123.0,0.14779031064318182,0.14921322806847953,1.5235459737383361,1.217510435183594,444.0,54.0
T QQQ 0935 sgn [B0],0.15329630134493377,0.15407558005343075,3.2427709180397803,1.0800736383816905,1614.0,114.0,0.07930870142133986,0.07807184561015186,1.2160266435426559,0.8193452274849151,998.0,52.0
T QQQ 0940 sgn [B0],0.1290408313864037,0.1292628396404041,2.6606447221920893,0.9042251197607452,1709.0,118.0,-0.001169388766929894,-0.0020792010868153216,-0.031868207247503916,-0.02144500983662991,891.0,52.0
T QQQ 0945 sgn [B0],0.16879116073096742,0.1696049707351466,3.459662865420025,1.201439717828935,1686.0,124.0,0.017212403255482702,0.01645942239903704,0.2444906806915902,0.16325613040326362,990.0,59.0
T QQQ 0950 sgn [B0],0.1560889688534356,0.15544106035880345,3.00896395247818,0.997153635392793,1497.0,123.0,0.17928904512856242,0.18261803913417016,2.593833326269514,2.0311224212467547,892.0,55.0
T QQQ 1000 sgn [B0],0.07652023783970077,0.07594721924234013,1.2768573158972285,0.44288226771771494,1660.0,129.0,0.09188350775348432,0.09277536033197326,1.210259376997438,0.9307567655032074,829.0,59.0
T QQQ 1015 sgn [B0],0.026665997154440825,0.02499482013677782,0.38482172939121123,0.11237884981282067,1136.0,123.0,0.019394454388018553,0.022064096023575702,0.24410827398077536,0.19398093511665773,624.0,60.0
T QQQ 1030 sgn [B0],0.31585211539415325,0.3172734787671999,4.4022088715049845,1.8176445120852271,884.0,122.0,0.08737043941715568,0.09044299951888758,0.9234896164775246,0.7024615582275082,440.0,57.0
ROLL-SPY ret0930_sig sgn [B2],0.04601964851562515,0.044535981725989215,1.0779498189625065,0.23272758890731995,3238.0,201.0,0.07109469364760787,0.0716589297313989,1.3166764489302152,0.847185661065651,1633.0,91.0
ROLL-SPY ret0930_sig p20 [B2],0.04551825351215068,0.04877576907625149,1.325002489107661,0.17824299799898544,2183.0,125.0,-0.0005990506063062485,0.002456592820481475,0.045802918164468666,0.03199473945348714,899.0,64.0
ROLL-SPY ret0930_sig p40 [B2],0.06545748211745367,0.06980265990560612,1.8671006415649394,0.19197447281002364,1624.0,78.0,-0.06765510745697759,-0.06351562682678474,-0.9289336296590455,-0.6185174258928385,392.0,37.0
ROLL-SPY ret0930_sig p60 [B2],0.08544165034147046,0.0904609689485042,2.3540130035337916,0.20099748986758104,1348.0,39.0,-0.0088747319188076,0.0004391837051855377,0.004858542663508397,0.0033464692658932613,190.0,22.0
HOD-SPY TRAIN top terc [B2],-0.2153910392854026,-0.22077836164506268,-5.700113667004843,-1.2258220990087025,1525.0,188.0,0.06717516451152153,0.06632093372601237,1.2109143780194416,0.828347943852656,828.0,90.0
HOD-SPY within 0.10% [B2],-0.18113167522397877,-0.18779192044583837,-5.094671931213587,-0.9238158359739392,2141.0,212.0,0.10402039721174453,0.10289054276213065,1.996242902618377,1.3353369411240756,1292.0,93.0
HOD-SPY within 0.20% [B2],-0.15346625409532044,-0.16222792407982362,-4.3203067038106715,-0.586582746019362,2828.0,230.0,0.1231902128459241,0.12192057447639165,2.0909552982387143,1.4795306167742146,1808.0,99.0
HOD-SPY within 0.30% [B2],-0.0781556505829683,-0.08680739492833553,-2.1785528020184834,-0.2574092232706898,3250.0,235.0,0.08659360893014575,0.08453455006261269,1.1351642106723883,0.8923519248778914,2093.0,101.0
ROLL-QQQ ret0930_sig sgn [B2],0.09082364147723875,0.09044412006318849,2.2414767234639887,0.4706322726975289,3162.0,187.0,-0.0006866497648246091,-0.0009292224375422806,-0.016918507012987555,-0.011893673461326401,1652.0,85.0
ROLL-QQQ ret0930_sig p20 [B2],0.06053377612300487,0.062390539650766595,1.6707105533450788,0.2671507933337761,2552.0,148.0,-0.00013795928118225977,0.0010143377591235528,0.019648814175200487,0.013610834568680367,1184.0,75.0
ROLL-QQQ ret0930_sig p40 [B2],0.02685084035386193,0.029828876731448795,0.8095612365107425,0.09759527641311656,1951.0,103.0,-0.10906593014788088,-0.10705735403238711,-1.9054334290431494,-1.3833128961171959,714.0,60.0
ROLL-QQQ ret0930_sig p60 [B2],0.0570347845316659,0.06138405252532861,1.6399793939709009,0.16855192587751625,1626.0,75.0,-0.10959077213997986,-0.10718481073610416,-1.648164731050949,-1.2533544195838682,430.0,43.0
HOD-QQQ TRAIN top terc [B2],-0.10127075629999335,-0.10323872229131104,-2.6241935063226816,-0.5710179548569585,1524.0,179.0,-0.022296332647528953,-0.02459425929486341,-0.4587069115634507,-0.3095523265840532,872.0,82.0
HOD-QQQ within 0.10% [B2],-0.0959060106721571,-0.09805331909782924,-2.549779033960724,-0.5223438690283235,1680.0,184.0,-0.01898943708884296,-0.021321371851677602,-0.4072425599409747,-0.2739343831238562,989.0,84.0
HOD-QQQ within 0.20% [B2],-0.05074630652558005,-0.055658171738205954,-1.5098169831372164,-0.2338504838009511,2402.0,213.0,-0.0032043817311058626,-0.0045915360231532434,-0.08727674777439932,-0.057949295278441636,1449.0,91.0
HOD-QQQ within 0.30% [B2],-0.07741836139125396,-0.08370244185219826,-2.1944284919588624,-0.31528761011210327,2909.0,227.0,0.06746971164841155,0.06558334239592553,1.1286289394720326,0.7805096241309135,1767.0,95.0
M1 spy2d>0 [B2],-0.05160743966553484,-0.05258851458512677,-1.3741811296864939,-0.24759877193827065,1772.0,135.0,-0.011467215578769568,-0.010394986772073608,-0.19442346934687676,-0.12895936628497537,1557.0,61.0
M1 spy2d>=+0.5% [B2],0.0022124934315050715,0.0017800324360398995,0.041463622560956655,0.009838166130578146,1190.0,97.0,0.13485902744037875,0.13720535334335857,2.6272493966495976,1.569596436481805,1076.0,43.0
M1 spy2d>=+1.0% [B2],-0.032667745505146,-0.033168736588576136,-0.57779186906894,-0.20367387349815758,567.0,48.0,-0.04142235876277259,-0.041255077711575217,-0.6540051573328461,-0.32389807331414383,540.0,21.0
M1 spy2d>=+1.5% [B2],-0.0017932682291942434,0.0020297327221310557,0.023400859714070847,0.011797386993301984,238.0,21.0,0.12259162576048657,0.12749471283217684,1.447430033722242,0.6932719996884058,241.0,10.0
M1 spy2d<=-0.5% [B2],0.07176310931049668,0.07413881280892395,2.0159017005859923,0.2754206926799213,2171.0,64.0,0.029712600102112054,0.02943065008773454,0.4768778816622653,0.3226880787285488,558.0,25.0
M1 spy2d<=-1.0% [B2],0.05690998936553025,0.059886075245281195,1.6090454732221642,0.17624756584286527,1707.0,37.0,-0.10873682477611903,-0.10947590671614163,-1.424913471286728,-0.9880706217833688,314.0,15.0
M1 spy2d<=-1.5% [B2],0.0937437898191682,0.09799613229188012,2.583056690150382,0.25533513091512905,1499.0,23.0,-0.09652662671493785,-0.09851583701732554,-1.058229084219753,-0.7350941138014184,202.0,10.0
M2 spy1d>0 [B2],-0.020423746235596993,-0.02247637729166161,-0.589980133065675,-0.1033376888480033,1832.0,140.0,0.0421161132573419,0.04422594549773475,0.8541631628474429,0.5329466128718398,1351.0,55.0
