symbol,date,close_raw,close_adj,cum_factor,rel_err,ohlc_err,last_f
ARCB,2024-05-15,117.83,116.44,0.9882031813633755,1.6980337720088323e-07,5.151001e-05,1.0
ABIG,2025-06-05,28.8101,28.78,0.9989547424247212,4.901694005842672e-07,0.0,1.0
MLPA,2016-12-16,11.28,29.84,2.645391238636016,4.1262837249241353e-07,0.00019557355,1.0
LGO,2023-06-21,4.27,4.27,1.0,0.0,0.0,1.0
CRAI,2017-03-28,34.21,29.78,0.8705061991221584,5.234503339047589e-07,0.00025149502,1.0
CHPT,2022-09-21,16.21,324.2,20.00032492950885,1.61523419669825e-05,9.5367426e-08,1.0
SPBW,2026-02-03,27.54,27.54,1.0,0.0,0.0,1.0
CRDL,2022-12-01,0.5001,0.5001,1.0,0.0,0.0,1.0
NIVF,2022-05-02,9.92,5.3568e+06,540002.6771539691,4.965383495311804e-06,0.0,1.0
SPDN,2024-07-18,11.65,10.8,0.9270358170727087,3.0810623443798606e-06,0.000653502,1.0
TWLV,2018-12-31,9.82,9.82,1.0,0.0,0.0,1.0
SENEA,2020-05-06,35.22,35.22,1.0,0.0,0.0,1.0
GHY,2020-03-10,13.52,7.079,0.5235934101489111,2.3804619284021813e-06,5.338973e-05,1.0
NGS,2016-02-18,17.1,16.79,0.9818717332362847,3.6315468346269187e-07,0.0003078965,1.0
RVP,2018-12-20,0.68,0.68,1.0,0.0,0.0,1.0
LAUR,2024-05-30,15.71,15.71,1.0,0.0,0.0,1.0
QQLV,2026-08-24,25.7757,25.7757,1.0,0.0,0.0,1.0
MCS,2017-01-30,30.0,26.31,0.8770018350073604,2.112667409969077e-06,0.00014659889,1.0
JLL,2017-10-05,128.56,126.82,0.9864640876125546,1.4114470448426217e-06,1.6193213e-05,1.0
LENS,2019-08-22,0.32,0.3151,0.9846863850467611,1.1997391068355625e-06,0.0,1.0
RELX,2020-05-20,23.04,20.11,0.87282699252243,3.2771524514344412e-06,0.00027554596,1.0
UDR,2018-06-28,37.55,27.52,0.7328868933284138,3.567312079370973e-06,0.0001463909,1.0
CYRX,2019-03-07,10.6,10.6,1.0,0.0,0.0,1.0
PHVS,2021-05-10,22.26,22.26,1.0,0.0,0.0,1.0
CFR,2016-10-13,71.04,53.28,0.7499958993093052,5.431789202499737e-06,9.544691e-05,1.0
SSBI,2021-06-21,13.67,11.57,0.846377728267603,1.3902189294446648e-06,0.0007482456,1.0
TSL,2026-01-15,18.09,18.09,1.0,0.0,0.0,1.0
STPZ,2020-05-28,52.75,42.61,0.8077660920226489,7.961890447668847e-06,0.000108617256,1.0
HYS,2020-10-15,94.74,66.2,0.6987508401310323,5.194062490598877e-06,0.00011532732,1.0
AQN,2019-10-22,13.86,9.964,0.7189027058016504,8.5233189252695e-07,0.00018223732,1.0
GGG,2019-06-26,50.06,45.7,0.9129039816688332,5.730178202642976e-07,0.00011837298,1.0
DFGR,2024-10-28,28.08,26.24,0.9344712315973588,1.8162789345709658e-06,0.00022700812,1.0
LRNZ,2021-04-06,42.33,42.27,0.9985827803205253,2.4749618471030456e-07,0.00019739235,1.0
BLNK,2020-12-04,23.93,23.93,1.0,0.0,0.0,1.0
TR,2025-01-16,31.34,29.9,0.9540518146130721,5.218387972835625e-07,0.00031043944,1.0
HVT,2017-11-30,24.15,13.31,0.5511382553357289,8.83809243734782e-07,0.00020180448,1.0
KUST,2025-07-24,2.0,30.0,15.000036511404351,2.434093623430537e-06,6.357829e-08,1.0
IVE,2020-04-16,102.31,90.14,0.8810453918477014,2.745736648748913e-06,3.9779377e-05,1.0
TRMB,2025-01-24,77.42,77.42,1.0,0.0,0.0,1.0
PMN,2022-09-30,6.13,153.25,25.00029952855733,1.199981150845413e-05,0.0,1.0
ONB,2020-06-09,15.405,12.7,0.8244088127639247,1.3961592509101783e-06,0.00022781719,1.0
XPP,2016-08-12,51.99,45.38,0.872859313368076,9.674094878019162e-07,0.00021216644,1.0
NEA,2020-02-19,14.8,10.2,0.6891859781509888,4.627566626689969e-06,0.0005831695,1.0
TLT,2019-06-06,130.61,105.44,0.8072899420656382,1.3029639060023346e-06,3.905771e-05,1.0
