day,symbol,entry_m,break_m,exit_m,exit_price,why,split,half,wk,entry,stop,R,price,spread_mean_raw,net_R,cost_R,band_net_R,date,pnl_R
2026-05-15,HIMS,597,596,955,25.07,eod,VAL,,2026-05-11,24.21,23.59,0.620000000000001,24.21,0.0187527352297594,1.3409536528552237,0.04614312133832153,1.1915774193548359,2026-05-15,1.3409536528552237
2026-05-15,INOD,572,571,638,93.32000000000001,target,VAL,,2026-05-11,88.14,85.55,2.5900000000000034,88.14,0.4650000000000013,1.806450965250965,0.193549034749035,1.758661312741313,2026-05-15,1.806450965250965
2026-05-15,MVLL,614,613,955,78.0,eod,VAL,,2026-05-11,79.8712,75.0,4.871200000000002,79.8712,0.6881118881118893,-0.5318784135555695,0.1477430875578685,-0.45489188372474976,2026-05-15,-0.5318784135555695
2026-05-15,MSFU,575,574,637,29.149000000000004,target,VAL,,2026-05-11,28.3,27.8755,0.4245000000000019,28.3,0.0104785695503549,1.9482488349814964,0.051751165018503666,1.6662666666666681,2026-05-15,1.9482488349814964
2026-05-15,MXL,595,594,955,92.53,eod,VAL,,2026-05-11,88.24,82.5201,5.7198999999999955,88.24,0.4492885375494067,0.6651440518978657,0.0848690602194806,0.6458861868214495,2026-05-15,0.6651440518978657
2026-05-15,OKLS,572,571,955,23.25,eod,VAL,,2026-05-11,22.74,21.7,1.0399999999999991,22.74,0.2250250000000002,0.2651701923076939,0.22521442307692344,0.36871500000000185,2026-05-15,0.2651701923076939
2026-05-15,SEDG,586,585,653,54.93999999999999,target,VAL,,2026-05-11,49.98,47.5,2.479999999999997,49.98,0.1277333333333326,1.9400333333333335,0.05996666666666644,1.8988338709677417,2026-05-15,1.9400333333333335
2026-05-15,SNOW,575,574,605,155.40640000000002,target,VAL,,2026-05-11,150.88,148.61679999999998,2.263200000000012,150.88,0.1489337175792469,1.9071266359229206,0.09287336407707927,1.5502666666666691,2026-05-15,1.9071266359229206
2026-05-15,USAR,576,575,955,24.31,eod,VAL,,2026-05-11,24.63,23.58,1.0500000000000007,24.63,0.0325728770595693,-0.3451055971995899,0.04034369243768502,-0.4219866666666667,2026-05-15,-0.3451055971995899
2026-05-18,FIG,606,605,955,24.215,eod,VAL,,2026-05-18,23.33,22.0,1.3299999999999983,23.33,0.021354091238233,0.6422082020765185,0.023205331758069957,0.5788015789473703,2026-05-18,0.6422082020765185
2026-05-18,FIGG,606,605,955,28.13,eod,VAL,,2026-05-18,26.22,23.3101,2.9099000000000004,26.22,0.1937137681159405,0.5860738279267533,0.07030611640123044,0.6118263170555689,2026-05-18,0.5860738279267533
