day,symbol,entry_m,break_m,exit_m,exit_price,why,split,half,wk,entry,stop,R,price,spread_mean_raw,net_R,cost_R,band_net_R,date,pnl_R
2025-02-28,SOXL,610,609,769,21.78,stop,TRAIN,H1,2025-02-24,22.43,21.78,0.6499999999999986,22.43,0.0100109369303681,-1.0290045183544125,0.029004518354412527,-1.1699229230769235,2025-02-28,-1.0290045183544125
2025-03-06,S,614,613,842,19.95,stop,TRAIN,H1,2025-03-03,20.46,19.95,0.5100000000000016,20.46,0.021174242424243,-1.0573651812240057,0.057365181224005704,-1.1975799999999994,2025-03-06,-1.0573651812240057
2025-03-06,SMCX,640,639,681,43.97,stop,TRAIN,H1,2025-03-03,45.7,43.97,1.730000000000004,45.7,0.2364183835182254,-1.1470244991434826,0.14702449914348256,-1.1300317919075142,2025-03-06,-1.1470244991434826
2025-03-07,TSDD,638,637,833,67.1699,stop,TRAIN,H1,2025-03-03,70.4022,67.1699,3.232299999999995,70.4022,0.0967165149544863,-1.038434221747513,0.03843422174751307,-1.0938932165949944,2025-03-07,-1.038434221747513
2025-03-07,TSLQ,639,638,833,53.25,stop,TRAIN,H1,2025-03-03,55.9,53.25,2.6499999999999986,55.9,0.0397568312860364,-1.0232403136928439,0.02324031369284394,-1.0909275471698114,2025-03-07,-1.0232403136928439
2025-03-07,UVIX,638,637,799,40.9101,stop,TRAIN,H1,2025-03-03,43.73,40.9101,2.819899999999997,43.73,0.0797278150633858,-1.0342763342896506,0.03427633428965066,-1.0762526756267954,2025-03-07,-1.0342763342896506
2025-03-10,NVD,602,601,955,37.25,eod,TRAIN,H1,2025-03-10,35.825,34.2,1.625,35.825,0.032170666666667,0.8481318974358955,0.028791179487179692,0.768060153846152,2025-03-10,0.8481318974358955
2025-03-11,SOXS,623,622,881,27.13,stop,TRAIN,H1,2025-03-10,28.12,27.13,0.990000000000002,28.12,0.0108677122400273,-1.0221391032727547,0.022139103272754805,-1.1398319191919188,2025-03-11,-1.0221391032727547
2025-03-11,ETHD,639,638,665,54.25,stop,TRAIN,H1,2025-03-10,55.93,54.26,1.6700000000000017,55.93,0.155496017378711,-1.1122946211848557,0.10630659723276097,-1.1504680239520946,2025-03-11,-1.1122946211848557
2025-03-12,MSTZ,635,634,697,20.64,stop,TRAIN,H1,2025-03-10,21.52,20.64,0.879999999999999,21.52,0.0336409883720931,-1.0478102140591967,0.04781021405919676,-1.1203609090909092,2025-03-12,-1.0478102140591967
2025-03-12,UVXY,668,667,687,27.18,stop,TRAIN,H1,2025-03-10,27.98,27.18,0.8000000000000007,27.98,0.0133040507564668,-1.0304200634455836,0.03042006344558347,-1.1264094999999998,2025-03-12,-1.0304200634455836
2025-03-13,BOIL,638,637,955,85.876,eod,TRAIN,H1,2025-03-10,89.56,83.87,5.689999999999998,89.56,0.1595588235294118,-0.6816601095833763,0.03420843998759436,-0.7153185237258347,2025-03-13,-0.6816601095833763
2025-03-17,TEM,672,671,867,50.1047,target,TRAIN,H1,2025-03-17,48.0349,47.0,1.0349000000000004,48.0349,0.0703846153846149,1.913022963199715,0.08697703680028492,1.8315776422842787,2025-03-17,1.913022963199715
2025-03-20,OKLO,617,616,765,28.4,stop,TRAIN,H1,2025-03-17,29.3,28.4,0.9000000000000021,29.3,0.0613105413105412,-1.0809450459006011,0.08094504590060114,-1.1602988888888885,2025-03-20,-1.0809450459006011
2025-03-21,CCL,672,671,718,20.9,stop,TRAIN,H1,2025-03-17,21.38,20.9,0.4800000000000004,21.38,0.010109289617486,-1.0386776867030958,0.0386776867030958,-1.1610408333333333,2025-03-21,-1.0386776867030958
2025-03-26,QFIN,609,608,955,46.48,eod,TRAIN,H1,2025-03-24,45.685,44.46,1.2250000000000014,45.685,0.0946296296296305,0.5566835676492762,0.09229602418745335,0.4649909795918318,2025-03-26,0.5566835676492762
2025-03-27,NVDL,638,637,708,39.95,stop,TRAIN,H1,2025-03-24,40.87,39.95,0.9199999999999946,40.87,0.0192005420054205,-1.0384397195711095,0.03843971957110946,-1.218809891304349,2025-03-27,-1.0384397195711095
2025-03-27,NVDU,638,637,708,56.25,stop,TRAIN,H1,2025-03-24,57.49,56.25,1.240000000000002,57.49,0.0487136050820541,-1.0576303266790759,0.0576303266790758,-1.2000877419354836,2025-03-27,-1.0576303266790759
2025-03-28,UVXY,610,609,743,22.7598,target,TRAIN,H1,2025-03-24,21.68,21.1401,0.5398999999999994,21.68,0.0100309249367445,1.964958538735424,0.035041461264575885,1.8016329690683457,2025-03-28,1.964958538735424
2025-03-28,SOXS,606,605,662,28.409999999999997,target,TRAIN,H1,2025-03-24,27.22,26.625,0.5949999999999989,27.22,0.0100940170940178,1.9643361057243398,0.03566389427566024,1.7740628571428567,2025-03-28,1.9643361057243398
2025-03-31,IONQ,609,608,704,22.09,stop,TRAIN,H1,2025-03-31,22.745,22.09,0.6550000000000011,22.745,0.017669990933817,-1.0406671617310184,0.04066716173101825,-1.1709951908396943,2025-03-31,-1.0406671617310184
2025-03-31,MSTX,602,601,955,25.85,eod,TRAIN,H1,2025-03-31,25.5203,23.0614,2.4589,25.5203,0.0566666666666666,0.10686049588569521,0.027223850773381027,0.08289030908129755,2025-03-31,0.10686049588569521
2025-03-31,PLTU,687,686,955,27.87,eod,TRAIN,H1,2025-03-31,27.3198,26.54,0.7798000000000016,27.3198,0.0382983333333332,0.6422976489698206,0.06326788065315862,0.5786000051295195,2025-03-31,0.6422976489698206
2025-03-31,PTIR,663,662,674,125.83,stop,TRAIN,H1,2025-03-31,128.43,125.9,2.530000000000001,128.43,0.2017998610145933,-1.1275303798476681,0.09986239565794197,-1.2015790118577103,2025-03-31,-1.1275303798476681
2025-04-01,MSTX,677,676,851,26.7412,stop,TRAIN,H1,2025-03-31,28.025,26.7412,1.2837999999999994,28.025,0.0678649789029534,-1.0613944686890118,0.06139446868901187,-1.078823601807135,2025-04-01,-1.0613944686890118
2025-04-01,SMCX,631,630,862,32.47,stop,TRAIN,H1,2025-03-31,33.52,32.47,1.0500000000000043,33.52,0.0843981481481475,-1.092948712522045,0.09294871252204487,-1.1571843809523803,2025-04-01,-1.092948712522045
2025-04-01,UVIX,607,606,643,38.35,stop,TRAIN,H1,2025-03-31,39.67,38.35,1.3200000000000003,39.67,0.0538278311742578,-1.0525998721017105,0.052599872101710445,-1.1479614393939395,2025-04-01,-1.0525998721017105
