strategy,day,sym,fill_m,fill_et,fill,stop_pct,slip_bps,exit,hold_min,pnl,R,gap_pct,pdr_pct,open_to_fill_pct,mfe_R,mfe_min,mae_R,close_R,hi_after_exit_R,stopbar_close_above_stop,recover_above_fill_60m,vol_break_vs_prior5,or5_range_pct,spy_open_to_fill,spy_open_to_1030,spy_open_to_close
orb,2026-05-29,HPQ,599.0,09:59,27.4721,3.54,-28.0,stop_loss,180.0,-7.0,-0.19,6.8,8.5,2.9,0.72,36.0,0.5,-0.43,0.1,True,False,0.6,3.7,0.25,0.1,0.07
orb,2026-05-29,QURE,577.0,09:37,29.0,3.34,-28.0,tag_bb,1.0,-14.0,-0.41,15.7,3.8,0.7,0.48,1.0,0.42,-0.48,0.49,,,2.2,3.4,0.1,0.1,0.07
bull_flag,2026-05-29,RCAX,606.0,10:06,10.155,3.3,56.0,stop_loss,13.0,-118.0,-1.17,-9.2,46.3,-10.4,0.31,1.0,1.36,8.67,9.54,False,True,0.8,15.3,0.25,0.1,0.07
orb,2026-06-01,ATPC,586.0,09:46,5.31,3.39,0.0,lock_stop,7.0,1.0,0.0,8.4,30.5,0.6,3.83,5.0,-0.3,-6.76,3.56,True,True,30.4,3.1,0.15,0.09,0.41
orb,2026-06-01,CURI,582.0,09:42,3.16,4.43,0.0,tag_bb,2.0,3.0,0.01,5.9,4.3,4.3,0.21,1.0,0.04,1.07,1.07,,,5.5,4.3,0.14,0.09,0.41
orb,2026-06-01,QBTZ,575.0,09:35,3.76,6.12,0.0,tag_bb,2.0,-70.0,-0.21,8.6,19.3,6.2,-0.04,2.0,0.33,-1.22,-0.04,,,0.5,6.1,0.12,0.09,0.41
orb,2026-06-02,PLTZ,575.0,09:35,22.16,5.23,-5.0,force_close,369.0,205.0,0.56,5.2,10.6,1.8,1.14,95.0,0.11,0.6,0.7,,,1.2,5.3,0.05,0.12,0.32
orb,2026-06-02,MSTZ,577.0,09:37,7.6599,3.65,-26.0,lock_stop,73.0,117.0,0.44,9.5,11.1,3.5,1.84,50.0,0.46,1.2,1.82,True,True,1.2,3.7,0.03,0.12,0.32
orb,2026-06-02,HIMX,575.0,09:35,23.811315,5.09,-20.0,tag_bb,2.0,17.0,0.05,5.0,10.6,3.5,0.16,2.0,0.2,0.13,1.06,,,1.2,5.3,0.05,0.12,0.32
orb,2026-06-03,OKLS,575.0,09:35,16.98,6.71,0.0,force_close,370.0,275.0,0.73,7.4,29.4,6.9,1.42,166.0,0.28,1.04,1.26,,,1.3,6.9,-0.04,-0.18,-0.52
orb,2026-06-03,FABC,577.0,09:37,5.5196,5.43,-1.0,tag_bb,2.0,-36.0,-0.1,5.5,12.7,5.7,0.32,2.0,0.4,0.17,1.94,,,1.1,5.4,-0.07,-0.18,-0.52
orb,2026-06-03,ASTN,610.0,10:10,3.95,3.29,0.0,tag_bb,2.0,6.0,0.19,7.7,25.1,3.0,0.3,1.0,0.0,1.81,2.46,,,5.7,3.1,-0.19,-0.18,-0.52
orb,2026-06-04,UNHG,576.0,09:36,20.99,3.53,-5.0,tag_bb,60.0,120.0,0.3,6.8,5.6,3.6,0.58,15.0,0.39,-0.07,0.41,,,3.0,3.4,0.08,0.22,0.66
orb,2026-06-04,AMDD,580.0,09:40,3.1799,1.57,-32.0,stop_loss,71.0,-172.0,-0.84,5.4,4.5,0.9,1.14,25.0,1.0,-1.6,-0.8,True,False,1.2,1.6,0.07,0.22,0.66
orb,2026-06-04,OSCR,575.0,09:35,22.87,4.33,-9.0,force_close,370.0,246.0,0.49,8.5,6.1,2.8,1.06,327.0,0.37,0.74,0.74,,,0.7,4.3,0.04,0.22,0.66
orb,2026-06-04,RPGL,605.0,10:05,3.84,4.69,0.0,lock_stop,33.0,0.0,0.0,26.4,330.9,0.3,9.56,21.0,0.5,-5.11,1.72,True,True,5.2,4.6,0.05,0.22,0.66
orb,2026-06-05,IREZ,575.0,09:35,6.04,4.8,0.0,tag_bb,1.0,-65.0,-0.1,8.1,8.9,5.0,0.07,1.0,0.1,1.93,3.88,,,1.0,4.7,-0.01,-0.36,-1.98
orb,2026-06-05,RGTZ,577.0,09:37,3.389878,3.54,-0.0,force_close,367.0,2201.0,4.5,7.2,18.7,3.7,5.59,307.0,0.08,4.42,4.67,,,1.2,3.4,-0.08,-0.36,-1.98
orb,2026-06-05,SMCZ,575.0,09:35,6.49,3.24,0.0,tag_bb,2.0,61.0,0.17,8.5,11.2,2.4,0.38,2.0,0.19,3.14,3.9,,,3.9,3.0,-0.01,-0.36,-1.98
orb,2026-06-08,BITU,575.0,09:35,9.71,1.13,-21.0,tag_bb,60.0,50.0,0.27,10.9,11.6,0.3,0.64,58.0,0.77,-0.85,1.37,,,0.7,1.0,-0.13,-0.09,-0.54
orb,2026-06-08,BTC,575.0,09:35,28.16,0.57,-25.0,stop_loss,207.0,-76.0,-0.68,5.3,5.4,0.2,1.44,99.0,1.12,-0.81,-0.06,False,False,0.1,0.5,-0.13,-0.09,-0.54
orb,2026-06-08,GSOL,575.0,09:35,5.01,0.6,-40.0,stop_loss,10.0,-79.0,-0.69,5.3,8.5,0.0,0.16,1.0,1.0,1.5,2.33,True,True,1.3,0.5,-0.13,-0.09,-0.54
orb,2026-06-09,EIDO,577.0,09:37,11.645,0.3,-30.0,stop_loss,34.0,-41.0,-0.47,7.8,0.9,0.0,0.86,11.0,1.29,-1.57,-0.71,False,False,0.4,0.3,0.16,-0.42,-0.88
orb,2026-06-09,FABC,575.0,09:35,4.33,7.85,0.0,stop_loss,25.0,-1243.0,-1.14,8.7,30.1,8.5,0.32,18.0,1.21,-1.47,-0.74,True,False,1.0,8.3,0.08,-0.42,-0.88
orb,2026-06-09,MSTZ,616.0,10:16,9.4097,3.29,-22.0,force_close,329.0,1187.0,2.47,6.7,11.2,0.3,3.78,144.0,0.1,2.55,2.84,,,0.9,3.3,-0.38,-0.42,-0.88
bull_flag,2026-06-09,OCC,605.0,10:05,19.98,2.2,2.0,trail_stop,2.0,132.0,0.8,-2.6,29.3,8.0,1.44,1.0,-0.07,2.45,2.45,True,True,2.5,12.8,0.12,-0.42,-0.88
bull_flag,2026-06-09,LESL,610.0,10:10,6.87,4.22,194.0,stop_loss,10.0,-101.0,-1.29,1.8,14.1,31.6,0.1,3.0,1.0,4.41,4.72,True,True,3.5,10.2,-0.07,-0.42,-0.88
bull_flag,2026-06-09,DAIC,612.0,10:12,3.209022,3.4,13.0,stop_loss,3.0,-133.0,-1.23,24.3,23.1,14.2,0.01,1.0,2.38,-11.73,-1.37,False,False,1.3,18.9,-0.13,-0.42,-0.88
orb,2026-06-10,OSCR,575.0,09:35,28.9,3.01,-17.0,stop_loss,179.0,-420.0,-0.96,5.8,8.0,0.3,0.46,29.0,1.01,-1.21,-0.82,True,False,1.4,3.0,-0.03,0.49,-1.09
orb,2026-06-11,UMC,575.0,09:35,20.02,0.9,-30.0,lock_stop,45.0,53.0,0.4,5.1,4.8,0.8,2.47,29.0,0.61,3.56,4.58,True,True,0.9,0.9,-0.22,-0.1,1.22
orb,2026-06-11,TROX,575.0,09:35,7.67,2.48,0.0,force_close,370.0,61.0,0.22,6.0,3.6,1.2,0.74,361.0,0.95,0.37,0.37,,,0.6,2.3,-0.22,-0.1,1.22
orb,2026-06-11,BAK,576.0,09:36,4.04,4.7,0.0,stop_loss,42.0,-524.0,-0.98,5.5,4.9,4.1,-0.05,1.0,1.05,-1.11,-0.79,False,False,1.1,4.7,-0.1,-0.1,1.22
bull_flag,2026-06-11,GLXG,587.0,09:47,3.398041,3.94,-6.0,trail_stop,1.0,114.0,0.57,161.2,15.2,19.2,1.66,1.0,0.65,-10.09,10.38,True,True,2.0,26.7,0.11,-0.1,1.22
orb,2026-06-12,FA,594.0,09:54,16.546687,2.03,-14.0,tag_bb,42.0,195.0,0.64,5.8,3.5,0.7,1.11,24.0,0.17,-0.14,1.02,,,3.0,1.9,-0.63,-0.06,0.12
orb,2026-06-12,TENX,575.0,09:35,11.79,3.65,0.0,stop_loss,331.0,-516.0,-1.03,5.9,6.8,3.3,1.19,80.0,1.02,-0.77,-0.58,True,False,1.0,3.4,-0.2,-0.06,0.12
orb,2026-06-12,CRWU,575.0,09:35,6.28,2.87,-32.0,stop_loss,6.0,-56.0,-0.96,7.7,12.4,0.2,-0.33,1.0,1.06,0.56,3.92,True,True,0.5,2.9,-0.2,-0.06,0.12
bull_flag,2026-06-12,FJET,597.0,09:57,6.649136,1.93,44.0,stop_loss_market_fallback,37.0,123.0,0.51,6.2,20.5,-7.3,1.56,32.0,0.38,-3.69,1.49,True,True,7.3,8.3,-0.5,-0.06,0.12
orb,2026-06-15,PALL,606.0,10:06,24.7597,0.85,-16.0,tag_bb,60.0,-33.0,-0.23,5.8,2.1,0.8,0.12,4.0,0.95,-1.72,0.26,,,4.4,0.8,0.23,0.2,0.37
orb,2026-06-15,MARA,575.0,09:35,15.0899,2.19,-13.0,stop_loss,38.0,-301.0,-0.94,5.9,8.0,1.2,0.41,1.0,1.09,-1.38,-0.01,True,False,0.5,2.1,0.17,0.2,0.37
orb,2026-06-16,PURR,575.0,09:35,10.558336,2.73,-30.0,tag_bb,1.0,-102.0,-0.24,10.6,5.2,2.3,-0.2,1.0,0.55,-1.82,1.46,,,0.9,2.9,0.09,-0.26,-0.56
orb,2026-06-16,LODE,576.0,09:36,4.4,3.41,-23.0,stop_loss,55.0,-382.0,-0.92,7.1,7.5,0.7,0.67,2.0,1.0,-0.5,-0.07,False,False,0.9,3.5,0.06,-0.26,-0.56
orb,2026-06-16,SSRM,575.0,09:35,31.66,4.9,-28.0,tag_bb,3.0,-57.0,-0.1,5.5,4.8,3.7,0.01,2.0,0.15,0.11,0.28,,,0.9,5.1,0.09,-0.26,-0.56
orb,2026-06-16,RGTZ,576.0,09:36,3.19,4.08,-31.0,stop_loss,6.0,-556.0,-0.93,6.4,17.4,0.9,0.15,1.0,1.0,2.54,2.92,False,True,1.5,4.2,0.06,-0.26,-0.56
bull_flag,2026-06-16,ARQQ,590.0,09:50,19.74,3.49,15.0,stop_loss,66.0,-298.0,-1.11,-3.0,29.6,13.6,0.78,10.0,1.06,0.58,1.15,True,False,2.4,6.4,0.09,-0.26,-0.56
orb,2026-06-17,KOLD,589.0,09:49,23.63,0.85,-17.0,stop_loss,23.0,-93.0,-0.81,5.3,6.9,0.8,0.42,12.0,1.05,-3.9,-0.55,True,False,1.6,0.7,-0.02,0.01,-1.37
orb,2026-06-17,BTGO,576.0,09:36,6.21,5.31,0.0,force_close,369.0,-435.0,-0.73,9.4,7.8,4.4,1.03,7.0,0.76,-0.91,-0.48,,,21.6,5.3,-0.05,0.01,-1.37
orb,2026-06-17,AVGG,588.0,09:48,29.18,1.51,0.0,lock_stop,10.0,62.0,0.37,6.0,8.2,0.3,1.55,7.0,-0.05,1.32,3.83,True,True,1.0,1.2,0.03,0.01,-1.37
bull_flag,2026-06-17,ARQQ,634.0,10:34,23.14,1.38,-13.0,stop_loss_market_fallback,8.0,-149.0,-1.43,-0.3,20.8,15.9,1.12,4.0,1.66,-1.66,2.97,True,True,0.6,2.5,-0.07,0.01,-1.37
orb,2026-06-18,QCML,589.0,09:49,28.985,3.02,-29.0,lock_stop,33.0,202.0,0.44,7.5,8.1,0.0,2.21,14.0,0.23,1.49,2.53,True,True,10.1,3.1,-0.34,-0.4,-0.16
orb,2026-06-22,BSOL,576.0,09:36,10.145059,0.74,-25.0,stop_loss,38.0,-95.0,-0.7,7.2,5.4,0.6,0.4,24.0,1.0,-3.8,-0.8,True,False,1.1,0.7,0.19,-0.26,-0.44
orb,2026-06-22,ETHU,576.0,09:36,14.54,1.1,-21.0,stop_loss,42.0,-151.0,-0.87,7.0,10.1,0.7,0.81,1.0,1.0,-3.88,-0.69,True,False,7.7,1.0,0.19,-0.26,-0.44
orb,2026-06-22,GSOL,577.0,09:37,5.62,0.89,-18.0,stop_loss,35.0,-120.0,-0.86,6.9,5.3,0.9,0.15,21.0,0.98,-3.3,-0.8,True,False,9.5,0.7,0.22,-0.26,-0.44
orb,2026-06-22,SSL,588.0,09:48,11.315,1.9,-31.0,force_close,357.0,-55.0,-0.18,5.0,2.9,0.0,0.35,6.0,0.33,-0.09,0.0,,,0.3,2.0,0.26,-0.26,-0.44
bull_flag,2026-06-22,SMCX,584.0,09:44,12.59,2.14,89.0,stop_loss_market_fallback,3.0,-198.0,-0.88,11.4,18.4,11.7,0.76,3.0,0.59,2.81,6.11,True,True,1.8,8.3,0.08,-0.26,-0.44
orb,2026-06-23,TSLZ,575.0,09:35,12.7899,1.95,-23.0,tag_bb,61.0,2.0,0.01,5.8,10.7,2.0,0.64,51.0,0.56,1.68,2.24,,,0.5,2.0,-0.13,0.64,-0.01
orb,2026-06-23,TSDD,575.0,09:35,8.45,1.66,-35.0,tag_bb,61.0,2.0,0.01,6.4,10.7,1.7,0.71,51.0,0.57,2.0,2.64,,,1.3,1.7,-0.13,0.64,-0.01
bull_flag,2026-06-23,QBTX,576.0,09:36,17.725,4.2,111.0,trail_stop,5.0,114.0,0.51,-2.5,18.8,14.2,1.26,3.0,0.05,-1.48,1.45,True,True,1.9,16.7,-0.17,0.64,-0.01
bull_flag,2026-06-23,SMU,602.0,10:02,10.965,2.42,41.0,trail_stop,17.0,690.0,3.07,-12.4,15.6,16.5,3.3,15.0,0.49,-3.72,2.51,True,True,1.3,8.5,0.57,0.64,-0.01
bull_flag,2026-06-23,QBTZ,611.0,10:11,3.4077,3.75,23.0,stop_loss,6.0,-305.0,-1.13,2.8,18.6,-14.4,0.41,1.0,1.31,2.21,3.35,False,True,1.0,16.8,0.62,0.64,-0.01
orb,2026-06-24,RUN,585.0,09:45,16.165,5.41,-28.0,stop_loss_market_fallback,241.0,-105.0,-0.99,20.9,5.1,4.4,0.71,4.0,1.06,-2.01,-0.89,False,False,1.7,5.7,0.1,0.26,-0.27
bull_flag,2026-06-24,SMU,628.0,10:28,8.8219,2.29,123.0,trail_stop,4.0,421.0,1.56,-4.1,25.8,-8.1,1.08,3.0,-0.09,-0.21,1.97,True,True,1.7,7.1,0.17,0.26,-0.27
orb,2026-06-25,AIBZ,590.0,09:50,8.978849,3.66,-1.0,force_close,354.0,-163.0,-0.32,5.1,20.1,2.0,0.79,46.0,0.76,-0.8,-0.12,,,2.6,3.5,-0.77,-0.46,-0.76
orb,2026-06-25,EHGO,576.0,09:36,4.659997,7.08,-0.0,stop_loss_market_fallback,24.0,-1292.0,-1.31,24.1,87.8,1.5,0.27,1.0,1.42,-0.41,0.58,False,False,0.9,7.4,-0.15,-0.46,-0.76
orb,2026-06-26,SOLT,575.0,09:35,28.59,1.54,-7.0,tag_bb,61.0,757.0,3.45,7.8,14.0,1.3,5.05,53.0,0.25,7.14,8.58,,,1.6,1.3,-0.02,0.62,0.02
orb,2026-06-29,RCAT,575.0,09:35,9.98,2.71,0.0,stop_loss_market_fallback,9.0,-346.0,-0.93,5.7,6.2,1.4,-0.19,3.0,0.96,1.22,1.44,True,False,3.1,2.5,0.22,0.02,0.59
orb,2026-06-29,KOLD,581.0,09:41,23.13,0.56,-30.0,tag_bb,54.0,184.0,1.55,6.1,6.0,0.1,2.58,51.0,0.77,3.04,4.15,,,1.7,0.6,0.21,0.02,0.59
orb,2026-06-29,IRE,575.0,09:35,19.367306,3.76,-17.0,stop_loss_market_fallback,12.0,-667.0,-1.23,6.3,15.5,1.0,-0.12,7.0,1.31,-3.18,-1.07,False,False,0.9,3.8,0.22,0.02,0.59
