fam,split_name,bucket,period,days,trades,dayR_mean,sumR,tradeR_mean,green_days
F5,iwm_prev_ret,iwm_prev_ret<=0,TEST,34,354,-4.992,-169.7,-0.4794,5.9
F5,iwm_prev_ret,iwm_prev_ret>0,TEST,34,364,-6.135,-208.6,-0.5731,8.8
F5,spy_vs_sma5,spy_vs_sma5<=0,TRAIN,97,1079,-5.758,-558.5,-0.5176,14.4
F5,spy_vs_sma5,spy_vs_sma5>0,TRAIN,153,1609,-6.106,-934.2,-0.5806,13.1
F5,spy_vs_sma5,spy_vs_sma5<=0,VAL,42,444,-5.253,-220.6,-0.4969,19.0
F5,spy_vs_sma5,spy_vs_sma5>0,VAL,60,629,-3.553,-213.2,-0.339,18.3
F5,spy_vs_sma5,spy_vs_sma5<=0,TEST,33,343,-5.328,-175.8,-0.5126,6.1
F5,spy_vs_sma5,spy_vs_sma5>0,TEST,35,375,-5.786,-202.5,-0.54,8.6
F5,spy_vs_sma20,spy_vs_sma20<=0,TRAIN,71,765,-4.858,-344.9,-0.4509,22.5
F5,spy_vs_sma20,spy_vs_sma20>0,TRAIN,179,1923,-6.412,-1147.8,-0.5969,10.1
F5,spy_vs_sma20,spy_vs_sma20<=0,VAL,39,399,-4.539,-177.0,-0.4437,17.9
F5,spy_vs_sma20,spy_vs_sma20>0,VAL,63,674,-4.076,-256.8,-0.381,19.0
F5,spy_vs_sma20,spy_vs_sma20<=0,TEST,27,283,-5.226,-141.1,-0.4986,7.4
F5,spy_vs_sma20,spy_vs_sma20>0,TEST,41,435,-5.786,-237.2,-0.5454,7.3
F5,iwm_vs_sma5,iwm_vs_sma5<=0,TRAIN,102,1101,-5.649,-576.2,-0.5233,14.7
F5,iwm_vs_sma5,iwm_vs_sma5>0,TRAIN,145,1553,-6.24,-904.8,-0.5826,13.1
F5,iwm_vs_sma5,iwm_vs_sma5<=0,VAL,43,451,-4.982,-214.2,-0.475,16.3
F5,iwm_vs_sma5,iwm_vs_sma5>0,VAL,59,622,-3.722,-219.6,-0.353,20.3
F5,iwm_vs_sma5,iwm_vs_sma5<=0,TEST,34,347,-4.887,-166.2,-0.4789,5.9
F5,iwm_vs_sma5,iwm_vs_sma5>0,TEST,34,371,-6.24,-212.2,-0.5718,8.8
F5,iwm_vs_sma20,iwm_vs_sma20<=0,TRAIN,77,823,-5.443,-419.1,-0.5092,16.9
F5,iwm_vs_sma20,iwm_vs_sma20>0,TRAIN,155,1663,-5.994,-929.1,-0.5587,13.5
F5,iwm_vs_sma20,iwm_vs_sma20<=0,VAL,34,345,-5.512,-187.4,-0.5432,17.6
F5,iwm_vs_sma20,iwm_vs_sma20>0,VAL,68,728,-3.624,-246.4,-0.3385,19.1
F5,iwm_vs_sma20,iwm_vs_sma20<=0,TEST,29,290,-4.953,-143.6,-0.4953,6.9
F5,iwm_vs_sma20,iwm_vs_sma20>0,TEST,39,428,-6.018,-234.7,-0.5484,7.7
F5,spy_vol20,T1(low),TRAIN,84,915,-4.858,-408.1,-0.446,17.9
F5,spy_vol20,T2,TRAIN,71,784,-6.557,-465.5,-0.5938,7.0
F5,spy_vol20,T3(high),TRAIN,95,989,-6.517,-619.1,-0.626,14.7
F5,spy_vol20,T1(low),VAL,41,441,-3.241,-132.9,-0.3014,24.4
F5,spy_vol20,T2,VAL,39,401,-5.803,-226.3,-0.5644,15.4
F5,spy_vol20,T3(high),VAL,22,231,-3.391,-74.6,-0.3229,13.6
F5,spy_vol20,T1(low),TEST,15,157,-3.629,-54.4,-0.3467,13.3
F5,spy_vol20,T2,TEST,30,317,-5.758,-172.8,-0.545,6.7
F5,spy_vol20,T3(high),TEST,23,244,-6.571,-151.1,-0.6194,4.3
F5,spy_gap,T1(low),TRAIN,77,834,-5.842,-449.8,-0.5394,15.6
F5,spy_gap,T2,TRAIN,90,961,-6.454,-580.9,-0.6045,12.2
F5,spy_gap,T3(high),TRAIN,83,893,-5.566,-462.0,-0.5174,13.3
F5,spy_gap,T1(low),VAL,39,407,-3.958,-154.4,-0.3793,17.9
F5,spy_gap,T2,VAL,34,356,-3.696,-125.7,-0.353,17.6
F5,spy_gap,T3(high),VAL,29,310,-5.303,-153.8,-0.4961,20.7
F5,spy_gap,T1(low),TEST,24,258,-5.701,-136.8,-0.5303,8.3
F5,spy_gap,T2,TEST,16,169,-5.017,-80.3,-0.475,12.5
F5,spy_gap,T3(high),TEST,28,291,-5.758,-161.2,-0.554,3.6
F5,iwm_gap,T1(low),TRAIN,80,863,-5.923,-473.9,-0.5491,13.8
F5,iwm_gap,T2,TRAIN,89,947,-6.255,-556.7,-0.5879,14.6
F5,iwm_gap,T3(high),TRAIN,81,878,-5.705,-462.1,-0.5264,12.3
F5,iwm_gap,T1(low),VAL,39,409,-3.62,-141.2,-0.3452,20.5
F5,iwm_gap,T2,VAL,28,293,-4.667,-130.7,-0.446,14.3
F5,iwm_gap,T3(high),VAL,35,371,-4.627,-162.0,-0.4365,20.0
F5,iwm_gap,T1(low),TEST,21,229,-6.984,-146.7,-0.6404,4.8
F5,iwm_gap,T2,TEST,23,247,-5.437,-125.0,-0.5062,8.7
F5,iwm_gap,T3(high),TEST,24,242,-4.443,-106.6,-0.4406,8.3
F5,regime,A,TRAIN,177,1937,-6.274,-1110.5,-0.5733,11.9
F5,regime,B,TRAIN,28,280,-5.074,-142.1,-0.5074,21.4
F5,regime,C1,TRAIN,28,290,-4.848,-135.7,-0.4681,25.0
F5,regime,C2,TRAIN,17,181,-6.146,-104.5,-0.5773,0.0
F5,regime,A,VAL,66,704,-3.864,-255.0,-0.3623,21.2
F5,regime,C1,VAL,29,295,-5.696,-165.2,-0.5599,10.3
F5,regime,C2,VAL,7,74,-1.946,-13.6,-0.1841,28.6
F5,regime,A,TEST,59,629,-5.545,-327.2,-0.5201,8.5
F5,regime,C1,TEST,1,11,-2.442,-2.4,-0.222,0.0
F5,regime,C2,TEST,8,78,-6.091,-48.7,-0.6247,0.0
F5,dow,0,TRAIN,48,510,-5.468,-262.4,-0.5146,12.5
F5,dow,1,TRAIN,52,562,-7.649,-397.7,-0.7077,5.8
F5,dow,2,TRAIN,52,571,-5.888,-306.2,-0.5362,21.2
F5,dow,3,TRAIN,48,516,-6.373,-305.9,-0.5929,4.2
F5,dow,4,TRAIN,50,529,-4.409,-220.5,-0.4168,24.0
F5,dow,0,VAL,18,171,-4.051,-72.9,-0.4264,33.3
F5,dow,1,VAL,21,222,-5.071,-106.5,-0.4797,4.8
F5,dow,2,VAL,21,218,-5.315,-111.6,-0.512,4.8
F5,dow,3,VAL,21,233,-1.514,-31.8,-0.1365,33.3
F5,dow,4,VAL,21,229,-5.287,-111.0,-0.4848,19.0
F5,dow,0,TEST,14,150,-6.103,-85.4,-0.5696,7.1
F5,dow,1,TEST,14,143,-3.129,-43.8,-0.3064,7.1
F5,dow,2,TEST,14,148,-7.62,-106.7,-0.7208,0.0
F5,dow,3,TEST,14,154,-6.427,-90.0,-0.5842,7.1
F5,dow,4,TEST,12,123,-4.369,-52.4,-0.4263,16.7
F5,iwm_o945 (entries>=09:45),T1(low),TRAIN,79,568,-5.393,-426.1,-0.7501,11.4
F5,iwm_o945 (entries>=09:45),T2,TRAIN,87,587,-3.83,-333.2,-0.5676,17.2
F5,iwm_o945 (entries>=09:45),T3(high),TRAIN,82,503,-3.646,-299.0,-0.5944,24.4
F5,iwm_o945 (entries>=09:45),T1(low),VAL,42,276,-3.958,-166.2,-0.6023,11.9
F5,iwm_o945 (entries>=09:45),T2,VAL,27,153,-2.112,-57.0,-0.3726,29.6
F5,iwm_o945 (entries>=09:45),T3(high),VAL,32,197,-2.654,-84.9,-0.431,25.0
F5,iwm_o945 (entries>=09:45),T1(low),TEST,18,97,-3.283,-59.1,-0.6092,5.6
F5,iwm_o945 (entries>=09:45),T2,TEST,25,158,-4.456,-111.4,-0.7051,8.0
F5,iwm_o945 (entries>=09:45),T3(high),TEST,25,146,-3.03,-75.7,-0.5188,28.0
F5,iwm_o1000 (entries>=10:00),T1(low),TRAIN,77,418,-4.087,-314.7,-0.7529,11.7
F5,iwm_o1000 (entries>=10:00),T2,TRAIN,87,460,-3.62,-314.9,-0.6847,19.5
F5,iwm_o1000 (entries>=10:00),T3(high),TRAIN,79,420,-3.246,-256.4,-0.6106,20.3
F5,iwm_o1000 (entries>=10:00),T1(low),VAL,42,210,-3.063,-128.7,-0.6127,19.0
F5,iwm_o1000 (entries>=10:00),T2,VAL,24,124,-2.821,-67.7,-0.5459,37.5
F5,iwm_o1000 (entries>=10:00),T3(high),VAL,35,167,-2.75,-96.2,-0.5763,22.9
F5,iwm_o1000 (entries>=10:00),T1(low),TEST,18,84,-3.957,-71.2,-0.8479,11.1
F5,iwm_o1000 (entries>=10:00),T2,TEST,26,126,-3.203,-83.3,-0.661,3.8
F5,iwm_o1000 (entries>=10:00),T3(high),TEST,24,112,-2.335,-56.0,-0.5004,37.5
F5,iwm_o945 sign (entries>=09:45),iwm_o945<=0,TRAIN,123,853,-4.673,-574.8,-0.6738,16.3
F5,iwm_o945 sign (entries>=09:45),iwm_o945>0,TRAIN,125,805,-3.868,-483.5,-0.6006,19.2
F5,iwm_o945 sign (entries>=09:45),iwm_o945<=0,VAL,56,359,-3.53,-197.7,-0.5506,16.1
F5,iwm_o945 sign (entries>=09:45),iwm_o945>0,VAL,45,267,-2.456,-110.5,-0.4139,26.7
F5,iwm_o945 sign (entries>=09:45),iwm_o945<=0,TEST,33,196,-4.288,-141.5,-0.722,3.0
F5,iwm_o945 sign (entries>=09:45),iwm_o945>0,TEST,35,205,-2.992,-104.7,-0.5108,25.7
F8,spy_gap,spy_gap<=0,TRAIN,101,459,-0.349,-35.3,-0.0768,40.6
F8,spy_gap,spy_gap>0,TRAIN,149,689,-0.623,-92.8,-0.1346,37.6
F8,spy_gap,spy_gap<=0,VAL,44,203,-0.364,-16.0,-0.0789,43.2
F8,spy_gap,spy_gap>0,VAL,58,260,-0.561,-32.5,-0.125,43.1
F8,spy_gap,spy_gap<=0,TEST,27,118,-0.825,-22.3,-0.1888,29.6
F8,spy_gap,spy_gap>0,TEST,41,181,-0.576,-23.6,-0.1305,36.6
F8,iwm_gap,iwm_gap<=0,TRAIN,108,494,-0.376,-40.6,-0.0822,38.9
F8,iwm_gap,iwm_gap>0,TRAIN,142,654,-0.615,-87.4,-0.1336,38.7
F8,iwm_gap,iwm_gap<=0,VAL,45,208,-0.631,-28.4,-0.1365,37.8
F8,iwm_gap,iwm_gap>0,VAL,57,255,-0.353,-20.1,-0.079,47.4
F8,iwm_gap,iwm_gap<=0,TEST,31,138,-0.849,-26.3,-0.1907,29.0
F8,iwm_gap,iwm_gap>0,TEST,37,161,-0.53,-19.6,-0.1217,37.8
F8,spy_prev_ret,spy_prev_ret<=0,TRAIN,108,495,-0.347,-37.5,-0.0758,45.4
F8,spy_prev_ret,spy_prev_ret>0,TRAIN,142,653,-0.637,-90.5,-0.1386,33.8
F8,spy_prev_ret,spy_prev_ret<=0,VAL,47,213,-0.202,-9.5,-0.0445,53.2
F8,spy_prev_ret,spy_prev_ret>0,VAL,55,250,-0.71,-39.0,-0.1562,34.5
F8,spy_prev_ret,spy_prev_ret<=0,TEST,33,140,-0.678,-22.4,-0.1598,30.3
F8,spy_prev_ret,spy_prev_ret>0,TEST,35,159,-0.672,-23.5,-0.148,37.1
F8,iwm_prev_ret,iwm_prev_ret<=0,TRAIN,118,544,-0.414,-48.8,-0.0897,41.5
F8,iwm_prev_ret,iwm_prev_ret>0,TRAIN,132,604,-0.6,-79.2,-0.1311,36.4
F8,iwm_prev_ret,iwm_prev_ret<=0,VAL,39,179,-0.336,-13.1,-0.0733,51.3
F8,iwm_prev_ret,iwm_prev_ret>0,VAL,63,284,-0.562,-35.4,-0.1247,38.1
F8,iwm_prev_ret,iwm_prev_ret<=0,TEST,34,149,-0.374,-12.7,-0.0853,35.3
F8,iwm_prev_ret,iwm_prev_ret>0,TEST,34,150,-0.976,-33.2,-0.2213,32.4
F8,spy_vs_sma5,spy_vs_sma5<=0,TRAIN,97,448,-0.392,-38.0,-0.0849,47.4
F8,spy_vs_sma5,spy_vs_sma5>0,TRAIN,153,700,-0.588,-90.0,-0.1285,33.3
F8,spy_vs_sma5,spy_vs_sma5<=0,VAL,42,193,-0.643,-27.0,-0.14,45.2
F8,spy_vs_sma5,spy_vs_sma5>0,VAL,60,270,-0.359,-21.5,-0.0797,41.7
F8,spy_vs_sma5,spy_vs_sma5<=0,TEST,33,137,-0.109,-3.6,-0.0263,45.5
F8,spy_vs_sma5,spy_vs_sma5>0,TEST,35,162,-1.209,-42.3,-0.2612,22.9
F8,spy_vs_sma20,spy_vs_sma20<=0,TRAIN,71,328,-0.288,-20.4,-0.0623,46.5
F8,spy_vs_sma20,spy_vs_sma20>0,TRAIN,179,820,-0.601,-107.6,-0.1312,35.8
F8,spy_vs_sma20,spy_vs_sma20<=0,VAL,39,180,-0.59,-23.0,-0.1279,38.5
F8,spy_vs_sma20,spy_vs_sma20>0,VAL,63,283,-0.405,-25.5,-0.0902,46.0
F8,spy_vs_sma20,spy_vs_sma20<=0,TEST,27,115,-0.151,-4.1,-0.0355,51.9
F8,spy_vs_sma20,spy_vs_sma20>0,TEST,41,184,-1.02,-41.8,-0.2273,22.0
F8,iwm_vs_sma5,iwm_vs_sma5<=0,TRAIN,102,475,-0.504,-51.4,-0.1082,42.2
F8,iwm_vs_sma5,iwm_vs_sma5>0,TRAIN,145,660,-0.515,-74.6,-0.1131,36.6
F8,iwm_vs_sma5,iwm_vs_sma5<=0,VAL,43,196,-0.737,-31.7,-0.1616,44.2
F8,iwm_vs_sma5,iwm_vs_sma5>0,VAL,59,267,-0.286,-16.9,-0.0631,42.4
F8,iwm_vs_sma5,iwm_vs_sma5<=0,TEST,34,149,-0.706,-24.0,-0.1612,29.4
F8,iwm_vs_sma5,iwm_vs_sma5>0,TEST,34,150,-0.644,-21.9,-0.1459,38.2
F8,iwm_vs_sma20,iwm_vs_sma20<=0,TRAIN,77,359,-0.687,-52.9,-0.1474,35.1
F8,iwm_vs_sma20,iwm_vs_sma20>0,TRAIN,155,708,-0.426,-66.0,-0.0932,41.3
F8,iwm_vs_sma20,iwm_vs_sma20<=0,VAL,34,158,-0.673,-22.9,-0.1448,38.2
F8,iwm_vs_sma20,iwm_vs_sma20>0,VAL,68,305,-0.377,-25.7,-0.0841,45.6
F8,iwm_vs_sma20,iwm_vs_sma20<=0,TEST,29,125,-0.359,-10.4,-0.0833,37.9
F8,iwm_vs_sma20,iwm_vs_sma20>0,TEST,39,174,-0.91,-35.5,-0.204,30.8
F8,spy_vol20,T1(low),TRAIN,84,388,-0.527,-44.3,-0.1142,38.1
F8,spy_vol20,T2,TRAIN,71,328,-0.664,-47.2,-0.1438,35.2
F8,spy_vol20,T3(high),TRAIN,95,432,-0.385,-36.5,-0.0846,42.1
F8,spy_vol20,T1(low),VAL,41,185,-0.313,-12.8,-0.0693,53.7
F8,spy_vol20,T2,VAL,39,179,-0.796,-31.0,-0.1734,33.3
F8,spy_vol20,T3(high),VAL,22,99,-0.212,-4.7,-0.0471,40.9
F8,spy_vol20,T1(low),TEST,15,68,-0.52,-7.8,-0.1146,46.7
F8,spy_vol20,T2,TEST,30,129,-0.616,-18.5,-0.1432,26.7
F8,spy_vol20,T3(high),TEST,23,102,-0.854,-19.6,-0.1926,34.8
F8,spy_gap,T1(low),TRAIN,77,354,-0.376,-29.0,-0.0818,40.3
F8,spy_gap,T2,TRAIN,90,417,-0.737,-66.3,-0.159,30.0
F8,spy_gap,T3(high),TRAIN,83,377,-0.395,-32.7,-0.0869,47.0
F8,spy_gap,T1(low),VAL,39,182,-0.414,-16.1,-0.0887,41.0
F8,spy_gap,T2,VAL,34,151,-0.779,-26.5,-0.1754,41.2
F8,spy_gap,T3(high),VAL,29,130,-0.203,-5.9,-0.0453,48.3
F8,spy_gap,T1(low),TEST,24,106,-0.814,-19.5,-0.1842,33.3
F8,spy_gap,T2,TEST,16,71,-1.053,-16.8,-0.2373,25.0
F8,spy_gap,T3(high),TEST,28,122,-0.341,-9.5,-0.0782,39.3
F8,iwm_gap,T1(low),TRAIN,80,366,-0.268,-21.4,-0.0585,42.5
F8,iwm_gap,T2,TRAIN,89,414,-0.648,-57.7,-0.1393,31.5
F8,iwm_gap,T3(high),TRAIN,81,368,-0.604,-48.9,-0.1329,43.2
F8,iwm_gap,T1(low),VAL,39,183,-0.691,-27.0,-0.1473,33.3
F8,iwm_gap,T2,VAL,28,125,-0.359,-10.1,-0.0805,53.6
F8,iwm_gap,T3(high),VAL,35,155,-0.329,-11.5,-0.0743,45.7
F8,iwm_gap,T1(low),TEST,21,91,-0.69,-14.5,-0.1592,33.3
F8,iwm_gap,T2,TEST,23,101,-0.874,-20.1,-0.199,30.4
F8,iwm_gap,T3(high),TEST,24,107,-0.472,-11.3,-0.1058,37.5
F8,regime,A,TRAIN,177,808,-0.53,-93.8,-0.1161,37.9
F8,regime,B,TRAIN,28,132,-0.134,-3.7,-0.0284,46.4
F8,regime,C1,TRAIN,28,129,-0.592,-16.6,-0.1286,42.9
F8,regime,C2,TRAIN,17,79,-0.817,-13.9,-0.1757,29.4
F8,regime,A,VAL,66,297,-0.363,-24.0,-0.0807,47.0
F8,regime,C1,VAL,29,135,-0.656,-19.0,-0.141,37.9
F8,regime,C2,VAL,7,31,-0.79,-5.5,-0.1783,28.6
F8,regime,A,TEST,59,262,-0.875,-51.6,-0.197,27.1
F8,regime,C1,TEST,1,5,1.069,1.1,0.2139,100.0
F8,regime,C2,TEST,8,32,0.579,4.6,0.1447,75.0
F8,dow,0,TRAIN,48,212,-0.174,-8.4,-0.0394,45.8
F8,dow,1,TRAIN,52,236,-0.797,-41.4,-0.1756,34.6
F8,dow,2,TRAIN,52,241,-0.448,-23.3,-0.0966,32.7
F8,dow,3,TRAIN,48,221,-0.316,-15.2,-0.0686,41.7
F8,dow,4,TRAIN,50,238,-0.795,-39.8,-0.1671,40.0
F8,dow,0,VAL,18,81,-0.677,-12.2,-0.1504,38.9
F8,dow,1,VAL,21,95,-0.958,-20.1,-0.2118,33.3
F8,dow,2,VAL,21,90,-0.085,-1.8,-0.0198,61.9
F8,dow,3,VAL,21,96,0.175,3.7,0.0382,47.6
F8,dow,4,VAL,21,101,-0.863,-18.1,-0.1794,33.3
F8,dow,0,TEST,14,58,-0.473,-6.6,-0.1143,35.7
F8,dow,1,TEST,14,63,-0.35,-4.9,-0.0779,35.7
F8,dow,2,TEST,14,60,-1.411,-19.8,-0.3292,14.3
F8,dow,3,TEST,14,66,-0.844,-11.8,-0.1789,35.7
F8,dow,4,TEST,12,52,-0.234,-2.8,-0.0541,50.0
F8,iwm_o945 (entries>=09:45),T1(low),TRAIN,80,358,-0.408,-32.6,-0.0911,40.0
F8,iwm_o945 (entries>=09:45),T2,TRAIN,87,400,-0.672,-58.4,-0.1461,36.8
F8,iwm_o945 (entries>=09:45),T3(high),TRAIN,83,390,-0.445,-37.0,-0.0948,39.8
F8,iwm_o945 (entries>=09:45),T1(low),VAL,42,193,-0.66,-27.7,-0.1435,35.7
F8,iwm_o945 (entries>=09:45),T2,VAL,28,128,-0.318,-8.9,-0.0695,53.6
F8,iwm_o945 (entries>=09:45),T3(high),VAL,32,142,-0.373,-11.9,-0.084,43.8
F8,iwm_o945 (entries>=09:45),T1(low),TEST,18,79,-0.327,-5.9,-0.0744,50.0
F8,iwm_o945 (entries>=09:45),T2,TEST,25,111,-0.891,-22.3,-0.2007,28.0
F8,iwm_o945 (entries>=09:45),T3(high),TEST,25,109,-0.71,-17.7,-0.1628,28.0
F8,iwm_o1000 (entries>=10:00),T1(low),TRAIN,80,358,-0.633,-50.7,-0.1415,37.5
F8,iwm_o1000 (entries>=10:00),T2,TRAIN,90,415,-0.444,-40.0,-0.0963,38.9
F8,iwm_o1000 (entries>=10:00),T3(high),TRAIN,80,375,-0.467,-37.4,-0.0997,40.0
F8,iwm_o1000 (entries>=10:00),T1(low),VAL,42,193,-0.706,-29.7,-0.1537,40.5
F8,iwm_o1000 (entries>=10:00),T2,VAL,24,110,-0.222,-5.3,-0.0485,50.0
F8,iwm_o1000 (entries>=10:00),T3(high),VAL,36,160,-0.376,-13.5,-0.0846,41.7
F8,iwm_o1000 (entries>=10:00),T1(low),TEST,18,77,-0.12,-2.2,-0.0281,61.1
F8,iwm_o1000 (entries>=10:00),T2,TEST,26,116,-0.942,-24.5,-0.2111,19.2
F8,iwm_o1000 (entries>=10:00),T3(high),TEST,24,106,-0.802,-19.3,-0.1816,29.2
F8,iwm_o945 sign (entries>=09:45),iwm_o945<=0,TRAIN,123,551,-0.495,-60.9,-0.1105,39.0
F8,iwm_o945 sign (entries>=09:45),iwm_o945>0,TRAIN,127,597,-0.528,-67.1,-0.1124,38.6
F8,iwm_o945 sign (entries>=09:45),iwm_o945<=0,VAL,56,260,-0.708,-39.7,-0.1526,39.3
F8,iwm_o945 sign (entries>=09:45),iwm_o945>0,VAL,46,203,-0.193,-8.9,-0.0437,47.8
F8,iwm_o945 sign (entries>=09:45),iwm_o945<=0,TEST,33,150,-0.734,-24.2,-0.1616,39.4
F8,iwm_o945 sign (entries>=09:45),iwm_o945>0,TEST,35,149,-0.619,-21.7,-0.1455,28.6
F6,spy_gap,spy_gap<=0,TRAIN,101,559,-0.726,-73.3,-0.1311,38.6
F6,spy_gap,spy_gap>0,TRAIN,148,783,-0.598,-88.6,-0.1131,39.2
F6,spy_gap,spy_gap<=0,VAL,44,287,-0.855,-37.6,-0.1311,38.6
F6,spy_gap,spy_gap>0,VAL,58,320,-0.104,-6.0,-0.0188,46.6
F6,spy_gap,spy_gap<=0,TEST,27,179,-2.472,-66.7,-0.3729,18.5
F6,spy_gap,spy_gap>0,TEST,41,240,-0.387,-15.9,-0.0661,46.3
F6,iwm_gap,iwm_gap<=0,TRAIN,108,603,-1.097,-118.5,-0.1965,32.4
F6,iwm_gap,iwm_gap>0,TRAIN,141,739,-0.308,-43.4,-0.0587,44.0
F6,iwm_gap,iwm_gap<=0,VAL,45,289,-0.734,-33.0,-0.1142,40.0
F6,iwm_gap,iwm_gap>0,VAL,57,318,-0.186,-10.6,-0.0334,45.6
F6,iwm_gap,iwm_gap<=0,TEST,31,197,-1.835,-56.9,-0.2887,29.0
F6,iwm_gap,iwm_gap>0,TEST,37,222,-0.696,-25.7,-0.116,40.5
F6,spy_prev_ret,spy_prev_ret<=0,TRAIN,107,588,-0.772,-82.6,-0.1405,39.3
F6,spy_prev_ret,spy_prev_ret>0,TRAIN,142,754,-0.558,-79.3,-0.1051,38.7
F6,spy_prev_ret,spy_prev_ret<=0,VAL,47,281,-0.448,-21.0,-0.0749,40.4
F6,spy_prev_ret,spy_prev_ret>0,VAL,55,326,-0.411,-22.6,-0.0693,45.5
F6,spy_prev_ret,spy_prev_ret<=0,TEST,33,189,-0.9,-29.7,-0.1572,39.4
F6,spy_prev_ret,spy_prev_ret>0,TEST,35,230,-1.512,-52.9,-0.23,31.4
F6,iwm_prev_ret,iwm_prev_ret<=0,TRAIN,118,658,-0.613,-72.3,-0.1099,40.7
F6,iwm_prev_ret,iwm_prev_ret>0,TRAIN,131,684,-0.684,-89.6,-0.131,37.4
F6,iwm_prev_ret,iwm_prev_ret<=0,VAL,39,240,-0.266,-10.4,-0.0433,43.6
F6,iwm_prev_ret,iwm_prev_ret>0,VAL,63,367,-0.528,-33.3,-0.0906,42.9
F6,iwm_prev_ret,iwm_prev_ret<=0,TEST,34,195,-0.781,-26.6,-0.1362,38.2
F6,iwm_prev_ret,iwm_prev_ret>0,TEST,34,224,-1.649,-56.1,-0.2503,32.4
F6,spy_vs_sma5,spy_vs_sma5<=0,TRAIN,96,528,-0.65,-62.4,-0.1183,39.6
F6,spy_vs_sma5,spy_vs_sma5>0,TRAIN,153,814,-0.65,-99.4,-0.1222,38.6
F6,spy_vs_sma5,spy_vs_sma5<=0,VAL,42,245,-0.376,-15.8,-0.0645,42.9
F6,spy_vs_sma5,spy_vs_sma5>0,VAL,60,362,-0.464,-27.8,-0.0769,43.3
F6,spy_vs_sma5,spy_vs_sma5<=0,TEST,33,193,-0.946,-31.2,-0.1618,39.4
F6,spy_vs_sma5,spy_vs_sma5>0,TEST,35,226,-1.469,-51.4,-0.2274,31.4
F6,spy_vs_sma20,spy_vs_sma20<=0,TRAIN,70,395,-0.455,-31.9,-0.0807,44.3
F6,spy_vs_sma20,spy_vs_sma20>0,TRAIN,179,947,-0.726,-130.0,-0.1373,36.9
F6,spy_vs_sma20,spy_vs_sma20<=0,VAL,39,227,-0.361,-14.1,-0.062,46.2
F6,spy_vs_sma20,spy_vs_sma20>0,VAL,63,380,-0.469,-29.6,-0.0778,41.3
F6,spy_vs_sma20,spy_vs_sma20<=0,TEST,27,159,-0.593,-16.0,-0.1007,44.4
F6,spy_vs_sma20,spy_vs_sma20>0,TEST,41,260,-1.625,-66.6,-0.2562,29.3
F6,iwm_vs_sma5,iwm_vs_sma5<=0,TRAIN,102,563,-0.464,-47.4,-0.0841,41.2
F6,iwm_vs_sma5,iwm_vs_sma5>0,TRAIN,145,763,-0.728,-105.6,-0.1384,37.9
F6,iwm_vs_sma5,iwm_vs_sma5<=0,VAL,43,257,-0.792,-34.1,-0.1326,34.9
F6,iwm_vs_sma5,iwm_vs_sma5>0,VAL,59,350,-0.162,-9.6,-0.0274,49.2
