day,next_day,symbol,close,pb,ab,sp_1555,sp_0930,sp_0931,rt_pct,open_cross_pct,err
2025-11-17,2025-11-18,CONY,4.869999885559082,<5,>=100M,0.009999999999999891,0.01006841505131127,0.010044326241134792,0.20579390874907147,0.2067436404088417,
2025-01-14,2025-01-15,NIO,4.079999923706055,<5,>=100M,0.009999999999999787,0.010016447368421033,0.010000000000000037,0.24509804379889408,0.24550116558145976,
2026-01-05,2026-01-06,RR,3.7899999618530273,<5,>=100M,0.010000000000000231,0.01722109533468556,0.010282021151586393,0.2675728411045976,0.4543824672300452,
2025-03-26,2025-03-27,GRAB,4.78000020980835,<5,>=100M,0.010000000000000675,0.010641200545702516,0.010112107623318255,0.2103776855704919,0.22261924850687753,
2025-03-21,2025-03-24,SMST,3.9800000190734863,<5,>=100M,0.010055248618784417,0.010160932297447274,0.010166056166056103,0.2540364910544383,0.25529980524504275,
2025-08-11,2025-08-12,GRAB,4.820000171661377,<5,>=100M,0.009999999999999787,0.014701195219123614,0.01009523809523788,0.20845681929002047,0.3050040393267527,
2026-04-02,2026-04-06,BATL,4.210000038146973,<5,>=100M,0.013411764705882068,0.02996894409937887,0.01482252141982857,0.3353240602123359,0.7118513973356084,
2025-08-14,2025-08-15,DNN,2.0299999713897705,<5,>=100M,0.009999999999999787,0.009999999999999908,0.010000000000000071,0.4926108443811341,0.49261084438113306,
2025-09-30,2025-10-01,MSTU,4.650000095367432,<5,>=100M,0.009999999999999886,0.010095770151636185,0.010030921459492765,0.21538624783522564,0.2171133321415221,
2025-12-01,2025-12-02,BYND,1.340000033378601,<5,>=100M,0.010029761904761913,0.010140676444178397,0.01014139827179891,0.7526552117204948,0.7567668799686715,
2025-04-02,2025-04-03,BTE,2.2300000190734863,<5,>=100M,0.010000000000000231,0.01692883895131089,0.010036900369003654,0.4492578519647,0.7591407536554386,
2025-10-31,2025-11-03,KEEL,3.9700000286102295,<5,>=100M,0.01,0.010283553875236391,0.010172143974960884,0.2540572270728989,0.25903158189236425,
2025-01-10,2025-01-13,NVDQ,3.1649999618530273,<5,>=100M,0.009999999999999787,0.010010371650821102,0.010002198768689543,0.31599050568358533,0.31628346829300696,
2026-05-01,2026-05-04,AMDD,4.849999904632568,<5,>=100M,0.010000000000000132,0.010202312138728452,0.0101046207497823,0.2072641355165711,0.21035695545031913,
2026-04-20,2026-04-21,ELAB,3.319999933242798,<5,>=100M,0.01928571428571427,0.04875000000000004,0.041477272727272675,0.915105244499763,1.468373523501359,
2025-01-28,2025-01-29,GRAB,4.559999942779541,<5,>=100M,0.009999999999999787,0.010128939828080153,0.010000000000000038,0.21929824836586354,0.22212587621012278,
2025-12-26,2025-12-29,MSTX,4.210000038146973,<5,>=100M,0.0100141442715698,0.010672834314550213,0.010039062499999852,0.23816159845447474,0.2535115016114786,
2025-02-20,2025-02-21,QAT,18.079999923706055,5-20,<1M,0.00999999999999801,0.05823529411764571,0.04499999999999815,0.15210177055333254,0.32209786705413096,
2025-08-01,2025-08-04,NEXR,6.349999904632568,5-20,<1M,0.2779999999999999,0.34230769230769265,0.19999999999999973,3.7637795840853507,5.390672400765959,
2025-09-08,2025-09-09,NBTX,8.713199615478516,5-20,<1M,,0.28999999999999915,0.2783333333333336,,3.328283670729065,
2025-08-26,2025-08-27,JSM,19.239999771118164,5-20,<1M,,0.4057142857142857,,,2.108702133787536,
2025-02-25,2025-02-26,LITP,6.289999961853027,5-20,<1M,0.0433333333333333,0.13250000000000026,0.07250000000000023,0.9207737204755814,2.10651829576428,
2026-04-17,2026-04-20,ALDF,10.579999923706055,5-20,<1M,,0.0924999999999998,,,0.8742911216165501,
2025-02-11,2025-02-12,KALA,10.880000114440918,5-20,<1M,,0.15982456140350845,0.129999999999999,,1.4689757327426392,
2025-03-13,2025-03-14,GLV,5.380000114440918,5-20,<1M,0.03000000000000025,0.1433333333333334,0.08000000000000007,1.0223048109677537,2.664188295249291,
2025-03-10,2025-03-11,RCKY,18.8700008392334,5-20,<1M,0.2942857142857151,1.3482608695652178,1.2333333333333343,4.047745044194469,7.144996341293175,
