wk,band,cut,pnl,n,fpnl,fn,L,yr
2026-03-28/2026-04-03,"(577.0, 592.0)","('rv_profile', 3.5895152904342975)",694.8667668884248,11,377.62891593966134,24,26,2026
2026-04-04/2026-04-10,"(577.0, 592.0)","('dollar_frac', 9.258943445382203)",372.0449910331726,19,-259.2763867212067,34,26,2026
2026-04-11/2026-04-17,"(577.0, 592.0)","('dollar_frac', 9.187224745463176)",946.2227732443303,20,822.3412588142696,31,26,2026
2026-04-18/2026-04-24,"(577.0, 592.0)","('dollar_frac', 9.423507854038355)",-492.1288179802656,20,-466.85891547303265,38,26,2026
2026-04-25/2026-05-01,"(577.0, 592.0)","('spy_r5_pct', 0.0)",148.18955295298434,9,1161.0995888567318,31,26,2026
2026-05-02/2026-05-08,"(577.0, 592.0)","('spy_r5_pct', 0.0)",653.3476446288198,12,1410.752510098892,36,26,2026
2026-05-09/2026-05-15,"(577.0, 600.0)","('spy_r5_pct', 0.0)",6.4982037169834825,9,-517.0586721127374,45,26,2026
2026-05-16/2026-05-22,"(577.0, 601.0)","('spy_r5_pct', 0.0)",516.1922256905348,4,1371.2578112641454,30,26,2026
2026-05-23/2026-05-29,"(577.0, 600.0)","('spy_r5_pct', 0.0)",310.5909975574987,4,-112.72229466094115,25,26,2026
2026-05-30/2026-06-05,"(None, None)","(None, None)",0.0,0,0.0,0,26,2026
2025-08-23/2025-08-29,"(626.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-444.08712178434814,23,34,2025
2025-08-30/2025-09-05,"(626.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-487.20020600958026,25,34,2025
2025-09-06/2025-09-12,"(626.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,1811.0841133884553,33,34,2025
2025-09-13/2025-09-19,"(626.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,1814.890898581376,30,34,2025
2025-09-20/2025-09-26,"(625.1999999999998, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-1196.2367657697328,36,34,2025
2025-09-27/2025-10-03,"(626.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-1118.6501389008954,34,34,2025
2025-10-04/2025-10-10,"(626.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-51.5623413223133,44,34,2025
2025-10-11/2025-10-17,"(626.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-2017.8387236076512,49,34,2025
2025-10-18/2025-10-24,"(626.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,590.4978264829261,33,34,2025
2025-10-25/2025-10-31,"(628.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-366.61528262748743,24,34,2025
2025-11-01/2025-11-07,"(627.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-386.0596136115813,31,34,2025
2025-11-08/2025-11-14,"(626.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,-462.04599692167926,33,34,2025
2025-11-15/2025-11-21,"(625.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,1379.2314599152567,47,34,2025
2025-11-22/2025-11-28,"(625.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,1271.9825469003786,18,34,2025
2025-11-29/2025-12-05,"(623.0, 840.0)","('spy_r5_pct', 0.3809987029831374)",0.0,0,784.8128834318237,27,34,2025
2025-12-06/2025-12-12,"(577.0, 594.0)","('rv_profile', 3.847786854232919)",78.96697058321413,12,-705.9389842542947,41,34,2025
2025-12-13/2025-12-19,"(603.5, 711.5)","('spy_r5_pct', 0.0)",-859.8824956347318,19,-645.205394411576,34,34,2025
2025-12-20/2025-12-26,"(603.0, 839.0)","('consol_bars', 19.0)",471.34956904053274,5,232.37298088882017,22,34,2025
2025-12-27/2026-01-02,"(603.0, 839.0)","('consol_bars', 19.0)",49.850847628277776,7,-687.7927520595703,19,34,2025
2026-01-03/2026-01-09,"(603.0, 839.0)","('spy_r5_pct', 0.0)",697.0640694707182,17,-100.01811037209177,32,34,2026
2026-01-10/2026-01-16,"(603.0, 839.0)","('spy_r5_pct', 0.0)",-790.1344625760149,26,-125.91185247657216,32,34,2026
2026-01-17/2026-01-23,"(603.0, 839.0)","('spy_r5_pct', 0.0)",-441.3739788449144,19,-764.5510477706639,34,34,2026
2026-01-24/2026-01-30,"(603.0, 839.0)","('spy_r5_pct', 0.0)",310.2397557047632,25,-55.238562090475426,46,34,2026
2026-01-31/2026-02-06,"(602.0, 839.0)","('spy_r5_pct', 0.0)",-199.43329254477226,15,193.53340714732764,33,34,2026
2026-02-07/2026-02-13,"(602.0, 839.0)","('spy_r5_pct', 0.0)",-704.537298946904,21,444.6835312748079,31,34,2026
2026-02-14/2026-02-20,"(602.0, 839.0)","('spy_r5_pct', 0.0)",-2096.977055976676,28,-957.3728770391667,33,34,2026
2026-02-21/2026-02-27,"(577.0, 593.0)","('rv_profile', 3.808250591680354)",-25.832680604036355,20,215.573140246508,29,34,2026
2026-02-28/2026-03-06,"(577.0, 592.0)","('rv_profile', 3.844146127807204)",-61.14442959756129,14,751.7714552449631,39,34,2026
2026-03-07/2026-03-13,"(577.0, 593.0)","('rv_profile', 3.755186511352984)",-175.34441626522622,9,-917.9839380586624,31,34,2026
2026-03-14/2026-03-20,"(577.0, 593.0)","('rv_profile', 3.7154864675707024)",-421.73589829134977,11,-781.5604533445161,30,34,2026
2026-03-21/2026-03-27,"(577.0, 593.0)","('rv_profile', 3.6679302710466986)",-407.7707876035996,16,-842.9583603576032,35,34,2026
2026-03-28/2026-04-03,"(577.0, 593.0)","('rv_profile', 3.6548163769016075)",389.8501342587513,11,377.62891593966134,24,34,2026
2026-04-04/2026-04-10,"(577.0, 593.0)","('dollar_frac', 9.969560514211242)",297.8302929975005,18,-259.2763867212067,34,34,2026
2026-04-11/2026-04-17,"(577.0, 593.0)","('dollar_frac', 9.764642689641141)",946.2227732443303,20,822.3412588142696,31,34,2026
2026-04-18/2026-04-24,"(577.0, 593.0)","('dollar_frac', 9.849397003240345)",-492.1288179802656,20,-466.85891547303265,38,34,2026
2026-04-25/2026-05-01,"(577.0, 593.0)","('dollar_frac', 10.038439688423958)",74.6896250720741,21,1161.0995888567318,31,34,2026
2026-05-02/2026-05-08,"(577.0, 593.0)","('consol_bars', 3.0)",514.1623818333564,20,1410.752510098892,36,34,2026
2026-05-09/2026-05-15,"(577.0, 593.0)","('spy_r5_pct', 0.0)",6.4982037169834825,9,-517.0586721127374,45,34,2026
2026-05-16/2026-05-22,"(577.0, 592.0)","('spy_r5_pct', 0.0)",516.1922256905348,4,1371.2578112641454,30,34,2026
2026-05-23/2026-05-29,"(577.0, 592.0)","('spy_r5_pct', 0.0)",310.5909975574987,4,-112.72229466094115,25,34,2026
2026-05-30/2026-06-05,"(None, None)","(None, None)",0.0,0,0.0,0,34,2026
