symbol,date,split,entry_price_book,pnl,pnl_pct,range_high,range_low,R,entry_bid,entry_ask,mid0,spread0,passive,new_entry,cost_new,terr,qerr
CADL,2025-02-26,TRAIN,9.127199699999998,-1610.8891150458862,-3.221855557421722,9.0999,8.8201,0.2797999999999998,9.05,9.12,9.085,0.0699999999999985,True,9.085,0.0,,
PLTU,2025-03-14,TRAIN,28.5855,2578.393639800003,5.157195781077825,28.5,27.34,1.1600000000000001,28.47,28.54,28.505,0.0700000000000002,False,28.88,0.019999999999999574,,
TSLG,2025-03-24,TRAIN,4.939373799999999,4708.9183764000045,9.418525886823964,4.9246,4.71,0.2145999999999999,4.93,4.94,4.9350000000000005,0.0100000000000006,True,4.9350000000000005,0.0,,
HMR,2025-03-27,TRAIN,3.4459067999999995,1222.6196480388032,2.445402562831944,3.4356,3.26,0.1756000000000002,3.39,3.45,3.42,0.06,True,3.42,0.0,,
MSTU,2025-04-11,TRAIN,4.72413,5632.920427710012,11.26686213112441,4.71,4.54,0.16999999999999993,4.71,4.72,4.715,0.0099999999999997,True,4.715,0.0,,
MSTX,2025-04-22,TRAIN,30.5449608,2687.652211199997,5.378364080270806,30.4536,29.46,0.9936000000000007,30.42,30.49,30.455,0.0699999999999967,True,30.455,0.0,,
PONY,2025-05-06,TRAIN,10.78225,-1899.302779464282,-3.798811207573287,10.75,10.06,0.6899999999999995,10.74,10.76,10.75,0.0199999999999995,True,10.75,0.0,,
SMCX,2025-05-13,TRAIN,28.914383699999995,8502.492403563301,17.007376242430254,28.8279,27.52,1.3079,28.77,28.84,28.805,0.0700000000000002,True,28.805,0.0,,
SMCL,2025-05-13,TRAIN,10.66189,7899.240746250008,15.800503258534864,10.63,10.26,0.370000000000001,10.63,10.65,10.64,0.0199999999999995,True,10.64,0.0,,
OMER,2025-05-13,TRAIN,4.232659999999999,2072.1496300000063,4.144615915287328,4.22,4.0,0.21999999999999975,4.21,4.25,4.23,0.04,True,4.23,0.0,,
SHLS,2025-05-16,TRAIN,4.9424831,-1287.0124993038853,-2.574119775659208,4.9277,4.72,0.2077,4.92,4.93,4.925,0.0099999999999997,True,4.925,0.0,,
EDBL,2025-05-28,TRAIN,3.5204297,4924.447529903989,9.84945793674834,3.5099,3.365,0.1448999999999998,3.5,3.54,3.52,0.04,True,3.52,0.0,,
ALAR,2025-06-10,TRAIN,12.36699,-894.4663126146453,-1.788941907333271,12.33,11.84,0.4900000000000002,12.33,12.36,12.344999999999999,0.0299999999999993,True,12.344999999999999,0.0,,
ARAI,2025-06-12,TRAIN,9.07715,-639.5889599999927,-1.279256154189351,9.05,8.6426,0.4074000000000009,9.02,9.1,9.059999999999999,0.08,True,9.059999999999999,0.0,,
ZENA,2025-06-12,TRAIN,5.1153,-1913.046135235715,-3.826326273280999,5.1,4.85,0.25,5.1,5.13,5.115,0.0300000000000002,True,5.115,0.0,,
UMAC,2025-06-13,TRAIN,9.11727,-495.238104,-0.990493864939834,9.09,8.5,0.5899999999999999,9.05,9.1,9.075,0.0499999999999989,True,9.075,0.0,,
URGN,2025-06-16,TRAIN,13.42014,3559.12575,7.119672373015483,13.38,12.61,0.7700000000000014,13.31,13.39,13.350000000000001,0.08,False,13.57,0.0600000000000005,,
RBNE,2025-06-17,TRAIN,7.271749999999999,5616.209843750007,11.233929246742546,7.25,6.7,0.5499999999999998,7.23,7.26,7.245,0.0299999999999993,True,7.245,0.0,,
XTIA,2025-06-17,TRAIN,3.39014,-632.5505688000032,-1.2651571911484547,3.38,3.17,0.20999999999999996,3.38,3.39,3.385,0.0100000000000002,True,3.385,0.0,,
INDO,2025-06-17,TRAIN,4.4584353,-1467.8895065291954,-2.935961427031193,4.4451,4.15,0.2950999999999997,4.42,4.45,4.4350000000000005,0.0300000000000002,True,4.4350000000000005,0.0,,
SY,2025-07-03,TRAIN,3.5806097,1414.0566443492005,2.828133999078426,3.5699,3.36,0.2099000000000002,3.55,3.57,3.5599999999999996,0.02,False,3.57,0.020000000000000018,,
ZEPP,2025-07-10,TRAIN,6.028029999999999,-199.38775999999496,-0.3988035892322931,6.01,5.73,0.27999999999999936,5.98,6.0,5.99,0.0199999999999995,False,6.08,0.04999999999999982,,
