day,symbol,entry_m
2025-02-12,SMCX,587
2025-02-12,SPIR,577
2025-02-12,ST,579
2025-02-12,TDC,577
2025-02-12,TSLG,584
2025-02-12,UPST,586
2025-02-13,ACB,581
2025-02-13,ASND,605
2025-02-13,CSAI,590
2025-02-13,EH,595
2025-02-13,EHTH,727
2025-02-13,GRRR,590
2025-02-13,HIMS,585
2025-02-13,HOOD,580
2025-02-13,INOD,583
2025-02-13,INTC,581
2025-02-13,IRDM,585
2025-02-13,MGM,755
2025-02-13,PAG,582
2025-02-13,QUAD,577
2025-02-13,RBBN,577
2025-02-13,ROBN,577
2025-02-13,ROOT,577
2025-02-13,SKBL,595
2025-02-13,SMCX,631
2025-02-13,SPIR,577
2025-02-13,TECX,583
2025-02-13,TEM,615
2025-02-13,TSLR,624
2025-02-13,TYL,577
2025-02-13,UPST,593
2025-02-13,WOLF,582
2025-02-13,ZETA,587
2025-02-14,ARCT,578
2025-02-14,BEAM,581
2025-02-14,CAE,578
2025-02-14,CRSP,577
2025-02-14,DELL,791
2025-02-14,DKNG,596
2025-02-14,ETHT,770
2025-02-14,HIMS,599
2025-02-14,LEG,578
2025-02-14,MRNA,582
2025-02-14,NBIS,614
2025-02-14,NVCT,735
2025-02-14,PPC,585
2025-02-14,ROBN,626
2025-02-14,SMCI,582
2025-02-14,UDMY,578
2025-02-14,WST,578
2025-02-18,APLD,608
2025-02-18,CRSP,580
2025-02-18,CSAI,577
2025-02-18,ENGN,622
2025-02-18,GILT,577
2025-02-18,INLF,577
2025-02-18,INTC,582
2025-02-18,IRDM,585
2025-02-18,LMND,587
2025-02-18,LUNR,580
2025-02-18,MAZE,747
2025-02-18,NBIS,605
2025-02-18,PGY,577
2025-02-18,PONY,768
2025-02-18,PTIR,581
2025-02-18,SMCI,578
2025-02-18,SOFX,610
2025-02-18,SPCB,577
2025-02-18,SRFM,715
2025-02-18,WGS,577
2025-02-18,ZETA,580
2025-02-18,ZLAB,588
2025-02-19,ADEA,578
2025-02-19,ALTS,579
2025-02-19,ANDE,583
2025-02-19,CELH,581
2025-02-19,CRSP,621
2025-02-19,CSGP,585
2025-02-19,CVEO,650
2025-02-19,CVI,590
2025-02-19,GDS,591
2025-02-19,HIMS,579
2025-02-19,IONQ,666
2025-02-19,NGVT,581
2025-02-19,NPWR,620
2025-02-19,OXY,616
2025-02-19,PRTA,620
2025-02-19,PSN,577
2025-02-19,SMCL,707
2025-02-19,SUPN,595
2025-02-19,TCMD,577
2025-02-19,TSLR,590
2025-02-20,ADEA,673
2025-02-20,AG,578
2025-02-20,BABX,580
2025-02-20,ENVX,578
2025-02-20,ESAB,582
