day,symbol,m,px,pb,cb,sp_mean,n_q
2026-04-02,ORIC,955,8.845,a,late,0.011739130434782415,345
2025-02-12,AUR,955,6.465,a,late,0.009999999999999787,146
2025-02-11,ALLT,955,8.03,a,late,0.010595238095239287,84
2026-03-18,SOLZ,955,9.09,a,late,0.009999999999999787,235
2026-02-18,VYX,955,9.735,a,late,0.010117647058823313,170
2025-10-20,LFST,955,5.17,a,late,0.009999999999999787,52
2025-11-14,ETHD,943,5.268359285714285,a,late,0.010022547914318216,887
2026-05-04,GBTG,955,9.335,a,late,0.009999999999999787,185
2025-12-29,NG,955,9.465,a,late,0.010000000000000153,209
2025-09-24,SPDN,955,9.68,a,late,0.009999999999999787,6000
2025-11-18,NEOG,942,5.953214285714286,a,late,0.009999999999999787,177
2025-02-03,CALY,955,7.79,a,late,0.009999999999999787,192
2025-01-03,AIOT,955,6.665,a,late,0.009999999999999787,48
2025-04-21,CRF,955,6.405,a,late,0.013931034482758857,145
2026-04-07,MRLN,955,6.18,a,late,0.01923076923076889,26
2026-05-11,ANGI,955,5.085,a,late,0.009999999999999787,44
2025-12-24,USA,953,6.34,a,late,0.009999999999999787,5
2025-07-18,OSG,955,8.74,a,late,0.009999999999999787,89
2025-10-01,PTON,954,8.59,a,late,0.010128983308042771,1318
2025-04-28,MLGO,955,7.075,a,late,0.014693877551020095,49
2025-04-14,RXRX,955,5.5335,a,late,0.010000000000000068,728
2025-01-13,HMY,955,9.005,a,late,0.009999999999999787,245
2025-06-11,MOMO,955,8.33,a,late,0.009999999999999787,29
2025-03-27,CRMD,955,6.7,a,late,0.010326086956521856,92
2026-04-21,FCEL,580,9.513928571428572,a,mid,0.022494117647058765,1275
2025-09-03,DFNS,577,5.258494285714286,a,mid,0.044615384615384675,130
2025-07-09,ASPN,576,7.052867142857143,a,mid,0.0292982456140352,114
2025-08-27,PACK,576,5.536155,a,mid,0.023529411764705955,51
2025-10-27,ARCO,581,7.589416428571429,a,mid,0.022547169811320895,212
2026-03-17,CRCG,576,5.035347857142857,a,mid,0.010326958667489396,1621
2026-03-17,CTMX,702,6.163778571428571,a,mid,0.011571428571428436,350
2025-09-18,MIMI,577,9.877367142857144,a,mid,0.10055555555555579,36
2025-08-14,EQX,577,7.536427857142857,a,mid,0.010471464019851096,806
2025-12-18,PCT,582,8.382885,a,mid,0.022111553784860533,251
2026-01-06,ITUB,608,7.4918571428571425,a,mid,0.009999999999999787,105
2025-04-15,ERIC,577,8.016877142857142,a,mid,0.010066176470588127,1360
2025-12-08,NVA,577,8.706805,a,mid,0.1135294117647056,34
2025-05-01,WNC,582,7.755307142857143,a,mid,0.09708333333333341,48
2025-07-07,IVR,586,7.7093871428571425,a,mid,0.011639344262294835,122
2025-02-20,INDV,696,9.183892857142858,a,mid,0.03709090909090869,55
2025-07-10,UUUU,593,6.445546428571429,a,mid,0.010384615384615409,936
2025-06-02,PLTD,577,9.896149285714287,a,mid,0.010132764343290655,2109
2026-01-06,IMSR,580,8.659720714285713,a,mid,0.03195381882770879,563
2026-04-15,SHLS,577,7.471983571428571,a,mid,0.04315789473684222,133
2025-10-08,FEED,577,7.1208,a,mid,0.10066666666666681,30
2025-01-22,LABD,578,7.052176428571428,a,mid,0.010045584045584019,1755
2025-12-17,UWMC,599,4.8120135714285714,a,mid,0.010124999999999973,320
2025-04-25,WRD,587,7.255791428571428,a,mid,0.020317460317460317,189
2025-09-15,WRD,582,9.995997857142855,a,mid,0.01919847328244253,262
