day,symbol,rvol,rk,side,prev_close,atr14,adv20,status,entry,R,stop,exit,exit_m,reason,gross_r,range_pct
2025-04-04,XLG,12.408772011819263,2,long,44.14,0.941428571428571,2649864.75,ok,42.99,0.20000000000000284,42.79,42.79,580.0,stop,-1.0,
2025-04-07,XLG,9.98115853979737,17,short,41.57,1.0824999999999996,2694084.45,ok,39.94,0.14000000000000057,40.08,39.87,580.0,lock,0.5,
2025-08-12,XLG,11.022396244806675,8,long,54.51,0.5975428571428572,1369987.05,range_too_small,54.85,,,,,,,0.002370100273473155
2025-11-17,XLG,5.138891712253395,15,long,58.65,0.867050000000001,2247685.35,range_too_small,58.57,,,,,,,0.0040976609185590235
2025-11-19,XLG,4.814473839383826,19,long,57.53,0.9256214285714292,3273978.3,range_too_small,57.64,,,,,,,0.0026023594725884556
2026-05-19,XLG,6.403559394605059,12,long,63.52,0.6912142857142882,1471229.6,range_too_small,63.25,,,,,,,0.0009486166007905498
2025-04-04,XLK,6.256525400460191,20,doji,195.23,5.17035714285714,5559504.8,doji,,,,,,,,
2025-06-06,XLY,5.660111824661781,18,short,209.45,3.8782142857142787,4122992.2,range_too_small,212.12,,,,,,,0.004620026400150809
2025-10-17,XMAX,25.920834854340796,1,short,5.31,0.25617142857142866,1014743.95,ok,5.31,0.040000000000000036,5.35,5.35,575.0,stop,-1.0,
2025-10-23,XMAX,20.196637526449923,5,long,5.61,0.2656000000000001,1151874.8,ok,5.95,0.3100000000000005,5.64,5.64,647.0,stop,-1.0,
2026-05-04,XNDU,9.350390316054714,11,short,36.12,8.071035714285715,3747574.35,regsho,12.35,,,,,,,
2026-04-10,XOVR,7.736339232904135,5,short,17.04,0.3137714285714294,1012320.95,ok,17.035,0.09499999999999886,17.13,16.998,955.0,time,0.3894736842105208,
2026-05-26,XOVR,5.386426586118857,19,short,19.53,0.32204999999999956,3107867.3,ok,19.6204,0.16959999999999908,19.79,19.665,955.0,time,-0.2629716981132036,
2025-03-14,XP,12.617749815110141,4,long,13.89,0.5703571428571432,7586332.55,ok,14.2,0.129999999999999,14.07,14.645,955.0,time,3.4230769230769513,
2025-08-19,XP,7.728694376260499,6,short,17.5,0.40999999999999964,4649188.6,ok,15.93,0.3200000000000003,16.25,16.25,579.0,stop,-1.0,
2026-03-24,XP,4.2801886139935394,18,long,19.52,1.0986714285714292,6180615.95,ok,19.14,0.3200000000000003,18.82,19.215,955.0,time,0.23437499999999759,
2026-05-19,XP,7.8840496906905395,8,long,17.34,0.7510714285714288,4666939.05,ok,16.615,0.36499999999999844,16.25,16.615,955.0,time,0.0,
2025-01-02,XPEV,3.234526214368222,5,short,11.82,0.5728571428571427,9088712.45,ok,11.25,0.33000000000000007,11.58,11.58,617.0,stop,-1.0,
2025-01-07,XPEV,1.7413874130754197,19,long,11.75,0.5989214285714286,8519233.0,ok,12.41,0.22000000000000064,12.19,12.815,955.0,time,1.8409090909090826,
2025-01-08,XPEV,1.679033420824668,14,short,12.86,0.6524928571428571,9118426.45,ok,12.275,0.3049999999999997,12.58,12.205,955.0,time,0.22950819672131262,
2025-01-14,XPEV,1.460847202765426,13,long,11.81,0.6624928571428571,8396459.1,ok,12.9288,0.05880000000000152,12.87,12.87,576.0,stop,-1.0,
2025-02-04,XPEV,3.9693364960788493,2,long,15.69,0.7767142857142855,10092764.8,ok,16.96,0.4200000000000017,16.54,16.99,955.0,time,0.07142857142856539,
2025-02-05,XPEV,1.1604572487609905,13,short,16.99,0.8052857142857143,10466662.25,ok,16.67,0.0799999999999983,16.75,16.515,955.0,time,1.9375000000000555,
2025-02-06,XPEV,1.6863377861120086,12,short,16.55,0.813142857142857,10491389.7,ok,17.08,0.22000000000000242,17.3,17.3,615.0,stop,-1.0,
2025-02-11,XPEV,2.0056877877741366,12,long,16.65,0.872142857142857,10323412.75,ok,15.635,0.16499999999999915,15.47,15.47,724.0,stop,-1.0,
2025-05-21,XPEV,9.368604456649019,5,long,19.69,0.7320357142857146,6611832.75,ok,22.48,1.4800000000000004,21.0,22.145,955.0,time,-0.22635135135135187,
2025-11-11,XPEV,5.8343396171661,16,long,26.04,1.3782357142857145,10679941.5,ok,27.71,0.6500000000000021,27.06,27.06,582.0,stop,-1.0,
2026-03-09,XPEV,5.298674736295829,20,long,17.32,0.7079499999999997,5143726.5,ok,18.35,0.4400000000000013,17.91,18.43,955.0,time,0.1818181818181774,
2025-04-25,XPO,9.997392476441053,4,short,103.72,8.354421428571428,2067128.0,ok,96.94,1.0600000000000023,98.0,96.347,955.0,time,0.5594339622641531,
2025-05-19,XPO,4.151745613188839,14,long,128.1,5.140485714285714,2233469.75,ok,124.78,0.15000000000000568,124.63,124.63,575.0,stop,-1.0,
2025-08-22,XPO,7.317895127955042,10,short,127.92,3.999992857142854,1295159.9,ok,127.775,0.8599999999999852,128.635,128.742,584.0,stop,-1.1244186046511642,
2025-12-02,XPO,14.664623631111258,3,short,143.43,5.217499999999999,1151285.85,ok,133.775,4.094999999999999,137.87,136.005,955.0,time,-0.5445665445665422,
2026-02-05,XPO,11.631431131247767,9,short,179.54,6.250535714285712,1569032.0,ok,195.445,4.685000000000002,200.13,185.04,955.0,time,2.2209178228388464,
2026-04-16,XPO,7.289009752438109,10,long,210.33,7.8442785714285685,1362090.0,ok,213.945,2.359999999999985,211.585,221.38,955.0,time,3.15042372881358,
2025-03-14,XPRO,3.942337732623215,12,long,10.32,0.82485,1191315.3,no_bars,,,,,,,,
2025-02-27,XRAY,11.852632406715683,5,short,18.81,0.5053928571428573,2273083.2,ok,18.21,0.8200000000000003,19.03,17.15,955.0,time,1.2926829268292706,
2025-04-23,XRAY,5.1412311798150725,18,long,13.02,0.8163571428571431,3185080.0,ok,13.61,0.29999999999999893,13.31,13.31,693.0,stop,-1.0,
2025-07-21,XRAY,8.069830950236845,7,short,15.68,0.5221571428571429,2216370.6,ok,15.97,0.4599999999999991,16.43,15.675,955.0,time,0.6413043478260881,
2025-11-06,XRAY,11.956564189796566,18,short,12.62,0.3371428571428567,3126069.95,regsho,10.98,,,,,,,
2026-04-07,XRAY,4.159936826337556,18,long,11.64,0.5395000000000001,4115478.05,bad_R,11.54,,,,,,,
