day,symbol,hour,entry_m,entry,gate5,f_hrv3,f_sus,f_abs,f_mir,price,rr_bare,why_bare,exitm_bare,rr_tgt,why_tgt,exitm_tgt,rr_lock,why_lock,exitm_lock
2025-03-04,ALTG,13,840,4.86,False,True,True,False,True,4.86,-1.0489999999999995,stop,940,-1.0489999999999995,stop,940,-1.0489999999999995,stop,940
2025-03-04,ALTG,14,901,4.835,False,False,True,False,False,4.835,-1.0489999999999962,stop,950,-1.0489999999999962,stop,950,-1.0489999999999962,stop,950
2025-03-04,AMBA,11,720,54.935,False,True,False,False,False,54.935,-0.03185582961682321,eod,955,-0.03185582961682321,eod,955,-0.03185582961682321,eod,955
2025-03-04,ARKK,10,660,50.96,False,True,False,True,False,50.96,2.099686028257462,eod,955,2.0,target,794,2.099686028257462,eod,955
2025-03-04,ARKK,11,720,51.64,False,False,True,False,False,51.64,1.4136328427575509,eod,955,2.0,target,847,1.4136328427575509,eod,955
2025-03-04,ARLO,9,600,11.39,False,True,False,False,True,11.39,-1.048999999999997,stop,655,-1.048999999999997,stop,655,-1.048999999999997,stop,655
2025-03-04,ARLO,10,660,11.15,False,True,False,False,True,11.15,3.273542600896852,eod,955,2.0,target,756,3.273542600896852,eod,955
2025-03-04,ARLO,11,720,11.1,False,True,True,True,False,11.1,3.513513513513526,eod,955,2.0,target,756,3.513513513513526,eod,955
2025-03-04,ARLO,12,780,11.53,False,False,True,False,False,11.53,1.5177797051170867,eod,955,2.0,target,922,1.5177797051170867,eod,955
2025-03-04,ARLO,13,840,11.74,False,False,True,False,False,11.74,0.5962521294718937,eod,955,0.5962521294718937,eod,955,0.5962521294718937,eod,955
2025-03-04,ARWR,9,600,16.75,False,True,False,False,True,16.75,1.313432835820896,eod,955,2.0,target,919,1.313432835820896,eod,955
2025-03-04,ASX,13,840,10.035,False,True,False,True,False,10.035,-0.2989536621823651,eod,955,-0.2989536621823651,eod,955,-0.2989536621823651,eod,955
2025-03-04,AVAV,14,900,142.462,False,True,False,False,True,142.462,-0.33644059468489385,eod,955,-0.33644059468489385,eod,955,-0.33644059468489385,eod,955
2025-03-04,BA,9,600,160.255,False,True,False,False,True,160.255,-1.049000000000001,stop,652,-1.049000000000001,stop,652,-1.049000000000001,stop,652
2025-03-04,BABX,12,781,35.17,False,True,False,False,False,35.17,0.2701165766278038,eod,955,0.2701165766278038,eod,955,0.29085868638043144,lock_stop,951
2025-03-04,BABX,13,840,35.97,False,False,True,False,False,35.97,-0.8479288295802047,eod,955,-0.8479288295802047,eod,955,-0.8479288295802047,eod,955
2025-03-04,BAH,12,780,105.71,False,True,False,True,False,105.71,-0.05675905779963604,eod,955,-0.05675905779963604,eod,955,-0.05675905779963604,eod,955
2025-03-04,BAH,14,900,109.03,True,True,False,False,True,109.03,-1.0490000000000008,stop,934,-1.0490000000000008,stop,934,-1.0490000000000008,stop,934
2025-03-04,BAND,9,600,14.62,False,True,False,False,False,14.62,1.9151846785225692,eod,955,2.0,target,840,1.9151846785225692,eod,955
2025-03-04,BCRX,9,600,7.77,False,True,False,False,True,7.77,3.539253539253539,eod,955,2.0,target,730,3.539253539253539,eod,955
2025-03-04,BCYC,9,600,10.385,False,True,False,True,False,10.385,-1.0490000000000022,stop,954,-1.0490000000000022,stop,954,-1.0490000000000022,stop,954
2025-03-04,BLMN,13,840,8.255,False,True,False,True,False,8.255,0.06056935190793304,eod,955,0.06056935190793304,eod,955,0.06056935190793304,eod,955
2025-03-04,BLMN,14,900,8.475,False,True,False,False,True,8.475,-1.0490000000000033,stop,950,-1.0490000000000033,stop,950,-1.0490000000000033,stop,950
2025-03-04,BOIL,9,600,104.0801,False,True,False,False,True,104.0801,-1.0490000000000002,stop,602,-1.0490000000000002,stop,602,-1.0490000000000002,stop,602
2025-03-04,BRRR,10,660,23.43,False,True,False,True,False,23.43,2.880921895006392,eod,955,2.0,target,833,2.880921895006392,eod,955
2025-03-04,BTCO,10,660,82.66,False,True,False,True,False,82.66,2.8792644568110393,eod,955,2.0,target,834,2.8792644568110393,eod,955
2025-03-04,BTCW,10,660,87.75,False,True,False,True,False,87.75,2.7863247863247937,eod,956,2.0,target,832,2.7863247863247937,eod,956
2025-03-04,CCJ,12,780,42.02,True,True,False,False,True,42.02,-0.2974773917182285,eod,955,-0.2974773917182285,eod,955,-0.2974773917182285,eod,955
2025-03-04,CCL,12,780,21.77,False,True,False,True,False,21.77,0.08038585209003224,eod,955,0.08038585209003224,eod,955,0.08038585209003224,eod,955
2025-03-04,CCL,13,840,21.8,False,False,True,False,False,21.8,0.0114678899082546,eod,955,0.0114678899082546,eod,955,0.0114678899082546,eod,955
2025-03-04,CCL,14,900,22.135,False,False,True,False,False,22.135,-0.745425796250283,eod,955,-0.745425796250283,eod,955,-0.745425796250283,eod,955
2025-03-04,CHWY,10,660,32.58,False,True,False,False,True,32.58,2.209944751381216,eod,955,2.0,target,767,2.209944751381216,eod,955
2025-03-04,CTRI,11,722,15.98,False,False,True,False,False,15.98,1.2359198998748444,eod,955,2.0,target,899,1.2359198998748444,eod,955
2025-03-04,CUBI,9,600,50.23,False,True,False,False,True,50.23,0.8461079036432395,eod,955,2.0,target,921,0.8461079036432395,eod,955
2025-03-04,CVRX,13,840,11.94,False,True,False,True,False,11.94,1.1934673366834203,eod,955,2.0,target,881,1.1934673366834203,eod,955
2025-03-04,CVRX,14,900,12.525,False,True,False,False,True,12.525,-1.0490000000000006,stop,951,-1.0490000000000006,stop,951,-1.0490000000000006,stop,951
2025-03-04,DAL,10,660,54.67,False,True,False,True,False,54.67,-0.036583135174683604,eod,955,-0.036583135174683604,eod,955,-0.036583135174683604,eod,955
2025-03-04,DDS,14,902,376.475,True,True,False,True,False,376.475,-1.0489999999999995,stop,952,-1.0489999999999995,stop,952,-1.0489999999999995,stop,952
2025-03-04,DFEN,14,901,30.46,False,True,False,False,True,30.46,-1.0489999999999973,stop,933,-1.0489999999999973,stop,933,-1.0489999999999973,stop,933
2025-03-04,DRD,11,720,12.346,True,True,False,False,False,12.346,-0.7937793617365958,eod,955,-0.7937793617365958,eod,955,-0.7937793617365958,eod,955
2025-03-04,DRIP,9,600,12.85,False,True,False,False,True,12.85,-1.049000000000003,stop,700,-1.049000000000003,stop,700,-1.049000000000003,stop,700
2025-03-04,DRN,9,600,11.6,False,True,False,True,False,11.6,-1.0489999999999966,stop,612,-1.0489999999999966,stop,612,-1.0489999999999966,stop,612
2025-03-04,DRN,10,660,11.375,False,True,False,False,False,11.375,-0.4175824175824187,eod,955,-0.4175824175824187,eod,955,-0.4175824175824187,eod,955
2025-03-04,DYN,13,840,11.875,False,True,False,False,False,11.875,0.4842105263157889,eod,955,0.4842105263157889,eod,955,0.4842105263157889,eod,955
2025-03-04,ECPG,10,661,34.43,False,True,False,True,False,34.43,0.26139994191112326,eod,955,0.26139994191112326,eod,955,0.26139994191112326,eod,955
2025-03-04,ECPG,13,842,35.16,False,True,False,False,True,35.16,-0.7821387940841797,eod,955,-0.7821387940841797,eod,955,-0.7821387940841797,eod,955
2025-03-04,ECPG,14,900,35.06,False,True,True,True,False,35.06,-0.6417569880205403,eod,955,-0.6417569880205403,eod,955,-0.6417569880205403,eod,955
2025-03-04,EFXT,13,840,7.18,False,True,True,True,False,7.18,0.41782729805014224,eod,955,0.41782729805014224,eod,955,0.41782729805014224,eod,955
