day,symbol,hour,entry_m,entry,gate5,is_sig,sig_day,rr_bare,why_bare,exitm_bare
2025-01-07,TARA,14,900,6.07,True,False,True,-1.0489999999999995,stop,937
2025-01-07,TNA,9,600,44.56,False,False,False,-1.048999999999999,stop,601
2025-01-07,TNA,10,660,43.25,False,False,False,-1.0490000000000033,stop,912
2025-01-07,TNA,11,720,42.5006,False,False,False,0.21693811381486822,eod,955
2025-01-07,TNA,12,780,42.7,False,False,False,-0.017564402810305132,eod,955
2025-01-07,TNA,13,840,42.82,False,False,False,-0.15763661840261314,eod,955
2025-01-07,TNA,14,900,42.71,False,False,False,-0.02926715055022081,eod,955
2025-01-07,URGN,9,600,11.48,True,False,False,-1.1812717770034846,stop,606
2025-01-07,URGN,10,664,11.095,True,False,False,-0.15772870662460647,eod,955
2025-01-07,URGN,11,720,11.05,True,False,False,0.04524886877827956,eod,955
2025-01-07,URGN,12,780,10.99,True,False,False,0.3184713375796201,eod,955
2025-01-07,URGN,13,840,11.03,True,False,False,0.135992747053495,eod,955
2025-01-07,URGN,14,901,11.042,True,False,False,0.08150697337439149,eod,955
2025-01-07,USLM,9,600,120.1525,False,False,False,-1.1901167266598718,stop,638
2025-01-07,USLM,12,780,119.66,False,False,False,-1.1269764332274743,stop,923
2025-01-07,USLM,13,840,119.38,False,False,False,-1.0490000000000002,stop,945
2025-01-07,USLM,14,903,117.8048,False,False,False,-0.26306228608681304,eod,955
2025-01-07,VENU,9,600,10.0,False,True,True,-1.0490000000000015,stop,646
2025-01-07,VENU,10,661,9.52,False,False,True,1.4705882352941209,eod,956
2025-01-07,VENU,11,725,9.55,False,True,True,1.3089005235602045,eod,956
2025-01-07,VENU,14,900,9.85,False,False,True,-0.25380710659897815,eod,956
2025-01-07,VSCO,9,600,40.62,False,False,False,-1.0706425406203812,stop,616
2025-01-07,VSCO,10,660,39.94,False,False,False,-0.9013520280420617,eod,955
2025-01-07,VSCO,11,720,39.24,False,False,False,-0.02548419979613025,eod,955
2025-01-07,VSCO,12,780,39.62,False,False,False,-0.5047955577990891,eod,955
2025-01-07,VSCO,13,840,39.83,False,False,False,-0.7657544564398707,eod,955
2025-01-07,VSCO,14,900,39.43,False,False,False,-0.26629469946741086,eod,955
2025-01-07,VSEC,9,600,93.03,False,False,False,-1.048999999999999,stop,608
2025-01-07,VSEC,10,661,91.22,False,False,False,-0.249397062047796,eod,955
2025-01-07,VSEC,11,720,91.985,False,False,False,-0.6631516008044757,eod,955
2025-01-07,VSEC,12,780,92.74,False,False,False,-1.0490000000000015,stop,929
2025-01-07,VSEC,13,841,93.59,False,False,False,-1.053376429105678,stop,908
2025-01-07,VSEC,14,900,92.5,False,False,False,-0.9378378378378333,eod,955
2025-01-07,YBIT,9,600,13.03,False,False,False,-1.0850345356868745,stop,642
2025-01-07,YBIT,10,660,12.7888,False,False,False,-0.6208557487801781,eod,955
2025-01-07,YBIT,11,721,12.7505,False,False,False,-0.47253048900042993,eod,955
2025-01-07,YBIT,12,784,12.7146,False,False,False,-0.3326884054551467,eod,955
2025-01-07,YBIT,13,842,12.65,False,False,False,-0.07905138339920777,eod,955
2025-01-08,ATNI,9,600,15.36,False,True,True,2.9296875000000075,eod,955
2025-01-08,ATNI,12,780,15.715,False,False,True,1.7340120903595282,eod,955
2025-01-08,ATNI,13,845,16.06,False,False,True,0.6226650062266569,eod,955
2025-01-08,AVL,9,600,34.0,False,False,False,-1.049000000000005,stop,612
2025-01-08,AVL,10,661,33.76,False,False,False,0.2073459715639807,eod,955
2025-01-08,AVL,11,720,34.06,False,False,False,-1.1498972401644092,stop,748
2025-01-08,AVL,12,780,33.7,False,False,False,0.2967359050445043,eod,955
2025-01-08,AVL,13,842,33.7,False,False,False,0.2967359050445043,eod,955
2025-01-08,AVL,14,900,33.9,False,False,False,0.0,eod,955
2025-01-08,AYI,9,600,301.99,False,False,False,1.6912811682505964,eod,955
2025-01-08,AYI,10,660,302.9,False,False,False,1.535985473753717,eod,955
2025-01-08,AYI,11,720,306.645,False,False,False,0.9065857913874344,eod,955
2025-01-08,AYI,12,781,306.24,False,False,False,0.9739093521421077,eod,955
2025-01-08,AYI,13,840,307.36,False,False,False,0.7881637168141548,eod,955
2025-01-08,AYI,14,901,312.325,False,False,False,-0.019210758024494366,eod,955
2025-01-08,BETR,9,602,9.51,False,False,True,-1.0490000000000004,stop,646
2025-01-08,BETR,10,665,9.31,False,False,True,-1.0489999999999966,stop,764
2025-01-08,BETR,11,722,9.3,False,False,True,-1.0490000000000015,stop,785
