key,exit,window,split,gross_n,gross_tpw,gross_meanR,gross_se,gross_t,gross_WR,gross_wkR,gross_green,gross_worst,corr_n,corr_tpw,corr_meanR,corr_se,corr_t,corr_WR,corr_wkR,corr_green,corr_worst,mix_stop,mix_target,mix_eod,gate_n,gate_tpw,gate_meanR,gate_se,gate_t,gate_WR,gate_wkR,gate_green,gate_worst,note
F6 {},2r,>=10:30,VAL,410.0,18.6,0.036,0.0314,1.16,50.7,0.68,0.45,-6.3,410,18.6,0.017,0.0314,0.53,48.5,0.31,0.45,-6.8,0.095,0.024,0.88,410.0,18.6,0.012,0.0314,0.37,48.0,0.22,0.41,-6.8,
F6 {},2r,09:30-10:00,TRAIN,847.0,16.0,0.06,0.0361,1.68,46.9,0.97,0.62,-10.2,847,16.0,0.018,0.0362,0.5,45.8,0.29,0.57,-11.0,0.312,0.142,0.547,776.0,14.6,0.026,0.0355,0.74,45.9,0.38,0.55,-11.3,
F6 {},2r,09:30-10:00,VAL,410.0,18.6,0.138,0.0552,2.5,48.8,2.57,0.73,-9.1,410,18.6,0.095,0.0552,1.73,48.3,1.78,0.68,-9.9,0.317,0.171,0.512,386.0,17.5,0.108,0.0554,1.96,48.7,1.9,0.64,-8.4,
"F8 {""N"": 15}",hold,ALL,TRAIN,1244.0,23.5,0.03,0.0279,1.06,46.1,0.69,0.51,-12.9,1244,23.5,0.004,0.0281,0.13,44.9,0.09,0.47,-13.9,0.233,0.0,0.767,1245.0,23.5,0.01,0.0285,0.34,45.0,0.23,0.49,-14.3,
"F8 {""N"": 15}",hold,ALL,VAL,503.0,22.9,-0.051,0.0379,-1.34,42.9,-1.16,0.41,-10.6,503,22.9,-0.079,0.0381,-2.08,42.3,-1.81,0.41,-11.4,0.239,0.0,0.761,500.0,22.7,-0.079,0.0378,-2.09,42.8,-1.8,0.41,-11.6,
"F8 {""N"": 15}",hold,>=10:00,TRAIN,1222.0,23.1,-0.008,0.027,-0.31,44.4,-0.2,0.45,-12.7,1222,23.1,-0.032,0.0271,-1.17,43.5,-0.73,0.45,-13.8,0.232,0.0,0.768,1219.0,23.0,-0.025,0.0273,-0.93,43.6,-0.58,0.45,-13.3,
"F8 {""N"": 15}",hold,>=10:00,VAL,468.0,21.3,0.068,0.0387,1.76,48.9,1.45,0.68,-5.3,468,21.3,0.044,0.0389,1.13,47.4,0.94,0.64,-6.0,0.169,0.0,0.831,466.0,21.2,0.047,0.0389,1.2,47.4,0.99,0.68,-6.3,
"F8 {""N"": 15}",hold,>=10:30,TRAIN,1133.0,21.4,0.008,0.0279,0.29,44.3,0.17,0.47,-10.5,1133,21.4,-0.015,0.0281,-0.52,43.2,-0.31,0.42,-11.0,0.192,0.0,0.808,1129.0,21.3,-0.006,0.0275,-0.23,43.8,-0.13,0.47,-11.0,
"F8 {""N"": 15}",hold,>=10:30,VAL,470.0,21.4,0.013,0.041,0.31,44.3,0.27,0.55,-5.5,470,21.4,-0.011,0.0412,-0.27,43.6,-0.24,0.45,-6.3,0.183,0.0,0.817,467.0,21.2,-0.002,0.0408,-0.06,43.9,-0.05,0.45,-5.6,
"F8 {""N"": 15}",hold,09:30-10:00,TRAIN,1010.0,19.1,0.024,0.0306,0.79,45.9,0.46,0.45,-11.6,1010,19.1,-0.002,0.0307,-0.08,44.7,-0.05,0.45,-12.2,0.244,0.0,0.756,1010.0,19.1,0.004,0.0314,0.14,44.9,0.09,0.45,-12.2,
"F8 {""N"": 15}",hold,09:30-10:00,VAL,411.0,18.7,-0.031,0.0431,-0.71,44.5,-0.57,0.5,-9.1,411,18.7,-0.06,0.0433,-1.39,43.8,-1.12,0.5,-9.7,0.246,0.0,0.754,411.0,18.7,-0.055,0.0426,-1.3,44.5,-1.04,0.5,-9.9,
"F8 {""N"": 15}",2r,ALL,TRAIN,1326.0,25.0,0.023,0.0243,0.95,47.1,0.58,0.53,-11.6,1326,25.0,-0.004,0.0244,-0.16,45.8,-0.1,0.47,-12.6,0.227,0.08,0.693,1323.0,25.0,-0.003,0.0243,-0.12,45.8,-0.07,0.47,-13.1,
"F8 {""N"": 15}",2r,ALL,VAL,517.0,23.5,-0.052,0.0354,-1.47,43.3,-1.22,0.41,-10.6,517,23.5,-0.081,0.0355,-2.28,42.7,-1.9,0.41,-11.4,0.232,0.041,0.727,513.0,23.3,-0.083,0.0353,-2.35,43.3,-1.93,0.41,-11.6,
"F8 {""N"": 15}",2r,>=10:00,TRAIN,1296.0,24.5,-0.011,0.0238,-0.45,45.3,-0.26,0.47,-11.6,1296,24.5,-0.035,0.0238,-1.47,44.4,-0.86,0.45,-12.4,0.228,0.07,0.702,1293.0,24.4,-0.034,0.0239,-1.44,44.3,-0.84,0.42,-12.4,
"F8 {""N"": 15}",2r,>=10:00,VAL,481.0,21.9,0.063,0.0352,1.79,49.1,1.38,0.68,-5.3,481,21.9,0.038,0.0353,1.09,47.6,0.84,0.64,-6.0,0.166,0.04,0.794,479.0,21.8,0.041,0.0353,1.16,47.6,0.89,0.64,-6.3,
"F8 {""N"": 15}",2r,>=10:30,TRAIN,1194.0,22.5,0.002,0.0239,0.1,44.6,0.06,0.49,-10.5,1194,22.5,-0.021,0.0239,-0.88,43.7,-0.47,0.45,-11.0,0.19,0.064,0.745,1181.0,22.3,-0.017,0.0236,-0.72,43.9,-0.38,0.47,-11.0,
"F8 {""N"": 15}",2r,>=10:30,VAL,484.0,22.0,0.005,0.0365,0.13,45.0,0.1,0.5,-5.2,484,22.0,-0.02,0.0366,-0.54,44.4,-0.43,0.5,-6.0,0.178,0.048,0.775,479.0,21.8,-0.015,0.0361,-0.42,44.7,-0.33,0.45,-5.6,
"F8 {""N"": 15}",2r,09:30-10:00,TRAIN,1011.0,19.1,0.02,0.0282,0.7,46.7,0.38,0.47,-11.6,1011,19.1,-0.008,0.0283,-0.29,45.5,-0.16,0.45,-12.2,0.24,0.079,0.681,1012.0,19.1,-0.006,0.0284,-0.2,45.7,-0.11,0.45,-12.2,
"F8 {""N"": 15}",2r,09:30-10:00,VAL,412.0,18.7,-0.034,0.0412,-0.81,44.7,-0.63,0.5,-9.1,412,18.7,-0.064,0.0413,-1.55,43.9,-1.2,0.45,-9.7,0.243,0.046,0.711,411.0,18.7,-0.063,0.0407,-1.56,44.5,-1.19,0.45,-9.9,
"F8 {""N"": 30}",hold,ALL,TRAIN,1124.0,21.2,0.032,0.0234,1.36,49.6,0.67,0.6,-9.0,1124,21.2,0.012,0.0235,0.49,48.6,0.25,0.57,-9.6,0.151,0.0,0.849,1125.0,21.2,0.012,0.0236,0.52,48.6,0.26,0.57,-9.6,
"F8 {""N"": 30}",hold,ALL,VAL,456.0,20.7,0.014,0.0334,0.43,50.7,0.3,0.5,-6.2,456,20.7,-0.006,0.0336,-0.19,48.7,-0.13,0.45,-6.8,0.134,0.0,0.866,457.0,20.8,-0.008,0.0335,-0.23,48.6,-0.16,0.45,-6.8,
"F8 {""N"": 30}",hold,>=10:00,TRAIN,1124.0,21.2,0.032,0.0234,1.36,49.6,0.67,0.6,-9.0,1124,21.2,0.012,0.0235,0.49,48.6,0.25,0.57,-9.6,0.151,0.0,0.849,1125.0,21.2,0.012,0.0236,0.52,48.6,0.26,0.57,-9.6,
"F8 {""N"": 30}",hold,>=10:00,VAL,456.0,20.7,0.014,0.0334,0.43,50.7,0.3,0.5,-6.2,456,20.7,-0.006,0.0336,-0.19,48.7,-0.13,0.45,-6.8,0.134,0.0,0.866,457.0,20.8,-0.008,0.0335,-0.23,48.6,-0.16,0.45,-6.8,
"F8 {""N"": 30}",hold,>=10:30,TRAIN,1084.0,20.5,0.039,0.025,1.57,46.1,0.8,0.58,-7.1,1084,20.5,0.02,0.025,0.8,45.0,0.41,0.51,-7.6,0.133,0.0,0.867,1084.0,20.5,0.02,0.025,0.8,45.0,0.41,0.51,-7.6,
"F8 {""N"": 30}",hold,>=10:30,VAL,446.0,20.3,0.037,0.0407,0.9,47.1,0.74,0.64,-4.6,446,20.3,0.016,0.0408,0.38,46.4,0.32,0.41,-5.0,0.121,0.0,0.879,445.0,20.2,0.014,0.0409,0.35,46.1,0.29,0.45,-5.0,
"F8 {""N"": 30}",hold,09:30-10:00,TRAIN,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,under 40 candidates
"F8 {""N"": 30}",hold,09:30-10:00,VAL,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,under 40 candidates
"F8 {""N"": 30}",2r,ALL,TRAIN,1148.0,21.7,0.025,0.0214,1.18,49.9,0.55,0.58,-9.0,1148,21.7,0.005,0.0215,0.22,49.0,0.1,0.57,-9.6,0.15,0.036,0.814,1149.0,21.7,0.005,0.0215,0.25,49.0,0.12,0.57,-9.6,
"F8 {""N"": 30}",2r,ALL,VAL,463.0,21.0,0.015,0.0323,0.48,51.0,0.32,0.55,-6.2,463,21.0,-0.006,0.0324,-0.17,49.0,-0.12,0.45,-6.8,0.132,0.026,0.842,464.0,21.1,-0.007,0.0323,-0.21,48.9,-0.14,0.45,-6.8,
"F8 {""N"": 30}",2r,>=10:00,TRAIN,1148.0,21.7,0.025,0.0214,1.18,49.9,0.55,0.58,-9.0,1148,21.7,0.005,0.0215,0.22,49.0,0.1,0.57,-9.6,0.15,0.036,0.814,1149.0,21.7,0.005,0.0215,0.25,49.0,0.12,0.57,-9.6,
