key,exit,feat,bucket,split,n,cut_lo,cut_hi,meanR,se,t,WR,nan_share
"F8 {""N"": 5}",2r,iwm,T3 high,VAL,183,-0.246,0.25,0.109,0.0741,1.48,51.4,0.0
"F8 {""N"": 5}",2r,iwm,sign -,VAL,320,-0.246,0.25,0.01,0.058,0.18,44.7,0.0
"F8 {""N"": 5}",2r,iwm,sign +,VAL,263,-0.246,0.25,0.139,0.0642,2.16,54.0,0.0
"F8 {""N"": 5}",2r,spy,T1 low,TRAIN,498,-0.113,0.135,-0.129,0.0497,-2.6,41.2,0.0
"F8 {""N"": 5}",2r,spy,T2 mid,TRAIN,498,-0.113,0.135,-0.059,0.046,-1.29,41.2,0.0
"F8 {""N"": 5}",2r,spy,T3 high,TRAIN,499,-0.113,0.135,-0.056,0.0454,-1.22,43.1,0.0
"F8 {""N"": 5}",2r,spy,sign -,TRAIN,718,-0.113,0.135,-0.142,0.0402,-3.52,39.7,0.0
"F8 {""N"": 5}",2r,spy,sign +,TRAIN,777,-0.113,0.135,-0.025,0.0367,-0.69,43.8,0.0
"F8 {""N"": 5}",2r,spy,T1 low,VAL,205,-0.113,0.135,-0.077,0.0741,-1.04,40.5,0.0
"F8 {""N"": 5}",2r,spy,T2 mid,VAL,167,-0.113,0.135,0.089,0.0774,1.15,51.5,0.0
"F8 {""N"": 5}",2r,spy,T3 high,VAL,211,-0.113,0.135,0.194,0.0715,2.71,55.0,0.0
"F8 {""N"": 5}",2r,spy,sign -,VAL,271,-0.113,0.135,-0.048,0.0644,-0.75,43.5,0.0
"F8 {""N"": 5}",2r,spy,sign +,VAL,312,-0.113,0.135,0.17,0.0574,2.95,53.5,0.0
"F8 {""N"": 5}",2r,brd,T1 low,TRAIN,499,0.913,0.944,-0.105,0.0481,-2.19,41.7,0.0
"F8 {""N"": 5}",2r,brd,T2 mid,TRAIN,498,0.913,0.944,-0.097,0.0474,-2.04,42.6,0.0
"F8 {""N"": 5}",2r,brd,T3 high,TRAIN,498,0.913,0.944,-0.042,0.0457,-0.91,41.2,0.0
"F8 {""N"": 5}",2r,brd,T1 low,VAL,131,0.913,0.944,0.068,0.0927,0.73,46.6,0.0
"F8 {""N"": 5}",2r,brd,T2 mid,VAL,171,0.913,0.944,0.03,0.0808,0.37,47.4,0.0
"F8 {""N"": 5}",2r,brd,T3 high,VAL,281,0.913,0.944,0.092,0.061,1.51,50.9,0.0
