key,exit,split,gross_n,gross_tpw,gross_meanR,gross_se,gross_t,gross_WR,gross_wkR,gross_green,gross_worst,s4_n,s4_tpw,s4_meanR,s4_se,s4_t,s4_WR,s4_wkR,s4_green,s4_worst,corr_n,corr_tpw,corr_meanR,corr_se,corr_t,corr_WR,corr_wkR,corr_green,corr_worst,corrp_n,corrp_tpw,corrp_meanR,corrp_se,corrp_t,corrp_WR,corrp_wkR,corrp_green,corrp_worst,mix_stop,mix_target,mix_eod,gate_n,gate_tpw,gate_meanR,gate_se,gate_t,gate_WR,gate_wkR,gate_green,gate_worst,gatep_n,gatep_tpw,gatep_meanR,gatep_se,gatep_t,gatep_WR,gatep_wkR,gatep_green,gatep_worst
"F3 {""M"": 30, ""P"": 0.05}",hold,TEST,551,39.4,0.04,0.1454,0.28,19.6,1.59,0.43,-26.4,551,39.4,-0.664,0.1491,-4.45,18.1,-26.13,0.07,-54.2,551,39.4,-0.099,0.1462,-0.68,19.4,-3.91,0.43,-32.2,551,39.4,-0.099,0.1462,-0.68,19.4,-3.91,0.43,-32.2,0.8,0.0,0.2,208,14.9,-0.032,0.2531,-0.13,19.7,-0.48,0.21,-13.8,208,14.9,-0.032,0.2531,-0.13,19.7,-0.48,0.21,-13.8
"F3 {""M"": 30, ""P"": 0.05}",2r,TRAIN,2450,46.2,-0.172,0.0296,-5.82,31.3,-7.97,0.19,-41.5,2450,46.2,-0.832,0.0338,-24.62,30.9,-38.47,0.0,-80.1,2450,46.2,-0.321,0.0297,-10.83,31.2,-14.84,0.11,-49.2,2450,46.2,-0.286,0.0307,-9.31,31.2,-13.21,0.15,-48.5,0.684,0.302,0.015,610,11.5,-0.222,0.0559,-3.98,31.0,-2.56,0.26,-11.9,610,11.5,-0.21,0.0567,-3.7,31.0,-2.41,0.26,-11.7
"F3 {""M"": 30, ""P"": 0.05}",2r,VAL,1075,48.9,-0.092,0.0449,-2.04,33.6,-4.48,0.32,-20.8,1075,48.9,-0.704,0.051,-13.81,33.0,-34.42,0.0,-60.0,1075,48.9,-0.25,0.0449,-5.58,33.6,-12.24,0.14,-28.8,1075,48.9,-0.21,0.0467,-4.49,33.6,-10.24,0.18,-27.0,0.657,0.319,0.024,246,11.2,-0.248,0.0866,-2.87,31.3,-2.78,0.23,-10.9,246,11.2,-0.236,0.0879,-2.69,31.3,-2.64,0.27,-10.8
"F3 {""M"": 30, ""P"": 0.05}",2r,TEST,720,51.4,-0.073,0.0551,-1.32,34.7,-3.75,0.36,-19.3,720,51.4,-0.706,0.0629,-11.24,34.0,-36.33,0.0,-53.7,720,51.4,-0.231,0.0553,-4.18,34.7,-11.88,0.07,-28.6,720,51.4,-0.19,0.0574,-3.32,34.7,-9.78,0.14,-26.7,0.649,0.325,0.026,209,14.9,-0.142,0.0978,-1.45,34.0,-2.12,0.29,-14.0,209,14.9,-0.129,0.0992,-1.3,34.0,-1.92,0.36,-13.8
"F3 {""M"": 30, ""P"": 0.1}",hold,TRAIN,1170,22.1,-0.127,0.1133,-1.12,12.8,-2.81,0.4,-38.4,1170,22.1,-0.817,0.1151,-7.1,12.4,-18.04,0.15,-67.2,1170,22.1,-0.248,0.1137,-2.18,12.7,-5.47,0.3,-43.4,1170,22.1,-0.248,0.1137,-2.18,12.7,-5.47,0.3,-43.4,0.862,0.0,0.138,350,6.6,-0.273,0.2105,-1.3,14.0,-1.8,0.21,-13.1,350,6.6,-0.273,0.2105,-1.3,14.0,-1.8,0.21,-13.1
"F3 {""M"": 30, ""P"": 0.1}",hold,VAL,587,26.7,-0.351,0.1097,-3.2,13.3,-9.36,0.23,-33.1,587,26.7,-0.985,0.1118,-8.81,12.4,-26.28,0.05,-58.9,587,26.7,-0.487,0.1103,-4.41,13.1,-12.98,0.23,-38.0,587,26.7,-0.487,0.1103,-4.41,13.1,-12.98,0.23,-38.0,0.86,0.0,0.14,135,6.1,-0.429,0.2294,-1.87,14.1,-2.63,0.23,-11.4,135,6.1,-0.429,0.2294,-1.87,14.1,-2.63,0.23,-11.4
"F3 {""M"": 30, ""P"": 0.1}",hold,TEST,392,28.0,0.3,0.2346,1.28,14.3,8.41,0.57,-21.5,392,28.0,-0.364,0.2372,-1.54,14.3,-10.2,0.07,-36.1,392,28.0,0.174,0.2353,0.74,14.3,4.88,0.5,-23.9,392,28.0,0.174,0.2353,0.74,14.3,4.88,0.5,-23.9,0.857,0.0,0.143,117,8.4,-0.105,0.3961,-0.27,13.7,-0.88,0.29,-12.2,117,8.4,-0.105,0.3961,-0.27,13.7,-0.88,0.29,-12.2
"F3 {""M"": 30, ""P"": 0.1}",2r,TRAIN,1243,23.5,-0.144,0.0419,-3.45,32.0,-3.39,0.25,-21.9,1243,23.5,-0.75,0.0476,-15.75,31.8,-17.59,0.02,-43.8,1243,23.5,-0.271,0.0419,-6.48,31.9,-6.37,0.17,-25.4,1243,23.5,-0.239,0.0432,-5.54,31.9,-5.62,0.19,-25.0,0.677,0.31,0.013,350,6.6,-0.264,0.0739,-3.57,29.1,-1.74,0.28,-9.7,350,6.6,-0.252,0.0749,-3.36,29.1,-1.66,0.28,-9.6
"F3 {""M"": 30, ""P"": 0.1}",2r,VAL,634,28.8,-0.215,0.0588,-3.65,30.3,-6.18,0.27,-28.7,634,28.8,-0.782,0.0658,-11.89,30.0,-22.53,0.05,-51.4,634,28.8,-0.359,0.059,-6.08,30.1,-10.35,0.27,-35.2,634,28.8,-0.327,0.0609,-5.37,30.1,-9.42,0.27,-34.0,0.694,0.293,0.013,135,6.1,-0.305,0.1179,-2.59,28.1,-1.87,0.23,-9.3,135,6.1,-0.293,0.1196,-2.45,28.1,-1.8,0.23,-9.3
"F3 {""M"": 30, ""P"": 0.1}",2r,TEST,454,32.4,-0.194,0.0704,-2.76,30.6,-6.29,0.29,-24.5,454,32.4,-0.782,0.0787,-9.94,30.6,-25.36,0.0,-45.7,454,32.4,-0.333,0.0703,-4.73,30.6,-10.78,0.14,-29.2,454,32.4,-0.298,0.0726,-4.11,30.6,-9.67,0.21,-28.6,0.694,0.302,0.004,117,8.4,-0.25,0.1288,-1.94,29.1,-2.09,0.29,-9.3,117,8.4,-0.239,0.1304,-1.83,29.1,-2.0,0.29,-9.2
F4 {},hold,TRAIN,1982,37.4,-0.167,0.0733,-2.27,16.9,-6.23,0.32,-38.8,1982,37.4,-0.838,0.0748,-11.21,15.6,-31.35,0.13,-71.6,1982,37.4,-0.26,0.0736,-3.54,16.9,-9.73,0.28,-42.3,1982,37.4,-0.26,0.0736,-3.54,16.9,-9.73,0.28,-42.3,0.807,0.0,0.193,957,18.1,-0.116,0.1137,-1.02,20.9,-2.09,0.36,-26.8,957,18.1,-0.116,0.1137,-1.02,20.9,-2.09,0.36,-26.8
F4 {},hold,VAL,857,39.0,-0.076,0.0974,-0.78,20.0,-2.96,0.36,-25.1,857,39.0,-0.733,0.1003,-7.31,18.2,-28.57,0.0,-55.4,857,39.0,-0.179,0.0978,-1.83,20.0,-6.96,0.32,-29.7,857,39.0,-0.179,0.0978,-1.83,20.0,-6.96,0.32,-29.7,0.785,0.0,0.215,363,16.5,-0.373,0.0839,-4.45,24.0,-6.16,0.23,-17.4,363,16.5,-0.373,0.0839,-4.45,24.0,-6.16,0.23,-17.4
F4 {},hold,TEST,577,41.2,-0.229,0.1203,-1.9,18.0,-9.43,0.36,-38.1,577,41.2,-0.875,0.1245,-7.02,16.6,-36.05,0.07,-65.4,577,41.2,-0.33,0.121,-2.73,18.0,-13.6,0.21,-41.9,577,41.2,-0.33,0.121,-2.73,18.0,-13.6,0.21,-41.9,0.79,0.0,0.21,268,19.1,0.031,0.1771,0.17,26.9,0.58,0.43,-14.9,268,19.1,0.031,0.1771,0.17,26.9,0.58,0.43,-14.9
F4 {},2r,TRAIN,2105,39.7,-0.196,0.0309,-6.36,30.5,-7.79,0.19,-25.2,2105,39.7,-0.805,0.0352,-22.89,30.0,-31.98,0.0,-62.0,2105,39.7,-0.296,0.0309,-9.59,30.5,-11.77,0.11,-30.4,2105,39.7,-0.274,0.0317,-8.64,30.5,-10.86,0.13,-29.4,0.675,0.276,0.048,969,18.3,-0.222,0.0436,-5.1,31.0,-4.06,0.26,-21.4,969,18.3,-0.212,0.0441,-4.8,31.0,-3.87,0.26,-21.2
F4 {},2r,VAL,945,43.0,-0.165,0.0468,-3.54,32.0,-7.11,0.14,-19.3,945,43.0,-0.756,0.0528,-14.31,31.0,-32.49,0.0,-49.4,945,43.0,-0.276,0.0469,-5.9,32.0,-11.87,0.09,-24.3,945,43.0,-0.25,0.0481,-5.2,32.0,-10.75,0.09,-23.5,0.667,0.285,0.049,366,16.6,-0.205,0.0702,-2.93,33.1,-3.42,0.23,-12.5,366,16.6,-0.196,0.0711,-2.75,33.1,-3.26,0.23,-12.4
F4 {},2r,TEST,649,46.4,-0.214,0.0575,-3.73,31.4,-9.94,0.21,-27.3,649,46.4,-0.803,0.0655,-12.26,30.0,-37.22,0.0,-52.4,649,46.4,-0.324,0.0577,-5.61,31.4,-15.0,0.07,-31.9,649,46.4,-0.3,0.0591,-5.07,31.4,-13.89,0.14,-31.3,0.672,0.284,0.045,278,19.9,-0.141,0.0861,-1.64,34.9,-2.8,0.29,-17.2,278,19.9,-0.13,0.0871,-1.49,34.9,-2.58,0.36,-17.1
"F5 {""K"": 3, ""X"": 0.02}",hold,TRAIN,2516,47.5,-0.091,0.0527,-1.73,21.3,-4.32,0.4,-43.2,2516,47.5,-0.821,0.0543,-15.12,19.4,-38.99,0.06,-86.0,2516,47.5,-0.223,0.053,-4.2,21.1,-10.56,0.3,-51.6,2516,47.5,-0.223,0.053,-4.2,21.1,-10.56,0.3,-51.6,0.77,0.0,0.23,782,14.8,-0.032,0.1231,-0.26,27.2,-0.47,0.4,-21.1,782,14.8,-0.032,0.1231,-0.26,27.2,-0.47,0.4,-21.1
"F5 {""K"": 3, ""X"": 0.02}",hold,VAL,1037,47.1,-0.007,0.081,-0.09,22.8,-0.33,0.45,-36.9,1037,47.1,-0.686,0.0829,-8.27,20.7,-32.32,0.14,-73.9,1037,47.1,-0.144,0.0815,-1.76,22.7,-6.77,0.27,-44.1,1037,47.1,-0.144,0.0815,-1.76,22.7,-6.77,0.27,-44.1,0.755,0.0,0.245,453,20.6,-0.289,0.0879,-3.29,23.6,-5.96,0.36,-28.2,453,20.6,-0.289,0.0879,-3.29,23.6,-5.96,0.36,-28.2
"F5 {""K"": 3, ""X"": 0.02}",hold,TEST,683,48.8,-0.075,0.0831,-0.9,24.9,-3.63,0.43,-26.6,683,48.8,-0.762,0.0868,-8.77,22.1,-37.15,0.07,-71.0,683,48.8,-0.208,0.084,-2.48,24.3,-10.16,0.14,-35.1,683,48.8,-0.208,0.084,-2.48,24.3,-10.16,0.14,-35.1,0.729,0.0,0.271,311,22.2,-0.157,0.1125,-1.4,27.3,-3.49,0.29,-30.3,311,22.2,-0.157,0.1125,-1.4,27.3,-3.49,0.29,-30.3
"F5 {""K"": 3, ""X"": 0.02}",2r,TRAIN,2937,55.4,-0.138,0.0266,-5.2,32.4,-7.66,0.3,-42.1,2937,55.4,-0.793,0.0303,-26.19,31.6,-43.95,0.02,-89.0,2937,55.4,-0.282,0.0266,-10.58,32.4,-15.6,0.15,-50.0,2937,55.4,-0.248,0.0275,-9.02,32.4,-13.76,0.19,-49.2,0.665,0.295,0.04,810,15.3,-0.186,0.0486,-3.82,34.1,-2.84,0.26,-15.0,810,15.3,-0.17,0.0494,-3.44,34.1,-2.6,0.28,-14.8
"F5 {""K"": 3, ""X"": 0.02}",2r,VAL,1217,55.3,-0.116,0.0415,-2.81,33.2,-6.44,0.32,-36.2,1217,55.3,-0.716,0.0465,-15.38,32.2,-39.59,0.0,-74.9,1217,55.3,-0.27,0.0415,-6.51,33.2,-14.94,0.23,-45.5,1217,55.3,-0.232,0.0431,-5.39,33.2,-12.84,0.23,-44.5,0.661,0.306,0.032,493,22.4,-0.233,0.0623,-3.74,31.8,-5.22,0.27,-26.5,493,22.4,-0.218,0.0634,-3.43,31.8,-4.88,0.27,-26.4
"F5 {""K"": 3, ""X"": 0.02}",2r,TEST,815,58.2,-0.064,0.0505,-1.27,35.2,-3.74,0.43,-30.0,815,58.2,-0.66,0.057,-11.58,33.9,-38.39,0.0,-73.0,815,58.2,-0.214,0.0506,-4.23,35.0,-12.47,0.07,-39.2,815,58.2,-0.177,0.0524,-3.37,35.0,-10.29,0.07,-37.9,0.636,0.306,0.059,351,25.1,-0.174,0.0755,-2.31,35.0,-4.37,0.43,-23.3,351,25.1,-0.158,0.0768,-2.06,35.0,-3.97,0.43,-23.0
"F5 {""K"": 3, ""X"": 0.04}",hold,TRAIN,2248,42.4,-0.024,0.0543,-0.44,26.9,-1.01,0.38,-35.7,2248,42.4,-0.568,0.0557,-10.21,24.6,-24.11,0.15,-63.8,2248,42.4,-0.116,0.0546,-2.12,26.6,-4.9,0.34,-40.5,2248,42.4,-0.116,0.0546,-2.12,26.6,-4.9,0.34,-40.5,0.688,0.0,0.312,1837,34.7,-0.034,0.0551,-0.62,29.9,-1.19,0.4,-28.6,1837,34.7,-0.034,0.0551,-0.62,29.9,-1.19,0.4,-28.6
"F5 {""K"": 3, ""X"": 0.04}",hold,VAL,862,39.2,0.185,0.083,2.23,34.1,7.24,0.64,-35.2,862,39.2,-0.291,0.0852,-3.41,31.7,-11.4,0.36,-65.1,862,39.2,0.092,0.0835,1.1,34.1,3.59,0.55,-40.2,862,39.2,0.092,0.0835,1.1,34.1,3.59,0.55,-40.2,0.621,0.0,0.379,789,35.9,0.082,0.1085,0.75,32.1,2.94,0.55,-32.5,789,35.9,0.082,0.1085,0.75,32.1,2.94,0.55,-32.5
"F5 {""K"": 3, ""X"": 0.04}",hold,TEST,620,44.3,0.079,0.1864,0.42,26.9,3.48,0.57,-26.2,620,44.3,-0.43,0.1881,-2.29,24.2,-19.06,0.07,-58.0,620,44.3,-0.015,0.1868,-0.08,26.3,-0.66,0.43,-32.1,620,44.3,-0.015,0.1868,-0.08,26.3,-0.66,0.43,-32.1,0.679,0.0,0.321,523,37.4,0.185,0.2152,0.86,32.1,6.92,0.5,-28.3,523,37.4,0.185,0.2152,0.86,32.1,6.92,0.5,-28.3
"F5 {""K"": 3, ""X"": 0.04}",2r,TRAIN,2789,52.6,-0.086,0.0264,-3.27,35.0,-4.55,0.34,-25.1,2789,52.6,-0.598,0.0294,-20.31,33.4,-31.46,0.02,-62.6,2789,52.6,-0.188,0.0265,-7.1,34.9,-9.88,0.21,-31.5,2789,52.6,-0.165,0.0271,-6.07,34.9,-8.66,0.25,-30.4,0.617,0.276,0.106,2183,41.2,-0.119,0.029,-4.12,36.1,-4.92,0.32,-28.3,2183,41.2,-0.106,0.0294,-3.61,36.1,-4.37,0.32,-28.2
"F5 {""K"": 3, ""X"": 0.04}",2r,VAL,1147,52.1,0.021,0.0418,0.51,39.2,1.11,0.55,-22.1,1147,52.1,-0.423,0.0459,-9.22,37.4,-22.08,0.05,-51.0,1147,52.1,-0.084,0.0418,-2.01,39.2,-4.39,0.41,-28.2,1147,52.1,-0.058,0.0429,-1.34,39.2,-3.01,0.5,-27.0,0.581,0.303,0.117,986,44.8,-0.106,0.0429,-2.46,35.6,-4.73,0.36,-36.9,986,44.8,-0.092,0.0435,-2.12,35.6,-4.13,0.5,-36.6
"F5 {""K"": 3, ""X"": 0.04}",2r,TEST,784,56.0,-0.1,0.0496,-2.01,34.3,-5.59,0.36,-27.6,784,56.0,-0.578,0.0548,-10.55,32.1,-32.39,0.0,-62.4,784,56.0,-0.205,0.0497,-4.13,33.7,-11.5,0.29,-33.3,784,56.0,-0.181,0.051,-3.55,33.7,-10.16,0.29,-32.7,0.619,0.279,0.102,683,48.8,-0.127,0.0513,-2.48,36.2,-6.22,0.29,-33.2,683,48.8,-0.114,0.0521,-2.19,36.2,-5.57,0.36,-32.9
"F5 {""K"": 3, ""X"": 0.06}",hold,TRAIN,1989,37.5,-0.03,0.0494,-0.61,29.6,-1.14,0.38,-28.6,1989,37.5,-0.492,0.0509,-9.66,26.4,-18.45,0.21,-51.6,1989,37.5,-0.105,0.0497,-2.12,29.2,-3.95,0.32,-31.6,1989,37.5,-0.105,0.0497,-2.12,29.2,-3.95,0.32,-31.6,0.619,0.0,0.381,1713,32.3,-0.043,0.0517,-0.83,33.1,-1.38,0.43,-20.8,1713,32.3,-0.043,0.0517,-0.83,33.1,-1.38,0.43,-20.8
"F5 {""K"": 3, ""X"": 0.06}",hold,VAL,791,36.0,0.207,0.08,2.58,35.9,7.43,0.64,-15.5,791,36.0,-0.209,0.0817,-2.56,33.2,-7.51,0.36,-36.8,791,36.0,0.13,0.0803,1.62,35.7,4.68,0.64,-18.9,791,36.0,0.13,0.0803,1.62,35.7,4.68,0.64,-18.9,0.571,0.0,0.429,738,33.5,0.001,0.0637,0.02,34.3,0.04,0.45,-26.5,738,33.5,0.001,0.0637,0.02,34.3,0.04,0.45,-26.5
"F5 {""K"": 3, ""X"": 0.06}",hold,TEST,553,39.5,0.135,0.2015,0.67,32.9,5.32,0.43,-12.7,553,39.5,-0.291,0.203,-1.43,28.9,-11.49,0.14,-32.2,553,39.5,0.059,0.2017,0.29,31.6,2.32,0.43,-16.4,553,39.5,0.059,0.2017,0.29,31.6,2.32,0.43,-16.4,0.588,0.0,0.412,514,36.7,-0.043,0.2117,-0.2,31.5,-1.57,0.14,-22.7,514,36.7,-0.043,0.2117,-0.2,31.5,-1.57,0.14,-22.7
"F5 {""K"": 3, ""X"": 0.06}",2r,TRAIN,2493,47.0,-0.103,0.0266,-3.88,35.4,-4.86,0.26,-21.8,2493,47.0,-0.551,0.0296,-18.64,32.9,-25.91,0.02,-47.3,2493,47.0,-0.188,0.0267,-7.04,35.2,-8.85,0.17,-26.5,2493,47.0,-0.171,0.0273,-6.26,35.2,-8.03,0.19,-25.7,0.578,0.238,0.183,2067,39.0,-0.096,0.0282,-3.39,37.6,-3.73,0.34,-24.0,2067,39.0,-0.085,0.0286,-2.99,37.6,-3.33,0.34,-23.7
"F5 {""K"": 3, ""X"": 0.06}",2r,VAL,1074,48.8,0.041,0.0421,0.96,40.3,1.98,0.5,-26.8,1074,48.8,-0.362,0.046,-7.86,38.3,-17.67,0.14,-53.9,1074,48.8,-0.049,0.0421,-1.16,40.1,-2.39,0.32,-31.5,1074,48.8,-0.025,0.0431,-0.58,40.1,-1.23,0.36,-30.9,0.544,0.282,0.174,927,42.1,-0.107,0.0427,-2.51,36.4,-4.51,0.32,-24.7,927,42.1,-0.096,0.0432,-2.22,36.4,-4.05,0.36,-24.4
"F5 {""K"": 3, ""X"": 0.06}",2r,TEST,708,50.6,-0.129,0.0486,-2.65,35.2,-6.52,0.14,-25.8,708,50.6,-0.554,0.0536,-10.33,32.1,-28.0,0.0,-50.6,708,50.6,-0.217,0.0487,-4.45,34.5,-10.96,0.0,-31.1,708,50.6,-0.198,0.0498,-3.98,34.5,-10.03,0.14,-30.3,0.578,0.227,0.195,625,44.6,-0.205,0.0487,-4.21,35.5,-9.15,0.07,-23.1,625,44.6,-0.196,0.0494,-3.97,35.5,-8.74,0.14,-22.8
"F5 {""K"": 5, ""X"": 0.02}",hold,TRAIN,2418,45.6,-0.0,0.0519,-0.01,25.5,-0.02,0.42,-33.5,2418,45.6,-0.7,0.0535,-13.1,22.7,-31.96,0.09,-75.7,2418,45.6,-0.126,0.0523,-2.41,25.3,-5.75,0.34,-41.3,2418,45.6,-0.126,0.0523,-2.41,25.3,-5.75,0.34,-41.3,0.719,0.0,0.281,1249,23.6,-0.03,0.0927,-0.32,30.3,-0.7,0.38,-21.7,1249,23.6,-0.03,0.0927,-0.32,30.3,-0.7,0.38,-21.7
"F5 {""K"": 5, ""X"": 0.02}",hold,VAL,1001,45.5,0.013,0.078,0.17,25.1,0.59,0.45,-28.4,1001,45.5,-0.637,0.0801,-7.96,23.3,-29.0,0.14,-70.6,1001,45.5,-0.12,0.0787,-1.53,24.6,-5.46,0.36,-35.1,1001,45.5,-0.12,0.0787,-1.53,24.6,-5.46,0.36,-35.1,0.724,0.0,0.276,624,28.4,-0.059,0.0808,-0.74,30.1,-1.69,0.36,-24.4,624,28.4,-0.059,0.0808,-0.74,30.1,-1.69,0.36,-24.4
"F5 {""K"": 5, ""X"": 0.02}",hold,TEST,634,45.3,-0.109,0.0799,-1.36,26.0,-4.92,0.36,-28.3,634,45.3,-0.746,0.0829,-9.0,22.9,-33.79,0.0,-62.4,634,45.3,-0.239,0.0808,-2.95,25.7,-10.81,0.29,-36.0,634,45.3,-0.239,0.0808,-2.95,25.7,-10.81,0.29,-36.0,0.7,0.0,0.3,442,31.6,-0.194,0.0868,-2.24,29.0,-6.14,0.21,-24.5,442,31.6,-0.194,0.0868,-2.24,29.0,-6.14,0.21,-24.5
"F5 {""K"": 5, ""X"": 0.02}",2r,TRAIN,2935,55.4,-0.098,0.0262,-3.72,33.8,-5.4,0.32,-33.6,2935,55.4,-0.726,0.0297,-24.43,32.2,-40.22,0.02,-74.9,2935,55.4,-0.234,0.0263,-8.91,33.7,-12.95,0.15,-42.0,2935,55.4,-0.202,0.0271,-7.44,33.7,-11.18,0.17,-41.1,0.642,0.292,0.065,1339,25.3,-0.169,0.0375,-4.51,36.0,-4.28,0.25,-17.5,1339,25.3,-0.154,0.0381,-4.04,36.0,-3.9,0.26,-17.2
"F5 {""K"": 5, ""X"": 0.02}",2r,VAL,1195,54.3,-0.09,0.041,-2.2,34.2,-4.91,0.32,-25.9,1195,54.3,-0.678,0.0462,-14.69,32.8,-36.83,0.0,-63.5,1195,54.3,-0.236,0.0411,-5.75,33.8,-12.83,0.18,-35.5,1195,54.3,-0.202,0.0426,-4.74,33.8,-10.95,0.23,-34.3,0.647,0.294,0.059,728,33.1,-0.16,0.0512,-3.12,35.2,-5.29,0.18,-25.0,728,33.1,-0.144,0.0521,-2.77,35.2,-4.78,0.18,-24.8
"F5 {""K"": 5, ""X"": 0.02}",2r,TEST,792,56.6,-0.16,0.0495,-3.23,31.8,-9.04,0.21,-30.7,792,56.6,-0.749,0.0556,-13.45,30.4,-42.35,0.0,-71.1,792,56.6,-0.301,0.0496,-6.07,31.4,-17.03,0.0,-38.3,792,56.6,-0.271,0.0513,-5.28,31.4,-15.31,0.0,-37.3,0.65,0.269,0.081,518,37.0,-0.261,0.0591,-4.41,33.2,-9.64,0.07,-18.0,518,37.0,-0.247,0.06,-4.12,33.2,-9.15,0.07,-17.7
"F5 {""K"": 5, ""X"": 0.04}",hold,TRAIN,2139,40.4,0.019,0.0501,0.37,29.8,0.75,0.51,-33.8,2139,40.4,-0.475,0.0514,-9.24,26.5,-19.18,0.11,-67.2,2139,40.4,-0.063,0.0504,-1.24,29.4,-2.52,0.42,-38.5,2139,40.4,-0.063,0.0504,-1.24,29.4,-2.52,0.42,-38.5,0.635,0.0,0.365,1897,35.8,-0.098,0.0426,-2.3,31.3,-3.5,0.36,-26.4,1897,35.8,-0.098,0.0426,-2.3,31.3,-3.5,0.36,-26.4
"F5 {""K"": 5, ""X"": 0.04}",hold,VAL,819,37.2,0.039,0.0722,0.54,33.3,1.45,0.41,-28.9,819,37.2,-0.403,0.0741,-5.43,29.4,-14.99,0.23,-50.8,819,37.2,-0.047,0.0726,-0.65,33.1,-1.75,0.41,-33.4,819,37.2,-0.047,0.0726,-0.65,33.1,-1.75,0.41,-33.4,0.603,0.0,0.397,749,34.0,-0.065,0.0596,-1.08,34.7,-2.2,0.5,-26.8,749,34.0,-0.065,0.0596,-1.08,34.7,-2.2,0.5,-26.8
"F5 {""K"": 5, ""X"": 0.04}",hold,TEST,559,39.9,-0.129,0.0652,-1.98,32.7,-5.15,0.29,-19.5,559,39.9,-0.588,0.069,-8.52,29.2,-23.47,0.07,-43.8,559,39.9,-0.21,0.0659,-3.19,32.6,-8.4,0.21,-23.0,559,39.9,-0.21,0.0659,-3.19,32.6,-8.4,0.21,-23.0,0.61,0.0,0.39,496,35.4,-0.056,0.0685,-0.82,37.5,-1.98,0.43,-19.5,496,35.4,-0.056,0.0685,-0.82,37.5,-1.98,0.43,-19.5
"F5 {""K"": 5, ""X"": 0.04}",2r,TRAIN,2688,50.7,-0.083,0.0259,-3.21,35.2,-4.22,0.32,-40.0,2688,50.7,-0.555,0.0287,-19.34,32.9,-28.16,0.0,-72.1,2688,50.7,-0.172,0.0259,-6.62,35.0,-8.71,0.21,-44.9,2688,50.7,-0.153,0.0265,-5.78,35.0,-7.77,0.23,-44.6,0.59,0.249,0.161,2321,43.8,-0.123,0.0269,-4.58,36.0,-5.38,0.23,-24.9,2321,43.8,-0.111,0.0272,-4.09,36.0,-4.88,0.25,-24.7
"F5 {""K"": 5, ""X"": 0.04}",2r,VAL,1073,48.8,0.016,0.0415,0.38,40.4,0.76,0.55,-19.6,1073,48.8,-0.404,0.0457,-8.86,37.6,-19.72,0.14,-44.6,1073,48.8,-0.078,0.0415,-1.88,40.1,-3.82,0.41,-24.3,1073,48.8,-0.056,0.0425,-1.32,40.1,-2.73,0.41,-23.6,0.544,0.267,0.189,969,44.0,-0.078,0.0424,-1.85,38.0,-3.45,0.45,-24.7,969,44.0,-0.066,0.043,-1.53,38.0,-2.9,0.45,-24.2
"F5 {""K"": 5, ""X"": 0.04}",2r,TEST,718,51.3,-0.077,0.0491,-1.56,37.6,-3.94,0.36,-20.8,718,51.3,-0.527,0.0544,-9.68,34.0,-27.02,0.0,-43.0,718,51.3,-0.168,0.0494,-3.4,37.5,-8.6,0.29,-25.1,718,51.3,-0.15,0.0504,-2.98,37.5,-7.7,0.29,-24.6,0.571,0.227,0.202,626,44.7,-0.062,0.0522,-1.18,40.9,-2.76,0.43,-15.3,626,44.7,-0.05,0.0529,-0.95,40.9,-2.24,0.43,-14.9
"F5 {""K"": 5, ""X"": 0.06}",hold,TRAIN,1879,35.5,0.0,0.05,0.01,32.3,0.01,0.42,-23.5,1879,35.5,-0.398,0.051,-7.8,29.0,-14.1,0.15,-39.8,1879,35.5,-0.063,0.0502,-1.25,31.8,-2.23,0.36,-26.0,1879,35.5,-0.063,0.0502,-1.25,31.8,-2.23,0.36,-26.0,0.564,0.0,0.436,1710,32.3,-0.057,0.0402,-1.42,34.3,-1.84,0.36,-24.2,1710,32.3,-0.057,0.0402,-1.42,34.3,-1.84,0.36,-24.2
"F5 {""K"": 5, ""X"": 0.06}",hold,VAL,751,34.1,0.135,0.092,1.47,37.7,4.61,0.5,-11.9,751,34.1,-0.231,0.0931,-2.48,33.0,-7.88,0.36,-28.7,751,34.1,0.071,0.0922,0.77,37.3,2.43,0.5,-14.2,751,34.1,0.071,0.0922,0.77,37.3,2.43,0.5,-14.2,0.53,0.0,0.47,685,31.1,0.031,0.0617,0.5,39.9,0.95,0.5,-15.1,685,31.1,0.031,0.0617,0.5,39.9,0.95,0.5,-15.1
"F5 {""K"": 5, ""X"": 0.06}",hold,TEST,487,34.8,-0.098,0.0657,-1.49,35.5,-3.41,0.5,-20.0,487,34.8,-0.453,0.0692,-6.56,31.2,-15.77,0.07,-35.4,487,34.8,-0.162,0.0663,-2.45,35.1,-5.65,0.36,-22.9,487,34.8,-0.162,0.0663,-2.45,35.1,-5.65,0.36,-22.9,0.548,0.0,0.452,437,31.2,-0.066,0.0674,-0.98,39.6,-2.06,0.36,-10.2,437,31.2,-0.066,0.0674,-0.98,39.6,-2.06,0.36,-10.2
