key,exit,split,gross_n,gross_tpw,gross_meanR,gross_se,gross_t,gross_WR,gross_wkR,gross_green,gross_worst,s4_n,s4_tpw,s4_meanR,s4_se,s4_t,s4_WR,s4_wkR,s4_green,s4_worst,corr_n,corr_tpw,corr_meanR,corr_se,corr_t,corr_WR,corr_wkR,corr_green,corr_worst,corrp_n,corrp_tpw,corrp_meanR,corrp_se,corrp_t,corrp_WR,corrp_wkR,corrp_green,corrp_worst,mix_stop,mix_target,mix_eod,gate_n,gate_tpw,gate_meanR,gate_se,gate_t,gate_WR,gate_wkR,gate_green,gate_worst,gatep_n,gatep_tpw,gatep_meanR,gatep_se,gatep_t,gatep_WR,gatep_wkR,gatep_green,gatep_worst
"F8 {""N"": 30}",hold,VAL,456,20.7,0.014,0.0334,0.43,50.7,0.3,0.5,-6.2,456,20.7,-0.106,0.034,-3.13,43.0,-2.2,0.27,-9.9,456,20.7,-0.006,0.0336,-0.19,48.7,-0.13,0.45,-6.8,456,20.7,-0.006,0.0336,-0.19,48.7,-0.13,0.45,-6.8,0.134,0.0,0.866,457,20.8,-0.008,0.0335,-0.23,48.6,-0.16,0.45,-6.8,457,20.8,-0.008,0.0335,-0.23,48.6,-0.16,0.45,-6.8
"F8 {""N"": 30}",hold,TEST,296,21.1,-0.021,0.037,-0.56,47.0,-0.44,0.36,-6.8,296,21.1,-0.144,0.0377,-3.83,38.2,-3.05,0.21,-9.7,296,21.1,-0.041,0.0372,-1.1,45.9,-0.86,0.29,-7.2,296,21.1,-0.041,0.0372,-1.1,45.9,-0.86,0.29,-7.2,0.111,0.0,0.889,296,21.1,-0.039,0.0373,-1.05,45.9,-0.83,0.29,-7.2,296,21.1,-0.039,0.0373,-1.05,45.9,-0.83,0.29,-7.2
"F8 {""N"": 30}",2r,TRAIN,1148,21.7,0.025,0.0214,1.18,49.9,0.55,0.58,-9.0,1148,21.7,-0.112,0.022,-5.07,42.0,-2.42,0.21,-12.9,1148,21.7,0.005,0.0215,0.22,49.0,0.1,0.57,-9.6,1148,21.7,0.006,0.0216,0.26,49.0,0.12,0.57,-9.6,0.15,0.036,0.814,1149,21.7,0.005,0.0215,0.25,49.0,0.12,0.57,-9.6,1149,21.7,0.006,0.0216,0.29,49.0,0.14,0.57,-9.6
"F8 {""N"": 30}",2r,VAL,463,21.0,0.015,0.0323,0.48,51.0,0.32,0.55,-6.2,463,21.0,-0.105,0.033,-3.17,43.2,-2.21,0.32,-9.9,463,21.0,-0.006,0.0324,-0.17,49.0,-0.12,0.45,-6.8,463,21.0,-0.005,0.0325,-0.15,49.0,-0.1,0.45,-6.8,0.132,0.026,0.842,464,21.1,-0.007,0.0323,-0.21,48.9,-0.14,0.45,-6.8,464,21.1,-0.006,0.0324,-0.19,48.9,-0.13,0.45,-6.8
"F8 {""N"": 30}",2r,TEST,299,21.4,-0.029,0.036,-0.81,46.5,-0.63,0.36,-6.8,299,21.4,-0.154,0.0369,-4.16,37.8,-3.28,0.21,-9.7,299,21.4,-0.049,0.0362,-1.37,45.5,-1.06,0.29,-7.2,299,21.4,-0.049,0.0362,-1.36,45.5,-1.05,0.29,-7.2,0.114,0.01,0.876,299,21.4,-0.048,0.0362,-1.32,45.5,-1.02,0.29,-7.2,299,21.4,-0.048,0.0363,-1.32,45.5,-1.02,0.29,-7.2
"F8 {""N"": 5}",hold,TRAIN,1427,26.9,-0.002,0.0339,-0.07,41.1,-0.06,0.51,-17.3,1427,26.9,-0.2,0.0347,-5.77,36.4,-5.39,0.21,-26.0,1427,26.9,-0.034,0.0341,-1.0,40.4,-0.92,0.49,-18.6,1427,26.9,-0.034,0.0341,-1.0,40.4,-0.92,0.49,-18.6,0.362,0.0,0.638,1409,26.6,-0.024,0.0332,-0.72,41.3,-0.63,0.51,-16.4,1409,26.6,-0.024,0.0332,-0.72,41.3,-0.63,0.51,-16.4
"F8 {""N"": 5}",hold,VAL,600,27.3,0.06,0.058,1.03,43.3,1.63,0.55,-10.5,600,27.3,-0.115,0.0588,-1.96,38.5,-3.14,0.32,-16.6,600,27.3,0.025,0.0582,0.44,42.5,0.69,0.5,-11.7,600,27.3,0.025,0.0582,0.44,42.5,0.69,0.5,-11.7,0.363,0.0,0.637,587,26.7,0.026,0.0577,0.46,42.9,0.71,0.55,-14.8,587,26.7,0.026,0.0577,0.46,42.9,0.71,0.55,-14.8
"F8 {""N"": 5}",hold,TEST,408,29.1,-0.115,0.0516,-2.23,41.7,-3.35,0.29,-18.8,408,29.1,-0.305,0.0541,-5.64,36.5,-8.89,0.14,-25.3,408,29.1,-0.15,0.052,-2.88,40.7,-4.37,0.29,-20.0,408,29.1,-0.15,0.052,-2.88,40.7,-4.37,0.29,-20.0,0.392,0.0,0.608,396,28.3,-0.09,0.0521,-1.72,42.2,-2.54,0.29,-11.1,396,28.3,-0.09,0.0521,-1.72,42.2,-2.54,0.29,-11.1
"F8 {""N"": 5}",2r,TRAIN,1589,30.0,-0.022,0.0259,-0.84,42.9,-0.65,0.43,-12.7,1589,30.0,-0.217,0.0272,-7.97,37.9,-6.5,0.15,-21.0,1589,30.0,-0.056,0.0259,-2.15,42.2,-1.67,0.4,-14.0,1589,30.0,-0.051,0.0261,-1.97,42.2,-1.54,0.42,-14.0,0.346,0.118,0.536,1559,29.4,-0.045,0.0257,-1.77,42.5,-1.34,0.43,-12.6,1559,29.4,-0.042,0.0259,-1.61,42.5,-1.23,0.43,-12.6
"F8 {""N"": 5}",2r,VAL,673,30.6,0.024,0.0402,0.59,44.9,0.72,0.5,-11.5,673,30.6,-0.151,0.0417,-3.61,39.7,-4.62,0.23,-18.8,673,30.6,-0.012,0.0403,-0.31,43.8,-0.38,0.5,-12.8,673,30.6,-0.008,0.0407,-0.19,43.8,-0.24,0.5,-12.7,0.331,0.122,0.547,653,29.7,-0.01,0.04,-0.26,44.3,-0.31,0.5,-13.2,653,29.7,-0.007,0.0403,-0.17,44.3,-0.2,0.5,-13.1
"F8 {""N"": 5}",2r,TEST,452,32.3,-0.06,0.0481,-1.25,42.9,-1.94,0.36,-17.7,452,32.3,-0.251,0.0508,-4.94,37.6,-8.11,0.21,-24.2,452,32.3,-0.097,0.0483,-2.01,42.0,-3.12,0.29,-18.9,452,32.3,-0.092,0.0487,-1.9,42.0,-2.98,0.29,-18.8,0.365,0.104,0.531,437,31.2,-0.059,0.0482,-1.22,43.0,-1.83,0.29,-9.4,437,31.2,-0.055,0.0486,-1.13,43.0,-1.72,0.29,-9.3
"F9 {""G"": 0.05}",hold,TRAIN,1141,21.5,-0.011,0.0429,-0.27,38.7,-0.25,0.45,-12.0,1141,21.5,-0.184,0.0434,-4.24,34.8,-3.96,0.25,-16.6,1141,21.5,-0.041,0.043,-0.95,37.8,-0.88,0.42,-12.9,1141,21.5,-0.041,0.043,-0.95,37.8,-0.88,0.42,-12.9,0.413,0.0,0.587,1126,21.2,-0.05,0.0422,-1.19,37.8,-1.06,0.38,-12.9,1126,21.2,-0.05,0.0422,-1.19,37.8,-1.06,0.38,-12.9
"F9 {""G"": 0.05}",hold,VAL,527,24.0,0.005,0.0522,0.09,44.2,0.12,0.59,-17.3,527,24.0,-0.157,0.0533,-2.94,40.8,-3.76,0.27,-22.7,527,24.0,-0.029,0.0526,-0.54,43.5,-0.68,0.55,-18.5,527,24.0,-0.029,0.0526,-0.54,43.5,-0.68,0.55,-18.5,0.385,0.0,0.615,516,23.5,-0.007,0.0532,-0.14,44.4,-0.17,0.5,-13.1,516,23.5,-0.007,0.0532,-0.14,44.4,-0.17,0.5,-13.1
"F9 {""G"": 0.05}",hold,TEST,347,24.8,-0.077,0.0671,-1.15,37.8,-1.92,0.43,-10.3,347,24.8,-0.244,0.068,-3.59,36.0,-6.05,0.29,-14.8,347,24.8,-0.109,0.0674,-1.61,37.5,-2.69,0.36,-11.1,347,24.8,-0.109,0.0674,-1.61,37.5,-2.69,0.36,-11.1,0.435,0.0,0.565,347,24.8,-0.128,0.0647,-1.98,36.9,-3.18,0.36,-12.9,347,24.8,-0.128,0.0647,-1.98,36.9,-3.18,0.36,-12.9
"F9 {""G"": 0.05}",2r,TRAIN,1191,22.5,-0.052,0.0307,-1.69,40.5,-1.17,0.36,-11.7,1191,22.5,-0.218,0.0319,-6.85,36.5,-4.9,0.19,-16.6,1191,22.5,-0.083,0.0308,-2.7,39.5,-1.87,0.32,-12.5,1191,22.5,-0.079,0.031,-2.56,39.5,-1.78,0.32,-12.5,0.397,0.127,0.476,1170,22.1,-0.088,0.0309,-2.85,39.5,-1.94,0.28,-12.5,1170,22.1,-0.085,0.0311,-2.72,39.5,-1.87,0.3,-12.5
"F9 {""G"": 0.05}",2r,VAL,559,25.4,0.02,0.0446,0.45,46.2,0.51,0.64,-14.8,559,25.4,-0.135,0.0461,-2.94,42.8,-3.44,0.27,-20.0,559,25.4,-0.015,0.0447,-0.33,45.4,-0.38,0.59,-16.0,559,25.4,-0.011,0.0451,-0.23,45.4,-0.27,0.64,-15.9,0.361,0.12,0.519,546,24.8,-0.003,0.0449,-0.07,46.0,-0.08,0.59,-10.4,546,24.8,0.001,0.0453,0.02,46.0,0.02,0.59,-10.3
"F9 {""G"": 0.05}",2r,TEST,365,26.1,-0.074,0.0563,-1.32,40.0,-1.94,0.29,-10.1,365,26.1,-0.234,0.0583,-4.02,38.4,-6.11,0.29,-15.6,365,26.1,-0.107,0.0564,-1.9,39.7,-2.8,0.29,-11.2,365,26.1,-0.103,0.0568,-1.82,39.7,-2.7,0.29,-11.1,0.408,0.126,0.466,364,26.0,-0.125,0.0559,-2.24,38.7,-3.25,0.29,-12.9,364,26.0,-0.122,0.0562,-2.16,38.7,-3.16,0.29,-12.9
