cell,split,weeks,picks,picks_per_wk,fills,green_wk_pct,flat_wk_pct,red_wk_pct,red_streak,worst_wk,green_mo_pct,worst_mo,mdd,pnl,totR,R_pick,R_pick_ex1,R_pick_ex5,wr_fills,t,top1_share,top5_share,top10_share,mde80_green_pp,label,dump
L_g1off,TRAIN,53,130,2.452830188679245,101,39.62264150943396,24.528301886792452,35.84905660377358,5,-418.3564857054276,83.33333333333334,-377.80421590659085,-606.6135074826425,5779.266912025138,44.20978167068981,0.3400752436206908,0.2574889340649111,0.10356472184048814,38.613861386138616,2.7926967898632102,15.02012834207666,54.59799517415289,97.14501491017946,26.603811457067643,G1 fingerprint OFF,asis
L_g1off,VAL,22,75,3.409090909090909,60,31.818181818181817,9.090909090909092,59.09090909090909,4,-337.6383531424998,80.0,-22.75987461179667,-675.1813295227366,5701.70096415452,38.656215369567654,0.5154162049275687,0.3575055795724973,0.027140822971333464,31.666666666666664,1.89031814847974,33.02608033132025,108.19347542289228,136.72175636268145,39.32182422339339,G1 fingerprint OFF,asis
L_rs15,TRAIN,53,108,2.0377358490566038,86,37.735849056603776,35.84905660377358,26.41509433962264,3,-418.3564857054276,83.33333333333334,-25.331767305424883,-600.9610949619787,6556.2274043133375,47.69909720974194,0.4416583074976106,0.3438481047109504,0.19152632257386418,43.02325581395349,3.0699791233415277,13.240134209595212,48.12773680871697,85.63262616077446,26.36520743137772,range-size veto 2.221 -> 1.5,asis
L_rs15,VAL,22,54,2.4545454545454546,41,31.818181818181817,22.727272727272727,45.45454545454545,3,-337.6383531424998,100.0,93.65945867812061,-554.6262835027364,6320.96149547477,43.22386193487129,0.8004418876828017,0.5853407444088387,0.26171373724724356,36.58536585365854,2.157413148842992,29.79053648754898,97.59383023857491,123.3272138474636,39.32182422339339,range-size veto 2.221 -> 1.5,asis
L_rs10,TRAIN,53,108,2.0377358490566038,86,37.735849056603776,35.84905660377358,26.41509433962264,3,-418.3564857054276,83.33333333333334,-25.331767305424883,-600.9610949619787,6556.2274043133375,47.69909720974194,0.4416583074976106,0.3438481047109504,0.19152632257386418,43.02325581395349,3.0699791233415277,13.240134209595212,48.12773680871697,85.63262616077446,26.36520743137772,range-size veto 2.221 -> 1.0,asis
L_rs10,VAL,22,54,2.4545454545454546,41,31.818181818181817,22.727272727272727,45.45454545454545,3,-337.6383531424998,100.0,93.65945867812061,-554.6262835027364,6320.96149547477,43.22386193487129,0.8004418876828017,0.5853407444088387,0.26171373724724356,36.58536585365854,2.157413148842992,29.79053648754898,97.59383023857491,123.3272138474636,39.32182422339339,range-size veto 2.221 -> 1.0,asis
L_rsoff,TRAIN,53,108,2.0377358490566038,86,37.735849056603776,35.84905660377358,26.41509433962264,3,-418.3564857054276,83.33333333333334,-25.331767305424883,-600.9610949619787,6556.2274043133375,47.69909720974194,0.4416583074976106,0.3438481047109504,0.19152632257386418,43.02325581395349,3.0699791233415277,13.240134209595212,48.12773680871697,85.63262616077446,26.36520743137772,range-size veto OFF,asis
L_rsoff,VAL,22,54,2.4545454545454546,41,31.818181818181817,22.727272727272727,45.45454545454545,3,-337.6383531424998,100.0,93.65945867812061,-554.6262835027364,6320.96149547477,43.22386193487129,0.8004418876828017,0.5853407444088387,0.26171373724724356,36.58536585365854,2.157413148842992,29.79053648754898,97.59383023857491,123.3272138474636,39.32182422339339,range-size veto OFF,asis
L_catoff,TRAIN,53,282,5.320754716981132,210,45.283018867924525,7.547169811320755,47.16981132075472,4,-895.3730616863788,58.333333333333336,-762.8428367268298,-2241.4668102920405,8307.021484515988,59.611552759432975,0.21138848496252827,0.14714256602244263,-0.01879799384037015,40.0,2.7433695024291014,10.449633590515793,47.029577741537615,80.60749351973901,27.07471193439481,catalyst veto OFF,asis
L_catoff,VAL,22,177,8.045454545454545,140,63.63636363636363,4.545454545454546,31.818181818181817,1,-363.7217806423805,100.0,219.85977514565033,-697.8461626630865,7293.4025526973965,51.10190185342363,0.2887113099063482,0.17089818647074687,-0.029175687568478485,35.714285714285715,2.2510470732932717,25.818516488945274,84.5814883624905,115.24666307598785,40.6114054292528,catalyst veto OFF,asis
