symbol,date,book_entered,book_pnl_pct,pos,book_reason,cls,rh,rl,bb_open,bb_low,cap30,cap60,ets,gap_bps,repro_pnl_pct,repro_reason,b30_entry,b30_pnl_pct,b30_reason,f1b_entry,f1b_pnl_pct,f1b_reason,f1b_ts,f1a_entry,f1a_pnl_pct,f1a_reason
BULL,2025-04-28,0,0.0,3333.33375,no_fill,i_never_broken,18.2199,17.6,,,,,,,,,,,,,,,,,,
PONY,2025-05-06,1,-3.798811207573287,3333.33375,stop,iii_fillable,10.75,10.06,10.55,10.46,10.78225,10.8145,2025-05-06 13:35:00+00:00,-186.04651162790643,-3.7988112075732863,stop,10.78225,-3.7988112075732863,stop,,,,,,,
SMCX,2025-05-13,1,17.007376242430254,3333.33375,scale_eod,iii_fillable,28.8279,27.52,28.73,28.57,28.914383699999995,29.0008674,2025-05-13 13:36:00+00:00,-33.960156653797256,17.007376242430254,scale_eod,28.914383699999995,17.007376242430254,scale_eod,,,,,,,
SMCL,2025-05-13,1,15.800503258534864,3333.33375,scale_eod,iii_fillable,10.63,10.26,10.6,10.55,10.66189,10.69378,2025-05-13 13:36:00+00:00,-28.22201317027373,15.800503258534865,scale_eod,10.66189,15.800503258534865,scale_eod,,,,,,,
OMER,2025-05-13,1,4.144615915287328,3333.33375,eod,iii_fillable,4.22,4.0,4.15,4.15,4.232659999999999,4.2453199999999995,2025-05-13 13:36:00+00:00,-165.87677725118377,4.144615915287327,eod,4.232659999999999,4.144615915287327,eod,,,,,,,
SHLS,2025-05-16,1,-2.574119775659208,3333.33375,stop,iii_fillable,4.9277,4.72,4.915,4.915,4.9424831,4.957266199999999,2025-05-16 14:13:00+00:00,-25.772672849402323,-2.5741197756592076,stop,4.9424831,-2.5741197756592076,stop,,,,,,,
EDBL,2025-05-28,1,9.84945793674834,3333.33375,scale_eod,iii_fillable,3.5099,3.365,3.4755,3.46,3.5204296999999998,3.5309594,2025-05-28 13:38:00+00:00,-98.00849027037816,9.849457936748339,scale_eod,3.5204296999999998,9.849457936748365,scale_eod,,,,,,,
ALAR,2025-06-10,1,-1.788941907333271,3333.33375,stop,iii_fillable,12.33,11.84,12.31,12.31,12.36699,12.40398,2025-06-10 13:35:00+00:00,-16.220600162205614,-1.788941907333271,stop,12.36699,-1.788941907333271,stop,,,,,,,
ZENA,2025-06-10,0,0.0,3333.33375,no_fill,i_never_broken,5.4,5.1801,,,,,,,,,,,,,,,,,,
ARAI,2025-06-12,1,-1.279256154189351,3333.33375,tag_bb,iii_fillable,9.05,8.6426,8.71,8.71,9.07715,9.1043,2025-06-12 14:20:00+00:00,-375.6906077348066,-1.279256154189351,tag_bb,9.07715,-1.279256154189351,tag_bb,,,,,,,
ZENA,2025-06-12,1,-3.826326273280999,3333.33375,stop,iii_fillable,5.1,4.85,5.025,5.02,5.1152999999999995,5.130599999999999,2025-06-12 13:41:00+00:00,-147.05882352941012,-3.8263262732809986,stop,5.1152999999999995,-3.8263262732809986,stop,,,,,,,
UMAC,2025-06-13,1,-0.990493864939834,3333.33375,tag_bb,iii_fillable,9.09,8.5,9.07,9.01,9.11727,9.14454,2025-06-13 13:35:00+00:00,-22.00220022002153,-0.9904938649398339,tag_bb,9.11727,-0.9904938649398339,tag_bb,,,,,,,
USAR,2025-06-16,0,0.0,3333.33375,no_fill,i_never_broken,14.9,14.02,,,,,,,,,,,,,,,,,,
URGN,2025-06-16,1,7.119672373015483,3333.33375,eod,iii_fillable,13.38,12.61,13.28,13.28,13.42014,13.460280000000001,2025-06-16 13:35:00+00:00,-74.73841554559102,7.119672373015483,eod,13.42014,7.119672373015483,eod,,,,,,,
RBNE,2025-06-17,1,11.233929246742546,3333.33375,scale_lock,iii_fillable,7.25,6.7,7.1713,7.13,7.271749999999999,7.2935,2025-06-17 13:38:00+00:00,-108.5517241379319,11.233929246742546,scale_lock,7.271749999999999,11.233929246742546,scale_lock,,,,,,,
XTIA,2025-06-17,1,-1.2651571911484547,3333.33375,tag_bb,iii_fillable,3.38,3.17,3.33,3.33,3.3901399999999997,3.40028,2025-06-17 13:38:00+00:00,-147.9289940828399,-1.2651571911484547,tag_bb,3.3901399999999997,-1.2651571911484418,tag_bb,,,,,,,
INDO,2025-06-17,1,-2.935961427031193,3333.33375,stop,iii_fillable,4.4451,4.15,4.3116,4.295,4.4584353,4.4717706,2025-06-17 13:35:00+00:00,-300.3307012215695,-2.9359614270311933,stop,4.4584353,-2.9359614270311933,stop,,,,,,,
GCTK,2025-06-27,0,0.0,3333.33375,no_fill,i_never_broken,6.8452,6.51,,,,,,,,,,,,,,,,,,
SY,2025-07-03,1,2.828133999078426,3333.33375,lock,iii_fillable,3.5699,3.36,3.5506,3.5506,3.5806096999999997,3.5913194,2025-07-03 13:36:00+00:00,-54.06313902350135,2.828133999078426,lock,3.5806096999999997,2.8281339990784264,lock,,,,,,,
LZMH,2025-07-08,0,0.0,3333.33375,no_fill,i_never_broken,12.3939,11.75,,,,,,,,,,,,,,,,,,
DFDV,2025-07-09,0,0.0,3333.33375,no_fill,i_never_broken,21.63,20.8012,,,,,,,,,,,,,,,,,,
ZEPP,2025-07-10,1,-0.3988035892322931,3333.33375,tag_bb,iii_fillable,6.01,5.73,6.0,6.0,6.028029999999999,6.04606,2025-07-10 14:25:00+00:00,-16.638935108153063,-0.3988035892322931,tag_bb,6.028029999999999,-0.3988035892322931,tag_bb,,,,,,,
KWM,2025-07-11,1,-3.020376505561671,3333.33375,stop,iii_fillable,4.931,4.7,4.87,4.765,4.945792999999999,4.960586,2025-07-11 13:39:00+00:00,-123.70715879131966,-3.020376505561671,stop,4.945792999999999,-3.020376505561671,stop,,,,,,,
LIMN,2025-07-24,1,2.198489147940804,3333.33375,lock,iii_fillable,7.8,7.44,7.59,7.5,7.823399999999999,7.8468,2025-07-24 14:23:00+00:00,-269.2307692307694,2.198489147940804,lock,7.823399999999999,2.198489147940804,lock,,,,,,,
NCNA,2025-08-21,1,4.7375550082026745,3333.33375,scale_lock,iii_fillable,3.36,3.2512,3.3594,3.3594,3.3700799999999993,3.38016,2025-08-21 13:53:00+00:00,-1.7857142857136132,4.7375550082026745,scale_lock,3.3700799999999993,4.737555008202675,scale_lock,,,,,,,
ASST,2025-08-26,1,-2.8547861517488324,3333.33375,stop,iii_fillable,5.25,4.92,5.195,5.195,5.26575,5.2815,2025-08-26 13:43:00+00:00,-104.76190476190416,-2.854786151748833,stop,5.26575,-2.854786151748833,stop,,,,,,,
UPXI,2025-08-28,0,0.0,3333.33375,no_fill,i_never_broken,8.99,8.63,,,,,,,,,,,,,,,,,,
CRWU,2025-09-09,1,-0.3460294782957702,3333.33375,tag_bb,iii_fillable,14.5323,13.74,14.55,14.54,14.575896899999998,14.619493799999999,2025-09-09 13:35:00+00:00,12.179765075039928,-0.34602947829577024,tag_bb,14.575896899999998,-0.34602947829577024,tag_bb,,,,,,,
CRWG,2025-09-09,1,-0.6986014447702941,3333.33375,tag_bb,iii_fillable,7.8738,7.4,7.873,7.83,7.897421399999999,7.9210428,2025-09-09 13:35:00+00:00,-1.0160278391624367,-0.6986014447702941,tag_bb,7.897421399999999,-0.6986014447702941,tag_bb,,,,,,,
CWVX,2025-09-09,1,-0.398803589232286,3333.33375,tag_bb,iii_fillable,11.92,11.2,11.93,11.84,11.955759999999998,11.99152,2025-09-09 13:35:00+00:00,8.38926174496546,-0.398803589232286,tag_bb,11.955759999999998,-0.398803589232286,tag_bb,,,,,,,
OPAD,2025-09-11,1,1.9205493305287256,3333.33375,lock,iii_fillable,4.19,4.02,4.16,4.145,4.20257,4.215140000000001,2025-09-11 13:36:00+00:00,-71.59904534606243,1.9205493305287253,lock,4.20257,1.9205493305287253,lock,,,,,,,
ZONE,2025-09-12,1,-0.8375753795881142,3333.33375,tag_bb,iii_fillable,4.54,4.41,4.52,4.5,4.55362,4.56724,2025-09-12 13:35:00+00:00,-44.0528634361248,-0.8375753795881142,tag_bb,4.55362,-0.8375753795881142,tag_bb,,,,,,,
CCUP,2025-09-15,1,-0.7927102563277789,3333.33375,tag_bb,iii_fillable,15.5,14.88,15.42,15.4194,15.546499999999998,15.593,2025-09-15 13:40:00+00:00,-51.612903225806136,-0.7927102563277789,tag_bb,15.546499999999998,-0.7927102563277789,tag_bb,,,,,,,
CRCG,2025-09-15,1,-0.934870308342954,3333.33375,tag_bb,iii_fillable,9.29,8.9,9.24,9.22,9.317869999999997,9.34574,2025-09-15 13:39:00+00:00,-53.821313240042244,-0.9348703083429541,tag_bb,9.317869999999997,-0.934870308342973,tag_bb,,,,,,,
CRCA,2025-09-15,1,-1.2091184074893808,3333.33375,tag_bb,iii_fillable,14.75,14.115,14.635,14.63,14.794249999999998,14.8385,2025-09-15 13:39:00+00:00,-77.96610169491514,-1.209118407489381,tag_bb,14.794249999999998,-1.209118407489381,tag_bb,,,,,,,
LPTH,2025-09-17,0,0.0,3333.33375,no_fill,i_never_broken,6.7999,6.51,,,,,,,,,,,,,,,,,,
CCUP,2025-09-18,1,-0.4651203457846343,3333.33375,tag_bb,iii_fillable,16.6711,16.14,16.67,16.5723,16.7211133,16.7711266,2025-09-18 13:35:00+00:00,-0.6598244866851122,-0.46512034578463435,tag_bb,16.7211133,-0.46512034578463435,tag_bb,,,,,,,
CRCG,2025-09-18,1,-0.498404785643064,3333.33375,tag_bb,iii_fillable,10.0,9.6475,10.0,9.94,10.03,10.06,2025-09-18 13:35:00+00:00,0.0,-0.498404785643064,tag_bb,10.03,-0.498404785643064,tag_bb,,,,,,,
ANGX,2025-09-22,1,-3.743619886608841,3333.33375,stop,iii_fillable,6.7,6.475,6.64,6.57,6.7200999999999995,6.740200000000001,2025-09-22 13:35:00+00:00,-89.55223880597107,-3.7436198866088413,stop,6.7200999999999995,-3.743619886608829,stop,,,,,,,
CRCA,2025-09-24,1,-3.136532809947115,3333.33375,stop,iii_fillable,15.28,14.86,15.22,15.21,15.325839999999998,15.37168,2025-09-24 13:36:00+00:00,-39.26701570680535,-3.1365328099471146,stop,15.325839999999998,-3.1365328099471146,stop,,,,,,,
CRCG,2025-09-24,1,-3.377588596439787,3333.33375,stop,iii_fillable,9.69,9.4002,9.6276,9.625,9.719069999999999,9.74814,2025-09-24 13:36:00+00:00,-64.39628482972194,-3.3775885964397867,stop,9.719069999999999,-3.3775885964397694,stop,,,,,,,
FOFO,2025-09-24,1,1.5463007671201323,3333.33375,lock,iii_fillable,16.94,16.38,16.76,16.76,16.99082,17.04164,2025-09-24 13:53:00+00:00,-106.25737898465104,1.5463007671201325,lock,16.99082,1.5463007671201325,lock,,,,,,,
ZURA,2025-09-30,1,26.04315200420629,3333.33375,scale_eod,iii_fillable,3.3599,3.13,3.3,3.27,3.3699796999999996,3.3800594,2025-09-30 13:41:00+00:00,-178.2791154498653,26.043152004206295,scale_eod,3.3699796999999996,26.04315200420631,scale_eod,,,,,,,
RZLV,2025-10-02,1,-0.1770702255889427,3333.33375,tag_bb,iii_fillable,5.57,5.37,5.55,5.55,5.58671,5.603420000000001,2025-10-02 13:36:00+00:00,-35.906642728905645,-0.17707022558894273,tag_bb,5.58671,-0.17707022558894273,tag_bb,,,,,,,
CCUP,2025-10-02,1,16.675618328901052,3333.33375,scale_eod,iii_fillable,15.9284,15.47,15.88,15.84,15.976185199999998,16.0239704,2025-10-02 13:35:00+00:00,-30.38597724818515,16.67561832890105,scale_eod,15.976185199999998,16.67561832890105,scale_eod,,,,,,,
CRCG,2025-10-02,1,16.832344129850146,3333.33375,scale_eod,iii_fillable,9.57,9.27,9.51,9.51,9.598709999999999,9.62742,2025-10-02 13:35:00+00:00,-62.695924764890606,16.832344129850146,scale_eod,9.598709999999999,16.832344129850167,scale_eod,,,,,,,
CRCA,2025-10-02,1,16.77950168405369,3333.33375,scale_eod,iii_fillable,15.1,14.66,15.05,15.0,15.145299999999999,15.1906,2025-10-02 13:35:00+00:00,-33.11258278145601,16.77950168405369,scale_eod,15.145299999999999,16.779501684053706,scale_eod,,,,,,,
BTQ,2025-10-03,1,-0.4360644684651085,3333.33375,tag_bb,iii_fillable,6.95,6.75,6.9472,6.91,6.9708499999999995,6.9917,2025-10-03 13:35:00+00:00,-4.028776978418636,-0.43606446846510855,tag_bb,6.9708499999999995,-0.4360644684650959,tag_bb,,,,,,,
ORBS,2025-10-10,0,0.0,3333.33375,no_fill,i_never_broken,11.01,10.6,,,,,,,,,,,,,,,,,,
INV,2025-10-13,0,0.0,3333.33375,no_fill,i_never_broken,4.095,3.97,,,,,,,,,,,,,,,,,,
RGTZ,2025-10-16,1,16.39281149006962,3333.33375,scale_eod,iii_fillable,9.57,9.0901,9.49,9.48,9.598709999999999,9.62742,2025-10-16 13:35:00+00:00,-83.59456635318674,16.392811490069615,scale_eod,9.598709999999999,16.39281149006962,scale_eod,,,,,,,
BTQ,2025-10-16,1,3.167647224439629,3333.33375,lock,iii_fillable,12.04,11.25,11.96,11.92,12.076119999999998,12.11224,2025-10-16 13:35:00+00:00,-66.44518272425071,3.167647224439629,lock,12.076119999999998,3.167647224439629,lock,,,,,,,
NEUP,2025-10-28,1,1.0066799601196543,3333.33375,lock,iii_fillable,4.86,4.752,4.85,4.8,4.87458,4.88916,2025-10-28 13:53:00+00:00,-20.57613168724437,1.0066799601196543,lock,4.87458,1.0066799601196543,lock,,,,,,,
VVPR,2025-11-03,0,0.0,3333.33375,no_fill,i_never_broken,3.37,3.24,,,,,,,,,,,,,,,,,,
BW,2025-11-06,1,-2.248209833059528,3333.33375,stop,iii_fillable,5.17,4.83,5.11,5.09,5.185509999999999,5.20102,2025-11-06 14:38:00+00:00,-116.05415860734935,-2.248209833059528,stop,5.185509999999999,-2.248209833059528,stop,,,,,,,
CRWU,2025-11-12,1,-4.143453911263242,3333.33375,stop,iii_fillable,10.11,9.7299,10.03,10.03,10.140329999999999,10.17066,2025-11-12 14:35:00+00:00,-79.12957467853587,-4.143453911263241,stop,10.140329999999999,-4.143453911263224,stop,,,,,,,
CRWG,2025-11-12,1,-0.947067055713583,3333.33375,tag_bb,iii_fillable,5.45,5.24,5.4,5.4,5.466349999999999,5.4827,2025-11-12 14:35:00+00:00,-91.74311926605449,-0.9470670557135827,tag_bb,5.466349999999999,-0.9470670557135827,tag_bb,,,,,,,
CWVX,2025-11-12,1,-1.236794424419038,3333.33375,tag_bb,iii_fillable,8.32,8.0,8.24,8.225,8.344959999999999,8.36992,2025-11-12 14:35:00+00:00,-96.15384615384582,-1.2367944244190376,tag_bb,8.344959999999999,-1.2367944244190376,tag_bb,,,,,,,
DGNX,2025-11-17,1,9.730846687189294,3333.33375,scale_eod,iii_fillable,12.0,11.64,12.0,11.94,12.035999999999998,12.072,2025-11-17 14:40:00+00:00,0.0,9.730846687189294,scale_eod,12.035999999999998,9.730846687189294,scale_eod,,,,,,,
NKLR,2025-11-20,1,4.514567396221375,3333.33375,scale_lock,iii_fillable,5.18,5.02,5.135,5.135,5.195539999999999,5.21108,2025-11-20 14:35:00+00:00,-86.87258687258725,4.514567396221376,scale_lock,5.195539999999999,4.514567396221376,scale_lock,,,,,,,
IRE,2025-11-20,1,-6.59409331813172,3333.33375,stop,iii_fillable,12.54,11.76,12.45,12.42,12.577619999999998,12.61524,2025-11-20 14:35:00+00:00,-71.77033492822949,-6.59409331813172,stop,12.577619999999998,-6.59409331813172,stop,,,,,,,
BMNG,2025-11-26,1,-3.684548552145751,3333.33375,stop,iii_fillable,4.55,4.3999,4.51,4.51,4.563649999999999,4.5773,2025-11-26 14:41:00+00:00,-87.9120879120876,-3.684548552145751,stop,4.563649999999999,-3.684548552145751,stop,,,,,,,
BMNU,2025-11-26,1,-4.135645013012888,3333.33375,stop,iii_fillable,6.93,6.67,6.8398,6.8301,6.950789999999999,6.971579999999999,2025-11-26 14:41:00+00:00,-130.15873015872924,-4.135645013012888,stop,6.950789999999999,-4.135645013012888,stop,,,,,,,
CRWU,2025-11-26,1,-4.858558652401009,3333.33375,stop,iii_fillable,6.7,6.4,6.66,6.6401,6.7200999999999995,6.740200000000001,2025-11-26 14:35:00+00:00,-59.70149253731294,-4.858558652401009,stop,6.7200999999999995,-4.858558652400997,stop,,,,,,,
BMNG,2025-11-28,1,1.7608764453969188,3333.33375,lock,iii_fillable,5.62,5.41,5.6014,5.6014,5.6368599999999995,5.65372,2025-11-28 14:54:00+00:00,-33.09608540925324,1.7608764453969188,lock,5.6368599999999995,1.7608764453969035,lock,,,,,,,
CCUP,2025-11-28,1,11.75796887595487,3333.33375,scale_eod,iii_fillable,4.22,4.07,4.23,4.23,4.232659999999999,4.2453199999999995,2025-11-28 14:44:00+00:00,23.696682464455776,11.75796887595487,scale_eod,4.232659999999999,11.75796887595487,scale_eod,,,,,,,
RIOX,2025-11-28,1,1.5885685930342446,3333.33375,lock,iii_fillable,19.0199,18.375,18.835,18.835,19.076959699999996,19.1340194,2025-11-28 14:36:00+00:00,-97.21397063075953,1.5885685930342446,lock,19.076959699999996,1.5885685930342446,lock,,,,,,,
BMNU,2025-12-02,1,-3.4286062527358387,3333.33375,stop,iii_fillable,6.9824,6.77,6.89,6.89,7.003347199999999,7.0242944000000005,2025-12-02 14:35:00+00:00,-132.33272227314407,-3.4286062527358387,stop,7.003347199999999,-3.4286062527358387,stop,,,,,,,
CCUP,2025-12-02,1,-2.81204843618923,3333.33375,eod,iii_fillable,4.54,4.39,4.48,4.48,4.55362,4.56724,2025-12-02 14:55:00+00:00,-132.15859030836884,-2.81204843618923,eod,4.55362,-2.81204843618923,eod,,,,,,,
CRCA,2025-12-02,1,-2.62518327370827,3333.33375,eod,iii_fillable,4.25,4.1,4.17,4.17,4.26275,4.2755,2025-12-02 14:55:00+00:00,-188.23529411764684,-2.6251832737082696,eod,4.26275,-2.6251832737082696,eod,,,,,,,
CMCT,2025-12-03,1,4.018736570666079,3333.33375,scale_lock,iii_fillable,3.99,3.88,3.945,3.92,4.00197,4.01394,2025-12-03 14:41:00+00:00,-112.78195488721887,4.018736570666079,scale_lock,4.00197,4.018736570666079,scale_lock,,,,,,,
LGHL,2025-12-05,1,-4.46415854477383,3333.33375,stop,iii_fillable,4.9,4.7,4.7062,4.66,4.9147,4.9294,2025-12-05 15:33:00+00:00,-395.51020408163384,-4.464158544773829,stop,4.9147,-4.464158544773829,stop,,,,,,,
CAPR,2025-12-05,1,-3.24048670315585,3333.33375,stop,iii_fillable,28.0,26.24,27.884,27.75,28.083999999999996,28.168,2025-12-05 14:35:00+00:00,-41.428571428571146,-3.24048670315585,stop,28.083999999999996,-3.24048670315585,stop,,,,,,,
BMNG,2025-12-08,0,0.0,3333.33375,no_fill,i_never_broken,5.97,5.76,,,,,,,,,,,,,,,,,,
BMNU,2025-12-08,0,0.0,3333.33375,no_fill,i_never_broken,9.01,8.71,,,,,,,,,,,,,,,,,,
CCUP,2025-12-16,1,8.019436970931936,3333.33375,eod,iii_fillable,4.4191,4.24,4.42,4.42,4.4323573,4.4456146,2025-12-16 14:35:00+00:00,2.0366137901373094,8.019436970931936,eod,4.4323573,8.019436970931936,eod,,,,,,,
CRCA,2025-12-16,1,8.497613954253765,3333.33375,eod,iii_fillable,4.12,3.955,4.12,4.12,4.132359999999999,4.14472,2025-12-16 14:35:00+00:00,0.0,8.497613954253765,eod,4.132359999999999,8.497613954253765,eod,,,,,,,
BMNU,2025-12-19,1,4.830259222333029,3333.33375,eod,iii_fillable,6.0,5.77,5.96,5.96,6.017999999999999,6.036,2025-12-19 14:43:00+00:00,-66.6666666666671,4.830259222333029,eod,6.017999999999999,4.830259222333029,eod,,,,,,,
FJET,2025-12-24,1,-6.168803933028486,3333.33375,stop,iii_fillable,14.5,13.66,14.5,14.3901,14.543499999999998,14.587,2025-12-24 14:35:00+00:00,0.0,-6.168803933028486,stop,14.543499999999998,-6.168803933028486,stop,,,,,,,
SUPX,2025-12-29,0,0.0,3333.33375,no_fill,i_never_broken,16.21,15.0001,,,,,,,,,,,,,,,,,,
FLYE,2025-12-30,1,-1.2789319816691112,3333.33375,tag_bb,iii_fillable,6.79,6.54,6.6882,6.65,6.810369999999999,6.8307400000000005,2025-12-30 14:40:00+00:00,-149.92636229749667,-1.2789319816691112,tag_bb,6.810369999999999,-1.2789319816691112,tag_bb,,,,,,,
AXTI,2025-12-30,1,-2.109744386472496,3333.33375,eod,iii_fillable,16.3,15.2,16.15,16.13,16.3489,16.3978,2025-12-30 14:35:00+00:00,-92.0245398773023,-2.109744386472496,eod,16.3489,-2.109744386472496,eod,,,,,,,
DFLI,2026-01-06,1,1.156437110686277,3333.33375,lock,iii_fillable,4.36,4.25,4.36,4.355,4.37308,4.38616,2026-01-06 14:36:00+00:00,0.0,1.156437110686277,lock,4.37308,1.156437110686277,lock,,,,,,,
MLTX,2026-01-09,1,-1.2773497688752042,3333.33375,tag_bb,iii_fillable,16.28,15.0,16.17,16.07,16.32884,16.37768,2026-01-09 14:38:00+00:00,-67.56756756756688,-1.2773497688752042,tag_bb,16.32884,-1.2773497688752042,tag_bb,,,,,,,
AKTS,2026-01-13,0,0.0,3333.33375,no_fill,i_never_broken,23.5,22.7001,,,,,,,,,,,,,,,,,,
NBIG,2026-01-15,1,-2.6379706601732127,3333.33375,stop,iii_fillable,9.85,9.56,9.73,9.73,9.879549999999998,9.9091,2026-01-15 14:39:00+00:00,-121.82741116751217,-2.637970660173213,stop,9.879549999999998,-2.637970660173213,stop,,,,,,,
RGTU,2026-01-22,1,-0.9874378057741569,3333.33375,tag_bb,iii_fillable,18.1221,17.51,18.12,18.015,18.176466299999998,18.2308326,2026-01-22 14:41:00+00:00,-1.1588060986300608,-0.9874378057741569,tag_bb,18.176466299999998,-0.9874378057741374,tag_bb,,,,,,,
RGTX,2026-01-22,1,-3.9657885846592102,3333.33375,stop,iii_fillable,14.52,14.0,14.36,14.33,14.563559999999997,14.60712,2026-01-22 14:39:00+00:00,-110.19283746556474,-3.9657885846592107,stop,14.563559999999997,-3.9657885846592222,stop,,,,,,,
BNAI,2026-01-23,1,37.6429103848675,3333.33375,scale_eod,iii_fillable,10.86,10.4043,10.765,10.7002,10.892579999999999,10.92516,2026-01-23 14:35:00+00:00,-87.47697974217262,37.6429103848675,scale_eod,10.892579999999999,37.64291038486752,scale_eod,,,,,,,
