symbol,date,entry_price,pnl,pnl_pct,exit_reason,win,entered,range_size_pct,range_total_volume,range_avg_bar_range_pct,range_volume_stddev_pct,bars_green_in_range,range_close_position,range_return_pct,last_bar_green,range_vwap_distance_pct,gap_pct,prev_day_range_pct,prev_day_close_position,avg_daily_volume_20d,avg_daily_range_pct_20d,price_vs_20d_high_pct,return_volatility_20d,prev_day_volume_vs_20d,spy_range_pct_5min,spy_return_5min_pct,spy_gap_pct,spy_3d_range_pct,day_of_week,days_since_month_start,_rp_position,_rp_pnl,_composite,_quintile,_q_rank,_sized_pnl,month
TDTH,2024-09-11,4.47,0.0,0.0,no_fill,0,0,6.632701421800939,42669.0,4.398946572019033,96.05684802455674,3.0,0.8928188638799592,5.213270142180111,0.0,1.68174655359351,10.18276762402088,24.020887728459535,0.0108695652173915,0.0,0.0,0.0,0.0,0.0,0.3900127574266422,-0.3790778203025406,-0.0163997157382456,1.407436592650542,2.0,11.0,3333.33375,0.0,0.21873943539655663,Q3,2,0.0,2024-09
NNE,2024-09-13,13.159359999999998,-1337.9318199999889,-2.6762699705760546,tag_bb,0,1,6.330645161290309,165418.0,3.440600677171083,46.890234263169255,4.0,0.974522292993631,5.645161290322575,1.0,2.8168110968455,5.982905982905992,21.196581196581185,0.294354838709677,1926462.65,18.273560327551117,-9.818181818181817,11.142911639063726,2.1878825421297425,0.162590005181434,0.1107934749593488,0.1108944892593329,1.6734343399953142,4.0,13.0,3333.33375,-89.19546581609774,0.2208756353486101,Q3,2,-89.19546581609774,2024-09
MGRM,2024-09-13,3.43,0.0,0.0,no_fill,0,0,2.9067055393586108,24466.0,0.5382803614253713,143.3011052182815,1.0,0.0220661985957893,-2.8425655976676425,1.0,-2.286160275900188,8.888888888888898,18.09206349206348,0.2630286015090363,321559.4,14.609969876700005,-10.909090909090908,7.991922399763382,2.4449324137313355,0.162590005181434,0.1107934749593488,0.1108944892593329,1.6734343399953142,4.0,13.0,3333.33375,0.0,0.21547149897104376,Q3,2,0.0,2024-09
CSBR,2024-09-13,4.71,0.0,0.0,no_fill,0,0,3.927813163481945,21160.0,0.4323594299959746,97.45596196229567,0.0,0.0,-3.927813163481945,0.0,-2.6712241970165085,5.605381165919283,25.112107623318387,0.3124999999999996,119389.75,7.956094075734292,-9.942638623326967,,17.763292074905927,0.162590005181434,0.1107934749593488,0.1108944892593329,1.6734343399953142,4.0,13.0,3333.33375,0.0,0.15607739696413714,Q2,3,0.0,2024-09
TNON,2024-09-16,8.685979999999999,-2618.96934934429,-5.238305287864558,stop,0,1,10.585305105853058,178867.0,3.6049713739545295,45.10409095106813,4.0,0.8117647058823529,5.853051058530519,1.0,4.11596238192491,6.357615894039729,113.75364238410596,0.0407526430999953,3285326.6,25.568800615934528,-49.13987484482279,122.80870711840616,7.544024998914872,0.1789083917826744,-0.1068109801687654,-0.0480418497891464,1.5352994545827996,0.0,16.0,3333.33375,-174.59797844769724,0.12695456461751825,Q2,3,-174.59797844769724,2024-09
KSCP,2024-09-18,5.616799999999999,-377.2243799999889,-0.7545221478421658,tag_bb,1,1,4.999999999999989,17862.0,1.0098422098092543,131.2741039140883,2.0,0.07142857142857,-4.64285714285714,1.0,-3.657998838701231,7.279693486590038,58.23563218390804,0.0460541465179774,2066445.05,14.88060533778567,-57.67195767195767,831.6339051259175,0.2991103005618272,0.2181856884379154,-0.1720651364104068,0.1189905340366133,0.7449082075929352,2.0,18.0,3333.33375,-25.148295143535762,0.25404822995011395,Q3,2,-25.148295143535762,2024-09
NCNA,2024-09-18,4.08,0.0,0.0,no_fill,0,0,5.141388174807203,58127.0,2.6675811373932303,78.81881794611621,2.0,0.3500000000000011,1.5424164524421609,1.0,-0.9766753287282082,5.135135135135133,64.32162162162163,0.0713895541829489,3653214.3,19.92430945941781,-58.87949260042284,38.39297428107911,0.8597166062773816,0.2181856884379154,-0.1720651364104068,0.1189905340366133,0.7449082075929352,2.0,18.0,3333.33375,0.0,0.2055587920407591,Q3,2,0.0,2024-09
YANG,2024-09-25,5.45,0.0,0.0,no_fill,0,0,2.394106813996314,1292599.0,0.8285357081555361,30.9256949083538,1.0,0.230769230769226,-1.4732965009208117,1.0,-0.5742990502438723,8.817635270541071,18.635270541082164,0.0860307559952684,8167075.45,3.7837072771930567,-42.25370086778969,7.499097039095245,6.696121069874529,0.1222292257590002,0.0717862520572833,-0.0280063014178134,0.5928647364724757,2.0,25.0,3333.33375,0.0,0.31508279491541896,Q4,0,0.0,2024-09
LASE,2024-09-27,14.28272,-2786.7699999999995,-5.574708458892983,stop,0,1,5.319913731128686,130473.0,3.104276106348599,38.97551410149028,3.0,0.5810810810810805,0.143781452192664,1.0,0.6076845545476971,9.527559055118118,21.65984251968504,0.2253526246909988,2459915.15,29.452910011684477,-29.74747474747475,25.601283388272,0.7782638356449002,0.0872006836533598,0.0,0.1904595491874946,0.673795567029783,4.0,27.0,3333.33375,-185.78468988974996,0.1624825890519908,Q2,3,-185.78468988974996,2024-09
DJTWW,2024-09-30,10.27072,-628.8078356000027,-1.25766937468844,tag_bb,0,1,4.254254254254261,15592.0,1.456047553272421,41.92706177503917,2.0,0.7647058823529425,1.501501501501505,0.0,1.1078501035225534,5.157894736842108,13.052631578947372,0.6129032258064513,613916.7,13.208640232598176,-28.591851322373124,8.934927477898132,6.115243322098911,0.1437712562673161,0.1209635005785306,-0.1837366790907778,0.6760634695885895,0.0,30.0,3333.33375,-41.920527613398804,0.26092417227354686,Q3,2,-41.920527613398804,2024-09
BKSY,2024-10-04,5.46,0.0,0.0,no_fill,0,0,4.331450094161951,102308.0,1.7062209656174478,121.6192099861592,3.0,0.5652173913043484,0.9416195856873958,0.0,0.3676079287683696,6.412825651302592,19.63927855711424,0.0714285714285716,1101517.6,11.85866124819526,-29.668874172185436,180.9156104078837,3.048900898179021,0.1723071547130147,-0.0463003407006178,0.7977880314184024,0.9970819697201592,4.0,4.0,3333.33375,0.0,0.3942121442696313,Q4,0,0.0,2024-10
