day,symbol,split,leg,leg_m,price,rpct,sp_mean,sp_med,n_q,err
2025-01-07,EGAN,TRAIN,entry,840,7.29,0.02,0.09055555555555544,0.08999999999999986,18,
2025-01-07,EGAN,TRAIN,exit,956,7.29,0.02,0.009999999999999787,0.009999999999999787,2,
2025-11-07,XPEL,TRAIN,entry,901,37.945,0.0200000000000001,0.10500000000000043,0.10000000000000142,6,
2025-11-07,XPEL,TRAIN,exit,955,37.945,0.0200000000000001,0.06749999999999841,0.05499999999999616,72,
2025-12-12,QUIK,TRAIN,entry,600,6.73,0.0199999999999999,0.08444444444444425,0.08999999999999986,27,
2025-12-12,QUIK,TRAIN,exit,955,6.73,0.0199999999999999,0.01599999999999966,0.019999999999999574,15,
2025-12-03,M,TRAIN,entry,780,22.965,0.0199999999999999,0.009999999999999131,0.00999999999999801,276,
2025-12-03,M,TRAIN,exit,955,22.965,0.0199999999999999,0.010053003533569001,0.010000000000001563,1132,
2025-08-29,LAW,TRAIN,entry,784,5.65,0.02,0.0348484848484847,0.03000000000000025,33,
2025-08-29,LAW,TRAIN,exit,955,5.65,0.02,0.030270270270270513,0.03000000000000025,37,
2025-11-11,SD,TRAIN,entry,602,13.32,0.02,0.04727272727272691,0.03999999999999915,11,
2025-11-11,SD,TRAIN,exit,955,13.32,0.02,0.010999999999999765,0.009999999999999787,30,
2025-05-29,DXF,TRAIN,entry,720,6.4,0.02,0.0974074074074074,0.11000000000000032,27,
2025-05-29,DXF,TRAIN,exit,723,6.4,0.02,0.16000000000000014,0.16000000000000014,3,
2025-07-17,KRRO,TRAIN,entry,721,14.0,0.02,0.2283333333333326,0.23999999999999932,6,
2025-07-17,KRRO,TRAIN,exit,955,14.0,0.02,0.15370370370370431,0.13000000000000078,27,
2025-10-28,BKU,TRAIN,entry,660,40.35,0.02,0.09459459459459382,0.10000000000000142,37,
2025-10-28,BKU,TRAIN,exit,955,40.35,0.02,0.022124999999998913,0.01999999999999602,240,
2025-12-22,SII,TRAIN,entry,600,101.85,0.02,0.3347761194029888,0.3200000000000074,469,
2025-12-22,SII,TRAIN,exit,955,101.85,0.02,0.22153846153846382,0.21000000000000796,65,
2025-12-09,LION,TRAIN,entry,780,7.795,0.0199999999999999,0.01509090909090877,0.019999999999999574,55,
2025-12-09,LION,TRAIN,exit,812,7.795,0.0199999999999999,0.01383259911894277,0.010000000000000675,227,
2025-08-11,NXST,TRAIN,entry,600,198.4,0.02,0.9872527472527454,0.9900000000000091,91,
2025-08-11,NXST,TRAIN,exit,955,198.4,0.02,0.27384615384615874,0.28000000000000114,78,
2025-11-19,PHVS,TRAIN,entry,600,25.0,0.02,,,0,
2025-11-19,PHVS,TRAIN,exit,955,25.0,0.02,0.04521739130434717,0.03999999999999915,23,
2025-11-25,DKS,TRAIN,entry,720,211.24,0.02,0.6988888888888857,0.5600000000000023,36,
2025-11-25,DKS,TRAIN,exit,815,211.24,0.02,0.5099999999999987,0.5300000000000011,22,
2025-03-17,TROX,TRAIN,entry,840,7.375,0.0199999999999999,0.01085106382978731,0.009999999999999787,188,
2025-03-17,TROX,TRAIN,exit,955,7.375,0.0199999999999999,0.009999999999999787,0.009999999999999787,204,
2025-02-13,ARM,TRAIN,entry,840,165.04,0.02,0.17952299829642157,0.18000000000000682,587,
2025-02-13,ARM,TRAIN,exit,955,165.04,0.02,0.13414634146341423,0.12999999999999545,410,
2025-09-10,BMA,TRAIN,entry,600,47.49,0.02,0.24159090909090786,0.21999999999999886,44,
2025-09-10,BMA,TRAIN,exit,955,47.49,0.02,0.06966666666666599,0.07000000000000028,90,
2025-01-31,DNTH,TRAIN,entry,664,22.89,0.0199999999999999,0.2699999999999996,0.2699999999999996,4,
2025-01-31,DNTH,TRAIN,exit,956,22.89,0.0199999999999999,0.12937500000000007,0.14000000000000057,64,
2025-04-09,QSR,TRAIN,entry,840,62.27,0.02,0.14916666666666617,0.14999999999999858,168,
2025-04-09,QSR,TRAIN,exit,955,62.27,0.02,0.025923984272608582,0.030000000000001137,763,
2025-11-28,FENC,TRAIN,entry,780,8.19,0.02,0.6048101265822785,0.5899999999999999,79,
2025-11-28,FENC,TRAIN,exit,780,8.19,0.02,0.6048101265822785,0.5899999999999999,79,
2025-04-09,CHI,TRAIN,entry,841,9.52,0.02,0.05249999999999888,0.049999999999998934,8,
2025-04-09,CHI,TRAIN,exit,956,9.52,0.02,0.129999999999999,0.129999999999999,6,
2025-10-28,MSCI,TRAIN,entry,721,582.27,0.0199999999999999,2.527105263157828,2.8799999999999955,38,
2025-10-28,MSCI,TRAIN,exit,955,582.27,0.0199999999999999,0.6153543307086728,0.75,127,
2025-04-07,VCEL,TRAIN,entry,661,41.595,0.0199999999999999,0.5248275862068957,0.5,29,
2025-04-07,VCEL,TRAIN,exit,955,41.595,0.0199999999999999,0.14645348837209277,0.11999999999999744,172,
2025-07-18,PGY,TRAIN,entry,600,31.56,0.0200000000000001,0.05656398104265423,0.05000000000000071,422,
2025-07-18,PGY,TRAIN,exit,955,31.56,0.0200000000000001,0.03233796296296268,0.029999999999997584,432,
2025-10-02,WKEY,TRAIN,entry,900,7.028,0.0199999999999999,0.1053571428571428,0.08999999999999986,28,
2025-10-02,WKEY,TRAIN,exit,955,7.028,0.0199999999999999,0.07555555555555538,0.08000000000000007,36,
2025-09-11,DOW,TRAIN,entry,600,24.675,0.02,0.010050448430493509,0.010000000000001563,1784,
2025-09-11,DOW,TRAIN,exit,955,24.675,0.02,0.010021171489061243,0.010000000000001563,1417,
2025-10-09,WEAV,TRAIN,entry,720,7.29,0.02,0.017154471544715486,0.019999999999999574,123,
2025-10-09,WEAV,TRAIN,exit,955,7.29,0.02,0.010189873417721566,0.009999999999999787,158,
