day,symbol,hour,entry_m,entry,ref,sess_open,hour_high,price,gate5,f_mir2,f_up2,f_abs,f_rand,filled_cap,uptick,low_to_entry,sess_low,stop_a,rpct_a,rr_a_bare,why_a_bare,exitm_a_bare,rr_a_tgt,why_a_tgt,exitm_a_tgt,stop_b,rpct_b,rr_b_bare,why_b_bare,exitm_b_bare,rr_b_tgt,why_b_tgt,exitm_b_tgt
2025-01-29,LX,14,900,7.875,7.87,7.84,7.878,7.875,False,False,False,True,False,True,True,7.67,7.67,8.0325,0.02000000000000008,0.15873015873016033,eod,955,0.15873015873016033,eod,955,7.95375,0.01000000000000004,0.31746031746032066,eod,955,0.31746031746032066,eod,955
2025-01-29,MCY,10,660,48.44,48.62,49.65,50.58,48.44,False,True,False,False,False,True,False,47.31,47.31,49.4088,0.020000000000000035,-1.0509999999999946,stop,672,-1.0509999999999946,stop,672,50.58,0.04417836498761356,-0.5560747663551423,eod,955,-0.5560747663551423,eod,955
2025-01-29,NAIL,14,900,92.84,93.07,97.42,95.4,92.84,False,True,False,False,False,True,False,91.3701,91.17,94.69680000000001,0.020000000000000073,0.26389487289961616,eod,955,0.26389487289961616,eod,955,95.4,0.027574321413183996,0.1914062500000034,eod,955,0.1914062500000034,eod,955
2025-01-29,RKT,14,900,12.35,12.34,13.0,12.74,12.35,False,True,False,False,False,True,True,12.27,12.27,12.597,0.01999999999999999,-1.0509999999999908,stop,927,-1.0509999999999908,stop,927,12.74,0.0315789473684211,-0.294871794871795,eod,955,-0.294871794871795,eod,955
2025-01-29,STVN,9,600,20.61,20.56,20.7,21.26,20.61,False,False,False,True,False,True,True,20.24,20.24,21.0222,0.020000000000000104,-1.1185104318292038,stop,804,-1.1185104318292038,stop,804,21.26,0.031538088306647366,-1.0327076923076892,stop,860,-1.0327076923076892,stop,860
2025-01-29,SYNA,12,781,87.805,87.84,82.5,88.09,87.805,True,True,True,False,False,True,False,82.26,82.26,89.56110000000001,0.02000000000000004,-1.0509999999999904,stop,881,-1.0509999999999904,stop,881,88.68305000000001,0.01000000000000002,-1.1009999999999838,stop,835,-1.1009999999999838,stop,835
2025-01-29,SYNA,13,840,88.5,88.57,82.5,88.88,88.5,True,False,False,True,False,True,False,82.26,82.26,90.27,0.019999999999999955,0.604519774011297,eod,955,0.604519774011297,eod,955,89.385,0.010000000000000057,-1.1009999999999915,stop,880,-1.1009999999999915,stop,880
2025-01-29,TIGR,11,720,7.02,7.02,7.34,7.235,7.02,False,False,False,True,False,True,False,6.96,6.79,7.1604,0.020000000000000077,1.3888888888888793,eod,955,1.3888888888888793,eod,955,7.235,0.030626780626780734,0.9069767441860406,eod,955,0.9069767441860406,eod,955
2025-01-29,TUYA,10,660,2.495,2.495,2.4,2.525,2.495,True,True,True,False,False,True,False,2.4,2.4,2.5449,0.02000000000000002,1.402805611222449,eod,955,1.402805611222449,eod,955,2.525,0.012024048096192307,-1.0841666666666634,stop,683,-1.0841666666666634,stop,683
2025-01-29,TUYA,11,720,2.495,2.495,2.4,2.53,2.495,True,False,False,True,False,True,False,2.4,2.4,2.5449,0.02000000000000002,1.402805611222449,eod,955,1.402805611222449,eod,955,2.53,0.014028056112224328,2.0000000000000253,eod,955,2.0,target,954
2025-01-29,XRX,14,900,8.44,8.445,9.1,8.5399,8.44,False,False,False,True,False,True,False,8.4,8.4,8.6088,0.020000000000000115,-1.0509999999999955,stop,939,-1.0509999999999955,stop,939,8.5399,0.011836492890995247,-1.0854844844844729,stop,926,-1.0854844844844729,stop,926
2025-01-29,BOOM,11,720,8.52,8.51,8.42,8.57,8.52,True,False,False,False,True,True,True,8.42,8.19,8.6904,0.02000000000000009,1.144366197183095,eod,955,1.144366197183095,eod,955,8.6052,0.010000000000000045,2.28873239436619,eod,955,2.0,target,764
2025-01-29,DH,14,900,4.925,4.925,5.0,4.99,4.925,False,False,False,False,True,True,False,4.7,4.7,5.0235,0.020000000000000098,-0.05076142131979563,eod,955,-0.05076142131979563,eod,955,4.99,0.013197969543147288,-1.076769230769221,stop,930,-1.076769230769221,stop,930
2025-01-29,IE,13,840,6.32,6.32,6.17,6.32,6.32,False,False,False,False,True,True,False,6.11,6.01,6.446400000000001,0.020000000000000046,2.254746835443034,eod,955,2.0,target,919,6.3832,0.010000000000000023,4.509493670886068,eod,955,2.0,target,860
