bar_date,n
2022-04-12,1661
2022-04-13,1670
2022-04-14,1674
2022-04-18,1654
2022-04-19,1651
2022-04-20,1642
2022-04-21,1631
2022-04-22,1621
2022-04-25,1629
2022-04-26,1662
2022-04-27,1672
2022-04-28,1664
2022-04-29,1671
2022-05-02,519
2022-05-03,1668
2022-05-04,1723
2022-05-05,1756
2022-05-06,1794
2022-05-09,1822
2022-05-10,1863
2022-05-11,1902
2022-05-12,1929
2022-05-13,1960
2022-05-16,1995
2022-05-17,1986
2022-05-18,1991
2022-05-19,1992
2022-05-20,1994
2022-05-23,1997
2022-05-24,1985
2022-05-25,1957
2022-05-26,1929
2022-05-27,1909
2022-05-31,1866
2022-06-01,1873
2022-06-02,1820
2022-06-03,1786
2022-06-06,1754
2022-06-07,1743
2022-06-08,1731
2022-06-09,1699
2022-06-10,1676
2022-06-13,1660
2022-06-14,1708
2022-06-15,1710
2022-06-16,1748
2022-06-17,1780
2022-06-21,1861
2022-06-22,1840
2022-06-23,1827
2022-06-24,1842
2022-06-27,1950
2022-06-28,1946
2022-06-29,1949
2022-06-30,1948
2022-07-01,1961
2022-07-05,1948
2022-07-06,1931
2022-07-07,1918
2022-07-08,1906
2022-07-11,1859
2022-07-12,1755
2022-07-13,1733
2022-07-14,1720
2022-07-15,1695
2022-07-18,1591
2022-07-19,1584
2022-07-20,1569
2022-07-21,1564
2022-07-22,1522
2022-07-25,1518
2022-07-26,1466
2022-07-27,1448
2022-07-28,1448
2022-07-29,1481
2022-08-01,1500
2022-08-02,1507
2022-08-03,1517
2022-08-04,1533
2022-08-05,1535
2022-08-08,1548
2022-08-09,1552
2022-08-10,1559
2022-08-11,1600
2022-08-12,1618
2022-08-15,1631
2022-08-16,1618
2022-08-17,1615
2022-08-18,1593
2022-08-19,1565
2022-08-22,1547
2022-08-23,1532
2022-08-24,1511
2022-08-25,1476
2022-08-26,1451
2022-08-29,1465
2022-08-30,1447
2022-08-31,1424
2022-09-01,1415
2022-09-02,1435
2022-09-06,1438
2022-09-07,1454
2022-09-08,1460
2022-09-09,1485
2022-09-12,1476
2022-09-13,1489
2022-09-14,1523
2022-09-15,1549
2022-09-16,1585
2022-09-19,1645
2022-09-20,1671
2022-09-21,1672
2022-09-22,1664
2022-09-23,1656
2022-09-26,1682
2022-09-27,1691
2022-09-28,1708
2022-09-29,1726
2022-09-30,1736
2022-10-03,162
2022-10-04,1757
2022-10-05,1773
2022-10-06,1775
2022-10-07,1755
2022-10-10,1704
2022-10-11,1697
2022-10-12,1711
2022-10-13,1696
2022-10-14,1731
2022-10-17,1706
2022-10-18,1699
2022-10-19,1692
2022-10-20,1672
2022-10-21,1665
2022-10-24,1659
2022-10-25,1611
2022-10-26,1618
2022-10-27,1634
2022-10-28,1639
2022-10-31,1653
2022-11-01,1651
2022-11-02,1656
2022-11-03,1641
2022-11-04,1648
2022-11-07,1664
2022-11-08,1670
2022-11-09,1674
2022-11-10,1678
2022-11-11,1739
2022-11-14,1771
2022-11-15,1780
2022-11-16,1787
2022-11-17,1778
2022-11-18,1769
2022-11-21,1760
2022-11-22,1742
2022-11-23,1686
2022-11-25,1649
2022-11-28,1572
2022-11-29,1556
2022-11-30,1528
2022-12-01,1550
2022-12-02,1495
2022-12-05,1428
2022-12-06,1418
2022-12-07,1402
2022-12-08,1382
2022-12-09,1382
2022-12-12,1370
2022-12-13,1383
2022-12-14,1428
2022-12-15,1456
2022-12-16,1526
2022-12-19,1621
2022-12-20,1638
2022-12-21,1588
2022-12-22,1588
2022-12-23,1585
2022-12-27,1552
2022-12-28,1514
2022-12-29,1500
2022-12-30,1507
2023-01-03,1500
2023-01-04,1523
2023-01-05,1499
2023-01-06,1474
2023-01-09,1467
2023-01-10,1387
2023-01-11,1377
2023-01-12,1384
2023-01-13,1381
2023-01-17,1374
2023-01-18,1397
2023-01-19,1426
2023-01-20,1434
2023-01-23,1440
2023-01-24,1457
2023-01-25,1432
2023-01-26,1422
2023-01-27,1425
2023-01-30,1427
2023-01-31,1412
2023-02-01,1427
2023-02-02,1448
2023-02-03,1475
2023-02-06,1495
2023-02-07,1505
2023-02-08,1513
2023-02-09,1527
2023-02-10,1525
2023-02-13,1528
2023-02-14,1533
2023-02-15,1538
2023-02-16,1540
2023-02-17,1555
2023-02-21,1555
2023-02-22,1566
2023-02-23,1537
2023-02-24,1503
2023-02-27,1498
2023-02-28,1499
2023-03-01,1505
2023-03-02,1512
2023-03-03,1500
2023-03-06,1507
2023-03-07,1520
2023-03-08,1537
2023-03-09,1534
2023-03-10,1550
2023-03-13,1590
2023-03-14,1630
2023-03-15,1655
2023-03-16,1718
2023-03-17,1756
2023-03-20,1832
2023-03-21,1831
2023-03-22,1818
2023-03-23,1833
2023-03-24,1851
2023-03-27,1850
2023-03-28,1839
2023-03-29,1838
2023-03-30,1806
2023-03-31,1759
2023-04-03,36
2023-04-04,1298
2023-04-05,1676
2023-04-06,1637
2023-04-10,1560
2023-04-11,1447
2023-04-12,1406
2023-04-13,1393
2023-04-14,1380
2023-04-17,1349
2023-04-18,1330
2023-04-19,1321
2023-04-20,1319
2023-04-21,1304
2023-04-24,1322
2023-04-25,1297
2023-04-26,1290
2023-04-27,1284
2023-04-28,1302
2023-05-01,1325
2023-05-02,1335
2023-05-03,1361
2023-05-04,1401
2023-05-05,1433
2023-05-08,1472
2023-05-09,1486
2023-05-10,1515
2023-05-11,1534
2023-05-12,1561
2023-05-15,1570
2023-05-16,1565
2023-05-17,1557
2023-05-18,1566
2023-05-19,1552
2023-05-22,1544
2023-05-23,1508
2023-05-24,1493
2023-05-25,1457
2023-05-26,1437
2023-05-30,1436
2023-05-31,1430
2023-06-01,1453
2023-06-02,1458
2023-06-05,1471
2023-06-06,1481
2023-06-07,1494
2023-06-08,1501
2023-06-09,1510
2023-06-12,1509
2023-06-13,1501
