symbol,tradable,shortable,easy_to_borrow,exchange
FIGR,True,True,True,AssetExchange.NASDAQ
FIRY,True,True,True,AssetExchange.NYSE
FIS,True,True,True,AssetExchange.NYSE
BNH,True,False,False,AssetExchange.NYSE
FITB,True,True,True,AssetExchange.NYSE
FIVE,True,True,True,AssetExchange.NASDAQ
FIZZ,True,True,True,AssetExchange.NASDAQ
WTV,True,False,False,AssetExchange.ARCA
FJAN,True,True,True,AssetExchange.BATS
BNGO,True,False,False,AssetExchange.NASDAQ
FLBR,True,True,True,AssetExchange.ARCA
FLDR,True,True,True,AssetExchange.BATS
BNGE,True,False,False,AssetExchange.ARCA
KIGRY,True,False,False,AssetExchange.OTC
FLG,True,True,True,AssetExchange.NYSE
FLGT,True,True,True,AssetExchange.NASDAQ
BNDS,True,False,False,AssetExchange.ARCA
BMSI,True,False,False,AssetExchange.BATS
FLHY,True,True,True,AssetExchange.BATS
FLJP,True,True,True,AssetExchange.ARCA
FLKR,True,True,True,AssetExchange.ARCA
FLL,True,True,True,AssetExchange.NASDAQ
BMOP,True,False,False,AssetExchange.NASDAQ
FLNC,True,True,True,AssetExchange.NASDAQ
FLNG,True,True,True,AssetExchange.NYSE
FLNT,True,True,True,AssetExchange.NASDAQ
FLOC,True,True,True,AssetExchange.NYSE
AUNA,True,True,True,AssetExchange.NYSE
BMNZ,True,False,False,AssetExchange.ARCA
FLOT,True,True,True,AssetExchange.BATS
FLRN,True,True,True,AssetExchange.ARCA
FLTR,True,True,True,AssetExchange.ARCA
FLUT,True,True,True,AssetExchange.NYSE
FLWS,True,True,True,AssetExchange.NASDAQ
FLY,True,True,True,AssetExchange.NASDAQ
BMNU,True,False,False,AssetExchange.BATS
BML.PRG,True,False,False,AssetExchange.NYSE
BMHL,True,False,False,AssetExchange.NASDAQ
BMGL,True,False,False,AssetExchange.NASDAQ
BMAY,True,False,False,AssetExchange.BATS
FLYW,True,True,True,AssetExchange.NASDAQ
BLZRW,True,False,False,AssetExchange.NASDAQ
FMAO,True,True,True,AssetExchange.NASDAQ
FMBH,True,True,True,AssetExchange.NASDAQ
FNRN,True,True,True,AssetExchange.NASDAQ
BLUWU,True,False,False,AssetExchange.NASDAQ
FNV,True,True,True,AssetExchange.NYSE
FNWB,True,True,True,AssetExchange.NASDAQ
BLSM,True,False,False,AssetExchange.NASDAQ
BLSG,True,False,False,AssetExchange.NASDAQ
FNWD,True,True,True,AssetExchange.NASDAQ
FOA,True,True,True,AssetExchange.NYSE
FOX,True,True,True,AssetExchange.NASDAQ
FOXF,True,True,True,AssetExchange.NASDAQ
BLRX,True,False,False,AssetExchange.NASDAQ
WLDSW,True,False,False,AssetExchange.NASDAQ
BLOX,True,False,False,AssetExchange.ARCA
FPH,True,True,True,AssetExchange.NYSE
BLIN,True,False,False,AssetExchange.NASDAQ
BLGR,True,False,False,AssetExchange.ARCA
FR,True,True,True,AssetExchange.NYSE
FRA,True,True,True,AssetExchange.NYSE
FRD,True,True,True,AssetExchange.NASDAQ
CMTV,True,False,False,AssetExchange.NASDAQ
FRME,True,True,True,AssetExchange.NASDAQ
BLDG,True,False,False,AssetExchange.BATS
FRVO,True,True,True,AssetExchange.NASDAQ
