symbol,day,ts,n_quotes,q_ts,nbb,nbo,spread,err
AMIX,2026-08-06,2026-08-06T19:55:00+00:00,18,2026-08-06T19:54:47.031462+00:00,11.8,11.94,0.1399999999999988,
ANL,2026-01-30,2026-01-30T20:55:00+00:00,62,2026-01-30T20:54:58.039256+00:00,10.86,11.0,0.1400000000000005,
ANPA,2025-07-18,2025-07-18T19:55:00+00:00,28,2025-07-18T19:54:42.465412+00:00,7.61,7.76,0.1499999999999994,
ANPA,2025-07-24,2025-07-24T19:55:00+00:00,4,2025-07-24T19:54:59.551748+00:00,24.0,24.67,0.6700000000000017,
ANPA,2026-01-22,2026-01-22T20:55:00+00:00,1,2026-01-22T20:54:35.324309+00:00,56.0,58.23,2.229999999999997,
ANPA,2026-02-17,2026-02-17T20:53:00+00:00,33,2026-02-17T20:52:55.194807+00:00,18.5,19.0,0.5,
ANPA,2026-02-24,2026-02-24T20:55:00+00:00,14,2026-02-24T20:54:50.041409+00:00,12.7,12.85,0.1500000000000003,
APP,2025-02-26,2025-02-26T20:55:00+00:00,593,2025-02-26T20:54:59.963706+00:00,335.21,335.43,0.2200000000000272,
AQMS,2025-10-13,2025-10-13T19:55:00+00:00,12,2025-10-13T19:54:51.588119+00:00,9.75,9.88,0.1300000000000007,
AQMS,2025-10-14,2025-10-14T19:55:00+00:00,62,2025-10-14T19:54:58.799797+00:00,30.69,30.96,0.2699999999999996,
ARAI,2025-05-28,2025-05-28T19:55:00+00:00,5,2025-05-28T19:54:59.498247+00:00,6.25,6.33,0.08,
ARAI,2025-06-10,2025-06-10T19:55:00+00:00,92,2025-06-10T19:54:59.609714+00:00,9.92,10.02,0.0999999999999996,
AREB,2025-04-03,2025-04-03T19:55:00+00:00,2,2025-04-03T19:54:39.237709+00:00,3.91,3.96,0.0499999999999998,
AREB,2025-04-07,2025-04-07T19:55:00+00:00,6,2025-04-07T19:54:57.673942+00:00,11.0,11.2,0.1999999999999993,
AREB,2025-04-09,2025-04-09T19:55:00+00:00,30,2025-04-09T19:54:59.177103+00:00,6.3,6.55,0.25,
AREB,2025-04-10,2025-04-10T19:55:00+00:00,42,2025-04-10T19:54:56.701765+00:00,7.42,7.5,0.08,
AREB,2025-04-21,2025-04-21T19:55:00+00:00,42,2025-04-21T19:54:59.578794+00:00,2.39,2.41,0.02,
AREB,2025-10-08,2025-10-08T19:55:00+00:00,65,2025-10-08T19:54:59.098113+00:00,7.21,7.22,0.0099999999999997,
ASBP,2026-06-12,2026-06-12T19:55:00+00:00,1,2026-06-12T19:54:48.761025+00:00,5.76,5.79,0.0300000000000002,
ASPC,2025-12-23,2025-12-23T20:00:00+00:00,1,2025-12-23T19:59:33.696955+00:00,14.7,15.19,0.4900000000000002,
ASPC,2025-12-24,2025-12-24T19:54:00+00:00,10,2025-12-24T19:53:59.859550+00:00,13.25,14.1,0.8499999999999996,
ASPC,2025-12-26,2025-12-26T20:00:00+00:00,86,2025-12-26T19:59:59.405574+00:00,25.99,26.87,0.8800000000000026,
ASPC,2026-01-02,2026-01-02T19:32:00+00:00,7,2026-01-02T19:31:58.584763+00:00,22.55,23.0,0.4499999999999993,
ASPC,2026-01-27,2026-01-27T19:58:00+00:00,3,2026-01-27T19:57:53.955747+00:00,16.9,17.5,0.6000000000000014,
ASST,2025-05-21,2025-05-21T19:55:00+00:00,26,2025-05-21T19:54:50.197707+00:00,8.09,8.15,0.0600000000000005,
ASST,2025-09-10,2025-09-10T19:55:00+00:00,132,2025-09-10T19:54:57.113376+00:00,8.34,8.39,0.0500000000000007,
ASTC,2026-04-01,2026-04-01T19:55:00+00:00,2,2026-04-01T19:54:46.050979+00:00,4.31,4.43,0.1200000000000001,
ASTC,2026-05-28,2026-05-28T19:55:00+00:00,434,2026-05-28T19:54:59.988127+00:00,30.81,31.01,0.2000000000000028,
ASTC,2026-05-29,2026-05-29T19:55:00+00:00,182,2026-05-29T19:54:59.770439+00:00,48.5,49.0,0.5,
ASTC,2026-06-01,2026-06-01T19:55:00+00:00,86,2026-06-01T19:54:57.006084+00:00,35.76,36.22,0.4600000000000008,
ASTC,2026-06-02,2026-06-02T19:55:00+00:00,77,2026-06-02T19:54:55.878202+00:00,47.5,48.79,1.2899999999999991,
ASTC,2026-06-03,2026-06-03T19:55:00+00:00,14,2026-06-03T19:54:43.939916+00:00,38.55,39.01,0.4600000000000008,
ATCX,2026-01-21,2026-01-21T20:55:00+00:00,2,2026-01-21T20:54:55.226669+00:00,9.12,9.28,0.1600000000000001,
AUUD,2026-04-24,2026-04-24T19:55:00+00:00,11,2026-04-24T19:54:51.028502+00:00,1.88,1.89,0.01,
AVXL,2025-11-14,2025-11-14T20:55:00+00:00,211,2025-11-14T20:54:58.742314+00:00,3.6,3.61,0.0099999999999997,
BANL,2026-08-14,2026-08-14T19:54:00+00:00,1,2026-08-14T19:53:57.812370+00:00,10.7,10.71,0.0100000000000015,
BBGI,2025-12-11,2025-12-11T19:59:00+00:00,1,2025-12-11T19:58:48.930039+00:00,8.67,8.94,0.2699999999999996,
BBGI,2026-04-09,2026-04-09T19:47:00+00:00,499,2026-04-09T19:46:59.928025+00:00,11.0,11.01,0.0099999999999997,
BCTX,2025-02-03,2025-02-03T19:59:00+00:00,5,2025-02-03T19:58:55.099521+00:00,4.79,4.81,0.0199999999999995,
BDMD,2025-01-17,2025-01-17T20:00:00+00:00,2,2025-01-17T19:59:56.900252+00:00,9.0,9.04,0.0399999999999991,
BETR,2025-09-22,2025-09-22T19:55:00+00:00,36,2025-09-22T19:54:58.652777+00:00,52.19,53.0,0.8100000000000023,
BGL,2025-07-07,2025-07-07T19:55:00+00:00,6,2025-07-07T19:54:50.742253+00:00,71.0,73.99,2.989999999999995,
BGL,2025-07-14,2025-07-14T19:55:00+00:00,11,2025-07-14T19:54:59.004580+00:00,26.89,28.0,1.1099999999999994,
BHF,2025-09-19,2025-09-19T19:55:00+00:00,183,2025-09-19T19:54:58.901285+00:00,58.15,58.21,0.0600000000000022,
BIAF,2026-09-17,2026-09-17T19:55:00+00:00,730,2026-09-17T19:54:59.977372+00:00,8.66,8.78,0.1199999999999992,
BIYA,2025-04-01,2025-04-01T19:55:00+00:00,7,2025-04-01T19:54:50.718917+00:00,5.8,6.29,0.4900000000000002,
BKYI,2026-05-12,2026-05-12T19:55:00+00:00,2,2026-05-12T19:54:37.797141+00:00,3.46,3.58,0.1200000000000001,
BMGL,2025-06-02,2025-06-02T19:55:00+00:00,73,2025-06-02T19:54:58.876817+00:00,4.06,4.07,0.0100000000000006,
BNAI,2026-01-26,2026-01-26T20:55:00+00:00,246,2026-01-26T20:54:59.927934+00:00,61.12,62.0,0.8800000000000026,
BNAI,2026-06-05,2026-06-05T19:55:00+00:00,11,2026-06-05T19:54:50.136374+00:00,22.38,22.64,0.2600000000000015,
BNBX,2025-10-07,2025-10-07T19:51:00+00:00,1,2025-10-07T19:50:47.335511+00:00,4.62,4.8,0.1799999999999997,
BRNX,2026-08-27,2026-08-27T19:55:00+00:00,41,2026-08-27T19:54:46.727454+00:00,3.84,3.9,0.06,
BTAI,2025-08-12,2025-08-12T19:55:00+00:00,108,2025-08-12T19:54:59.379097+00:00,6.79,6.8,0.0099999999999997,
BTTC,2025-10-03,2025-10-03T19:55:00+00:00,41,2025-10-03T19:54:59.535360+00:00,8.91,9.26,0.3499999999999996,
BULL,2025-04-14,2025-04-14T19:55:00+00:00,81,2025-04-14T19:54:59.267092+00:00,70.44,70.94,0.5,
BULL,2025-04-15,2025-04-15T19:55:00+00:00,15,2025-04-15T19:54:54.016589+00:00,40.63,41.0,0.3699999999999974,
BULL,2025-04-22,2025-04-22T19:55:00+00:00,13,2025-04-22T19:54:58.840057+00:00,23.77,23.9,0.129999999999999,
BZAI,2025-01-27,2025-01-27T20:54:00+00:00,1,2025-01-27T20:53:30.060474+00:00,5.31,5.34,0.0300000000000002,
CAR,2026-04-09,2026-04-09T19:55:00+00:00,208,2026-04-09T19:54:59.910741+00:00,289.74,290.99,1.25,
CAR,2026-04-16,2026-04-16T19:55:00+00:00,189,2026-04-16T19:54:57.736571+00:00,443.82,445.94,2.1200000000000045,
CAR,2026-04-21,2026-04-21T19:55:00+00:00,176,2026-04-21T19:54:58.818782+00:00,692.81,694.6,1.7900000000000773,
CAR,2026-04-23,2026-04-23T19:55:00+00:00,108,2026-04-23T19:54:58.978035+00:00,230.0,231.12,1.1200000000000043,
CAR,2026-04-24,2026-04-24T19:55:00+00:00,78,2026-04-24T19:54:59.862995+00:00,204.78,205.25,0.4699999999999988,
CAR,2026-04-29,2026-04-29T19:55:00+00:00,132,2026-04-29T19:54:59.367981+00:00,180.89,182.58,1.690000000000026,
CCHH,2025-12-12,2025-12-12T20:55:00+00:00,91,2025-12-12T20:54:55.657016+00:00,2.65,2.9,0.25,
CDIO,2025-05-14,2025-05-14T19:55:00+00:00,7,2025-05-14T19:54:59.252217+00:00,4.58,4.66,0.08,
CDTG,2026-06-04,2026-06-04T19:53:00+00:00,7,2026-06-04T19:52:34.480131+00:00,4.61,5.0,0.3899999999999997,
CELH,2025-02-21,2025-02-21T20:55:00+00:00,931,2025-02-21T20:54:59.909548+00:00,32.6,32.62,0.019999999999996,
CETX,2025-12-09,2025-12-09T20:55:00+00:00,72,2025-12-09T20:54:59.280836+00:00,4.33,4.36,0.0300000000000002,
CGTL,2025-04-25,2025-04-25T19:55:00+00:00,9,2025-04-25T19:54:57.291597+00:00,1.51,1.54,0.03,
CHSN,2025-01-10,2025-01-10T20:55:00+00:00,3,2025-01-10T20:54:47.630190+00:00,5.24,5.26,0.0199999999999995,
CIGL,2025-06-30,2025-06-30T19:55:00+00:00,1,2025-06-30T19:54:37.347130+00:00,14.02,15.0,0.9800000000000004,
CIGL,2025-07-10,2025-07-10T19:50:00+00:00,148,2025-07-10T19:49:59.893674+00:00,5.5,5.54,0.04,
CIGL,2025-09-09,2025-09-09T19:55:00+00:00,6,2025-09-09T19:54:58.765029+00:00,5.81,5.84,0.0300000000000002,
CIGL,2025-09-10,2025-09-10T19:55:00+00:00,3,2025-09-10T19:54:51.940582+00:00,3.84,4.06,0.2199999999999997,
CLRO,2025-07-01,2025-07-01T19:55:00+00:00,92,2025-07-01T19:54:59.954578+00:00,10.51,10.68,0.1699999999999999,
CLRO,2026-07-07,2026-07-07T19:55:00+00:00,88,2026-07-07T19:54:59.365429+00:00,13.78,13.79,0.0099999999999997,
CMCT,2025-11-14,2025-11-14T20:55:00+00:00,54,2025-11-14T20:54:59.600433+00:00,9.72,9.91,0.1899999999999995,
CNCK,2025-12-03,2025-12-03T19:59:00+00:00,3,2025-12-03T19:58:52.146789+00:00,5.33,5.4,0.0700000000000002,
CODX,2026-06-02,2026-06-02T19:55:00+00:00,52,2026-06-02T19:54:56.778068+00:00,6.22,6.31,0.0899999999999998,
COEP,2025-01-23,2025-01-23T19:50:00+00:00,1,2025-01-23T19:49:39.372542+00:00,9.5,9.81,0.3100000000000005,
CONI,2025-04-07,2025-04-07T19:55:00+00:00,687,2025-04-07T19:54:59.951255+00:00,16.36,16.41,0.0500000000000007,
CORT,2026-03-25,2026-03-25T19:55:00+00:00,357,2026-03-25T19:54:59.885696+00:00,40.7,40.73,0.029999999999994,
CORZ,2025-06-26,2025-06-26T19:55:00+00:00,1103,2025-06-26T19:54:59.900303+00:00,16.55,16.56,0.009999999999998,
CRML,2025-02-06,2025-02-06T20:55:00+00:00,19,2025-02-06T20:54:59.984513+00:00,5.69,5.75,0.0599999999999996,
CRML,2025-08-26,2025-08-26T19:55:00+00:00,170,2025-08-26T19:54:59.800635+00:00,6.78,6.79,0.0099999999999997,
CRML,2025-10-06,2025-10-06T19:55:00+00:00,224,2025-10-06T19:54:59.522625+00:00,11.68,11.69,0.0099999999999997,
CRMT,2026-06-10,2026-06-10T19:55:00+00:00,17,2026-06-10T19:54:59.234899+00:00,2.4,2.41,0.0100000000000002,
CSAI,2025-02-10,2025-02-10T20:55:00+00:00,196,2025-02-10T20:54:58.509115+00:00,12.14,12.28,0.1399999999999988,
CSAI,2025-02-13,2025-02-13T20:55:00+00:00,63,2025-02-13T20:54:59.075405+00:00,38.66,38.9,0.240000000000002,
CSHR,2026-04-01,2026-04-01T19:55:00+00:00,5,2026-04-01T19:54:54.177784+00:00,8.25,8.4,0.1500000000000003,
CUE,2026-04-27,2026-04-27T19:55:00+00:00,22,2026-04-27T19:54:59.027976+00:00,16.73,17.1,0.370000000000001,
CUE,2026-05-04,2026-05-04T19:55:00+00:00,14,2026-05-04T19:54:45.597809+00:00,29.62,30.3,0.6799999999999997,
CUPR,2025-08-15,2025-08-15T19:55:00+00:00,141,2025-08-15T19:54:52.857793+00:00,1.16,1.17,0.01,
CWD,2025-09-17,2025-09-17T19:55:00+00:00,39,2025-09-17T19:54:56.604492+00:00,7.68,7.72,0.04,
CYN,2025-02-21,2025-02-21T20:00:00+00:00,5,2025-02-21T19:59:59.728352+00:00,7.45,7.47,0.0199999999999995,
CYN,2025-06-27,2025-06-27T19:55:00+00:00,69,2025-06-27T19:54:58.937300+00:00,16.3,16.35,0.0500000000000007,
CZR,2026-02-26,2026-02-26T20:55:00+00:00,1871,2026-02-26T20:54:59.977368+00:00,24.93,24.98,0.0500000000000007,
CZR,2026-03-11,2026-03-11T19:55:00+00:00,804,2026-03-11T19:54:59.951467+00:00,28.81,28.84,0.0300000000000011,
DBGI,2026-08-20,2026-08-20T19:53:00+00:00,1,2026-08-20T19:52:32.413547+00:00,9.25,9.51,0.2599999999999998,
DFDV,2025-05-19,2025-05-19T19:55:00+00:00,1,2025-05-19T19:54:59.010501+00:00,125.29,126.69,1.3999999999999917,
DFDV,2025-05-21,2025-05-21T19:55:00+00:00,15,2025-05-21T19:54:57.658806+00:00,36.02,36.2,0.1799999999999997,
DFDV,2025-05-22,2025-05-22T19:55:00+00:00,26,2025-05-22T19:54:55.227741+00:00,41.5,42.36,0.8599999999999994,
DFNS,2026-07-28,2026-07-28T19:55:00+00:00,31,2026-07-28T19:54:58.348704+00:00,24.5,24.8,0.3000000000000007,
DFNS,2026-07-29,2026-07-29T19:55:00+00:00,392,2026-07-29T19:54:59.298240+00:00,48.5,49.23,0.7299999999999969,
DFNS,2026-07-31,2026-07-31T19:55:00+00:00,32,2026-07-31T19:54:58.679591+00:00,26.7,27.0,0.3000000000000007,
DFNS,2026-08-03,2026-08-03T19:55:00+00:00,85,2026-08-03T19:54:59.914073+00:00,60.47,61.25,0.7800000000000011,
DFNS,2026-08-25,2026-08-25T19:55:00+00:00,3,2026-08-25T19:54:59.549997+00:00,13.08,13.15,0.0700000000000002,
DGNX,2025-01-29,2025-01-29T20:55:00+00:00,64,2025-01-29T20:54:57.053100+00:00,46.0,46.47,0.4699999999999988,
DGNX,2025-01-30,2025-01-30T20:54:00+00:00,42,2025-01-30T20:53:57.688441+00:00,34.02,36.0,1.9799999999999969,
DGNX,2025-02-25,2025-02-25T20:55:00+00:00,2,2025-02-25T20:54:56.298710+00:00,51.5,52.48,0.9799999999999968,
DLXY,2025-09-30,2025-09-30T19:55:00+00:00,5,2025-09-30T19:54:58.388911+00:00,1.15,1.16,0.01,
DOGZ,2025-01-21,2025-01-21T20:55:00+00:00,2,2025-01-21T20:54:47.607578+00:00,28.16,28.5,0.3399999999999998,
DOGZ,2025-07-01,2025-07-01T19:55:00+00:00,2,2025-07-01T19:54:45.521820+00:00,12.71,12.75,0.0399999999999991,
DOGZ,2025-08-26,2025-08-26T19:54:00+00:00,1,2025-08-26T19:53:51.400296+00:00,10.38,10.5,0.1199999999999992,
DOMH,2025-02-18,2025-02-18T20:00:00+00:00,2,2025-02-18T19:59:56.062571+00:00,9.81,9.91,0.0999999999999996,
DTCK,2025-11-05,2025-11-05T20:55:00+00:00,30,2025-11-05T20:54:50.443670+00:00,6.42,6.48,0.0600000000000005,
DTCK,2025-11-07,2025-11-07T20:55:00+00:00,12,2025-11-07T20:54:49.319898+00:00,1.38,1.39,0.01,
DWTX,2025-01-27,2025-01-27T20:00:00+00:00,56,2025-01-27T19:59:59.171121+00:00,17.39,17.55,0.1600000000000001,
DWTX,2025-03-10,2025-03-10T19:55:00+00:00,7,2025-03-10T19:54:57.911440+00:00,8.53,8.57,0.0400000000000009,
EA,2025-09-26,2025-09-26T19:55:00+00:00,546,2025-09-26T19:54:59.990220+00:00,194.06,194.29,0.2299999999999897,
EDHL,2025-07-11,2025-07-11T19:51:00+00:00,74,2025-07-11T19:50:59.460846+00:00,5.02,5.06,0.04,
EDSA,2026-04-28,2026-04-28T19:55:00+00:00,22,2026-04-28T19:54:58.334269+00:00,14.66,14.74,0.08,
EEIQ,2026-03-27,2026-03-27T19:55:00+00:00,2,2026-03-27T19:54:41.006755+00:00,7.15,7.18,0.0299999999999993,
EFTY,2025-08-28,2025-08-28T19:55:00+00:00,2,2025-08-28T19:54:30.986736+00:00,5.6,5.8,0.2000000000000001,
EFTY,2025-09-30,2025-09-30T19:55:00+00:00,6,2025-09-30T19:54:56.263013+00:00,16.75,16.98,0.2300000000000004,
EKSO,2025-12-30,2025-12-30T20:00:00+00:00,41,2025-12-30T19:59:58.796157+00:00,11.11,11.15,0.0400000000000009,
ELAB,2026-01-08,2026-01-08T20:00:00+00:00,16,2026-01-08T19:59:56.324583+00:00,5.5,5.52,0.0199999999999995,
ELAB,2026-04-01,2026-04-01T19:44:00+00:00,117,2026-04-01T19:43:58.330133+00:00,11.06,11.11,0.0499999999999989,
ELPW,2026-02-02,2026-02-02T20:00:00+00:00,5,2026-02-02T19:59:56.324718+00:00,1.17,1.18,0.01,
EMPG,2025-09-30,2025-09-30T19:55:00+00:00,5,2025-09-30T19:54:58.761342+00:00,16.68,16.9,0.2199999999999988,
ENGS,2025-05-05,2025-05-05T19:39:00+00:00,34,2025-05-05T19:38:59.374777+00:00,2.76,2.77,0.0100000000000002,
ENGS,2025-09-11,2025-09-11T19:47:00+00:00,28,2025-09-11T19:46:56.590283+00:00,6.16,7.2,1.04,
ENGS,2025-09-16,2025-09-16T19:55:00+00:00,16,2025-09-16T19:54:54.362019+00:00,7.25,7.29,0.04,
ENGS,2025-11-06,2025-11-06T20:55:00+00:00,46,2025-11-06T20:54:58.706207+00:00,3.91,3.98,0.0699999999999998,
EPSM,2025-05-13,2025-05-13T19:55:00+00:00,1,2025-05-13T19:54:36.689697+00:00,12.21,12.39,0.1799999999999997,
EPSM,2025-07-16,2025-07-16T19:54:00+00:00,6,2025-07-16T19:53:59.104402+00:00,24.71,25.4,0.6899999999999977,
EPSM,2025-09-10,2025-09-10T19:55:00+00:00,1,2025-09-10T19:54:30.019113+00:00,41.25,42.0,0.75,
EPSM,2025-09-26,2025-09-26T19:55:00+00:00,8,2025-09-26T19:54:54.017696+00:00,34.71,35.71,1.0,
EPSM,2025-09-29,2025-09-29T19:55:00+00:00,19,2025-09-29T19:54:59.786725+00:00,25.0,25.25,0.25,
EPSM,2025-09-30,2025-09-30T19:55:00+00:00,40,2025-09-30T19:54:59.779736+00:00,10.3,10.5,0.1999999999999993,
EPSM,2025-10-03,2025-10-03T19:55:00+00:00,9,2025-10-03T19:54:59.548272+00:00,26.75,27.49,0.7399999999999984,
EPSM,2025-11-11,2025-11-11T20:55:00+00:00,3,2025-11-11T20:54:48.623083+00:00,3.38,3.41,0.0300000000000002,
ERAS,2026-04-13,2026-04-13T19:55:00+00:00,400,2026-04-13T19:54:59.147023+00:00,16.49,16.51,0.0200000000000031,
ERNA,2026-05-12,2026-05-12T19:55:00+00:00,41,2026-05-12T19:54:56.644492+00:00,11.6,11.7,0.0999999999999996,
ERNA,2026-05-15,2026-05-15T19:55:00+00:00,17,2026-05-15T19:54:59.038631+00:00,13.51,13.55,0.0400000000000009,
EUDA,2026-04-29,2026-04-29T19:55:00+00:00,6,2026-04-29T19:54:58.572603+00:00,14.5,14.8,0.3000000000000007,
EUDA,2026-05-06,2026-05-06T19:55:00+00:00,27,2026-05-06T19:54:59.021940+00:00,13.2,13.9,0.7000000000000011,
EVAX,2025-10-17,2025-10-17T19:55:00+00:00,6,2025-10-17T19:54:59.611936+00:00,6.83,6.86,0.0300000000000002,
FAC,2026-06-08,2026-06-08T19:55:00+00:00,2,2026-06-08T19:54:55.418852+00:00,13.79,13.99,0.200000000000001,
FAC,2026-06-09,2026-06-09T19:55:00+00:00,2,2026-06-09T19:54:37.174681+00:00,16.01,16.05,0.0399999999999991,
FAC,2026-07-13,2026-07-13T19:55:00+00:00,22,2026-07-13T19:54:59.533128+00:00,5.9,5.99,0.0899999999999998,
FCHL,2025-09-23,2025-09-23T19:55:00+00:00,11,2025-09-23T19:54:37.329735+00:00,1.09,1.11,0.02,
FCUV,2026-08-03,2026-08-03T19:55:00+00:00,43,2026-08-03T19:54:52.230072+00:00,10.9,10.96,0.0600000000000005,
FCUV,2026-08-18,2026-08-18T19:55:00+00:00,8,2026-08-18T19:54:41.916756+00:00,8.3,8.43,0.129999999999999,
FCUV,2026-09-08,2026-09-08T19:55:00+00:00,4,2026-09-08T19:54:50.961542+00:00,6.06,6.11,0.0500000000000007,
FFAI,2026-07-31,2026-07-31T19:55:00+00:00,18,2026-07-31T19:54:59.445643+00:00,6.03,6.09,0.0599999999999996,
FGI,2026-04-20,2026-04-20T19:55:00+00:00,14,2026-04-20T19:54:56.280032+00:00,9.54,9.78,0.2400000000000002,
FGI,2026-04-21,2026-04-21T19:55:00+00:00,16,2026-04-21T19:54:54.271983+00:00,11.19,11.32,0.1300000000000007,
FGL,2026-02-11,2026-02-11T19:57:00+00:00,1,2026-02-11T19:56:47.071223+00:00,12.5,12.98,0.4800000000000004,
FGL,2026-02-13,2026-02-13T19:59:00+00:00,6,2026-02-13T19:58:50.239679+00:00,17.11,18.3,1.1900000000000013,
FGL,2026-02-24,2026-02-24T20:00:00+00:00,1,2026-02-24T19:59:34.989342+00:00,12.4,12.59,0.1899999999999995,
FGL,2026-09-11,2026-09-11T19:55:00+00:00,14,2026-09-11T19:54:54.528486+00:00,5.35,5.38,0.0300000000000002,
FLYE,2025-08-15,2025-08-15T19:55:00+00:00,21,2025-08-15T19:54:57.703598+00:00,1.0,1.01,0.01,
FLYE,2025-12-02,2025-12-02T20:55:00+00:00,1,2025-12-02T20:54:59.882489+00:00,10.86,11.2,0.3399999999999998,
FMFC,2025-10-24,2025-10-24T19:55:00+00:00,6,2025-10-24T19:54:52.110061+00:00,6.27,6.32,0.0500000000000007,
FMFC,2025-10-28,2025-10-28T19:55:00+00:00,43,2025-10-28T19:54:56.276573+00:00,4.07,4.11,0.04,
FOFO,2025-09-26,2025-09-26T19:55:00+00:00,5,2025-09-26T19:54:57.499064+00:00,45.5,46.5,1.0,
FOFO,2025-09-29,2025-09-29T19:55:00+00:00,5,2025-09-29T19:54:44.285071+00:00,40.35,42.4,2.049999999999997,
FTFT,2026-09-16,2026-09-16T19:55:00+00:00,89,2026-09-16T19:54:54.843910+00:00,6.81,6.86,0.0500000000000007,
FTH,2026-07-15,2026-07-15T19:55:00+00:00,4,2026-07-15T19:54:42.040193+00:00,30.78,33.1,2.3200000000000003,
FXHO,2026-07-06,2026-07-06T19:55:00+00:00,134,2026-07-06T19:54:56.100769+00:00,18.87,19.4,0.5299999999999976,
FXHO,2026-07-30,2026-07-30T19:51:00+00:00,2,2026-07-30T19:50:50.509869+00:00,11.41,12.0,0.5899999999999999,
GCTK,2025-06-25,2025-06-25T19:55:00+00:00,23,2025-06-25T19:54:56.478967+00:00,7.91,7.95,0.04,
GFUZ,2026-07-13,2026-07-13T19:55:00+00:00,58,2026-07-13T19:54:58.378923+00:00,12.13,12.57,0.4399999999999995,
GIBO,2025-05-12,2025-05-12T19:55:00+00:00,4,2025-05-12T19:54:59.552025+00:00,4.88,5.35,0.4699999999999997,
GLND,2026-03-26,2026-03-26T19:55:00+00:00,1,2026-03-26T19:54:56.081746+00:00,11.41,11.5,0.0899999999999998,
GLND,2026-03-30,2026-03-30T19:09:00+00:00,46,2026-03-30T19:08:59.074860+00:00,11.42,11.49,0.0700000000000002,
GNPX,2025-10-28,2025-10-28T19:55:00+00:00,1,2025-10-28T19:54:52.195305+00:00,6.97,7.0,0.0300000000000002,
GPCR,2025-12-08,2025-12-08T20:55:00+00:00,178,2025-12-08T20:54:59.065320+00:00,69.97,70.01,0.0400000000000062,
