period_end,days,pnl_price,pnl_borrow,pnl_txn,pnl_net
2020-02-14,7,-80.39,-24.96,-32.54,-137.89
2020-02-21,7,20.64,-24.96,-32.54,-36.86
2020-02-28,7,-3025.32,-24.96,-32.54,-3082.82
2020-03-06,7,2001.59,-24.96,-32.54,1944.08
2020-03-13,7,6239.04,-24.96,-32.54,6181.54
2020-03-20,7,411.67,-24.96,-32.54,354.17
2020-03-27,7,755.65,-24.96,-32.54,698.15
2020-04-03,7,1128.47,-24.96,-32.54,1070.96
2020-04-09,6,-2048.82,-21.4,-32.54,-2102.76
2020-04-17,8,286.35,-28.53,-32.54,225.28
2020-04-24,7,571.63,-24.96,-32.54,514.12
2020-05-01,7,539.21,-24.96,-32.54,481.7
2020-05-08,7,-90.89,-24.96,-32.54,-148.39
2020-05-15,7,129.1,-24.96,-32.54,71.59
2020-05-22,7,168.74,-24.96,-32.54,111.24
2020-05-29,7,-194.75,-24.96,-32.54,-252.25
2020-06-05,7,-376.71,-24.96,-32.54,-434.21
2020-06-12,7,518.07,-24.96,-32.54,460.57
2020-06-19,7,87.44,-24.96,-32.54,29.93
2020-06-26,7,163.39,-24.96,-32.54,105.88
2020-07-02,6,-259.79,-21.4,-32.54,-313.73
2020-07-10,8,140.04,-28.53,-32.54,78.97
2020-07-17,7,31.39,-24.96,-32.54,-26.11
2020-07-24,7,171.05,-24.96,-32.54,113.54
2020-07-31,7,-45.38,-24.96,-32.54,-102.88
2020-08-07,7,-93.11,-24.96,-32.54,-150.61
2020-08-14,7,56.62,-24.96,-32.54,-0.88
2020-08-21,7,142.19,-24.96,-32.54,84.69
2020-08-28,7,-244.49,-24.96,-32.54,-301.99
2020-09-04,7,281.53,-24.96,-32.54,224.03
2020-09-11,7,250.38,-24.96,-32.54,192.87
2020-09-18,7,73.28,-24.96,-32.54,15.77
2020-09-25,7,448.99,-24.96,-32.54,391.48
2020-10-02,7,-3.92,-24.96,-32.54,-61.42
2020-10-09,7,-36.19,-24.96,-32.54,-93.7
2020-10-16,7,15.35,-24.96,-32.54,-42.16
2020-10-23,7,182.21,-24.96,-32.54,124.71
2020-10-30,7,-481.59,-24.96,-32.54,-539.09
2020-11-06,7,-869.31,-24.96,-32.54,-926.82
2020-11-13,7,-56.1,-24.96,-32.54,-113.61
2020-11-20,7,60.27,-24.96,-32.54,2.77
2020-11-27,7,-66.09,-24.96,-32.54,-123.6
2020-12-04,7,75.15,-24.96,-32.54,17.65
2020-12-11,7,107.03,-24.96,-32.54,49.53
2020-12-18,7,-88.62,-24.96,-32.54,-146.13
2020-12-24,6,12.56,-21.4,-32.54,-41.38
2020-12-31,7,21.15,-24.96,-32.54,-36.35
2021-01-08,8,103.83,-28.53,-32.54,42.76
2021-01-15,7,-18.59,-24.96,-32.54,-76.1
2021-01-22,7,-32.17,-24.96,-32.54,-89.68
2021-01-29,7,31.99,-24.96,-32.54,-25.52
2021-02-05,7,-460.0,-24.96,-32.54,-517.5
2021-02-12,7,-11.5,-24.96,-32.54,-69.01
2021-02-19,7,2.94,-24.96,-32.54,-54.57
2021-02-26,7,-200.08,-24.96,-32.54,-257.59
2021-03-05,7,654.02,-24.96,-32.54,596.51
2021-03-12,7,-112.27,-24.96,-32.54,-169.77
2021-03-19,7,57.22,-24.96,-32.54,-0.29
2021-03-26,7,90.39,-24.96,-32.54,32.89
2021-04-01,6,63.53,-21.4,-32.54,9.59
2021-04-09,8,-149.73,-28.53,-32.54,-210.8
2021-04-16,7,-12.67,-24.96,-32.54,-70.17
2021-04-23,7,155.64,-24.96,-32.54,98.13
2021-04-30,7,6.59,-24.96,-32.54,-50.92
2021-05-07,7,74.84,-24.96,-32.54,17.33
2021-05-14,7,253.75,-24.96,-32.54,196.25
2021-05-21,7,120.91,-24.96,-32.54,63.41
2021-05-28,7,-62.83,-24.96,-32.54,-120.33
2021-06-04,7,59.14,-24.96,-32.54,1.63
2021-06-11,7,14.7,-24.96,-32.54,-42.81
2021-06-18,7,6.42,-24.96,-32.54,-51.08
2021-06-25,7,-122.42,-24.96,-32.54,-179.93
2021-07-02,7,-74.48,-24.96,-32.54,-131.98
2021-07-09,7,90.19,-24.96,-32.54,32.69
2021-07-16,7,36.38,-24.96,-32.54,-21.13
2021-07-23,7,47.63,-24.96,-32.54,-9.88
2021-07-30,7,69.45,-24.96,-32.54,11.94
2021-08-06,7,5.59,-24.96,-32.54,-51.92
2021-08-13,7,33.31,-24.96,-32.54,-24.2
2021-08-20,7,60.43,-24.96,-32.54,2.92
2021-08-27,7,-23.38,-24.96,-32.54,-80.88
2021-09-03,7,47.62,-24.96,-32.54,-9.88
2021-09-10,7,-46.54,-24.96,-32.54,-104.04
2021-09-17,7,24.31,-24.96,-32.54,-33.2
2021-09-24,7,227.85,-24.96,-32.54,170.34
2021-10-01,7,61.19,-24.96,-32.54,3.69
2021-10-08,7,112.91,-24.96,-32.54,55.41
2021-10-15,7,52.32,-24.96,-32.54,-5.18
2021-10-22,7,-13.63,-24.96,-32.54,-71.13
2021-10-29,7,5.3,-24.96,-32.54,-52.2
2021-11-05,7,-122.47,-24.96,-32.54,-179.97
2021-11-12,7,64.01,-24.96,-32.54,6.5
2021-11-19,7,35.95,-24.96,-32.54,-21.56
2021-11-26,7,15.2,-24.96,-32.54,-42.31
2021-12-03,7,326.79,-24.96,-32.54,269.28
2021-12-10,7,-267.81,-24.96,-32.54,-325.32
2021-12-17,7,66.12,-24.96,-32.54,8.61
2021-12-23,6,73.08,-21.4,-32.54,19.14
2021-12-31,8,54.68,-28.53,-32.54,-6.39
2022-01-07,7,55.74,-24.96,-32.54,-1.77
2022-01-14,7,79.11,-24.96,-32.54,21.61
2022-01-21,7,-709.83,-24.96,-32.54,-767.33
2022-01-28,7,178.22,-24.96,-32.54,120.72
2022-02-04,7,288.7,-24.96,-32.54,231.2
2022-02-11,7,231.77,-24.96,-32.54,174.26
2022-02-18,7,226.71,-24.96,-32.54,169.21
2022-02-25,7,281.61,-24.96,-32.54,224.1
2022-03-04,7,192.79,-24.96,-32.54,135.28
2022-03-11,7,328.79,-24.96,-32.54,271.28
2022-03-18,7,-663.68,-24.96,-32.54,-721.19
2022-03-25,7,114.94,-24.96,-32.54,57.43
2022-04-01,7,104.8,-24.96,-32.54,47.29
2022-04-08,7,29.17,-24.96,-32.54,-28.34
2022-04-14,6,98.11,-21.4,-32.54,44.17
2022-04-22,8,127.43,-28.53,-32.54,66.36
2022-04-29,7,568.86,-24.96,-32.54,511.36
2022-05-06,7,679.36,-24.96,-32.54,621.86
2022-05-13,7,415.21,-24.96,-32.54,357.71
2022-05-20,7,314.22,-24.96,-32.54,256.72
2022-05-27,7,-753.87,-24.96,-32.54,-811.37
2022-06-03,7,234.15,-24.96,-32.54,176.64
2022-06-10,7,-306.94,-24.96,-32.54,-364.45
2022-06-17,7,-180.14,-24.96,-32.54,-237.64
2022-06-24,7,-676.65,-24.96,-32.54,-734.16
2022-07-01,7,-44.76,-24.96,-32.54,-102.26
2022-07-08,7,11.38,-24.96,-32.54,-46.12
2022-07-15,7,105.66,-24.96,-32.54,48.16
2022-07-22,7,130.09,-24.96,-32.54,72.59
2022-07-29,7,-230.28,-24.96,-32.54,-287.79
2022-08-05,7,131.78,-24.96,-32.54,74.27
2022-08-12,7,-106.03,-24.96,-32.54,-163.54
2022-08-19,7,81.56,-24.96,-32.54,24.05
2022-08-26,7,-2.69,-24.96,-32.54,-60.2
2022-09-02,7,-214.87,-24.96,-32.54,-272.37
2022-09-09,7,-213.59,-24.96,-32.54,-271.09
2022-09-16,7,-36.78,-24.96,-32.54,-94.28
2022-09-23,7,-408.5,-24.96,-32.54,-466.0
2022-09-30,7,53.81,-24.96,-32.54,-3.69
2022-10-07,7,653.1,-24.96,-32.54,595.6
2022-10-14,7,319.75,-24.96,-32.54,262.25
2022-10-21,7,-190.74,-24.96,-32.54,-248.25
2022-10-28,7,-132.9,-24.96,-32.54,-190.41
2022-11-04,7,-34.49,-24.96,-32.54,-92.0
2022-11-11,7,25.05,-24.96,-32.54,-32.45
2022-11-18,7,56.9,-24.96,-32.54,-0.61
2022-11-25,7,-13.07,-24.96,-32.54,-70.57
2022-12-02,7,292.28,-24.96,-32.54,234.78
2022-12-09,7,-198.8,-24.96,-32.54,-256.31
2022-12-16,7,197.25,-24.96,-32.54,139.74
2022-12-23,7,81.69,-24.96,-32.54,24.18
2022-12-30,7,98.76,-24.96,-32.54,41.25
2023-01-06,7,150.07,-24.96,-32.54,92.57
2023-01-13,7,-154.47,-24.96,-32.54,-211.97
2023-01-20,7,155.55,-24.96,-32.54,98.05
2023-01-27,7,-90.66,-24.96,-32.54,-148.16
2023-02-03,7,116.59,-24.96,-32.54,59.09
2023-02-10,7,-3.56,-24.96,-32.54,-61.07
2023-02-17,7,56.41,-24.96,-32.54,-1.09
2023-02-24,7,-92.65,-24.96,-32.54,-150.16
2023-03-03,7,7.61,-24.96,-32.54,-49.9
2023-03-10,7,-456.97,-24.96,-32.54,-514.47
2023-03-17,7,182.08,-24.96,-32.54,124.57
2023-03-24,7,47.93,-24.96,-32.54,-9.58
