period_end,days,pnl_price,pnl_borrow,pnl_txn,pnl_net
2021-02-12,7,-50.82,-24.96,-32.54,-108.33
2021-02-19,7,-11.83,-24.96,-32.54,-69.33
2021-02-26,7,-189.82,-24.96,-32.54,-247.33
2021-03-05,7,720.85,-24.96,-32.54,663.34
2021-03-12,7,771.88,-24.96,-32.54,714.38
2021-03-19,7,334.14,-24.96,-32.54,276.63
2021-03-26,7,291.83,-24.96,-32.54,234.33
2021-04-01,6,-33.59,-21.4,-32.54,-87.53
2021-04-09,8,-284.09,-28.53,-32.54,-345.16
2021-04-16,7,121.32,-24.96,-32.54,63.81
2021-04-23,7,160.64,-24.96,-32.54,103.14
2021-04-30,7,51.5,-24.96,-32.54,-6.0
2021-05-07,7,153.71,-24.96,-32.54,96.21
2021-05-14,7,424.12,-24.96,-32.54,366.61
2021-05-21,7,170.24,-24.96,-32.54,112.74
2021-05-28,7,-32.82,-24.96,-32.54,-90.33
2021-06-04,7,147.53,-24.96,-32.54,90.03
2021-06-11,7,-28.94,-24.96,-32.54,-86.45
2021-06-18,7,121.6,-24.96,-32.54,64.09
2021-06-25,7,-49.0,-24.96,-32.54,-106.5
2021-07-02,7,-94.64,-24.96,-32.54,-152.15
2021-07-09,7,37.43,-24.96,-32.54,-20.08
2021-07-16,7,7.59,-24.96,-32.54,-49.91
2021-07-23,7,-71.17,-24.96,-32.54,-128.68
2021-07-30,7,30.32,-24.96,-32.54,-27.18
2021-08-06,7,28.84,-24.96,-32.54,-28.66
2021-08-13,7,30.31,-24.96,-32.54,-27.2
2021-08-20,7,117.24,-24.96,-32.54,59.74
2021-08-27,7,-97.67,-24.96,-32.54,-155.18
2021-09-03,7,36.96,-24.96,-32.54,-20.54
2021-09-10,7,-84.88,-24.96,-32.54,-142.38
2021-09-17,7,94.66,-24.96,-32.54,37.15
2021-09-24,7,275.21,-24.96,-32.54,217.71
2021-10-01,7,-108.41,-24.96,-32.54,-165.92
