period_end,days,pnl_price,pnl_borrow,pnl_txn,pnl_net
2019-10-11,7,524.58,-24.96,-32.54,467.07
2019-10-18,7,252.85,-24.96,-32.54,195.34
2019-10-25,7,157.48,-24.96,-32.54,99.97
2019-11-01,7,73.28,-24.96,-32.54,15.77
2019-11-08,7,-73.46,-24.96,-32.54,-130.97
2019-11-15,7,62.45,-24.96,-32.54,4.95
2019-11-22,7,-187.92,-24.96,-32.54,-245.43
2019-11-29,7,162.54,-24.96,-32.54,105.03
2019-12-06,7,240.44,-24.96,-32.54,182.94
2019-12-13,7,-142.46,-24.96,-32.54,-199.97
2019-12-20,7,-171.8,-24.96,-32.54,-229.31
2019-12-27,7,8.84,-24.96,-32.54,-48.66
2020-01-03,7,200.26,-24.96,-32.54,142.75
2020-01-10,7,169.8,-24.96,-32.54,112.29
2020-01-17,7,-49.94,-24.96,-32.54,-107.45
2020-01-24,7,82.52,-24.96,-32.54,25.01
2020-01-31,7,-286.53,-24.96,-32.54,-344.04
2020-02-07,7,43.89,-24.96,-32.54,-13.61
2020-02-14,7,-406.76,-24.96,-32.54,-464.26
2020-02-21,7,249.08,-24.96,-32.54,191.58
2020-02-28,7,-1090.22,-24.96,-32.54,-1147.72
2020-03-06,7,1786.58,-24.96,-32.54,1729.08
2020-03-13,7,9331.36,-24.96,-32.54,9273.85
2020-03-20,7,7434.89,-24.96,-32.54,7377.39
2020-03-27,7,-52.39,-24.96,-32.54,-109.9
2020-04-03,7,1724.05,-24.96,-32.54,1666.55
2020-04-09,6,110.6,-21.4,-32.54,56.66
2020-04-17,8,1.63,-28.53,-32.54,-59.44
2020-04-24,7,1990.55,-24.96,-32.54,1933.04
2020-05-01,7,1630.49,-24.96,-32.54,1572.98
2020-05-08,7,-1208.96,-24.96,-32.54,-1266.47
2020-05-15,7,209.0,-24.96,-32.54,151.49
2020-05-22,7,329.46,-24.96,-32.54,271.96
2020-05-29,7,275.12,-24.96,-32.54,217.62
2020-06-05,7,-1176.66,-24.96,-32.54,-1234.16
2020-06-12,7,465.1,-24.96,-32.54,407.6
2020-06-19,7,-73.94,-24.96,-32.54,-131.45
2020-06-26,7,224.58,-24.96,-32.54,167.08
2020-07-02,6,-94.75,-21.4,-32.54,-148.69
2020-07-10,8,21.06,-28.53,-32.54,-40.01
2020-07-17,7,189.94,-24.96,-32.54,132.44
2020-07-24,7,90.36,-24.96,-32.54,32.86
2020-07-31,7,196.99,-24.96,-32.54,139.49
2020-08-07,7,105.13,-24.96,-32.54,47.63
2020-08-14,7,475.92,-24.96,-32.54,418.42
2020-08-21,7,-71.94,-24.96,-32.54,-129.45
2020-08-28,7,98.28,-24.96,-32.54,40.78
2020-09-04,7,1018.05,-24.96,-32.54,960.55
2020-09-11,7,902.05,-24.96,-32.54,844.54
2020-09-18,7,327.94,-24.96,-32.54,270.44
2020-09-25,7,235.71,-24.96,-32.54,178.2
2020-10-02,7,460.84,-24.96,-32.54,403.34
2020-10-09,7,-1000.1,-24.96,-32.54,-1057.6
2020-10-16,7,97.35,-24.96,-32.54,39.84
2020-10-23,7,-90.79,-24.96,-32.54,-148.3
2020-10-30,7,329.39,-24.96,-32.54,271.88
2020-11-06,7,-3275.3,-24.96,-32.54,-3332.81
2020-11-13,7,892.12,-24.96,-32.54,834.62
2020-11-20,7,183.72,-24.96,-32.54,126.21
2020-11-27,7,-73.78,-24.96,-32.54,-131.29
2020-12-04,7,-690.45,-24.96,-32.54,-747.95
2020-12-11,7,96.28,-24.96,-32.54,38.77
2020-12-18,7,-153.73,-24.96,-32.54,-211.24
2020-12-24,6,35.05,-21.4,-32.54,-18.89
2020-12-31,7,116.67,-24.96,-32.54,59.17
2021-01-08,8,-113.02,-28.53,-32.54,-174.09
2021-01-15,7,183.91,-24.96,-32.54,126.41
2021-01-22,7,289.03,-24.96,-32.54,231.52
2021-01-29,7,-22.45,-24.96,-32.54,-79.96
2021-02-05,7,338.93,-24.96,-32.54,281.43
2021-02-12,7,-976.41,-24.96,-32.54,-1033.92
2021-02-19,7,339.9,-24.96,-32.54,282.4
2021-02-26,7,1193.51,-24.96,-32.54,1136.01
2021-03-05,7,1276.1,-24.96,-32.54,1218.6
2021-03-12,7,2465.4,-24.96,-32.54,2407.9
2021-03-19,7,788.57,-24.96,-32.54,731.07
2021-03-26,7,765.62,-24.96,-32.54,708.12
2021-04-01,6,203.81,-21.4,-32.54,149.87
2021-04-09,8,240.02,-28.53,-32.54,178.95
2021-04-16,7,79.91,-24.96,-32.54,22.41
2021-04-23,7,717.99,-24.96,-32.54,660.48
2021-04-30,7,169.49,-24.96,-32.54,111.98
2021-05-07,7,211.99,-24.96,-32.54,154.49
2021-05-14,7,1067.09,-24.96,-32.54,1009.58
2021-05-21,7,342.76,-24.96,-32.54,285.26
2021-05-28,7,-420.01,-24.96,-32.54,-477.51
2021-06-04,7,278.54,-24.96,-32.54,221.04
2021-06-11,7,82.62,-24.96,-32.54,25.11
2021-06-18,7,349.07,-24.96,-32.54,291.57
2021-06-25,7,-192.58,-24.96,-32.54,-250.08
2021-07-02,7,203.51,-24.96,-32.54,146.01
2021-07-09,7,174.73,-24.96,-32.54,117.23
2021-07-16,7,-189.93,-24.96,-32.54,-247.44
2021-07-23,7,-105.5,-24.96,-32.54,-163.0
2021-07-30,7,84.27,-24.96,-32.54,26.76
2021-08-06,7,124.76,-24.96,-32.54,67.26
2021-08-13,7,-74.99,-24.96,-32.54,-132.5
2021-08-20,7,115.26,-24.96,-32.54,57.76
2021-08-27,7,-488.34,-24.96,-32.54,-545.84
2021-09-03,7,94.89,-24.96,-32.54,37.39
2021-09-10,7,80.81,-24.96,-32.54,23.31
2021-09-17,7,92.0,-24.96,-32.54,34.5
2021-09-24,7,366.71,-24.96,-32.54,309.2
2021-10-01,7,-445.83,-24.96,-32.54,-503.33
2021-10-08,7,419.24,-24.96,-32.54,361.73
2021-10-15,7,294.24,-24.96,-32.54,236.74
2021-10-22,7,-40.13,-24.96,-32.54,-97.64
2021-10-29,7,-7.95,-24.96,-32.54,-65.45
2021-11-05,7,-1531.1,-24.96,-32.54,-1588.61
2021-11-12,7,393.0,-24.96,-32.54,335.49
2021-11-19,7,16.19,-24.96,-32.54,-41.32
2021-11-26,7,-40.31,-24.96,-32.54,-97.81
2021-12-03,7,623.49,-24.96,-32.54,565.98
2021-12-10,7,790.24,-24.96,-32.54,732.74
2021-12-17,7,781.53,-24.96,-32.54,724.02
2021-12-23,6,-162.48,-21.4,-32.54,-216.42
2021-12-31,8,272.38,-28.53,-32.54,211.31
2022-01-07,7,340.96,-24.96,-32.54,283.46
2022-01-14,7,156.79,-24.96,-32.54,99.28
2022-01-21,7,-3261.32,-24.96,-32.54,-3318.82
2022-01-28,7,987.5,-24.96,-32.54,930.0
2022-02-04,7,1142.96,-24.96,-32.54,1085.45
2022-02-11,7,1270.53,-24.96,-32.54,1213.02
2022-02-18,7,1514.47,-24.96,-32.54,1456.97
2022-02-25,7,471.99,-24.96,-32.54,414.49
2022-03-04,7,335.19,-24.96,-32.54,277.69
2022-03-11,7,1339.06,-24.96,-32.54,1281.55
2022-03-18,7,-520.97,-24.96,-32.54,-578.47
2022-03-25,7,755.1,-24.96,-32.54,697.6
2022-04-01,7,96.28,-24.96,-32.54,38.77
2022-04-08,7,-667.31,-24.96,-32.54,-724.81
2022-04-14,6,318.54,-21.4,-32.54,264.6
2022-04-22,8,593.37,-28.53,-32.54,532.3
2022-04-29,7,2027.15,-24.96,-32.54,1969.64
2022-05-06,7,1414.74,-24.96,-32.54,1357.23
2022-05-13,7,2233.14,-24.96,-32.54,2175.63
2022-05-20,7,1497.64,-24.96,-32.54,1440.13
2022-05-27,7,-525.82,-24.96,-32.54,-583.33
2022-06-03,7,708.15,-24.96,-32.54,650.64
2022-06-10,7,-1043.6,-24.96,-32.54,-1101.11
2022-06-17,7,-44.0,-24.96,-32.54,-101.51
2022-06-24,7,107.95,-24.96,-32.54,50.45
2022-07-01,7,-2095.67,-24.96,-32.54,-2153.18
2022-07-08,7,-539.15,-24.96,-32.54,-596.66
2022-07-15,7,259.34,-24.96,-32.54,201.84
2022-07-22,7,64.2,-24.96,-32.54,6.69
2022-07-29,7,356.17,-24.96,-32.54,298.66
2022-08-05,7,17.62,-24.96,-32.54,-39.89
2022-08-12,7,1516.99,-24.96,-32.54,1459.49
