day,symbol,fill_min,split,flag_1445,flag_1446,flag_1447,flag_1448,flag_1449,flag_1450,flag_1451,flag_1452,flag_1453,flag_1454,flag_1455,net_R_corr,net_R_corr_flat30
2025-07-02,TWST,630.5653685360834,TRAIN-H2,0,0,0,0,0,1,1,1,1,0,0,-1.179384183673481,-1.3650448979591878
2025-07-02,UPST,610.30575717415,TRAIN-H2,0,0,0,0,0,1,1,1,1,1,0,-1.352933028455282,-1.3096769308943068
2025-07-02,VKTX,652.3225031879,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,-1.2451076923076965,-1.3319794871794892
2025-07-02,VRNT,669.6211436192833,TRAIN-H2,0,0,0,0,0,0,0,1,1,0,1,1.9335724137931074,1.9335724137931074
2025-07-02,W,637.56086958475,TRAIN-H2,0,0,0,0,0,1,1,1,1,0,0,-1.7970848484848587,-1.3215393939393958
2025-07-02,WWW,632.0835297790334,TRAIN-H2,0,0,0,0,0,1,1,1,1,0,0,-1.347697324940988,-1.1684876475216364
2025-07-03,AAOI,623.0321434190834,TRAIN-H2,0,0,0,0,0,1,1,0,0,0,1,1.848,1.848
2025-07-03,AEVA,702.3234378674,TRAIN-H2,0,0,0,0,1,1,0,0,0,0,0,-1.3001181818181864,-1.2706181818181863
2025-07-03,APGE,777.0030749939667,TRAIN-H2,0,0,0,0,0,1,1,0,1,0,0,-0.6536218181818156,-0.6536218181818156
2025-07-03,BE,580.8262258454833,TRAIN-H2,0,0,0,0,0,1,0,1,1,1,0,0.00024689473684308405,-0.026575999999998892
2025-07-03,BKSY,704.3933248283,TRAIN-H2,0,0,0,0,1,1,1,1,1,0,0,0.5608764705882415,0.5608764705882415
2025-07-03,DFDV,753.4124689974167,TRAIN-H2,0,0,0,0,1,1,0,0,0,0,1,-2.1480785413744723,-1.71730855539972
2025-07-03,ENPH,656.0475737074333,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,-1.1339236363636376,-1.297323636363638
2025-07-03,EXOD,681.2010038874834,TRAIN-H2,0,0,0,0,1,1,0,0,0,0,0,1.5334713621912437,1.5334713621912437
2025-07-03,FSLR,587.1726818582,TRAIN-H2,0,0,0,0,0,1,1,1,1,0,0,-1.2619365461847505,-1.3215068273092387
2025-07-03,KOLD,675.3562888633166,TRAIN-H2,0,0,0,0,1,1,0,1,1,1,0,1.9688363636363613,1.9688363636363613
2025-07-03,MSTX,601.3669810101667,TRAIN-H2,0,0,0,0,0,1,1,1,1,1,0,-1.095028465875935,-1.283434260159438
2025-07-03,MTSR,652.3102204982833,TRAIN-H2,0,0,0,0,0,1,0,0,1,0,0,-2.340892857142858,-1.4096428571428574
2025-07-03,NXT,779.0023246715167,TRAIN-H2,0,0,0,0,0,1,1,1,1,1,0,-0.034179109668429325,0.00443496406215263
2025-07-03,PARR,770.00590108855,TRAIN-H2,0,0,0,0,0,1,1,1,1,0,0,-1.8441477113402067,-1.8120600824742272
2025-07-03,PSIX,776.60572482475,TRAIN-H2,0,0,0,0,1,1,1,1,1,1,0,-2.4425723351955284,-2.400295798882679
2025-07-03,PVLA,600.1334041419833,TRAIN-H2,0,0,0,0,0,1,0,0,0,0,0,-1.4445455696202534,-1.4289443037974687
2025-07-03,QBTX,764.1306643139334,TRAIN-H2,0,0,0,0,1,1,0,0,1,0,0,-1.5047793893129715,-1.4711190839694601
2025-07-03,RGTX,775.53002158985,TRAIN-H2,0,0,0,0,1,1,0,0,1,0,0,-1.3227160139775915,-1.2452733100373536
2025-07-03,SEDG,587.2838961132,TRAIN-H2,0,0,0,0,0,1,1,0,0,0,0,1.9430193548387102,1.9430193548387102
2025-07-03,SYM,601.0907600300833,TRAIN-H2,0,0,0,0,0,1,1,0,0,0,0,-1.1219884057971008,-1.2779014492753606
2025-07-03,WGMI,579.0151975176,TRAIN-H2,0,0,0,0,0,1,1,1,1,0,0,-1.0836363636363648,-1.1563636363636358
2025-07-07,BOIL,795.3811979076667,TRAIN-H2,0,0,0,0,0,0,0,1,1,1,0,-1.3191189655172373,-1.2794896551724095
2025-07-07,CONL,601.3775372799,TRAIN-H2,0,0,0,0,0,1,0,1,1,1,0,-1.2606348105989928,-1.189971767120731
2025-07-07,CRCL,608.2566559478333,TRAIN-H2,0,0,0,0,0,1,0,1,1,1,0,-1.187505216236496,-1.1653835348205668
2025-07-07,ESTA,727.2774337973333,TRAIN-H2,0,0,0,0,0,1,1,0,1,0,0,-0.5142246153846264,-0.6199015384615492
2025-07-07,GDXU,794.3077924433833,TRAIN-H2,0,0,0,0,0,0,0,0,1,0,0,-1.1941058823529411,-1.4235176470588236
2025-07-07,NEON,693.5729559904166,TRAIN-H2,0,0,0,0,1,1,1,0,1,0,0,-1.4685090225563993,-1.3777947368421108
2025-07-07,PLTU,711.0899054650166,TRAIN-H2,0,0,0,0,0,1,0,1,1,1,0,-1.2952707376826673,-1.2579171502115007
2025-07-07,RKLX,798.6807552218667,TRAIN-H2,0,0,0,1,0,1,0,0,1,0,0,-1.2845417490210658,-1.2608537012865906
2025-07-07,SOFX,607.1566669241333,TRAIN-H2,0,0,0,0,1,1,1,0,0,0,0,-1.9498709677419481,-1.6822903225806498
2025-07-07,TSSI,755.0579029063167,TRAIN-H2,0,0,1,0,1,1,0,1,1,0,1,-1.3130579919426584,-1.2092758018102865
2025-07-07,U,601.2733970084333,TRAIN-H2,0,0,0,0,0,1,1,1,1,1,0,-1.226287781114645,-1.171009345520816
2025-07-07,XXRP,730.1025600173833,TRAIN-H2,0,0,0,0,1,1,0,1,1,0,0,-1.1084909090909132,-1.3419151515151522
2025-07-07,YB,703.3251131410667,TRAIN-H2,0,0,0,0,1,1,1,0,0,0,1,1.6938451612903196,1.6938451612903196
2025-07-08,ALB,633.4399278339166,TRAIN-H2,0,0,0,0,0,1,1,0,0,0,0,1.9304000000000012,1.9304000000000012
2025-07-08,BEAM,676.2980115601,TRAIN-H2,0,0,0,0,0,1,0,1,1,1,0,-1.1358521739130436,-1.3997217391304344
2025-07-08,CEP,599.71686603585,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,-1.1851365853658584,-1.328039024390246
2025-07-08,CIVI,625.0941690759,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,1.9226936170212778,1.9226936170212778
2025-07-08,CNXC,615.0890600447833,TRAIN-H2,0,0,0,0,1,1,1,0,1,0,0,1.8609061224489796,1.8609061224489796
2025-07-08,CRSP,609.0005233837,TRAIN-H2,0,0,0,0,0,1,1,1,1,0,0,-1.1731275135975179,-1.3410775135975157
2025-07-08,DFDV,588.2922980761666,TRAIN-H2,0,0,0,0,1,1,0,1,1,0,1,-1.236270707070704,-1.204826262626262
2025-07-08,GUSH,651.0551274792833,TRAIN-H2,0,0,0,0,0,1,0,1,1,1,0,1.947181083075107,1.947181083075107
2025-07-08,HIMZ,774.00186706905,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,1.900931428571428,1.900931428571428
2025-07-08,HRI,836.1321657963833,TRAIN-H2,0,0,0,0,0,1,0,0,1,0,0,0.27149112978522727,-0.014685340803007818
2025-07-08,INSP,620.0114440041833,TRAIN-H2,0,0,0,0,0,0,0,0,1,0,0,-0.40610048076923244,-0.3738961538461557
2025-07-08,INTW,586.0113166767833,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,1,1.934779453416149,1.934779453416149
2025-07-08,JOYY,602.26750501155,TRAIN-H2,0,0,0,0,0,1,1,0,1,0,0,-0.3684333333333326,-0.3301476190476185
2025-07-08,LEGN,598.4916909819167,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,-1.3327370324794048,-1.2990532663635523
2025-07-08,MRNA,586.1389944803667,TRAIN-H2,0,0,0,0,0,1,1,1,1,1,0,1.9652572129836465,1.9652572129836465
2025-07-08,MUR,651.17605528725,TRAIN-H2,0,0,0,0,0,1,0,0,0,1,0,0.8471716666666635,0.8903466666666635
2025-07-08,OILU,637.9691404443666,TRAIN-H2,0,0,0,0,0,1,0,0,1,1,0,1.9411259259259266,1.9411259259259266
2025-07-08,OLN,651.1966239282667,TRAIN-H2,0,0,0,0,0,1,0,1,1,1,0,-1.3403960606060659,-1.3037127272727322
2025-07-08,PAM,787.7049569402833,TRAIN-H2,0,0,0,0,0,1,0,0,1,0,0,-1.7724681089743495,-1.3941451923076877
2025-07-08,PGNY,603.1973460785167,TRAIN-H2,0,0,0,0,0,1,1,1,1,0,0,1.892173076923078,1.892173076923078
2025-07-08,SMCX,634.0411993126834,TRAIN-H2,0,0,0,0,1,1,0,1,1,0,0,-1.3213141390087797,-1.2859382646227102
2025-07-08,SMTC,776.2070854049666,TRAIN-H2,0,0,0,0,0,1,0,1,1,1,0,-1.1043617021276655,-1.3506382978723404
2025-07-08,SOXL,668.0970262984333,TRAIN-H2,0,0,0,0,0,1,1,1,1,1,0,-1.0754755025492486,-1.335216243289984
2025-07-08,SQM,651.0514068169666,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,-0.5616567395906886,-0.5268127028934411
2025-07-08,VKTX,634.40380639465,TRAIN-H2,0,0,0,0,0,1,0,1,1,1,0,1.9383618948803838,1.9383618948803838
2025-07-08,VOYG,593.03166740795,TRAIN-H2,0,0,0,0,0,0,0,1,1,0,0,1.8536491680085891,1.8536491680085891
2025-07-08,YB,631.1801841093,TRAIN-H2,0,0,0,0,1,1,1,0,0,0,1,1.9381365853658545,1.9381365853658545
2025-07-09,AEVA,586.0828299527667,TRAIN-H2,0,0,0,0,1,0,0,0,0,1,0,-1.0738909090909081,-1.095890909090908
2025-07-09,AGIO,662.30446486465,TRAIN-H2,0,0,0,0,1,1,1,1,1,0,0,-1.4784582963432615,-1.503145043331221
2025-07-09,APPX,766.0796025387833,TRAIN-H2,0,0,0,0,0,1,0,0,1,0,0,-1.4706083453583523,-1.4398583453583522
