day,symbol,split,wk,pdh,n_cross,status,b0_net_R,fill,stop,level,fill_min,exit_m,exit_price,why,R,raw_R,cost_R,net_R
2025-07-16,DNTH,TRAIN,2025-07-12/2025-07-18,20.19,0,not_armed,,,,,,,,,,,,
2025-07-16,EXOD,TRAIN,2025-07-12/2025-07-18,33.928,1,nofill,2.0,,,,,,,,,,,
2025-07-16,SEZL,TRAIN,2025-07-12/2025-07-18,143.0,0,not_armed,,,,,,,,,,,,
2025-07-17,CRCL,TRAIN,2025-07-12/2025-07-18,239.6984,0,not_armed,,,,,,,,,,,,
2025-07-17,DAVE,TRAIN,2025-07-12/2025-07-18,203.09,0,not_armed,,,,,,,,,,,,
2025-07-17,IDR,TRAIN,2025-07-12/2025-07-18,20.075,1,nofill,-1.0,,,,,,,,,,,
2025-07-17,MP,TRAIN,2025-07-12/2025-07-18,61.13,1,fill,-1.0,61.16,59.58,61.13,815.3525578970167,904.0,59.58,stop,1.5799999999999983,-1.0,0.04551645569619952,-1.0455164556961996
2025-07-17,SMLR,TRAIN,2025-07-12/2025-07-18,44.4881,0,not_armed,,,,,,,,,,,,
2025-07-17,TDW,TRAIN,2025-07-12/2025-07-18,48.71,0,not_armed,,,,,,,,,,,,
2025-07-18,NNNN,TRAIN,2025-07-12/2025-07-18,46.9,0,not_armed,,,,,,,,,,,,
2025-07-18,OUST,TRAIN,2025-07-12/2025-07-18,31.06,0,not_armed,,,,,,,,,,,,
2025-07-18,RGTX,TRAIN,2025-07-12/2025-07-18,60.28,0,not_armed,,,,,,,,,,,,
2025-07-21,APPX,TRAIN,2025-07-19/2025-07-25,44.0,0,not_armed,,,,,,,,,,,,
2025-07-21,WW,TRAIN,2025-07-19/2025-07-25,36.99,0,not_armed,,,,,,,,,,,,
2025-07-22,CDTX,TRAIN,2025-07-19/2025-07-25,60.38,0,not_armed,,,,,,,,,,,,
2025-07-22,DTC,TRAIN,2025-07-19/2025-07-25,22.8399,0,not_armed,,,,,,,,,,,,
2025-07-22,MEG,TRAIN,2025-07-19/2025-07-25,22.47,0,not_armed,,,,,,,,,,,,
2025-07-23,NEGG,TRAIN,2025-07-19/2025-07-25,32.14,0,not_armed,,,,,,,,,,,,
2025-07-23,RGTX,TRAIN,2025-07-19/2025-07-25,52.72,0,not_armed,,,,,,,,,,,,
2025-07-24,OKLL,TRAIN,2025-07-19/2025-07-25,29.4349,0,not_armed,,,,,,,,,,,,
2025-07-24,OKLO,TRAIN,2025-07-19/2025-07-25,70.06,0,not_armed,,,,,,,,,,,,
2025-07-24,QBTX,TRAIN,2025-07-19/2025-07-25,124.48,0,not_armed,,,,,,,,,,,,
2025-07-24,SMU,TRAIN,2025-07-19/2025-07-25,44.2,1,nofill,-1.1052631578947407,,,,,,,,,,,
2025-07-24,VKTX,TRAIN,2025-07-19/2025-07-25,34.4,0,not_armed,,,,,,,,,,,,
2025-07-25,MTSR,TRAIN,2025-07-19/2025-07-25,40.77,0,not_armed,,,,,,,,,,,,
2025-07-25,SMCX,TRAIN,2025-07-19/2025-07-25,56.3628,0,not_armed,,,,,,,,,,,,
2025-07-25,YETI,TRAIN,2025-07-19/2025-07-25,39.66,0,not_armed,,,,,,,,,,,,
2025-07-28,NEGG,TRAIN,2025-07-26/2025-08-01,37.93,0,not_armed,,,,,,,,,,,,
2025-07-28,PTHL,TRAIN,2025-07-26/2025-08-01,30.79,0,not_armed,,,,,,,,,,,,
2025-07-30,NBR,TRAIN,2025-07-26/2025-08-01,35.35,1,fill,-1.0,35.39,35.005,35.35,829.2340200108,835.0,35.005,stop,0.384999999999998,-1.0,0.6675350649350683,-1.6675350649350684
2025-07-30,RKLX,TRAIN,2025-07-26/2025-08-01,87.67,1,nofill,2.0,,,,,,,,,,,
2025-07-30,SMCL,TRAIN,2025-07-26/2025-08-01,27.34,0,not_armed,,,,,,,,,,,,
2025-07-30,SMCX,TRAIN,2025-07-26/2025-08-01,73.8689,1,fill,-1.0,73.9,71.96,73.8689,597.7399050869833,671.0,71.96,stop,1.940000000000012,-1.0,0.0641195876288653,-1.0641195876288654
2025-07-30,WW,TRAIN,2025-07-26/2025-08-01,42.5,0,not_armed,,,,,,,,,,,,
2025-07-31,HOOG,TRAIN,2025-07-26/2025-08-01,70.875,0,not_armed,,,,,,,,,,,,
2025-07-31,HOOX,TRAIN,2025-07-26/2025-08-01,110.77,1,nofill,-1.1714614499424636,,,,,,,,,,,
2025-07-31,NEGG,TRAIN,2025-07-26/2025-08-01,52.0,0,not_armed,,,,,,,,,,,,
2025-07-31,QBTX,TRAIN,2025-07-26/2025-08-01,100.5,1,nofill,-1.0,,,,,,,,,,,
2025-07-31,ROBN,TRAIN,2025-07-26/2025-08-01,66.46,0,not_armed,,,,,,,,,,,,
2025-08-01,APLS,TRAIN,2025-07-26/2025-08-01,23.56,0,not_armed,,,,,,,,,,,,
2025-08-01,NGNE,TRAIN,2025-07-26/2025-08-01,22.51,1,nofill,-1.0,,,,,,,,,,,
2025-08-04,CLFD,TRAIN,2025-08-02/2025-08-08,43.13,1,nofill,0.9208633093525185,,,,,,,,,,,
2025-08-04,ETHT,TRAIN,2025-08-02/2025-08-08,78.44,0,not_armed,,,,,,,,,,,,
2025-08-04,ETHU,TRAIN,2025-08-02/2025-08-08,112.2,0,not_armed,,,,,,,,,,,,
2025-08-04,FGF,TRAIN,2025-08-02/2025-08-08,39.75,0,not_armed,,,,,,,,,,,,
2025-08-04,HOOG,TRAIN,2025-08-02/2025-08-08,67.0,0,not_armed,,,,,,,,,,,,
2025-08-04,HOOW,TRAIN,2025-08-02/2025-08-08,67.72,1,fill,0.8387302261386439,67.8,66.7881,67.72,773.8609936759833,955.0,68.52,eod,1.0118999999999971,0.7115327601541663,0.12224923411404266,0.5892835260401237
2025-08-04,NNNN,TRAIN,2025-08-02/2025-08-08,44.37,0,not_armed,,,,,,,,,,,,
2025-08-04,ROBN,TRAIN,2025-08-02/2025-08-08,62.79,0,not_armed,,,,,,,,,,,,
2025-08-06,AMTM,TRAIN,2025-08-02/2025-08-08,25.36,0,not_armed,,,,,,,,,,,,
2025-08-06,AVGX,TRAIN,2025-08-02/2025-08-08,41.75,0,not_armed,,,,,,,,,,,,
2025-08-06,AVL,TRAIN,2025-08-02/2025-08-08,45.5,0,not_armed,,,,,,,,,,,,
2025-08-06,NGVC,TRAIN,2025-08-02/2025-08-08,38.54,0,not_armed,,,,,,,,,,,,
2025-08-06,PLTG,TRAIN,2025-08-02/2025-08-08,35.04,1,fill,2.0,35.05,34.66,35.04,615.62221721625,636.0,35.83,target,0.39000000000000057,2.0,0.09529743589742046,1.9047025641025797
2025-08-06,PLTU,TRAIN,2025-08-02/2025-08-08,99.53,0,not_armed,,,,,,,,,,,,
2025-08-06,RDTL,TRAIN,2025-08-02/2025-08-08,51.75,1,nofill,-1.0,,,,,,,,,,,
2025-08-06,SITM,TRAIN,2025-08-02/2025-08-08,204.71,0,not_armed,,,,,,,,,,,,
2025-08-07,PCRX,TRAIN,2025-08-02/2025-08-08,24.0,0,not_armed,,,,,,,,,,,,
2025-08-08,DXPE,TRAIN,2025-08-02/2025-08-08,111.5,1,fill,-1.0722222222222193,111.65,109.71,111.5,714.1728288734,782.0,109.58,stop,1.940000000000012,-1.0670103092783478,1.000987628865974,-2.067997938144322
2025-08-08,PRVA,TRAIN,2025-08-02/2025-08-08,20.9225,0,not_armed,,,,,,,,,,,,
2025-08-11,AMUU,TRAIN,2025-08-09/2025-08-15,50.355,0,not_armed,,,,,,,,,,,,
2025-08-11,LMND,TRAIN,2025-08-09/2025-08-15,51.1299,1,fill,2.0,51.15,50.31,51.1299,596.3511908795,790.0,52.82999999999999,target,0.8399999999999963,2.0,0.11972142857142469,1.8802785714285752
2025-08-11,QBTX,TRAIN,2025-08-09/2025-08-15,91.59,0,not_armed,,,,,,,,,,,,
2025-08-11,RGTX,TRAIN,2025-08-09/2025-08-15,50.72,0,not_armed,,,,,,,,,,,,
2025-08-11,SBET,TRAIN,2025-08-09/2025-08-15,25.42,0,not_armed,,,,,,,,,,,,
2025-08-12,AMBQ,TRAIN,2025-08-09/2025-08-15,40.66,0,not_armed,,,,,,,,,,,,
2025-08-12,ARX,TRAIN,2025-08-09/2025-08-15,28.575,0,not_armed,,,,,,,,,,,,
2025-08-12,CABO,TRAIN,2025-08-09/2025-08-15,136.33,0,not_armed,,,,,,,,,,,,
2025-08-12,KTOS,TRAIN,2025-08-09/2025-08-15,68.68,0,not_armed,,,,,,,,,,,,
2025-08-12,OKLO,TRAIN,2025-08-09/2025-08-15,75.26,1,fill,1.6630434782608805,75.3,73.43,75.26,650.6860089597334,955.0,78.33,eod,1.8699999999999903,1.6203208556149822,0.04581069518716237,1.5745101604278198
2025-08-12,PDFS,TRAIN,2025-08-09/2025-08-15,20.2679,0,not_armed,,,,,,,,,,,,
2025-08-12,PGY,TRAIN,2025-08-09/2025-08-15,30.37,0,not_armed,,,,,,,,,,,,
2025-08-12,RGTX,TRAIN,2025-08-09/2025-08-15,50.81,0,not_armed,,,,,,,,,,,,
2025-08-12,TEM,TRAIN,2025-08-09/2025-08-15,64.85,0,not_armed,,,,,,,,,,,,
2025-08-12,TNXP,TRAIN,2025-08-09/2025-08-15,48.56,1,fill,2.0,48.6,47.6491,48.56,602.04846861455,605.0,50.50180000000001,target,0.9509000000000043,2.0,0.578504953202226,1.421495046797774
2025-08-12,UCTT,TRAIN,2025-08-09/2025-08-15,23.64,1,fill,-1.0338983050847512,23.65,23.355,23.64,627.8467204943667,638.0,23.345,stop,0.29499999999999815,-1.0338983050847512,0.42260677966101096,-1.4565050847457621
2025-08-12,VKTX,TRAIN,2025-08-09/2025-08-15,40.13,0,not_armed,,,,,,,,,,,,
2025-08-13,ANPA,TRAIN,2025-08-09/2025-08-15,39.95,0,not_armed,,,,,,,,,,,,
2025-08-13,GLXY,TRAIN,2025-08-09/2025-08-15,29.4392,1,fill,-1.0,29.48,28.7559,29.4392,590.83363341385,646.0,28.7559,stop,0.7241,-1.0,0.10461425217511433,-1.1046142521751143
2025-08-14,OUST,TRAIN,2025-08-09/2025-08-15,33.485,1,fill,2.0,33.5,32.7,33.485,578.26290003375,591.0,35.099999999999994,target,0.7999999999999972,2.0,0.10877499999999825,1.8912250000000017
2025-08-14,PVLA,TRAIN,2025-08-09/2025-08-15,46.35,0,not_armed,,,,,,,,,,,,
2025-08-14,RIGL,TRAIN,2025-08-09/2025-08-15,37.6586,1,nofill,0.13436510728104126,,,,,,,,,,,
2025-08-14,RKLX,TRAIN,2025-08-09/2025-08-15,83.0,0,not_armed,,,,,,,,,,,,
2025-08-14,TATT,TRAIN,2025-08-09/2025-08-15,35.73,0,not_armed,,,,,,,,,,,,
2025-08-14,TEM,TRAIN,2025-08-09/2025-08-15,71.85,0,not_armed,,,,,,,,,,,,
2025-08-14,TEMT,TRAIN,2025-08-09/2025-08-15,26.1799,0,not_armed,,,,,,,,,,,,
2025-08-15,TEMT,TRAIN,2025-08-09/2025-08-15,28.07,1,fill,-1.0,28.1,26.98,28.07,626.7864423196334,704.0,26.98,stop,1.120000000000001,-1.0,0.09410357142857262,-1.0941035714285725
2025-08-18,AIRO,TRAIN,2025-08-16/2025-08-22,23.5,1,fill,2.0,23.53,23.23,23.5,736.0183093300833,804.0,24.130000000000003,target,0.3000000000000007,2.0,0.2827533333333388,1.7172466666666613
2025-08-18,CONL,TRAIN,2025-08-16/2025-08-22,36.105,0,not_armed,,,,,,,,,,,,
2025-08-18,PGY,TRAIN,2025-08-16/2025-08-22,34.49,0,not_armed,,,,,,,,,,,,
2025-08-18,ZEPP,TRAIN,2025-08-16/2025-08-22,35.9832,0,not_armed,,,,,,,,,,,,
2025-08-19,CONI,TRAIN,2025-08-16/2025-08-22,54.5,0,not_armed,,,,,,,,,,,,
2025-08-20,ETU,TRAIN,2025-08-16/2025-08-22,40.0,1,nofill,-1.0144927536231856,,,,,,,,,,,
2025-08-20,MENS,TRAIN,2025-08-16/2025-08-22,43.94,0,not_armed,,,,,,,,,,,,
2025-08-20,NEGG,TRAIN,2025-08-16/2025-08-22,102.1099,0,not_armed,,,,,,,,,,,,
2025-08-20,OMDA,TRAIN,2025-08-16/2025-08-22,21.64,0,not_armed,,,,,,,,,,,,
2025-08-20,RIGL,TRAIN,2025-08-16/2025-08-22,40.9799,0,not_armed,,,,,,,,,,,,
2025-08-20,SRRK,TRAIN,2025-08-16/2025-08-22,31.76,0,not_armed,,,,,,,,,,,,
2025-08-21,CAI,TRAIN,2025-08-16/2025-08-22,37.47,0,not_armed,,,,,,,,,,,,
2025-08-21,HOOG,TRAIN,2025-08-16/2025-08-22,69.92,0,not_armed,,,,,,,,,,,,
2025-08-21,PHVS,TRAIN,2025-08-16/2025-08-22,23.9889,1,nofill,-1.0417623721027347,,,,,,,,,,,
2025-08-22,AIRO,TRAIN,2025-08-16/2025-08-22,24.14,0,not_armed,,,,,,,,,,,,
2025-08-22,APPX,TRAIN,2025-08-16/2025-08-22,55.53,1,fill,2.0,55.57,54.186,55.53,611.36693184005,640.0,58.338,target,1.3840000000000003,2.0,0.22519335260115397,1.774806647398846
2025-08-22,BMNR,TRAIN,2025-08-16/2025-08-22,51.33,0,not_armed,,,,,,,,,,,,
2025-08-22,CEP,TRAIN,2025-08-16/2025-08-22,25.64,0,not_armed,,,,,,,,,,,,
2025-08-22,CRWV,TRAIN,2025-08-16/2025-08-22,95.84,1,fill,2.0,95.85,94.5,95.84,661.4481172716166,696.0,98.54999999999998,target,1.3499999999999943,2.0,0.05904444444443586,1.9409555555555642
2025-08-22,HOOG,TRAIN,2025-08-16/2025-08-22,70.0,0,not_armed,,,,,,,,,,,,
2025-08-22,NBR,TRAIN,2025-08-16/2025-08-22,35.84,1,nofill,0.5149504950495053,,,,,,,,,,,
2025-08-22,RDTL,TRAIN,2025-08-16/2025-08-22,57.1,1,nofill,-1.0,,,,,,,,,,,
2025-08-22,RGTX,TRAIN,2025-08-16/2025-08-22,41.67,1,fill,-1.3555555555555456,41.71,41.23,41.67,676.392651197,718.0,41.07,stop,0.480000000000004,-1.3333333333333235,0.3087791666666653,-1.6421124999999888
2025-08-22,ROBN,TRAIN,2025-08-16/2025-08-22,65.4599,1,fill,2.0,65.47,63.525,65.4599,609.02112806315,661.0,69.36,target,1.9450000000000003,2.0,0.05854601542416159,1.9414539845758385
2025-08-22,SCSC,TRAIN,2025-08-16/2025-08-22,44.5,0,not_armed,,,,,,,,,,,,
2025-08-22,SLON,TRAIN,2025-08-16/2025-08-22,45.8099,1,nofill,2.0,,,,,,,,,,,
2025-08-22,SMCX,TRAIN,2025-08-16/2025-08-22,32.93,0,not_armed,,,,,,,,,,,,
2025-08-22,TEMT,TRAIN,2025-08-16/2025-08-22,30.88,0,not_armed,,,,,,,,,,,,
2025-08-22,UXRP,TRAIN,2025-08-16/2025-08-22,33.7,0,not_armed,,,,,,,,,,,,
2025-08-22,XXRP,TRAIN,2025-08-16/2025-08-22,37.79,0,not_armed,,,,,,,,,,,,
2025-08-25,UPSX,TRAIN,2025-08-23/2025-08-29,32.0,0,not_armed,,,,,,,,,,,,
2025-08-26,CGON,TRAIN,2025-08-23/2025-08-29,27.07,0,not_armed,,,,,,,,,,,,
2025-08-26,CMCL,TRAIN,2025-08-23/2025-08-29,25.6,0,not_armed,,,,,,,,,,,,
2025-08-26,DAVE,TRAIN,2025-08-23/2025-08-29,208.2699,0,not_armed,,,,,,,,,,,,
2025-08-26,PVLA,TRAIN,2025-08-23/2025-08-29,53.43,0,not_armed,,,,,,,,,,,,
2025-08-26,QBTX,TRAIN,2025-08-23/2025-08-29,66.93,1,fill,-1.0852713178294575,67.0,65.65,66.93,601.0150217540834,615.0,65.54,stop,1.3499999999999943,-1.0814814814814815,0.23193185185185072,-1.3134133333333322
2025-08-26,RGTX,TRAIN,2025-08-23/2025-08-29,41.31,1,nofill,2.0,,,,,,,,,,,
2025-08-26,RKLX,TRAIN,2025-08-23/2025-08-29,99.164,0,not_armed,,,,,,,,,,,,
2025-08-26,UXRP,TRAIN,2025-08-23/2025-08-29,34.14,0,not_armed,,,,,,,,,,,,
2025-08-26,XXRP,TRAIN,2025-08-23/2025-08-29,38.47,0,not_armed,,,,,,,,,,,,
2025-08-28,RDDT,TRAIN,2025-08-23/2025-08-29,226.6688,0,not_armed,,,,,,,,,,,,
2025-08-28,SOFX,TRAIN,2025-08-23/2025-08-29,38.22,0,not_armed,,,,,,,,,,,,
2025-09-02,BYRN,TRAIN,2025-08-30/2025-09-05,20.82,0,not_armed,,,,,,,,,,,,
2025-09-02,CECO,TRAIN,2025-08-30/2025-09-05,46.54,1,nofill,-1.053247513165599,,,,,,,,,,,
2025-09-02,HTFL,TRAIN,2025-08-30/2025-09-05,32.44,0,not_armed,,,,,,,,,,,,
2025-09-02,QXO,TRAIN,2025-08-30/2025-09-05,21.17,0,not_armed,,,,,,,,,,,,
2025-09-02,RKLX,TRAIN,2025-08-30/2025-09-05,95.59,0,not_armed,,,,,,,,,,,,
2025-09-02,SMR,TRAIN,2025-08-30/2025-09-05,36.5763,1,fill,2.0,36.59,35.82,36.5763,836.7330613950166,850.0,38.13000000000001,target,0.7700000000000031,2.0,0.06185194805195592,1.938148051948044
2025-09-02,SOUX,TRAIN,2025-08-30/2025-09-05,30.51,0,not_armed,,,,,,,,,,,,
2025-09-02,TEMT,TRAIN,2025-08-30/2025-09-05,28.91,0,not_armed,,,,,,,,,,,,
2025-09-02,WGMI,TRAIN,2025-08-30/2025-09-05,31.5,0,not_armed,,,,,,,,,,,,
2025-09-02,WW,TRAIN,2025-08-30/2025-09-05,33.425,0,not_armed,,,,,,,,,,,,
2025-09-02,ZEPP,TRAIN,2025-08-30/2025-09-05,45.0,0,not_armed,,,,,,,,,,,,
2025-09-04,KRRO,TRAIN,2025-08-30/2025-09-05,27.34,0,not_armed,,,,,,,,,,,,
2025-09-04,NBR,TRAIN,2025-08-30/2025-09-05,37.09,0,not_armed,,,,,,,,,,,,
2025-09-04,SOFX,TRAIN,2025-08-30/2025-09-05,36.11,0,not_armed,,,,,,,,,,,,
2025-09-05,CONI,TRAIN,2025-08-30/2025-09-05,55.59,0,not_armed,,,,,,,,,,,,
2025-09-05,UTHR,TRAIN,2025-08-30/2025-09-05,396.54,0,not_armed,,,,,,,,,,,,
2025-09-05,ZEPP,TRAIN,2025-08-30/2025-09-05,53.18,0,not_armed,,,,,,,,,,,,
2025-09-08,FEIM,TRAIN,2025-09-06/2025-09-12,33.65,0,not_armed,,,,,,,,,,,,
2025-09-08,TRML,TRAIN,2025-09-06/2025-09-12,28.455,1,fill,1.6451612903225794,28.46,27.38,28.455,590.6632025963,955.0,30.25,eod,1.0800000000000018,1.6574074074074039,0.0889351851851849,1.568472222222219
2025-09-09,CEP,TRAIN,2025-09-06/2025-09-12,21.1499,0,not_armed,,,,,,,,,,,,
2025-09-09,CYD,TRAIN,2025-09-06/2025-09-12,35.2,0,not_armed,,,,,,,,,,,,
2025-09-09,IONX,TRAIN,2025-09-06/2025-09-12,60.0,1,fill,2.0,60.06,58.9137,60.0,690.0923296420167,838.0,62.35260000000001,target,1.1463000000000036,2.0,0.07194497077553871,1.9280550292244614
2025-09-09,PSIX,TRAIN,2025-09-06/2025-09-12,90.1,1,fill,-1.0,90.1,89.18,90.1,640.4969553821667,643.0,89.18,stop,0.9199999999999875,-1.0,0.3019956521739073,-1.3019956521739073
2025-09-09,WIX,TRAIN,2025-09-06/2025-09-12,159.44,0,not_armed,,,,,,,,,,,,
2025-09-10,APA,TRAIN,2025-09-06/2025-09-12,22.89,0,not_armed,,,,,,,,,,,,
2025-09-10,GGAL,TRAIN,2025-09-06/2025-09-12,32.45,0,not_armed,,,,,,,,,,,,
2025-09-10,PPIH,TRAIN,2025-09-06/2025-09-12,32.89,0,not_armed,,,,,,,,,,,,
2025-09-11,ARQQ,TRAIN,2025-09-06/2025-09-12,29.48,1,fill,1.015625000000008,29.5,28.85,29.48,601.9792910303333,955.0,30.14,eod,0.6499999999999986,0.9846153846153877,0.14773538461538474,0.836880000000003
2025-09-11,BLSH,TRAIN,2025-09-06/2025-09-12,55.04,0,not_armed,,,,,,,,,,,,
2025-09-11,BMNR,TRAIN,2025-09-06/2025-09-12,49.12,1,fill,-1.0,49.13,47.49,49.12,580.4426408528333,871.0,47.49,stop,1.6400000000000006,-1.0,0.011889024390247017,-1.011889024390247
2025-09-11,DOCN,TRAIN,2025-09-06/2025-09-12,35.88,0,not_armed,,,,,,,,,,,,
2025-09-11,FIG,TRAIN,2025-09-06/2025-09-12,55.21,0,not_armed,,,,,,,,,,,,
2025-09-11,FORD,TRAIN,2025-09-06/2025-09-12,31.5346,0,not_armed,,,,,,,,,,,,
2025-09-11,GRAL,TRAIN,2025-09-06/2025-09-12,37.71,0,not_armed,,,,,,,,,,,,
2025-09-11,HIMS,TRAIN,2025-09-06/2025-09-12,51.4152,0,not_armed,,,,,,,,,,,,
2025-09-11,HRTG,TRAIN,2025-09-06/2025-09-12,23.7999,0,not_armed,,,,,,,,,,,,
2025-09-11,IONX,TRAIN,2025-09-06/2025-09-12,67.37,1,fill,2.0,67.4,66.2271,67.37,660.3617590136834,673.0,69.74580000000003,target,1.1729000000000127,2.0,0.1142033932986641,1.8857966067013359
2025-09-11,NEGG,TRAIN,2025-09-06/2025-09-12,37.42,0,not_armed,,,,,,,,,,,,
2025-09-11,NUTX,TRAIN,2025-09-06/2025-09-12,87.5,0,not_armed,,,,,,,,,,,,
