instrument_id,d0,d1,symbol
263,2024-07-01,2025-01-01,ADPT
264,2024-07-01,2025-01-01,ADPV
271,2024-07-01,2025-01-01,ADRT
272,2024-07-01,2025-01-01,ADRT=
277,2024-07-01,2025-01-01,ADSE
278,2024-07-01,2025-01-01,ADSEW
279,2024-07-01,2025-01-01,ADSK
281,2024-07-01,2025-01-01,ADT
284,2024-07-01,2025-01-01,ADTN
285,2024-07-01,2025-01-01,ADTX
19842,2024-11-07,2025-01-01,ADUR
286,2024-07-01,2025-01-01,ADUS
287,2024-07-01,2025-01-01,ADV
18242,2024-07-01,2025-01-01,ADVE
288,2024-07-01,2025-01-01,ADVM
289,2024-07-01,2025-01-01,ADVWW
290,2024-07-01,2025-01-01,ADX
291,2024-07-01,2025-01-01,ADXN
296,2024-07-01,2025-01-01,AE
300,2024-07-01,2025-01-01,AEAE
301,2024-07-01,2025-01-01,AEAEU
302,2024-07-01,2025-01-01,AEAEW
306,2024-07-01,2025-01-01,AEE
307,2024-07-01,2025-01-01,AEF
308,2024-07-01,2025-01-01,AEFC
309,2024-07-01,2025-01-01,AEG
316,2024-07-01,2025-01-01,AEHL
317,2024-07-01,2025-01-01,AEHR
318,2024-07-01,2025-01-01,AEI
319,2024-07-01,2025-01-01,AEIS
324,2024-07-01,2025-01-01,AEM
325,2024-07-01,2025-01-01,AEMB
326,2024-07-01,2025-01-01,AEMD
327,2024-07-01,2025-01-01,AENT
328,2024-07-01,2025-01-01,AENTW
330,2024-07-01,2025-01-01,AEO
331,2024-07-01,2025-01-01,AEON
333,2024-07-01,2025-01-01,AEP
338,2024-07-01,2025-01-01,AER
18443,2024-07-01,2025-01-01,AERT
18444,2024-07-01,2025-01-01,AERTW
341,2024-07-01,2025-01-01,AES
345,2024-07-01,2025-01-01,AESI
346,2024-07-01,2025-01-01,AESR
18292,2024-07-01,2025-01-01,AETH
350,2024-07-01,2025-01-01,AEVA
351,2024-07-01,2025-01-01,AEVA+
353,2024-07-01,2025-01-01,AEYE
354,2024-07-01,2025-01-01,AEZS
361,2024-07-01,2025-01-01,AFAR
362,2024-07-01,2025-01-01,AFARU
363,2024-07-01,2025-01-01,AFARW
364,2024-07-01,2025-01-01,AFB
365,2024-07-01,2025-01-01,AFBI
367,2024-07-01,2025-01-01,AFCG
19286,2024-07-09,2025-01-01,AFCGV
368,2024-07-01,2025-01-01,AFG
369,2024-07-01,2025-01-01,AFGB
370,2024-07-01,2025-01-01,AFGC
371,2024-07-01,2025-01-01,AFGD
372,2024-07-01,2025-01-01,AFGE
380,2024-07-01,2025-01-01,AFIF
19973,2024-12-05,2025-01-01,AFIX
18695,2024-07-01,2025-01-01,AFJK
18696,2024-07-01,2025-01-01,AFJKR
18530,2024-07-01,2025-01-01,AFJKU
384,2024-07-01,2025-01-01,AFK
385,2024-07-01,2025-01-01,AFL
386,2024-07-01,2025-01-01,AFLG
387,2024-07-01,2025-01-01,AFMC
388,2024-07-01,2025-01-01,AFMD
389,2024-07-01,2025-01-01,AFRI
390,2024-07-01,2025-01-01,AFRIW
391,2024-07-01,2025-01-01,AFRM
399,2024-07-01,2025-01-01,AFSM
402,2024-07-01,2025-01-01,AFT
406,2024-07-01,2025-01-01,AFTY
407,2024-07-01,2025-01-01,AFYA
408,2024-07-01,2025-01-01,AG
412,2024-07-01,2025-01-01,AGAE
413,2024-07-01,2025-01-01,AGBA
416,2024-07-01,2025-01-01,AGBAW
419,2024-07-01,2025-01-01,AGCO
422,2024-07-01,2025-01-01,AGD
424,2024-07-01,2025-01-01,AGEN
428,2024-07-01,2025-01-01,AGFY
429,2024-07-01,2025-01-01,AGG
431,2024-07-01,2025-01-01,AGGH
19056,2024-07-01,2025-01-01,AGGS
436,2024-07-01,2025-01-01,AGGY
437,2024-07-01,2025-01-01,AGI
438,2024-07-01,2025-01-01,AGIH
443,2024-07-01,2025-01-01,AGIO
19320,2024-07-18,2025-01-01,AGIX
444,2024-07-01,2025-01-01,AGL
446,2024-07-01,2025-01-01,AGM
451,2024-07-01,2025-01-01,AGM-C
452,2024-07-01,2025-01-01,AGM-D
453,2024-07-01,2025-01-01,AGM-E
454,2024-07-01,2025-01-01,AGM-F
455,2024-07-01,2025-01-01,AGM-G
448,2024-07-01,2025-01-01,AGM.A
456,2024-07-01,2025-01-01,AGMH
19060,2024-07-01,2025-01-01,AGMI
458,2024-07-01,2025-01-01,AGNC
460,2024-07-01,2025-01-01,AGNCL
461,2024-07-01,2025-01-01,AGNCM
462,2024-07-01,2025-01-01,AGNCN
463,2024-07-01,2025-01-01,AGNCO
464,2024-07-01,2025-01-01,AGNCP
466,2024-07-01,2025-01-01,AGNG
467,2024-07-01,2025-01-01,AGO
472,2024-07-01,2025-01-01,AGOX
473,2024-07-01,2025-01-01,AGQ
18496,2024-07-01,2025-01-01,AGQI
474,2024-07-01,2025-01-01,AGR
475,2024-07-01,2025-01-01,AGRH
476,2024-07-01,2025-01-01,AGRI
477,2024-07-01,2025-01-01,AGRIW
478,2024-07-01,2025-01-01,AGRO
480,2024-07-01,2025-01-01,AGS
484,2024-07-01,2025-01-01,AGX
485,2024-07-01,2025-01-01,AGYS
486,2024-07-01,2025-01-01,AGZ
487,2024-07-01,2025-01-01,AGZD
492,2024-07-01,2025-01-01,AHCO
494,2024-07-01,2025-01-01,AHG
496,2024-07-01,2025-01-01,AHH
497,2024-07-01,2025-01-01,AHH-A
499,2024-07-01,2025-01-01,AHI
501,2024-07-01,2025-01-01,AHL-C
502,2024-07-01,2025-01-01,AHL-D
503,2024-07-01,2025-01-01,AHL-E
19948,2024-12-03,2025-01-01,AHL-F
18146,2024-07-01,2025-01-01,AHLT
504,2024-07-01,2025-01-01,AHOY
18767,2024-07-01,2025-01-01,AHR
512,2024-07-01,2025-01-01,AHT
513,2024-07-01,2025-01-01,AHT-D
514,2024-07-01,2025-01-01,AHT-F
515,2024-07-01,2025-01-01,AHT-G
516,2024-07-01,2025-01-01,AHT-H
517,2024-07-01,2025-01-01,AHT-I
518,2024-07-01,2025-01-01,AHYB
519,2024-07-01,2025-01-01,AI
520,2024-07-01,2025-01-01,AIA
19094,2024-07-01,2025-01-01,AIBD
19091,2024-07-01,2025-01-01,AIBU
528,2024-07-01,2025-01-01,AIEQ
19220,2024-07-01,2025-01-01,AIEV
529,2024-07-01,2025-01-01,AIF
19062,2024-07-01,2025-01-01,AIFD
19417,2024-08-13,2025-01-01,AIFF
19781,2024-10-23,2025-01-01,AIFU
530,2024-07-01,2025-01-01,AIG
534,2024-07-01,2025-01-01,AIHS
19014,2024-07-01,2025-01-01,AILE
19015,2024-07-01,2025-01-01,AILEW
539,2024-07-01,2025-01-01,AIM
540,2024-07-01,2025-01-01,AIMAU
541,2024-07-01,2025-01-01,AIMAW
542,2024-07-01,2025-01-01,AIMBU
545,2024-07-01,2025-01-01,AIMD
546,2024-07-01,2025-01-01,AIMDW
548,2024-07-01,2025-01-01,AIN
549,2024-07-01,2025-01-01,AINC
19972,2024-12-05,2025-01-01,AINP
551,2024-07-01,2025-01-01,AIO
19266,2024-07-01,2025-01-01,AIOT
552,2024-07-01,2025-01-01,AIP
19160,2024-07-01,2025-01-01,AIPI
554,2024-07-01,2025-01-01,AIQ
555,2024-07-01,2025-01-01,AIR
18382,2024-07-01,2025-01-01,AIRE
558,2024-07-01,2025-01-01,AIRG
559,2024-07-01,2025-01-01,AIRI
18888,2024-07-01,2025-01-01,AIRJ
18889,2024-07-01,2025-01-01,AIRJW
18545,2024-07-01,2025-01-01,AIRL
561,2024-07-01,2025-01-01,AIRR
562,2024-07-01,2025-01-01,AIRS
563,2024-07-01,2025-01-01,AIRT
564,2024-07-01,2025-01-01,AIRTP
19949,2024-12-03,2025-01-01,AIS
18609,2024-07-01,2025-01-01,AISP
18615,2024-07-01,2025-01-01,AISPW
568,2024-07-01,2025-01-01,AIT
18631,2024-07-01,2025-01-01,AITR
18632,2024-07-01,2025-01-01,AITRR
18450,2024-07-01,2025-01-01,AITRU
570,2024-07-01,2025-01-01,AIU
571,2024-07-01,2025-01-01,AIV
19764,2024-10-21,2025-01-01,AIVC
574,2024-07-01,2025-01-01,AIVI
575,2024-07-01,2025-01-01,AIVL
577,2024-07-01,2025-01-01,AIXI
18507,2024-07-01,2025-01-01,AIYY
579,2024-07-01,2025-01-01,AIZ
580,2024-07-01,2025-01-01,AIZN
18636,2024-07-01,2025-01-01,AJAN
585,2024-07-01,2025-01-01,AJG
19261,2024-07-01,2025-01-01,AJUL
587,2024-07-01,2025-01-01,AJX
589,2024-07-01,2025-01-01,AKA
590,2024-07-01,2025-01-01,AKAM
591,2024-07-01,2025-01-01,AKAN
593,2024-07-01,2025-01-01,AKBA
600,2024-07-01,2025-01-01,AKLI
601,2024-07-01,2025-01-01,AKO.A
602,2024-07-01,2025-01-01,AKO.B
604,2024-07-01,2025-01-01,AKR
605,2024-07-01,2025-01-01,AKRO
608,2024-07-01,2025-01-01,AKTS
609,2024-07-01,2025-01-01,AKTX
612,2024-07-01,2025-01-01,AKYA
613,2024-07-01,2025-01-01,AL
614,2024-07-01,2025-01-01,AL-A
18903,2024-07-01,2025-01-01,ALAB
18982,2024-07-01,2025-01-01,ALAI
619,2024-07-01,2025-01-01,ALAR
620,2024-07-01,2025-01-01,ALB
18877,2024-07-01,2025-01-01,ALB-A
622,2024-07-01,2025-01-01,ALBT
623,2024-07-01,2025-01-01,ALC
18619,2024-07-01,2025-01-01,ALCE
625,2024-07-01,2025-01-01,ALCO
626,2024-07-01,2025-01-01,ALCY
627,2024-07-01,2025-01-01,ALCYU
628,2024-07-01,2025-01-01,ALCYW
20017,2024-12-13,2025-01-01,ALDF
19777,2024-10-22,2025-01-01,ALDFU
20016,2024-12-13,2025-01-01,ALDFW
631,2024-07-01,2025-01-01,ALDX
632,2024-07-01,2025-01-01,ALE
633,2024-07-01,2025-01-01,ALEC
634,2024-07-01,2025-01-01,ALEX
635,2024-08-01,2025-01-01,ALF
19183,2024-07-01,2025-01-01,ALFUU
19385,2024-08-01,2025-01-01,ALFUW
639,2024-07-01,2025-01-01,ALG
640,2024-07-01,2025-01-01,ALGM
641,2024-07-01,2025-01-01,ALGN
646,2024-07-01,2025-01-01,ALGS
647,2024-07-01,2025-01-01,ALGT
648,2024-07-01,2025-01-01,ALHC
649,2024-07-01,2025-01-01,ALIM
653,2024-07-01,2025-01-01,ALIT
656,2024-07-01,2025-01-01,ALK
657,2024-07-01,2025-01-01,ALKS
658,2024-07-01,2025-01-01,ALKT
659,2024-07-01,2025-01-01,ALL
662,2024-07-01,2025-01-01,ALL-B
675,2024-07-01,2025-01-01,ALL-H
676,2024-07-01,2025-01-01,ALL-I
677,2024-07-01,2025-01-01,ALL-J
667,2024-07-01,2025-01-01,ALLE
672,2024-07-01,2025-01-01,ALLG
678,2024-07-01,2025-01-01,ALLK
679,2024-07-01,2025-01-01,ALLO
680,2024-07-01,2025-01-01,ALLR
681,2024-07-01,2025-01-01,ALLT
682,2024-07-01,2025-01-01,ALLY
19245,2024-07-01,2025-01-01,ALMS
18114,2024-07-01,2025-01-01,ALNT
686,2024-07-01,2025-01-01,ALNY
693,2024-07-01,2025-01-01,ALOT
698,2024-07-01,2025-01-01,ALPP
704,2024-07-01,2025-01-01,ALRM
705,2024-07-01,2025-01-01,ALRN
706,2024-07-01,2025-01-01,ALRS
707,2024-07-01,2025-01-01,ALSA
708,2024-07-01,2025-01-01,ALSAR
709,2024-07-01,2025-01-01,ALSAU
710,2024-07-01,2025-01-01,ALSAW
712,2024-07-01,2025-01-01,ALSN
713,2024-07-01,2025-01-01,ALT
715,2024-07-01,2025-01-01,ALTG
717,2024-07-01,2025-01-01,ALTG-A
718,2024-07-01,2025-01-01,ALTI
720,2024-07-01,2025-01-01,ALTL
721,2024-07-01,2025-01-01,ALTM
723,2024-07-01,2025-01-01,ALTO
724,2024-07-01,2025-01-01,ALTR
725,2024-07-15,2025-01-01,ALTS
729,2024-07-01,2025-01-01,ALTY
18330,2024-07-01,2025-01-01,ALUM
730,2024-07-01,2025-01-01,ALUR
731,2024-07-01,2025-01-01,ALUR+
735,2024-07-01,2025-01-01,ALV
737,2024-07-01,2025-01-01,ALVO
738,2024-07-01,2025-01-01,ALVOW
739,2024-07-01,2025-01-01,ALVR
740,2024-07-01,2025-01-01,ALX
742,2024-07-01,2025-01-01,ALXO
745,2024-07-01,2025-01-01,ALZN
746,2024-07-01,2025-01-01,AM
748,2024-07-01,2025-01-01,AMAL
753,2024-07-01,2025-01-01,AMAT
754,2024-07-01,2025-01-01,AMAX
755,2024-07-01,2025-01-01,AMBA
756,2024-07-01,2025-01-01,AMBC
759,2024-07-01,2025-01-01,AMBI
760,2024-07-01,2025-01-01,AMBI+
761,2024-07-01,2025-01-01,AMBO
762,2024-07-01,2025-01-01,AMBP
763,2024-07-01,2025-01-01,AMBP+
765,2024-07-01,2025-01-01,AMC
771,2024-07-01,2025-01-01,AMCR
772,2024-07-01,2025-01-01,AMCX
773,2024-07-01,2025-01-01,AMD
18897,2024-07-01,2025-01-01,AMDL
18108,2024-07-01,2025-01-01,AMDS
18214,2024-07-01,2025-01-01,AMDY
775,2024-07-01,2025-01-01,AME
776,2024-07-01,2025-01-01,AMED
779,2024-07-01,2025-01-01,AMG
780,2024-07-01,2025-01-01,AMGN
782,2024-07-01,2025-01-01,AMH
789,2024-07-01,2025-01-01,AMH-G
790,2024-07-01,2025-01-01,AMH-H
791,2024-07-01,2025-01-01,AMID
18732,2024-07-01,2025-01-01,AMIX
18726,2024-07-01,2025-01-01,AMJB
794,2024-07-01,2025-01-01,AMK
795,2024-07-01,2025-01-01,AMKR
796,2024-07-01,2025-01-01,AMLI
797,2024-07-01,2025-01-01,AMLP
798,2024-07-01,2025-01-01,AMLX
800,2024-07-01,2025-01-01,AMN
801,2024-07-01,2025-01-01,AMNA
803,2024-07-01,2025-01-01,AMND
20030,2024-12-16,2025-01-01,AMOD
20029,2024-12-16,2025-01-01,AMODW
804,2024-07-01,2025-01-01,AMOM
807,2024-07-01,2025-01-01,AMP
808,2024-07-01,2025-01-01,AMPD
810,2024-07-01,2025-01-01,AMPG
811,2024-07-01,2025-01-01,AMPGW
812,2024-07-01,2025-01-01,AMPH
816,2024-07-01,2025-01-01,AMPL
817,2024-07-01,2025-01-01,AMPS
819,2024-07-01,2025-01-01,AMPX
820,2024-07-01,2025-01-01,AMPX+
821,2024-07-01,2025-01-01,AMPY
822,2024-07-01,2025-01-01,AMR
824,2024-07-01,2025-01-01,AMRC
827,2024-07-01,2025-01-01,AMRK
828,2024-07-01,2025-01-01,AMRN
831,2024-07-01,2025-01-01,AMRX
832,2024-07-01,2025-01-01,AMS
833,2024-07-01,2025-01-01,AMSC
834,2024-07-01,2025-01-01,AMSF
835,2024-07-01,2025-01-01,AMST
836,2024-07-01,2025-01-01,AMSWA
837,2024-07-01,2025-01-01,AMT
838,2024-07-01,2025-01-01,AMTB
840,2024-07-01,2025-01-01,AMTD
19654,2024-09-30,2025-01-01,AMTM
19611,2024-09-24,2025-01-01,AMTM#
842,2024-07-01,2025-01-01,AMTR
843,2024-07-01,2025-01-01,AMTX
845,2024-07-01,2025-01-01,AMUB
847,2024-07-01,2025-01-01,AMWD
848,2024-07-01,2025-01-01,AMWL
849,2024-07-01,2025-01-01,AMX
851,2024-07-01,2025-01-01,AMZA
852,2024-07-01,2025-01-01,AMZD
853,2024-07-01,2025-01-01,AMZN
18403,2024-07-01,2025-01-01,AMZP
854,2024-07-01,2025-01-01,AMZU
855,2024-07-01,2025-01-01,AMZY
18896,2024-07-01,2025-01-01,AMZZ
856,2024-07-01,2025-01-01,AN
857,2024-07-01,2025-01-01,ANAB
869,2024-07-01,2025-01-01,ANDE
872,2024-07-01,2025-01-01,ANEB
873,2024-07-01,2025-01-01,ANET
874,2024-07-01,2025-01-01,ANEW
875,2024-07-01,2025-01-01,ANF
19085,2024-07-01,2025-01-01,ANG-A
19082,2024-07-01,2025-01-01,ANG-B
877,2024-07-01,2025-01-01,ANGH
878,2024-07-01,2025-01-01,ANGHW
879,2024-07-01,2025-01-01,ANGI
880,2024-07-01,2025-01-01,ANGL
882,2024-07-01,2025-01-01,ANGO
887,2024-07-01,2025-01-01,ANIK
888,2024-07-01,2025-01-01,ANIP
889,2024-07-01,2025-01-01,ANIX
18113,2024-07-01,2025-01-01,ANL
20027,2024-12-16,2025-01-01,ANNA
20028,2024-12-16,2025-01-01,ANNAW
890,2024-07-01,2025-01-01,ANNX
18758,2024-07-01,2025-01-01,ANRO
18646,2024-07-01,2025-01-01,ANSC
18451,2024-07-01,2025-01-01,ANSCU
18647,2024-07-01,2025-01-01,ANSCW
892,2024-07-01,2025-01-01,ANSS
893,2024-07-01,2025-01-01,ANTE
896,2024-07-01,2025-01-01,ANTX
897,2024-07-01,2025-01-01,ANVS
899,2024-07-01,2025-01-01,ANY
903,2024-07-01,2025-01-01,AOA
19676,2024-10-01,2025-01-01,AOCT
905,2024-07-01,2025-01-01,AOD
906,2024-07-01,2025-01-01,AOGO
907,2024-07-01,2025-01-01,AOGOU
908,2024-07-01,2025-01-01,AOGOW
18809,2024-07-01,2025-01-01,AOHY
911,2024-07-01,2025-01-01,AOK
912,2024-07-01,2025-01-01,AOM
19395,2024-08-01,2025-01-01,AOMN
913,2024-07-01,2025-01-01,AOMR
914,2024-07-01,2025-01-01,AON
918,2024-07-01,2025-01-01,AOR
919,2024-07-01,2025-01-01,AORT
920,2024-07-01,2025-01-01,AOS
921,2024-07-01,2025-01-01,AOSL
922,2024-07-01,2025-01-01,AOTG
923,2024-07-01,2025-01-01,AOUT
925,2024-07-01,2025-01-01,AP
926,2024-07-01,2025-01-01,AP+
927,2024-07-01,2025-01-01,APA
931,2024-07-01,2025-01-01,APAM
937,2024-07-01,2025-01-01,APCB
938,2024-07-01,2025-01-01,APCX
939,2024-07-01,2025-01-01,APCXW
940,2024-07-01,2025-01-01,APD
941,2024-07-01,2025-01-01,APDN
944,2024-07-01,2025-01-01,APEI
948,2024-07-01,2025-01-01,APG
952,2024-07-01,2025-01-01,APGE
955,2024-07-01,2025-01-01,APH
958,2024-07-01,2025-01-01,API
959,2024-07-01,2025-01-01,APIE
960,2024-07-01,2025-01-01,APLD
961,2024-07-01,2025-01-01,APLE
962,2024-07-01,2025-01-01,APLM
963,2024-07-01,2025-01-01,APLMW
964,2024-07-01,2025-01-01,APLS
965,2024-07-01,2025-01-01,APLT
19971,2024-12-05,2025-01-01,APLU
966,2024-07-01,2025-01-01,APLY
967,2024-07-01,2025-01-01,APM
971,2024-07-01,2025-01-01,APMU
975,2024-07-01,2025-01-01,APO
976,2024-07-01,2025-01-01,APO-A
19679,2024-10-01,2025-01-01,APOC
978,2024-07-01,2025-01-01,APOG
18141,2024-07-01,2025-01-01,APOS
981,2024-07-01,2025-01-01,APP
982,2024-07-01,2025-01-01,APPF
985,2024-07-01,2025-01-01,APPN
986,2024-07-01,2025-01-01,APPS
988,2024-07-01,2025-01-01,APRD
989,2024-07-01,2025-01-01,APRE
990,2024-07-01,2025-01-01,APRH
992,2024-07-01,2025-01-01,APRJ
18964,2024-07-01,2025-01-01,APRP
994,2024-07-01,2025-01-01,APRQ
995,2024-07-01,2025-01-01,APRT
996,2024-07-01,2025-01-01,APRW
997,2024-07-01,2025-01-01,APRZ
1001,2024-07-01,2025-01-01,APT
1006,2024-07-01,2025-01-01,APTO
1008,2024-07-01,2025-01-01,APTV
1012,2024-07-01,2025-01-01,APUE
1013,2024-07-01,2025-01-01,APVO
1014,2024-07-01,2025-01-01,APWC
1016,2024-07-01,2025-01-01,APXI
1017,2024-07-01,2025-01-01,APXIU
1018,2024-07-01,2025-01-01,APXIW
1024,2024-07-01,2025-01-01,APYX
1026,2024-07-01,2025-01-01,AQB
20012,2024-12-12,2025-01-01,AQLT
1028,2024-07-01,2025-01-01,AQMS
1029,2024-07-01,2025-01-01,AQN
1031,2024-07-01,2025-01-01,AQNB
1033,2024-07-01,2025-01-01,AQST
1034,2024-07-01,2025-01-01,AQU
1036,2024-07-01,2025-01-01,AQUNR
1037,2024-07-01,2025-01-01,AQUNU
1038,2024-07-01,2025-01-01,AQWA
1040,2024-07-01,2025-01-01,AR
1043,2024-07-01,2025-01-01,ARAY
1044,2024-07-01,2025-01-01,ARB
1045,2024-07-01,2025-01-01,ARBB
1046,2024-07-01,2025-01-01,ARBE
1047,2024-07-01,2025-01-01,ARBEW
1051,2024-07-01,2025-01-01,ARBK
1052,2024-07-01,2025-01-01,ARBKL
1053,2024-07-01,2025-01-01,ARC
1054,2024-07-01,2025-01-01,ARCB
1055,2024-07-01,2025-01-01,ARCC
1057,2024-07-01,2025-01-01,ARCH
1062,2024-07-01,2025-01-01,ARCM
1063,2024-07-01,2025-01-01,ARCO
1064,2024-07-01,2025-01-01,ARCT
1067,2024-07-01,2025-01-01,ARDC
19318,2024-07-18,2025-01-01,ARDT
1070,2024-07-01,2025-01-01,ARDX
1071,2024-07-01,2025-01-01,ARE
19498,2024-09-05,2025-01-01,AREA
1072,2024-07-01,2025-01-01,AREB
1073,2024-07-01,2025-01-01,AREBW
